name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,duelLost,challengeLost,onTargetScoringAttempt,goals,interceptionWon,fouls,expectedGoals,expectedGoalsOnTarget,aerialLost,aerialWon,duelWon,bigChanceMissed,shotOffTarget,hitWoodwork,unsuccessfulTouch,blockedScoringAttempt,outfielderBlock,totalTackle,wonTackle,errorLeadToAGoal,sofascoreId,totalCross,accurateCross,dispossessed,totalContest,bigChanceCreated,wasFouled,keyPass,goalAssist,wonContest,totalOffside,penaltyWon,lastName,penaltyFaced,errorLeadToAShot,penaltyConceded
Heung-min Son,heung-min-son,H. M. Son,F,7,184.0,126618,M,111505,"{'alpha2': 'KR', 'alpha3': 'KOR', 'name': 'South Korea', 'slug': 'south-korea'}",EUR,710553600,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هيونغ مين سون', 'hi': 'ह्युंग-मिन सोन', 'bn': 'হেউং-মিন সন'}, 'shortNameTranslation': {'ar': 'ه. م. سون', 'hi': 'एच.एम. सोन', 'bn': 'এইচ. এম. সন'}}",32.0,26.0,,,7.0,7.0,19.0,27.0,,5.0,,,,,,90.0,52.0,7.3,15.0,0.145773,"{'original': 7.3, 'alternative': 6.9}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,4.0,1.0,,,2.0,,0.3954,,,,3.0,,3.0,,3.0,2.0,,,,,HMSon,2.0,,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,
Richarlison,richarlison,Richarlison,F,9,184.0,46727,M,840217,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,863222400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريتشارليسون', 'hi': 'रिचर्डसन', 'bn': 'রিচার্লিসন'}, 'shortNameTranslation': {'ar': 'ريتشارليسون', 'hi': 'रिचर्डसन', 'bn': 'রিচার্লিসন'}}",15.0,10.0,1.0,1.0,3.0,5.0,7.0,10.0,1.0,1.0,,,,,,65.0,26.0,6.8,7.0,0.263113,"{'original': 6.8, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,4.0,1.0,,,,1.0,0.3272,,2.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,,,,Richarlison,,,,,,1.0,1.0,,,3.0,,,,,
Giovani Lo Celso,lo-celso-giovani,G. Lo Celso,M,20,177.0,16348,M,798835,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,829008000,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيوفاني لو سيلسو', 'hi': 'लो सेल्सो, जियोवानी', 'bn': 'লো সেলসো, জিওভানি'}, 'shortNameTranslation': {'ar': 'ج. لو سيلسو', 'hi': 'जी. सेल्सो,', 'bn': 'জি. লো সেলসো'}}",31.0,26.0,1.0,,7.0,7.0,20.0,25.0,,4.0,,,,,,25.0,37.0,6.8,6.0,0.198954,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,,,,1.0,1.0,,,,,3.0,,,,1.0,,,1.0,,,locelso_giovani,1.0,1.0,,1.0,,1.0,2.0,,1.0,,,,,,1.0
Bryan Gil,bryan-gil,B. Gil,M,21,176.0,3690,M,910026,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,981849600,"{'value': 12400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برايان جيل', 'hi': 'ब्रायन गिल', 'bn': 'ব্রায়ান গিল'}, 'shortNameTranslation': {'ar': 'ب. جيل', 'hi': 'बी. गिल', 'bn': 'বি. গিল'}}",21.0,18.0,,,3.0,4.0,16.0,21.0,,3.0,,,,,,25.0,32.0,7.0,9.0,0.105335,"{'original': 7, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,3.0,,,,,1.0,0.0402,,,,2.0,,1.0,,1.0,,,,,,bryan11gil,4.0,1.0,2.0,1.0,,1.0,1.0,,1.0,,,,,,
Alejo Véliz,alejo-veliz,A. Véliz,F,9,187.0,3176,M,1116987,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1063929600,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليخو فيليز', 'hi': 'एलेजो वेलिज़', 'bn': 'আলেজো ভেলিজ'}, 'shortNameTranslation': {'ar': 'أ. فيليز', 'hi': 'ए. वेलिज़', 'bn': 'এ. ভেলিজ'}}",3.0,1.0,,,1.0,2.0,,1.0,,,,,,,,20.0,7.0,7.3,2.0,3.165e-05,"{'original': 7.3, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,Alejo Veliz,,,1.0,1.0,,,0.2425,0.8164,,1.0,2.0,,,,,1.0,,,,,aleeveliz,,,,1.0,,,,,1.0,,,,,,
Fraser Forster,fraser-forster,F. Forster,G,,201.0,1211,M,19314,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,574560000,"{'value': 660000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فريزر فورستر', 'hi': 'फ्रेजर फोर्स्टर', 'bn': 'ফ্রেজার ফরস্টার'}, 'shortNameTranslation': {'ar': 'ف. فورستر', 'hi': 'एफ. फोर्स्टर', 'bn': 'এফ. ফরস্টার'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Dier,eric-dier,E. Dier,D,3,191.0,4429,M,146101,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,758592000,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إريك داير', 'hi': 'एरिक डिएर', 'bn': 'এরিক ডিয়ার'}, 'shortNameTranslation': {'ar': 'إ. داير', 'hi': 'ई. डिएर', 'bn': 'ই. ডিয়ার'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,ericdier,,,,,,,,,,,,,,,
Alfie Dorrington,dorrington-alfie,A. Dorrington,D,26,192.0,513,M,1177610,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1113955200,"{'value': 720000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دورنجتون، ألفي', 'hi': 'डोरिंगटन, अल्फी', 'bn': 'ডরিংটন, আলফি'}, 'shortNameTranslation': {'ar': 'أ. دورنجتون', 'hi': 'ए. डोरिंगटन', 'bn': 'এ. ডরিংটন'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley Phillips,ashley-phillips,A. Phillips,D,26,192.0,1090,M,1134744,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1119744000,"{'value': 3200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أشلي فيليبس', 'hi': 'एश्ले फिलिप्स', 'bn': 'অ্যাশলে ফিলিপস'}, 'shortNameTranslation': {'ar': 'أ. فيليبس', 'hi': 'ए. फिलिप्स', 'bn': 'এ. ফিলিপস'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yago Santiago,yago-santiago,Y. Santiago,M,7,177.0,368,M,1092515,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,1047686400,"{'value': 855000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ياجو سانتياجو', 'hi': 'यागो सैंटियागो', 'bn': 'ইয়াগো সান্তিয়াগো'}, 'shortNameTranslation': {'ar': 'ي. سانتياجو', 'hi': 'वाई. सैंटियागो', 'bn': 'ওয়াই. সান্তিয়াগো'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Donley,jamie-donley,J. Donley,M,14,183.0,1466,M,1150934,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,1104710400,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمي دونلي', 'hi': 'जेमी डोनली', 'bn': 'জেমি ডনলি'}, 'shortNameTranslation': {'ar': 'ج. دونلي', 'hi': 'जे. डोनली', 'bn': 'জে. ডনলি'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,Jamie Donley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
