name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,duelWon,challengeLost,totalContest,wonContest,ballRecovery,lastManTackle,totalTackle,wonTackle,errorLeadToAShot,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,aerialLost,aerialWon,totalClearance,interceptionWon,unsuccessfulTouch,keyPass,dispossessed,shotOffTarget,blockedScoringAttempt,wasFouled,fouls,expectedGoals,totalCross,outfielderBlock,errorLeadToAGoal,accurateCross,onTargetScoringAttempt,totalOffside,expectedGoalsOnTarget,clearanceOffLine,hitWoodwork,goals,sofascoreId,goalAssist,bigChanceCreated,bigChanceMissed
Cauley Woodrow,cauley-woodrow,C. Woodrow,F,12,184,116,M,140487,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,786326400,"{'value': 485000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاولي وودرو', 'hi': 'काउली वुडरो', 'bn': 'কাউলি উড্রো'}, 'shortNameTranslation': {'ar': 'ك. وودرو', 'hi': 'सी. वुडरो', 'bn': 'সি. উড্রো'}}",22.0,18.0,,,9.0,10.0,9.0,12.0,4.0,5.0,2.0,,,3.0,,1.0,1.0,,,,,,68.0,29.0,6.8,7.0,0.0603472,"{'original': 6.8, 'alternative': 6.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,3.0,,,3.0,,,,1.0,1.0,1.0,0.1986,,,,,1.0,1.0,0.0339,,,,,,,
Jordan Clark,jordan-clark,J. Clark,M,18,183,124,M,150477,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,748656000,"{'value': 590000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان كلارك', 'hi': 'जॉर्डन क्लार्क', 'bn': 'জর্ডান ক্লার্ক'}, 'shortNameTranslation': {'ar': 'ج. كلارك', 'hi': 'जे. क्लार्क', 'bn': 'জে. ক্লার্ক'}}",7.0,4.0,,,1.0,1.0,3.0,6.0,2.0,2.0,,2.0,,,,1.0,,,,,,,22.0,13.0,6.5,6.0,0.0060443,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Andros Townsend,andros-townsend,A. Townsend,F,30,181,609,M,47992,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,679622400,"{'value': 600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندروس تاونسيند', 'hi': 'एंड्रोस टाउनसेंड', 'bn': 'অ্যান্ড্রোস টাউনসেন্ড'}, 'shortNameTranslation': {'ar': 'أ. تاونسيند', 'hi': 'ए. टाउनसेंड', 'bn': 'এ. টাউনসেন্ড'}}",17.0,16.0,,,2.0,2.0,14.0,16.0,2.0,3.0,,1.0,1.0,1.0,,,,,,,,,22.0,24.0,6.9,3.0,0.0167539,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,,,,1.0,2.0,,,1.0,2.0,1.0,0.0391,1.0,,,,,,,,,,,,,
Luke Berry,luke-berry,L. Berry,M,8,177,67,M,97465,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,710899200,"{'value': 240000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوك بيري', 'hi': 'ल्यूक बेरी', 'bn': 'লুক বেরি'}, 'shortNameTranslation': {'ar': 'ل. بيري', 'hi': 'एल. बेरी', 'bn': 'এল. বেরি'}}",1.0,,,,,,1.0,6.0,,,,,,,,,,,,,,,8.0,6.0,6.7,5.0,0.0520248,"{'original': 6.7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,1.0,,,,,,,5.0,,,1.0,,,,,,,,,,
Tim Krul,tim-krul,T. Krul,G,,193,426,M,18154,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,576028800,,"{'nameTranslation': {'ar': 'تيم كرول', 'hi': 'टिम क्रुल', 'bn': 'টিম ক্রুল'}, 'shortNameTranslation': {'ar': 'ت. كرول', 'hi': 'टी. क्रुल', 'bn': 'টি. ক্রুল'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issa Kaboré,issa-kabore,I. Kaboré,D,12,180,17342,M,1006189,"{'alpha2': 'BF', 'alpha3': 'BFA', 'name': 'Burkina Faso', 'slug': 'burkina-faso'}",EUR,989625600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عيسى كابوري', 'hi': 'इस्सा काबोरे', 'bn': 'ইসা কাবোরে'}, 'shortNameTranslation': {'ar': 'ع. كابوري', 'hi': 'आई. काबोरे', 'bn': 'আই. কাবোরে'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,issa_kabore_29,,,
Reece Burke,reece-burke,R. Burke,D,32,189,101,M,372342,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,841622400,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريس بيرك', 'hi': 'रीस बर्क', 'bn': 'রিস বার্ক'}, 'shortNameTranslation': {'ar': 'ر. بيرك', 'hi': 'आर. बर्क', 'bn': 'আর. বার্ক'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Potts,daniel-potts,D. Potts,D,,173,23,M,193548,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,766195200,"{'value': 230000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانيال بوتس', 'hi': 'डैनियल पॉट्स', 'bn': 'ড্যানিয়েল পোটস'}, 'shortNameTranslation': {'ar': 'د. بوتس', 'hi': 'डी. पॉट्स', 'bn': 'ডি. পটস'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zack Nelson,zack-nelson,Z. Nelson,M,37,183,81,M,1394950,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1095984000,"{'value': 790000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زاك نيلسون', 'hi': 'जैक नेल्सन', 'bn': 'জ্যাক নেলসন'}, 'shortNameTranslation': {'ar': 'ز. نيلسون', 'hi': 'जे. नेल्सन', 'bn': 'জেড. নেলসন'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,Zack Nelson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelly Ruddock Mpanzu,pelly-ruddock-mpanzu,P. R. Mpanzu,M,17,175,296,M,387116,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,742867200,"{'value': 390000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيلي رودوك مبانزو', 'hi': 'पेली रुडॉक मपांज़ू', 'bn': 'পেলি রাডক এমপানজু'}, 'shortNameTranslation': {'ar': 'ب. رودوك مبانزو', 'hi': 'पीआर रुडॉक', 'bn': 'পি. আর. এমপানজু'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André Onana,andre-onana,A. Onana,G,24,190,55570,M,787498,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,828403200,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه أونانا', 'hi': 'आंद्रे ओनाना', 'bn': 'আন্দ্রে ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",44.0,23.0,32.0,11.0,16.0,18.0,7.0,26.0,,,,,,10.0,,,,,1.0,3.0,,,90.0,49.0,6.6,21.0,0.00587327,"{'original': 6.6, 'alternative': 6.6}",0,-0.1623,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,AndréOnana24,,,
Diogo Dalot,diogo-dalot,D. Dalot,M,2,184,22683,M,843200,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,921715200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديوغو دالوت', 'hi': 'डिओगो डालोत', 'bn': 'ডিওগো ডালট'}, 'shortNameTranslation': {'ar': 'د. دالوت', 'hi': 'डी. डालोत', 'bn': 'ডি. ডালট'}}",31.0,25.0,4.0,2.0,15.0,17.0,10.0,15.0,3.0,6.0,1.0,3.0,2.0,3.0,,3.0,2.0,,,,,,90.0,60.0,7.6,9.0,0.0519215,"{'original': 7.6, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,2.0,4.0,1.0,1.0,,,1.0,1.0,1.0,0.0394,1.0,1.0,,,,,,,,,DDalot,,,
Raphaël Varane,raphael-varane,R. Varane,D,,191,10416,M,138310,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,735696000,,"{'nameTranslation': {'ar': 'رافاييل فاران', 'hi': 'रफएल वरने', 'bn': 'রাফায়েল ভারানে'}, 'shortNameTranslation': {'ar': 'ر. فاران', 'hi': 'आर. वरने', 'bn': 'আর. ভারানে'}}",24.0,19.0,6.0,2.0,16.0,18.0,3.0,6.0,2.0,2.0,,,,1.0,,1.0,1.0,,,,,,90.0,36.0,7.1,5.0,0.00044691,"{'original': 7.1, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,1.0,5.0,2.0,,,,,,,1.0,,,2.0,,,,1.0,,,,,raphael_varane,,,
Harry Maguire,harry-maguire,H. Maguire,D,5,194,27440,M,149380,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,731289600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري ماغواير', 'hi': 'हैरी मैगुइर', 'bn': 'হ্যারি ম্যাগুইরে'}, 'shortNameTranslation': {'ar': 'ه. ماغواير', 'hi': 'एच. मैगुइर', 'bn': 'এইচ. ম্যাগুইরে'}}",16.0,14.0,2.0,1.0,8.0,9.0,6.0,7.0,5.0,1.0,1.0,,,1.0,,,,1.0,,,,,45.0,21.0,6.2,2.0,0.00531871,"{'original': 6.2, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,1.0,1.0,,1.0,,,,1.0,4.0,,,1.0,,,,,,,,,harrymaguire93,,,
Luke Shaw,luke-shaw,L. Shaw,D,23,178,17125,M,190839,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,805507200,"{'value': 9400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوك شو', 'hi': 'ल्यूक शॉ', 'bn': 'লুক শ'}, 'shortNameTranslation': {'ar': 'ل. شاو', 'hi': 'एल. शॉ', 'bn': 'এল. শ'}}",15.0,14.0,4.0,4.0,7.0,7.0,7.0,11.0,2.0,,,,,3.0,,,,,,,,,45.0,24.0,6.6,6.0,0.00427214,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,,,1.0,,,,,,1.0,,3.0,1.0,,,,,,,,,lukeshaw23,,,
Kobbie Mainoo,kobbie-mainoo,K. Mainoo,M,37,180,54282,M,1142175,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1113868800,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كوبي ماينو', 'hi': 'कोबी मैनू', 'bn': 'কোবি মাইনু'}, 'shortNameTranslation': {'ar': 'ك. ماينو', 'hi': 'के. मैनू', 'bn': 'কে. মাইনু'}}",40.0,35.0,1.0,1.0,20.0,21.0,15.0,19.0,10.0,6.0,4.0,7.0,6.0,9.0,,,,,,,,,90.0,52.0,6.8,7.0,0.0173039,"{'original': 6.8, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,Kobbie,Mainoo,1.0,,,1.0,,2.0,1.0,,,,3.0,,,,,,,,,,,,KobbieM,,,
Casemiro,casemiro,Casemiro,M,18,185,88452,M,122951,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,698803200,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}, 'shortNameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}}",27.0,22.0,2.0,1.0,14.0,16.0,8.0,11.0,7.0,2.0,2.0,1.0,,2.0,,1.0,,,,,,,45.0,44.0,6.4,7.0,0.00933295,"{'original': 6.4, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,1.0,3.0,1.0,1.0,,,1.0,,,3.0,0.0148,,1.0,,,,,,,,,Casemiro,,,
Alejandro Garnacho,alejandro-garnacho,A. Garnacho,F,49,180,145162,M,1135873,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1088640000,"{'value': 42000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليخاندرو غارناتشو', 'hi': 'एलेजांद्रो गार्नाचो', 'bn': 'আলেজান্দ্রো গার্নাচো'}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'hi': 'ए. गार्नाचो', 'bn': 'এ. গার্নাচো'}}",33.0,25.0,1.0,,10.0,11.0,15.0,23.0,11.0,1.0,4.0,3.0,,4.0,,,,,,,,,90.0,54.0,7.4,13.0,0.251314,"{'original': 7.4, 'alternative': 6.7}",8,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,,,,5.0,1.0,2.0,4.0,1.0,2.0,0.869,1.0,,,,2.0,,0.0676,,,,AleGarnacho,1.0,2.0,1.0
Bruno Fernandes,bruno-fernandes,B. Fernandes,M,8,179,216692,M,288205,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,778982400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو فيرنانديز', 'hi': 'ब्रूनो फर्नांडीस', 'bn': 'ব্রুনো ফার্নান্দেস'}, 'shortNameTranslation': {'ar': 'ب. فرنانديز', 'hi': 'बी. फर्नांडीस', 'bn': 'বি. ফার্নান্দেস'}}",47.0,37.0,4.0,2.0,17.0,18.0,21.0,36.0,4.0,3.0,2.0,1.0,1.0,7.0,,2.0,,,,,,,90.0,73.0,7.4,17.0,0.0515003,"{'original': 7.4, 'alternative': 7.2}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,1.0,,2.0,1.0,,2.0,,1.0,2.0,,1.0,0.6311,7.0,1.0,,1.0,2.0,,0.1904,,,,BrunoFernandes,,,1.0
Marcus Rashford,marcus-rashford,M. Rashford,M,14,185,351448,M,814590,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,878256000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس راشفورد', 'hi': 'मार्कस रैशफोर्ड', 'bn': 'মার্কাস রাশফোর্ড'}, 'shortNameTranslation': {'ar': 'م. راشفورد', 'hi': 'एम. रैशफोर्ड', 'bn': 'এম. রাশফোর্ড'}}",30.0,23.0,5.0,3.0,6.0,6.0,17.0,24.0,6.0,4.0,1.0,2.0,1.0,8.0,,1.0,,,,,,,90.0,41.0,7.4,9.0,0.244413,"{'original': 7.4, 'alternative': 7.2}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,,,,,2.0,1.0,1.0,,2.0,1.0,0.2829,,,,,2.0,,0.1099,,,,Rashford,,,
