name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,unsuccessfulTouch,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalClearance,interceptionWon,totalTackle,wonTackle,keyPass,outfielderBlock,penaltyConceded,fouls,sofascoreId,accurateCross,totalContest,wonContest,bigChanceCreated,wasFouled,onTargetScoringAttempt,expectedGoals,expectedGoalsOnTarget,lastManTackle,totalOffside,shotOffTarget,penaltyWon,bigChanceMissed,blockedScoringAttempt,goals,firstName,lastName
Daniel Bentley,daniel-bentley,D. Bentley,G,25,188,263,M,101367,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,742521600,"{'value': 910000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانيال بنتلي', 'hi': 'डैनियल बेंटले', 'bn': 'ড্যানিয়েল বেন্টলি'}, 'shortNameTranslation': {'ar': 'د. بنتلي', 'hi': 'डी. बेंटले', 'bn': 'ডি. বেন্টলি'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craig Dawson,craig-dawson,C. Dawson,D,,188,423,M,50027,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,641952000,"{'value': 980000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريغ داوسون', 'hi': 'क्रेग डावसन', 'bn': 'ক্রেগ ডসন'}, 'shortNameTranslation': {'ar': 'ك. داوسون', 'hi': 'सी. डावसन', 'bn': 'সি. ডসন'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noha Lemina,noha-lemina,N. Lemina,M,37,168,836,M,1145633,"{'alpha2': 'GA', 'alpha3': 'GAB', 'name': 'Gabon', 'slug': 'gabon'}",EUR,1118966400,"{'value': 215000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نوها ليمينا'}, 'shortNameTranslation': {'ar': 'ن. ليمينا'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Fraser,nathan-fraser,N. Fraser,F,29,188,828,M,1166679,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1120176000,"{'value': 625000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان فريزر', 'hi': 'नाथन फ्रेजर', 'bn': 'নাথান ফ্রেজার'}, 'shortNameTranslation': {'ar': 'ن. فريزر', 'hi': 'एन. फ्रेजर', 'bn': 'এন. ফ্রেজার'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łukasz Fabiański,lukasz-fabianski,Ł. Fabiański,G,22,190,3815,M,15479,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,482630400,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس فابيانسكي', 'hi': 'लुकाज़ फ़ेबियान्स्की', 'bn': 'লুকাস ফ্যাবিয়ানস্কি'}, 'shortNameTranslation': {'ar': 'ل. فابيانسكي', 'hi': 'एल. फ़ेबियान्स्की', 'bn': 'এল.ফ্যাবিয়ানস্কি'}}",20.0,11.0,13.0,4.0,8.0,8.0,3.0,12.0,10.0,,2.0,1.0,6.0,90.0,35.0,7.7,9.0,0.00052883,"{'original': 7.7, 'alternative': 7.5}",0,1.7098,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,1.0,,,,,,,,lukasz.fabianski,,,,,,,,,,,,,,,,,
Vladimír Coufal,vladimir-coufal,V. Coufal,D,34,179,1643,M,138024,"{'alpha2': 'CZ', 'alpha3': 'CZE', 'name': 'Czechia', 'slug': 'czechia'}",EUR,714441600,"{'value': 2900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فلاديمير كوفال', 'hi': 'व्लादिमीर कुफाल', 'bn': 'ভ্লাদিমির কউফল'}, 'shortNameTranslation': {'ar': 'ف. كوفال', 'hi': 'वी. कुफाल', 'bn': 'ভি. কউফল'}}",19.0,14.0,,,8.0,12.0,6.0,7.0,3.0,,,,,45.0,35.0,6.4,10.0,0.00184799,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,2.0,2.0,,1.0,,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,
Konstantinos Mavropanos,konstantinos-mavropanos,K. Mavropanos,D,15,194,2675,M,829022,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece', 'slug': 'greece'}",EUR,881798400,"{'value': 16300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونستانتينوس مافروبانوس', 'hi': 'कोंस्टैंटिनोस मावरोपानोस', 'bn': 'কনস্টানটাইনস মাভ্রোপানোস'}, 'shortNameTranslation': {'ar': 'ك. مافروبانوس', 'hi': 'के. मावरोपानोस', 'bn': 'কে. মাভ্রোপানোস'}}",49.0,42.0,4.0,1.0,28.0,31.0,14.0,18.0,3.0,,,,,90.0,56.0,6.6,7.0,0.00310259,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,4.0,2.0,4.0,1.0,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Kurt Zouma,kurt-zouma,K. Zouma,D,4,190,2242,M,139227,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,783216000,"{'value': 8500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كورت زوما', 'hi': 'कर्ट ज़ौमा', 'bn': 'কার্ট জৌমা'}, 'shortNameTranslation': {'ar': 'ك. زوما', 'hi': 'के. ज़ौमा', 'bn': 'কে. জৌমা'}}",50.0,48.0,2.0,1.0,34.0,34.0,14.0,16.0,6.0,,,,,90.0,60.0,7.2,2.0,0.00360736,"{'original': 7.2, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,1.0,1.0,5.0,,,2.0,1.0,2.0,2.0,,1.0,,1.0,,,2.0,2.0,,,,,,,,,,,,,,
Emerson Palmieri,emerson-palmieri,Emerson,D,3,176,2307,M,155997,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,775872000,"{'value': 9100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيمرسون بالميري', 'hi': 'एमर्सन पामिएरी', 'bn': 'এমারসন পালমিরি'}, 'shortNameTranslation': {'ar': 'إيمرسون', 'hi': 'एमर्सन पामिएरी', 'bn': 'এমারসন'}}",45.0,39.0,2.0,1.0,12.0,12.0,27.0,34.0,3.0,1.0,,,,90.0,62.0,6.7,11.0,0.0123909,"{'original': 6.7, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,,7.0,5.0,,,1.0,2.0,3.0,2.0,1.0,,1.0,4.0,,,3.0,,,2.0,,,,,,,,,,,,
Edson Álvarez,edson-alvarez,E. Álvarez,M,11,190,10874,M,847151,"{'alpha2': 'MX', 'alpha3': 'MEX', 'name': 'Mexico', 'slug': 'mexico'}",EUR,877651200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيدسون ألفاريز', 'hi': 'एडसन अल्वारेज़', 'bn': 'এডসন আলভারেজ'}, 'shortNameTranslation': {'ar': 'إ. ألفاريز', 'hi': 'ई. अल्वारेज़', 'bn': 'ই. আলভারেজ'}}",43.0,37.0,2.0,2.0,16.0,18.0,21.0,25.0,6.0,4.0,,,,90.0,69.0,7.1,14.0,0.0244457,"{'original': 7.1, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,,8.0,7.0,3.0,4.0,,5.0,3.0,2.0,,,,,EdsonAlvarez19,,,,,4.0,,,,,,,,,,,,
Tomáš Souček,tomas-soucek,T. Souček,M,28,192,3227,M,799041,"{'alpha2': 'CZ', 'alpha3': 'CZE', 'name': 'Czechia', 'slug': 'czechia'}",EUR,793843200,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماش سوتشيك', 'hi': 'टॉमस सौसेक', 'bn': 'তোমাস সোউচেক'}, 'shortNameTranslation': {'ar': 'ت. سوتشيك', 'hi': 'टी. सौसेक', 'bn': 'টি. সোউচেক'}}",13.0,9.0,1.0,,3.0,4.0,6.0,9.0,1.0,1.0,,,,45.0,18.0,6.2,6.0,0.00217463,"{'original': 6.2, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,2.0,,,,,2.0,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,
Mohammed Kudus,mohammed-kudus,M. Kudus,M,20,176,89694,M,905163,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,965174400,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمد قدوس', 'hi': 'मोहम्मद कुडूस', 'bn': 'মোহাম্মদ কুদুস'}, 'shortNameTranslation': {'ar': 'م. قدوس', 'hi': 'एम. कुडूस', 'bn': 'এম. কুদুস'}}",21.0,19.0,1.0,1.0,6.0,6.0,13.0,20.0,5.0,3.0,,,,90.0,57.0,6.5,22.0,0.0228208,"{'original': 6.5, 'alternative': 6.1}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,1.0,,11.0,9.0,,7.0,,,2.0,1.0,,,,1.0,Kudus,,4.0,2.0,,5.0,,0.0955,,,,2.0,,,1.0,,,
James Ward-Prowse,james-ward-prowse,J. Ward-Prowse,M,8,177,4283,M,161717,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,783648000,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس وارد-براوس', 'hi': 'जेम्स वार्ड-प्रोव्स', 'bn': 'জেমস ওয়ার্ড-প্রোস'}, 'shortNameTranslation': {'ar': 'ج. وارد-براوس', 'hi': 'जे. वार्ड-प्रोव्स', 'bn': 'জে. ওয়ার্ড-প্রোস'}}",44.0,42.0,,,12.0,12.0,30.0,34.0,4.0,,,,,90.0,58.0,8.0,4.0,0.0199197,"{'original': 8, 'alternative': 7.8}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,1.0,3.0,3.0,8.0,2.0,,,1.0,4.0,3.0,,1.0,,,prowsey16,,,,,1.0,1.0,0.2102,0.715,,,2.0,,,2.0,1.0,,
Lucas Paquetá,lucas-paqueta,L. Paquetá,M,10,180,54701,M,839981,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,872640000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس باكيتا', 'hi': 'लुकास पेकटा', 'bn': 'লুকাস পাকেতা'}, 'shortNameTranslation': {'ar': 'ل. باكيتا', 'hi': 'एल. पेकटा', 'bn': 'এল. পাকেতা'}}",45.0,38.0,2.0,1.0,6.0,6.0,33.0,40.0,4.0,5.0,,,,90.0,64.0,6.9,19.0,0.0962248,"{'original': 6.9, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,2.0,10.0,4.0,2.0,6.0,2.0,1.0,1.0,1.0,2.0,,,1.0,Paqueta,1.0,2.0,1.0,,,1.0,0.7884,0.9926,,,,,,,1.0,,
