name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,unsuccessfulTouch,keyPass,sofascoreId,aerialLost,outfielderBlock,interceptionWon,totalTackle,wasFouled,firstName,lastName,dispossessed,onTargetScoringAttempt,wonTackle,expectedGoals,expectedGoalsOnTarget,shotOffTarget,blockedScoringAttempt,fouls,bigChanceCreated,bigChanceMissed,goodHighClaim,errorLeadToAShot,totalOffside,goals
Adama Traoré,adama-traore,A. Traoré,F,11,178,10385,M,286165,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,822528000,"{'value': 7700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أداما تراوري', 'hi': 'एडाम ट्राओरे', 'bn': 'আদামা ট্রাওরে'}, 'shortNameTranslation': {'ar': 'أ. تراوري', 'hi': 'ए. ट्राओरे', 'bn': 'এ. ট্রাওরে'}}",11.0,11.0,,,1.0,1.0,10.0,13.0,,,,,,,,25.0,18.0,6.8,5.0,0.0352383,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,3.0,,2.0,1.0,4.0,,3.0,2.0,1.0,,adamatrd,,,,,,,,,,,,,,,,,,,,,
Armando Broja,armando-broja,A. Broja,F,27,191,8884,M,996985,"{'alpha2': 'AL', 'alpha3': 'ALB', 'name': 'Albania', 'slug': 'albania'}",EUR,1000080000,"{'value': 9100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أرماندو برويا', 'hi': 'अरमांडो ब्रोजा', 'bn': 'আরমান্দো ব্রজা'}, 'shortNameTranslation': {'ar': 'أ. برويا', 'hi': 'ए. ब्रोजा', 'bn': 'এ. ব্রজা'}}",2.0,2.0,,,,,2.0,2.0,,,,,,,,16.0,4.0,6.5,1.0,0.0048062,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,1.0,1.0,,1.0,,,,armando.broja,,,,,,,,,,,,,,,,,,,,,
Raúl Jiménez,raul-jimenez,R. Jiménez,F,7,189,16724,M,192442,"{'alpha2': 'MX', 'alpha3': 'MEX', 'name': 'Mexico', 'slug': 'mexico'}",EUR,673401600,"{'value': 4200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'راؤول خيمينيز', 'hi': 'राउल जिमेनेज़', 'bn': 'রাউল জিমেনেজ'}, 'shortNameTranslation': {'ar': 'ر. خيمينيز', 'hi': 'आर. जिमेनेज़', 'bn': 'আর. জিমেনেজ'}}",5.0,2.0,1.0,,,,2.0,5.0,,1.0,,,,,,15.0,12.0,6.6,5.0,0.00142599,"{'original': 6.6, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,4.0,2.0,,,,1.0,,RJimenez9,2.0,,,2.0,,,,1.0,,1.0,0.0369,,,1.0,1.0,,,,,,
Marek Rodák,marek-rodak,M. Rodák,G,1,188,425,M,358694,"{'alpha2': 'SK', 'alpha3': 'SVK', 'name': 'Slovakia', 'slug': 'slovakia'}",EUR,850435200,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماريك روداك', 'hi': 'मारेक रोडाक', 'bn': 'মারেক রডাক'}, 'shortNameTranslation': {'ar': 'م. روداك', 'hi': 'एम. रोडाक', 'bn': 'এম. রডাক'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Ream,tim-ream,T. Ream,D,3,185,550,M,118179,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,560390400,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيم ريم', 'hi': 'टिम रीम', 'bn': 'টিম রেম'}, 'shortNameTranslation': {'ar': 'ت. ريم', 'hi': 'टी. रीम', 'bn': 'টি. রেম'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Decordova-Reid,bobby-decordova-reid,B. Reid,M,14,170,1202,M,151499,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,728611200,"{'value': 1400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبي ديكوردوفا-ريد', 'hi': 'बॉबी डेकोर्डोवा-रीड', 'bn': 'ববি ডেকোরডোভা-রিড'}, 'shortNameTranslation': {'ar': 'ب. ريد', 'hi': 'बी. डेकोर्डोवा-रीड', 'bn': 'বি. রিড'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison Reed,harrison-reed,H. Reed,M,6,176,269,M,365802,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,791164800,"{'value': 3200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاريسون ريد', 'hi': 'हैरिसन रीड', 'bn': 'হ্যারিসন রিড'}, 'shortNameTranslation': {'ar': 'ه. ريد', 'hi': 'एच. रीड', 'bn': 'এইচ. রিড'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Dúbravka,martin-dubravka,M. Dúbravka,G,1,190,3025,M,42209,"{'alpha2': 'SK', 'alpha3': 'SVK', 'name': 'Slovakia', 'slug': 'slovakia'}",EUR,600825600,"{'value': 725000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارتن دوبرافكا', 'hi': 'मार्टिन डुब्राव्का', 'bn': 'মার্টিন ডুব্রাভকা'}, 'shortNameTranslation': {'ar': 'م. دوبرافكا', 'hi': 'एम. डुब्राव्का', 'bn': 'এম. ডুব্রাভকা'}}",20.0,12.0,10.0,2.0,12.0,12.0,,8.0,3.0,14.0,4.0,4.0,2.0,,,90.0,43.0,8.6,8.0,4.399e-05,"{'original': 8.6, 'alternative': 8.2}",0,1.0584,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,5.0,,,
Emil Krafth,emil-krafth,E. Krafth,D,17,184,946,M,150396,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,775785600,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إميل كرافث', 'hi': 'एमिल क्राफ्ट', 'bn': 'এমিল ক্রাফট'}, 'shortNameTranslation': {'ar': 'إ. كرافث', 'hi': 'ई. क्राफ्ट', 'bn': 'ই. ক্রাফট'}}",21.0,17.0,1.0,,12.0,14.0,6.0,8.0,1.0,5.0,,,,,,90.0,45.0,7.1,7.0,0.0941947,"{'original': 7.1, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,,6.0,2.0,2.0,,,1.0,1.0,,1.0,,2.0,2.0,,,,1.0,,2.0,0.0882,,,1.0,2.0,1.0,,,,,
Fabian Schär,fabian-schar,F. Schär,D,5,186,3205,M,101882,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,693187200,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فابيان شار', 'hi': 'फेबियन शार', 'bn': 'ফ্যাবিয়ান শার'}, 'shortNameTranslation': {'ar': 'ف. شار', 'hi': 'एफ. शार', 'bn': 'এফ. শার'}}",29.0,21.0,9.0,4.0,13.0,15.0,8.0,14.0,13.0,6.0,,,,,,90.0,55.0,7.4,11.0,0.0396352,"{'original': 7.4, 'alternative': 7.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,5.0,2.0,11.0,1.0,,,2.0,1.0,,,,2.0,3.0,3.0,,,,,,,,,,1.0,,,,1.0,,
Dan Burn,dan-burn,D. Burn,D,33,201,4399,M,99090,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,705369600,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دان بيرن', 'hi': 'डैन बर्न', 'bn': 'ড্যান বার্ন'}, 'shortNameTranslation': {'ar': 'د. بيرن', 'hi': 'डी. बर्न', 'bn': 'ডি বার্ন'}}",30.0,24.0,3.0,1.0,22.0,26.0,2.0,4.0,6.0,1.0,,,,,,90.0,40.0,7.1,6.0,0.00039425,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,3.0,4.0,4.0,1.0,,,,,,2.0,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,1.0,
Lewis Hall,lewis-hall,L. Hall,D,3,179,4014,M,1136730,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1094601600,"{'value': 30000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس هال', 'hi': 'लुईस हॉल', 'bn': 'লুইস হল'}, 'shortNameTranslation': {'ar': 'ل. هال', 'hi': 'एल. हॉल', 'bn': 'এল. হল'}}",33.0,24.0,5.0,1.0,12.0,16.0,12.0,19.0,3.0,4.0,,,,,,89.0,57.0,7.0,13.0,0.0070715,"{'original': 7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,,,4.0,4.0,4.0,1.0,1.0,1.0,,lewishall_10,,,2.0,3.0,,Lewis Hall,,,,2.0,,,,,,,,,,,
Sean Longstaff,sean-longstaff,S. Longstaff,M,8,187,1640,M,866191,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,878169600,"{'value': 17200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شون لونغستاف', 'hi': 'सीन लॉन्गस्टाफ़', 'bn': 'শন লংস্টাফ'}, 'shortNameTranslation': {'ar': 'ش. لونغستاف', 'hi': 'एस. लॉन्गस्टाफ़', 'bn': 'এস. লংস্টাফ'}}",28.0,19.0,1.0,,9.0,13.0,10.0,15.0,1.0,1.0,,,,,,90.0,38.0,6.3,11.0,0.312098,"{'original': 6.3, 'alternative': 6.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,7.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,1.0,0.1785,,1.0,1.0,4.0,,1.0,,,,
Bruno Guimarães,bruno-guimaraes,B. Guimarães,M,39,182,31656,M,866469,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,879638400,"{'value': 77000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو غيماريش', 'hi': 'ब्रूनो गीमरेस', 'bn': 'ব্রুনো গুইমারেস'}, 'shortNameTranslation': {'ar': 'ب. غيمارايش', 'hi': 'बी. गीमरेस', 'bn': 'বি. গুইমারেস'}}",48.0,38.0,8.0,4.0,17.0,20.0,21.0,28.0,2.0,5.0,,,,,,90.0,64.0,7.6,14.0,0.100478,"{'original': 7.6, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,8.0,6.0,2.0,5.0,2.0,,4.0,BrunoGuimarães,1.0,1.0,,1.0,2.0,,,1.0,1.0,,0.1738,0.247,,,1.0,,,,,,1.0
Joe Willock,joe-willock,J. Willock,M,28,186,2544,M,888550,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,935107200,"{'value': 16600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو ويلوك', 'hi': 'जो विलॉक', 'bn': 'জো উইলক'}, 'shortNameTranslation': {'ar': 'ج. ويلوك', 'hi': 'जे. विलॉक', 'bn': 'জে. উইলক'}}",9.0,9.0,,,3.0,3.0,6.0,7.0,,2.0,,,,,,40.0,19.0,6.4,3.0,0.00323809,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,,5.0,2.0,1.0,1.0,,,1.0,,,,,1.0,1.0,,,1.0,,,,,,,2.0,,,,,,
Jacob Murphy,jacob-murphy,J. Murphy,F,23,176,3550,M,372336,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,793584000,"{'value': 13800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب مورفي', 'hi': 'जैकब मर्फी', 'bn': 'জ্যাকব মারফি'}, 'shortNameTranslation': {'ar': 'ج. مورفي', 'hi': 'जे. मर्फी', 'bn': 'জে. মারফি'}}",11.0,9.0,,,5.0,6.0,4.0,7.0,1.0,3.0,,,,,,65.0,23.0,6.6,7.0,0.003454,"{'original': 6.6, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,,,2.0,1.0,1.0,1.0,,2.0,,,,,,1.0,,,,,,,0.0239,,1.0,,,,,,,,
Alexander Isak,alexander-isak,A. Isak,F,9,193,101689,M,823941,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,937872000,"{'value': 124000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألكسندر إيزاك', 'hi': 'अलेक्जेंडर इसाक', 'bn': 'আলেকজান্ডার ইসাক'}, 'shortNameTranslation': {'ar': 'أ. إيزاك', 'hi': 'ए. इसाक', 'bn': 'এ. ইসাক'}}",13.0,12.0,,,4.0,5.0,8.0,9.0,1.0,2.0,,,,,,90.0,31.0,6.8,7.0,0.0130629,"{'original': 6.8, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,,3.0,2.0,,2.0,1.0,3.0,1.0,AlexIsak,1.0,,2.0,1.0,,,,1.0,2.0,,0.2488,0.3929,,,,,1.0,,,1.0,
