name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,sofascoreId,totalCross,aerialLost,duelLost,challengeLost,dispossessed,blockedScoringAttempt,totalClearance,totalTackle,unsuccessfulTouch,fouls,expectedGoals,outfielderBlock,aerialWon,totalContest,wonContest,interceptionWon,totalOffside,keyPass,accurateCross,onTargetScoringAttempt,wonTackle,expectedGoalsOnTarget,shotOffTarget,firstName,lastName,goodHighClaim,bigChanceCreated,hitWoodwork,goals,bigChanceMissed
Dominic Solanke,dominic-solanke,D. Solanke,F,19,186.0,10997,M,361420,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,874195200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دومينيك سولانكي', 'hi': 'डोमिनिक सोलंके', 'bn': 'ডমিনিক সোলাঙ্কে'}, 'shortNameTranslation': {'ar': 'د. سولانكي', 'hi': 'डी. सोलंके', 'bn': 'ডি. সোলাঙ্কে'}}",17.0,12.0,,,1.0,1.0,11.0,16.0,3.0,1.0,,,,,,87.0,28.0,7.1,8.0,0.110953,"{'original': 7.1, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,Dom_Solanke,,3.0,6.0,1.0,,1.0,1.0,,3.0,2.0,0.1427,,1.0,2.0,2.0,,,2.0,,1.0,,0.0426,,,,,,,,
Dango Ouattara,dango-ouattara,D. Ouattara,F,19,177.0,32038,M,1106451,"{'alpha2': 'BF', 'alpha3': 'BFA', 'name': 'Burkina Faso', 'slug': 'burkina-faso'}",EUR,1013385600,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانجو أواتارا', 'hi': 'डांगो ओउट्टारा', 'bn': 'ডাঙ্গো ওউত্তারা'}, 'shortNameTranslation': {'ar': 'د. أواتارا', 'hi': 'डी. ओउट्टारा', 'bn': 'ডি. ওউত্তারা'}}",3.0,1.0,2.0,,,1.0,1.0,2.0,,1.0,,,,,,16.0,8.0,6.5,4.0,0.0001128,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,d.ouattara15,,,1.0,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,Dango Ouattara,,,,,,
Lloyd Kelly,lloyd-kelly,L. Kelly,D,6,191.0,2786,M,865167,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,907632000,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويد كيلي', 'hi': 'लॉयड केली', 'bn': 'লয়েড কেলি'}, 'shortNameTranslation': {'ar': 'ل. كيلي', 'hi': 'एल. केली', 'bn': 'এল. কেলি'}}",3.0,1.0,2.0,,1.0,2.0,,1.0,3.0,1.0,,,,,,9.0,6.0,6.7,2.0,4.51e-06,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,3.0,,,,,,3.0,,,,,,,,,,,,,,,,,
James Hill,james-hill,J. Hill,D,23,184.0,378,M,1156586,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1010620800,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس هيل', 'hi': 'जेम्स हिल', 'bn': 'জেমস হিল'}, 'shortNameTranslation': {'ar': 'ج. هيل', 'hi': 'जे. हिल', 'bn': 'জে. হিল'}}",1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,16.0,6.0,6.9,,0.00015462,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,2.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,
Enes Ünal,enes-unal,E. Ünal,F,26,185.0,3670,M,336655,"{'alpha2': 'TR', 'alpha3': 'TUR', 'name': 'Türkiye', 'slug': 'turkiye'}",EUR,863222400,"{'value': 7700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إينيس أونال', 'hi': 'एनेस उनाल', 'bn': 'এনেস উনাল'}, 'shortNameTranslation': {'ar': 'إ. أونال', 'hi': 'ई. उनाल', 'bn': 'ই. উনাল'}}",4.0,1.0,,,,2.0,1.0,2.0,4.0,1.0,,,,,,16.0,12.0,7.0,5.0,0.00053485,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,EnesUnal16,,2.0,3.0,,,,,3.0,2.0,1.0,,2.0,1.0,,,,,,,,2.0,,,,,,,,,
Neto,neto,Neto,G,22,190.0,5304,M,84844,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,616809600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}, 'shortNameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,Neto_Murara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Aarons,max-aarons,M. Aarons,D,3,178.0,1292,M,943645,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,946944000,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكس آرونز', 'hi': 'मैक्स आरोन्स', 'bn': 'ম্যাক্স অ্যারোনস'}, 'shortNameTranslation': {'ar': 'م. آرونز', 'hi': 'एम. आरोन्स', 'bn': 'এম. অ্যারোনস'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philip Billing,philip-billing,P. Billing,M,8,193.0,1832,M,548660,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,834451200,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيليب بيلينغ', 'hi': 'फिलिप बिलिंग', 'bn': 'ফিলিপ বিলিং'}, 'shortNameTranslation': {'ar': 'ف. بيلينغ', 'hi': 'पी. बिलिंग', 'bn': 'পি. বিলিং'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominic Sadi,sadi-dominic,D. Sadi,F,10,174.0,158,M,1398550,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1062460800,"{'value': 135000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سادي، دومينيك', 'hi': 'सादी, डोमिनिक', 'bn': 'সাদি, ডমিনিক'}, 'shortNameTranslation': {'ar': 'د. سادي', 'hi': 'डी. डोमिनिक', 'bn': 'ডি. সাদি'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,Dominic Sadi,,,,,,
Michael Dacosta Gonzalez,michael-dacosta-gonzalez,M. D. Gonzalez,F,24,186.0,135,M,1463438,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,1109980800,,"{'nameTranslation': {'ar': 'مايكل داكوستا غونزاليس', 'hi': 'माइकल डैकोस्टा गोंजालेज', 'bn': 'মাইকেল ডাকোস্টা গঞ্জালেজ'}, 'shortNameTranslation': {'ar': 'م. د. غونزاليس', 'hi': 'एम.डी. गोंजालेज', 'bn': 'এম. ডি. গঞ্জালেজ'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,Michael Dacosta Gonzalez,,,,,,
