name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,duelWon,shotOffTarget,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,expectedGoals,aerialLost,duelLost,challengeLost,totalContest,onTargetScoringAttempt,goals,fouls,expectedGoalsOnTarget,aerialWon,sofascoreId,goalAssist,accurateCross,dispossessed,wonContest,wasFouled,keyPass,bigChanceCreated,blockedScoringAttempt,bigChanceMissed,totalOffside,errorLeadToAShot
Bart Verbruggen,,,bart-verbruggen,B. Verbruggen,G,1,193,4205,M,994363,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1029628800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بارت فيربروغين', 'hi': 'बार्ट वर्ब्रुगेन', 'bn': 'বার্ট ভারব্রুগেন'}, 'shortNameTranslation': {'ar': 'ب. فيربروغين', 'hi': 'बी. वर्ब्रुगेन', 'bn': 'বি. ভারব্রুগেন'}}",37.0,35.0,4.0,2.0,35.0,37.0,,,12.0,1.0,3.0,1.0,1.0,90.0,47.0,6.5,2.0,8.057e-05,"{'original': 6.5, 'alternative': 6.2}",0,-1.6593,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odeluga Offiah,Odeluga Offiah,,odeluga-offiah,O. Offiah,D,42,187,114,M,1069627,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1035590400,"{'value': 1700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوديلوجا أوفيه', 'hi': 'ओडेलुगा ओफियाह', 'bn': 'ওডেলুগা অফিয়াহ'}, 'shortNameTranslation': {'ar': 'أ. أوفيه', 'hi': 'ओ. ऑफियाह', 'bn': 'ও. অফিয়াহ'}}",44.0,37.0,,,22.0,25.0,15.0,21.0,3.0,,,,,74.0,62.0,6.7,12.0,0.0185554,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,6.0,,,,1.0,1.0,,1.0,,,3.0,,3.0,,,2.0,,1.0,,,,,2.0,2.0,,,,,,
Lewis Dunk,,,lewis-dunk,L. Dunk,D,5,190,1872,M,115365,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,690681600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دانك', 'hi': 'लुईस डंक', 'bn': 'লুইস ডাঙ্ক'}, 'shortNameTranslation': {'ar': 'ل. دانك', 'hi': 'एल. डंक', 'bn': 'এল. ডাঙ্ক'}}",93.0,86.0,5.0,1.0,70.0,72.0,16.0,22.0,3.0,,,,,90.0,112.0,7.1,9.0,0.00905928,"{'original': 7.1, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,1.0,2.0,,6.0,3.0,2.0,2.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Igor Júlio,,,igor-julio,I. Júlio,D,5,185,1286,M,842513,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,886809600,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيغور جوليو', 'hi': 'इगोर जूलियो', 'bn': 'ইগর জুলিও'}, 'shortNameTranslation': {'ar': 'إ. جوليو', 'hi': 'आई. जूलियो', 'bn': 'আই. জুলিও'}}",53.0,49.0,5.0,4.0,37.0,40.0,12.0,13.0,3.0,,,,,74.0,62.0,6.6,4.0,0.00516278,"{'original': 6.6, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,5.0,1.0,3.0,,,2.0,2.0,,0.093,1.0,3.0,1.0,1.0,,,1.0,,1.0,,,,,1.0,1.0,,,,,,1.0
Valentín Barco,Valentín Barco,,valentin-barco,V. Barco,M,8,172,10685,M,1127057,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1090540800,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فالنتين باركو', 'hi': 'वैलेन्टिन बार्को', 'bn': 'ভ্যালেন্টিন বারকো'}, 'shortNameTranslation': {'ar': 'ف. باركو', 'hi': 'वी. बारको', 'bn': 'ভি. বারকো'}}",43.0,38.0,2.0,,23.0,24.0,16.0,26.0,7.0,,,,,90.0,69.0,6.2,14.0,0.0589331,"{'original': 6.2, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,7.0,6.0,,,,1.0,2.0,1.0,2.0,0.0178,5.0,10.0,1.0,1.0,,,4.0,,1.0,colo.barco,,1.0,,,3.0,1.0,,1.0,,,
Pascal Groß,,,pascal-gross,P. Groß,M,13,181,4485,M,48480,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,676944000,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باسكال غروس', 'hi': 'पास्कल ग्रोस', 'bn': 'প্যাসকেল গ্রোস'}, 'shortNameTranslation': {'ar': 'ب. غروس', 'hi': 'पी. ग्रोस', 'bn': 'পি. গ্রোস'}}",103.0,94.0,5.0,3.0,61.0,64.0,36.0,46.0,,,,,,90.0,121.0,7.2,14.0,0.237995,"{'original': 7.2, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,7.0,3.0,,,,,3.0,3.0,1.0,,1.0,2.0,,,,,1.0,,,pascalgross65,,3.0,,,,2.0,,,,,
Billy Gilmour,,,gilmour-billy,B. Gilmour,M,6,169,4385,M,907668,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,992217600,"{'value': 18800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غيلمور، بيلي', 'hi': 'गिल्मर, बिली', 'bn': 'গিলমোর, বিলি'}, 'shortNameTranslation': {'ar': 'ب. غيلمور', 'hi': 'बी. गिल्मर', 'bn': 'বি. গিলমোর'}}",88.0,77.0,8.0,5.0,33.0,34.0,45.0,56.0,5.0,,,,,90.0,101.0,7.2,14.0,0.154759,"{'original': 7.2, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,5.0,,,,1.0,2.0,1.0,1.0,0.0419,2.0,4.0,1.0,,,,,,,billygilmour,,1.0,1.0,,3.0,2.0,,1.0,,,
Facundo Buonanotte,Facundo Buonanotte,,facundo-buonanotte,F. Buonanotte,M,40,174,18331,M,1117025,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1103760000,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فاكوندو بونانوتي', 'hi': 'फ़ाकंडो बुओनानोट्टे', 'bn': 'ফ্যাকুন্ডো বুওনানোত্তে'}, 'shortNameTranslation': {'ar': 'ف. بونانوتي', 'hi': 'एफ. बुओनानोट्टे', 'bn': 'এফ. বুওনানোট'}}",29.0,23.0,,,10.0,14.0,13.0,15.0,7.0,,,,,90.0,43.0,6.6,7.0,0.0497763,"{'original': 6.6, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,9.0,,,,,3.0,2.0,1.0,0.3266,1.0,5.0,3.0,2.0,1.0,,1.0,0.9114,,facubuonanotte_,,,,2.0,4.0,,,1.0,1.0,,
João Pedro,,,joao-pedro,J. Pedro,F,20,182,86665,M,975079,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1001462400,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو بيدرو', 'hi': 'जोआओ पेड्रो', 'bn': 'জন পেড্রো'}, 'shortNameTranslation': {'ar': 'ج. بيدرو', 'hi': 'जे. पेड्रो', 'bn': 'জে. পেড্রো'}}",36.0,31.0,3.0,2.0,12.0,12.0,20.0,25.0,2.0,,,,,88.0,58.0,7.2,15.0,0.124004,"{'original': 7.2, 'alternative': 6.9}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,7.0,1.0,,,,1.0,,4.0,0.2006,,5.0,,4.0,,,,,3.0,joaopedro,,1.0,3.0,2.0,1.0,4.0,1.0,3.0,,,
Simon Adingra,,,simon-adingra,S. Adingra,M,24,175,45746,M,1110842,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1009843200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيمون أدينغرا', 'hi': 'साइमन एडिंगरा', 'bn': 'সাইমন আদিংরা'}, 'shortNameTranslation': {'ar': 'س. أدينغرا', 'hi': 'एस. एडिंगरा', 'bn': 'এস. আদিংরা'}}",18.0,15.0,,,7.0,7.0,8.0,16.0,4.0,,,,,66.0,39.0,6.7,13.0,0.029298,"{'original': 6.7, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,5.0,1.0,,,,4.0,,3.0,0.0503,,3.0,1.0,2.0,,,1.0,,,simon.adingra,,,,1.0,,,,,,1.0,
Mark O'Mahony,,,omahony-mark,M. O'Mahony,F,20,182,328,M,1149855,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1105660800,"{'value': 425000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوماهوني، مارك', 'hi': ""ओ'महोनी, मार्क"", 'bn': ""ও'মাহনি, মার্ক""}, 'shortNameTranslation': {'ar': 'م. أوماهوني', 'hi': ""एम. ओ'महोनी"", 'bn': ""এম. ও'মাহনি""}}",10.0,7.0,,,6.0,9.0,1.0,1.0,2.0,,,,,45.0,19.0,6.7,6.0,0.00015539,"{'original': 6.7, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,1.0,1.0,1.0,,1.0,,3.0,0.0583,2.0,2.0,,,,,,,1.0,,,,,,,,,,,,
Danny Welbeck,,,danny-welbeck,D. Welbeck,F,18,185,4472,M,33902,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,659577600,"{'value': 4200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داني ويلبيك', 'hi': 'डैनी वेल्बेक', 'bn': 'ড্যানি ওয়েলবেক'}, 'shortNameTranslation': {'ar': 'د. ويلبيك', 'hi': 'डी. वेल्बेक', 'bn': 'ডি. ওয়েলবেক'}}",15.0,13.0,,,4.0,6.0,9.0,9.0,,,,,,45.0,20.0,6.7,6.0,0.0341799,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,2.0,,,,,1.0,1.0,3.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,
