name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,errorLeadToAGoal,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialWon,duelLost,duelWon,totalContest,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,challengeLost,dispossessed,shotOffTarget,blockedScoringAttempt,totalClearance,outfielderBlock,fouls,expectedGoals,onTargetScoringAttempt,goals,wasFouled,penaltyWon,expectedGoalsOnTarget,aerialLost,wonContest,bigChanceCreated,keyPass,goalAssist,accurateCross,totalOffside,bigChanceMissed,goodHighClaim,penaltyFaced,lastManTackle,penaltyConceded
Rasmus Højlund,,,rasmus-hojlund,R. Højlund,F,19,191.0,71511,M,RHøjlund,1086417,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,1044316800,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'راسموس هويجلوند', 'hi': 'रस्मस होजलंड', 'bn': 'রাসমাস হলান্ড'}, 'shortNameTranslation': {'ar': 'راسموس هوجلوند', 'hi': 'रासमस होजलंड', 'bn': 'রাসমাস হলান্ড'}}",11.0,11.0,,,3.0,3.0,8.0,8.0,,,,,,,89.0,17.0,7.5,,0.0436863,"{'original': 7.5, 'alternative': 7.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,,,,,,,,,1.0,,1.0,,,0.6022,2.0,1.0,,,0.8195,2.0,,,1.0,,,,,,,,
Amad Diallo,,,diallo-amad,A. Diallo,F,16,173.0,85678,M,AmadDiallo19,971037,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1026345600,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديالو، أماد', 'hi': 'डायलो, अमाद', 'bn': 'ডায়ালো, আমাদ'}, 'shortNameTranslation': {'ar': 'أ. ديالو', 'hi': 'ए. अमाद', 'bn': 'এ. ডায়ালো'}}",18.0,17.0,1.0,1.0,6.0,6.0,11.0,12.0,1.0,,,,,,35.0,28.0,6.6,7.0,0.0236684,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,7.0,2.0,2.0,,1.0,1.0,1.0,,4.0,,,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,
Scott McTominay,,,scott-mctominay,S. McTominay,M,8,193.0,24760,M,ScottMcTominay,879346,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,850003200,"{'value': 47000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكوت مكتوميناي', 'hi': 'स्कॉट मैकटोमिने', 'bn': 'স্কট ম্যাকটোমিনে'}, 'shortNameTranslation': {'ar': 'س. مكتوميناي', 'hi': 'एस. मैकटोमिने', 'bn': 'এস. ম্যাকটোমিনে'}}",22.0,21.0,1.0,1.0,8.0,8.0,13.0,14.0,,,,,,,26.0,24.0,6.6,1.0,0.00960736,"{'original': 6.6, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,2.0,1.0,,,1.0,1.0,,,,,,,,2.0,0.0743,1.0,,,,0.0799,,,,,,,,1.0,,,,
Sofyan Amrabat,,,sofyan-amrabat,S. Amrabat,M,34,183.0,29520,M,sofyanamrabat,359272,"{'alpha2': 'MA', 'alpha3': 'MAR', 'name': 'Morocco', 'slug': 'morocco'}",EUR,840585600,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سفيان أمرابط', 'hi': 'सोफ़यान अमराबात', 'bn': 'সোফিয়ান আমরাবাত'}, 'shortNameTranslation': {'ar': 'س. أمرابط', 'hi': 'एस. अमराबात', 'bn': 'এস. আমরাবত'}}",5.0,5.0,,,3.0,3.0,2.0,2.0,1.0,,,,,,9.0,6.0,6.5,,0.0008476,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Ethan Wheatley,,,wheatley-ethan,E. Wheatley,F,19,187.0,4462,M,,1426625,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1137715200,"{'value': 155000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويتلي، إيثان', 'hi': 'व्हीटली, एथन', 'bn': 'হুইটলি, ইথান'}, 'shortNameTranslation': {'ar': 'إ. ويتلي', 'hi': 'ई. व्हीटली', 'bn': 'ই. হুইটলি'}}",,,,,,,,,,,,,,,9.0,2.0,6.5,,,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,2.0,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
Altay Bayındır,,,altay-bayindir,A. Bayındır,G,1,198.0,15058,M,altaybayindir,815890,"{'alpha2': 'TR', 'alpha3': 'TUR', 'name': 'Türkiye', 'slug': 'turkiye'}",EUR,892512000,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألتاي بايندر', 'hi': 'अल्ताय बय्यन्दिर', 'bn': 'আলতায় বেয়ান্দির'}, 'shortNameTranslation': {'ar': 'أ. بايندر', 'hi': 'ए. बय्यन्दिर', 'bn': 'এ. বেয়ান্দির'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Habeeb Ogunneye,Habeeb Ogunneye,,ogunneye-habeeb,H. Ogunneye,D,22,180.0,882,M,,1150926,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1131753600,"{'value': 77000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوغوناي، حبيب'}, 'shortNameTranslation': {'ar': 'ح. أوغوناي'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis Jackson,,,jackson-louis,L. Jackson,D,14,191.0,387,M,,1167382,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,1127001600,,"{'nameTranslation': {'ar': 'لويس جاكسون'}, 'shortNameTranslation': {'ar': 'ل. جاكسون'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Amass,Harry Amass,,amass-harry,H. Amass,D,12,181.0,6272,M,,1461595,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1174003200,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أماس، هاري', 'hi': 'अमास, हैरी', 'bn': 'অ্যামাস, হ্যারি'}, 'shortNameTranslation': {'ar': 'ه. أماس', 'hi': 'एच. अमास', 'bn': 'এইচ. আমাস'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omari Forson,,,forson-omari,O. Forson,M,20,179.0,1079,M,,1153434,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1090281600,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فورسون، أوماري', 'hi': 'फ़ोरसन, ओमारी', 'bn': 'ফোরসন, ওমারি'}, 'shortNameTranslation': {'ar': 'ف. أوماري', 'hi': 'ओ. फ़ोरसन', 'bn': 'ও. ফোরসন'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesley Foderingham,,,wesley-foderingham,W. Foderingham,G,25,185.0,337,M,,187861,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,663811200,"{'value': 545000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويزلي فوديرينغهام', 'hi': 'वेस्ले फोडरिंगम', 'bn': 'ওয়েসলি ফোডেরিংহাম'}, 'shortNameTranslation': {'ar': 'و. فوديرينغهام', 'hi': 'डब्लू. फोडरिंगम', 'bn': 'ডব্লিউ. ফোডেরিংহাম'}}",35.0,21.0,23.0,9.0,15.0,18.0,6.0,17.0,13.0,,7.0,9.0,1.0,1.0,90.0,51.0,8.0,15.0,0.00065273,"{'original': 8, 'alternative': 7.7}",0,-0.0494,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,1.0,1.0,,
Mason Holgate,,,mason-holgate,M. Holgate,D,27,187.0,409,M,,781544,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,845942400,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايسون هولجيت', 'hi': 'मेसन होल्गेट', 'bn': 'মেসন হোলগেট'}, 'shortNameTranslation': {'ar': 'م. هولجيت', 'hi': 'एम. होल्गेट', 'bn': 'এম. হলগেট'}}",22.0,19.0,2.0,1.0,16.0,17.0,3.0,5.0,4.0,,,,,,90.0,36.0,6.0,7.0,0.00266159,"{'original': 6, 'alternative': 6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,2.0,2.0,,2.0,,,2.0,,,,,3.0,,1.0,,,,,,,1.0,,,,,,,,,,,
Anel Ahmedhodžić,,,anel-ahmedhodzic,A. Ahmedhodžić,D,21,190.0,1558,M,,825899,"{'alpha2': 'BA', 'alpha3': 'BIH', 'name': 'Bosnia & Herzegovina', 'slug': 'bosnia-and-herzegovina'}",EUR,922406400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنيل أحمدهودزيتش', 'hi': 'एनेल अहमदहोदज़िक', 'bn': 'আনেল আহমেদহোডজিক'}, 'shortNameTranslation': {'ar': 'أ. أحمدهودزيتش', 'hi': 'ए. अहमदहोदज़िक', 'bn': 'এ. আহমেদহোদজিচ'}}",28.0,20.0,6.0,3.0,17.0,18.0,3.0,10.0,1.0,,,,,,90.0,37.0,6.3,9.0,0.00056368,"{'original': 6.3, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,4.0,2.0,2.0,1.0,,,,1.0,,1.0,,3.0,2.0,,0.09,,,,,,2.0,1.0,,,,,,,,,,
Auston Trusty,,,auston-trusty,A. Trusty,D,6,188.0,820,M,,822459,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,902880000,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوستون تراستي', 'hi': 'ऑस्टन ट्रस्टी', 'bn': 'অস্টন ট্রাস্টি'}, 'shortNameTranslation': {'ar': 'أ. تراستي', 'hi': 'ए. ट्रस्टी', 'bn': 'এ. ট্রাস্টি'}}",37.0,28.0,6.0,,23.0,26.0,5.0,11.0,3.0,,,,,,90.0,58.0,6.0,14.0,0.00122314,"{'original': 6, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,4.0,9.0,2.0,1.0,3.0,1.0,1.0,1.0,,,,5.0,,3.0,,,,1.0,,,,2.0,,,,,,,,,1.0,1.0
Jayden Bogle,,,bogle-jayden,J. Bogle,D,2,178.0,740,M,,929132,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,964656000,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوجل، جايدن', 'hi': 'बोगल, जेडन', 'bn': 'বোগল, জেডেন'}, 'shortNameTranslation': {'ar': 'ج. ب.', 'hi': 'जे. बोगल', 'bn': 'জে. বোগল'}}",12.0,9.0,,,4.0,5.0,5.0,8.0,5.0,,,,,,78.0,29.0,7.4,6.0,0.00222942,"{'original': 7.4, 'alternative': 7.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,2.0,4.0,8.0,2.0,,5.0,2.0,,,1.0,,,2.0,,,0.152,1.0,1.0,,,0.8345,2.0,1.0,,,,,,,,,,
Gustavo Hamer,,,gustavo-hamer,G. Hamer,M,8,169.0,1022,M,,837495,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,867110400,"{'value': 16800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غوستافو هامير', 'hi': 'गुस्तावो हैमर', 'bn': 'গুস্তাভো হ্যামার'}, 'shortNameTranslation': {'ar': 'غ. هامير', 'hi': 'जी. हैमर', 'bn': 'জি. হ্যামার'}}",13.0,11.0,1.0,,2.0,2.0,10.0,15.0,3.0,,,,,,90.0,24.0,6.9,6.0,0.0515823,"{'original': 6.9, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,,3.0,2.0,2.0,,,,,,,1.0,1.0,,1.0,1.0,0.0535,,,1.0,,,1.0,1.0,,4.0,,1.0,,,,,,
Oliver Arblaster,Oliver Arblaster,,oliver-arblaster,O. Arblaster,M,4,180.0,223,M,,1191153,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1073520000,"{'value': 1400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليفر أربيلاستر'}, 'shortNameTranslation': {'ar': 'أ. أربيلاستر'}}",28.0,23.0,2.0,,15.0,15.0,8.0,13.0,2.0,,,,,,90.0,50.0,6.8,10.0,0.00603764,"{'original': 6.8, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,5.0,8.0,1.0,5.0,7.0,2.0,2.0,1.0,1.0,,,1.0,2.0,2.0,,,,1.0,,,,,,,,,,,,,,
Andre Brooks,,,andre-brooks,A. Brooks,M,11,180.0,187,M,,1396445,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1061337600,"{'value': 2700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه بروكس', 'hi': 'आंद्रे ब्रुक्स', 'bn': 'আন্দ্রে ব্রুকস'}, 'shortNameTranslation': {'ar': 'أ. بروكس', 'hi': 'ए. ब्रुक्स', 'bn': 'এ. ব্রুকস'}}",8.0,2.0,1.0,,1.0,3.0,1.0,6.0,,,,,,,45.0,15.0,6.7,8.0,0.00090085,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,,3.0,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Osborn,Ben,Osborn,ben-osborn,B. Osborn,M,23,176.0,76,M,,282665,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,776044800,"{'value': 775000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن أوزبورن', 'hi': 'बेन ओसबोर्न', 'bn': 'বেন অসবর্ন'}, 'shortNameTranslation': {'ar': 'ب. أوزبورن', 'hi': 'बी. ओसबोर्न', 'bn': 'বি. ওসবোর্ন'}}",37.0,30.0,3.0,2.0,17.0,19.0,13.0,19.0,4.0,,,,,,90.0,53.0,6.8,12.0,0.180881,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,3.0,2.0,,1.0,1.0,,2.0,2.0,,,,2.0,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,
Cameron Archer,,,cameron-archer,C. Archer,F,19,181.0,1000,M,,993451,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1007856000,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاميرون آرتشر', 'hi': 'कैमरून आर्चर', 'bn': 'ক্যামেরন আর্চার'}, 'shortNameTranslation': {'ar': 'ك. آرتشر', 'hi': 'सी. आर्चर', 'bn': 'সি. আর্চার'}}",9.0,7.0,,,1.0,1.0,6.0,8.0,,,,,,,62.0,17.0,6.5,7.0,0.0110404,"{'original': 6.5, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,6.0,2.0,2.0,,1.0,1.0,2.0,,2.0,1.0,,,,,0.0719,,,,,,3.0,1.0,,,,,,,,,,
