name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,totalTackle,wonTackle,wasFouled,aerialWon,totalContest,wonContest,interceptionWon,lastManTackle,unsuccessfulTouch,fouls,onTargetScoringAttempt,outfielderBlock,expectedGoals,expectedGoalsOnTarget,goals,goalAssist,bigChanceCreated,shotOffTarget,keyPass,dispossessed,sofascoreId,blockedScoringAttempt,bigChanceMissed,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,punches,errorLeadToAShot,clearanceOffLine
Oliver McBurnie,,,oliver-mcburnie,O. McBurnie,F,9,188,920,M,367228,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,833846400,"{'value': 2700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليفر مكبورني', 'hi': 'ओलिवर मैकबर्नी', 'bn': 'অলিভার ম্যাকবার্নি'}, 'shortNameTranslation': {'ar': 'أ. مكبورني', 'hi': 'ओ. मैकबर्नी', 'bn': 'ও. ম্যাকবার্নি'}}",31.0,14.0,1.0,,3.0,3.0,11.0,29.0,3.0,3.0,,,,90.0,50.0,7.6,22.0,0.0846918,"{'original': 7.6, 'alternative': 7.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,6.0,6.0,16.0,,1.0,1.0,3.0,12.0,,,,,4.0,,1.0,,0.8335,0.8399,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,
James McAtee,,,james-mcatee,J. McAtee,M,24,180,10990,M,1003334,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034899200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس مكاتي', 'hi': 'जेम्स मैकएटी', 'bn': 'জেমস ম্যাকাটি'}, 'shortNameTranslation': {'ar': 'ج. مكاتي', 'hi': 'जे. मैकएटी', 'bn': 'জে. ম্যাকাটি'}}",5.0,5.0,,,,,5.0,6.0,,1.0,,,,14.0,9.0,6.7,3.0,0.0272604,"{'original': 6.7, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,,2.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,2.0,jamesmcatee_,,,,,,,,
Cameron Archer,,,cameron-archer,C. Archer,F,19,181,1000,M,993451,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1007856000,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاميرون آرتشر', 'hi': 'कैमरून आर्चर', 'bn': 'ক্যামেরন আর্চার'}, 'shortNameTranslation': {'ar': 'ك. آرتشر', 'hi': 'सी. आर्चर', 'bn': 'সি. আর্চার'}}",4.0,4.0,,,,,4.0,4.0,,,,,,12.0,4.0,7.2,,0.12643,"{'original': 7.2, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,
Vinícius Souza,,,vinicius-souza,Vinicius,M,5,187,1676,M,979290,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,929577600,"{'value': 14200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فينيسيوس سوزا', 'hi': 'विनिसियस सूज़ा', 'bn': 'ভিনিসিয়াস সুজা'}, 'shortNameTranslation': {'ar': 'ف. سوزا', 'hi': 'वी. सूज़ा', 'bn': 'ভি. সুজা'}}",1.0,1.0,,,,,1.0,1.0,1.0,,,,,8.0,3.0,6.7,,0.00719113,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesley Foderingham,,,wesley-foderingham,W. Foderingham,G,25,185,337,M,187861,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,663811200,"{'value': 545000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويزلي فوديرينغهام', 'hi': 'वेस्ले फोडरिंगम', 'bn': 'ওয়েসলি ফোডেরিংহাম'}, 'shortNameTranslation': {'ar': 'و. فوديرينغهام', 'hi': 'डब्लू. फोडरिंगम', 'bn': 'ডব্লিউ. ফোডেরিংহাম'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yasser Larouci,Yasser,Larouci,larouci-yasser,Y. Larouci,D,76,175,3783,M,927360,"{'alpha2': 'DZ', 'alpha3': 'DZA', 'name': 'Algeria', 'slug': 'algeria'}",EUR,978307200,"{'value': 3600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لعروسي، ياسر', 'hi': 'लारौसी, यासर', 'bn': 'লারুচি, ইয়াসির'}, 'shortNameTranslation': {'ar': 'ي. لعروسي', 'hi': 'वाई. लारौसी', 'bn': 'ওয়াই. লারুচি'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,larouci.yasseroff,,,,,,,,
Andre Brooks,,,andre-brooks,A. Brooks,M,11,180,187,M,1396445,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1061337600,"{'value': 2700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه بروكس', 'hi': 'आंद्रे ब्रुक्स', 'bn': 'আন্দ্রে ব্রুকস'}, 'shortNameTranslation': {'ar': 'أ. بروكس', 'hi': 'ए. ब्रुक्स', 'bn': 'এ. ব্রুকস'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Norwood,,,oliver-norwood,O. Norwood,M,26,180,225,M,100637,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,671414400,"{'value': 280000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليفر نوروود', 'hi': 'ओलिवर नोरवुड', 'bn': 'অলিভার নরউড'}, 'shortNameTranslation': {'ar': 'أ. نوروود', 'hi': 'ओ. नोरवुड', 'bn': 'ও. নরউড'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anis Ben Slimane,,,anis-ben-slimane,A. B. Slimane,M,20,188,2213,M,1006147,"{'alpha2': 'TN', 'alpha3': 'TUN', 'name': 'Tunisia', 'slug': 'tunisia'}",EUR,984700800,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنيس بن سليمان', 'hi': 'अनीस बेन स्लीमेन', 'bn': 'আনিস বেন স্লিমান'}, 'shortNameTranslation': {'ar': 'أ. بن سليمان', 'hi': 'एबी बेन', 'bn': 'এ. বি. স্লিমান'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Osula,,,osula-william,W. Osula,F,18,191,2921,M,1122603,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,1059955200,"{'value': 13800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوسولا، ويليام', 'hi': 'ओसुला, विलियम', 'bn': 'ওসুলা, উইলিয়াম'}, 'shortNameTranslation': {'ar': 'و. أوسولا', 'hi': 'डब्लू. ओसुला', 'bn': 'ডব্লিউ. ওসুলা'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đorđe Petrović,,,dorde-petrovic,Đ. Petrović,G,1,194,8808,M,882604,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia', 'slug': 'serbia'}",EUR,939340800,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوردي بيتروفيتش', 'hi': 'डोरे पेट्रोविक', 'bn': 'ডোরে পেট্রোভিচ'}, 'shortNameTranslation': {'ar': 'د. بيتروفيتش', 'hi': 'डी. पेट्रोविक', 'bn': 'ডি. পেট্রোভিচ'}}",33.0,26.0,12.0,5.0,25.0,31.0,1.0,2.0,1.0,9.0,3.0,,,90.0,45.0,7.1,8.0,0.00010743,"{'original': 7.1, 'alternative': 6.8}",0,0.0145,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,dj.petrovic12,,,1.0,1.0,2.0,1.0,,
Axel Disasi,,,axel-disasi,A. Disasi,D,2,190,8850,M,827243,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,889574400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أكسيل ديساسي', 'hi': 'एक्सल डिसासी', 'bn': 'অ্যাক্সেল ডিসাসি'}, 'shortNameTranslation': {'ar': 'أ. ديساسي', 'hi': 'ए. डिसासी', 'bn': 'এ. ডিসাসি'}}",93.0,82.0,4.0,1.0,58.0,61.0,24.0,32.0,2.0,5.0,,,,90.0,101.0,6.3,11.0,0.00490971,"{'original': 6.3, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,4.0,1.0,,,,,1.0,,,,,,2.0,,,,,,,,,,,axel_disasi,,,,,,,,
Thiago Silva,,,thiago-silva,T. Silva,D,,181,43819,M,33541,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,464659200,"{'value': 560000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تياغو سيلفا', 'hi': 'थियागो सिल्वा', 'bn': 'থিয়াগো সিলভা'}, 'shortNameTranslation': {'ar': 'ت. سيلفا', 'hi': 'टी. सिल्वा', 'bn': 'টি. সিলভা'}}",99.0,96.0,2.0,2.0,78.0,81.0,18.0,18.0,9.0,7.0,,,,90.0,113.0,7.7,3.0,0.00755359,"{'original': 7.7, 'alternative': 7.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,2.0,4.0,,1.0,1.0,,3.0,,,2.0,,,,1.0,1.0,0.1143,0.3866,1.0,,,,,,ThiagoSilva,,,,,,,1.0,
Trevoh Chalobah,,,trevoh-chalobah,T. Chalobah,D,23,190,13565,M,826134,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,931132800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تريفوه تشالوبا', 'hi': 'ट्रेवोह चालोबा', 'bn': 'ত্রেভহ চালোবাহ'}, 'shortNameTranslation': {'ar': 'ت. تشالوبا', 'hi': 'टी. चालोबा', 'bn': 'টি. চালোবাহ'}}",100.0,91.0,8.0,4.0,72.0,77.0,19.0,23.0,5.0,7.0,,,,90.0,110.0,6.8,10.0,0.0142785,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,6.0,7.0,7.0,,,,1.0,6.0,,,1.0,,1.0,1.0,,1.0,,,,,,,,,yungchalobah,,,,,,,,
Marc Cucurella,,,marc-cucurella,M. Cucurella,D,3,175,37004,M,794939,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,901065600,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك كوكوريلا', 'hi': 'मार्क कोकोरेला', 'bn': 'মার্ক কুকুরেলা'}, 'shortNameTranslation': {'ar': 'م. كوكوريلا', 'hi': 'एम. कोकोरेला', 'bn': 'এম. কুকুরেলা'}}",46.0,40.0,4.0,,30.0,33.0,10.0,13.0,,7.0,,,,89.0,64.0,6.4,8.0,0.00912422,"{'original': 6.4, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,6.0,3.0,2.0,1.0,1.0,2.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,cucurella3,,,,,,,,
Moisés Caicedo,,,moises-caicedo,M. Caicedo,M,25,178,78106,M,987650,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,1004659200,"{'value': 115000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مويسيس كايسيدو', 'hi': 'मोइसेस कैसेडो', 'bn': 'মোজেস কাইসেডো'}, 'shortNameTranslation': {'ar': 'م. كايسيدو', 'hi': 'एम. कैसेडो', 'bn': 'এম. কাইসেডো'}}",73.0,59.0,2.0,1.0,37.0,41.0,22.0,32.0,,3.0,,,,90.0,85.0,7.4,17.0,0.109421,"{'original': 7.4, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,4.0,7.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,,1.0,,,1.0,,,,,,,,,MoisesCaicedo55,,,,,,,,1.0
Enzo Fernández,,,enzo-fernandez,E. Fernández,M,8,177,120510,M,974505,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,979689600,"{'value': 82000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إنزو فرنانديز', 'hi': 'एन्ज़ो फर्नांडीज़', 'bn': 'এনজো ফার্নান্ডেজ'}, 'shortNameTranslation': {'ar': 'إ. فرنانديز', 'hi': 'ई. फर्नांडीज़', 'bn': 'ই. ফার্নান্ডেজ'}}",95.0,76.0,8.0,3.0,48.0,54.0,28.0,43.0,2.0,1.0,,,,90.0,104.0,6.6,24.0,0.0697513,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,,2.0,7.0,3.0,1.0,,,,3.0,1.0,,1.0,,1.0,2.0,,,,,,,,,2.0,1.0,Enzo8,,,,,,,,
Noni Madueke,,,noni-madueke,N. Madueke,M,20,182,40433,M,966547,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1015718400,"{'value': 54000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نوني مادويكي', 'hi': 'नोनी मदुके', 'bn': 'ননি মাদুকে'}, 'shortNameTranslation': {'ar': 'ن. مادويكي', 'hi': 'एन. मदुके', 'bn': 'এন. মাদুকে'}}",39.0,37.0,1.0,1.0,10.0,10.0,27.0,30.0,1.0,3.0,,,,82.0,56.0,7.3,10.0,0.0376034,"{'original': 7.3, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,1.0,5.0,2.0,2.0,1.0,1.0,1.0,,2.0,,,,3.0,,1.0,,0.1367,0.1121,1.0,,,1.0,,,nonzinoo10,,,,,,,,
Cole Palmer,,,cole-palmer,C. Palmer,M,10,185,368423,M,982780,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020643200,"{'value': 110000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كول بالمر', 'hi': 'कोल पाल्मर', 'bn': 'কোল পামার'}, 'shortNameTranslation': {'ar': 'ك. بالمر', 'hi': 'सी. पाल्मर', 'bn': 'সি. পামার'}}",34.0,24.0,2.0,1.0,8.0,10.0,16.0,28.0,,3.0,,,,74.0,48.0,7.0,17.0,0.0657929,"{'original': 7, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,,,2.0,2.0,,1.0,,1.0,,1.0,,,,1.0,,1.0,,0.0649,0.0498,,1.0,,,2.0,1.0,ColdPalmer,1.0,,,,,,,
Conor Gallagher,,,conor-gallagher,C. Gallagher,M,4,182,15436,M,904970,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,949795200,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونور غالاغير', 'hi': 'कोनोर गालाघर', 'bn': 'কনর গ্যালাঘের'}, 'shortNameTranslation': {'ar': 'ك. غالاغر', 'hi': 'सी. गालाघर', 'bn': 'সি. গ্যালাঘের'}}",46.0,44.0,2.0,2.0,29.0,29.0,16.0,19.0,1.0,5.0,,,,90.0,62.0,7.1,7.0,0.0541134,"{'original': 7.1, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,2.0,1.0,3.0,7.0,4.0,,1.0,1.0,3.0,,2.0,,1.0,,2.0,2.0,,,0.0331,,,1.0,1.0,1.0,2.0,,conorgallagher92,,,,,,,,
