name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,isHome,shotType,situation,bodyPart,time,timeSeconds,periodTimeSeconds,goalType,playerX,playerY,goalMouthX,goalMouthY,goalMouthZ,sofascoreId
James McAtee,james-mcatee,J. McAtee,M,24,10990,M,1003334,"{'nameTranslation': {'ar': 'جيمس مكاتي', 'hi': 'जेम्स मैकएटी', 'bn': 'জেমস ম্যাকাটি'}, 'shortNameTranslation': {'ar': 'ج. مكاتي', 'hi': 'जे. मैकएटी', 'bn': 'জে. ম্যাকাটি'}}",True,miss,assisted,left-foot,20,1143,1143,,23.4,61.3,0,59.7,75.0,jamesmcatee_
Gabriel Martinelli,gabriel-martinelli,G. Martinelli,F,11,71135,M,922573,"{'nameTranslation': {'ar': 'غابرييل مارتينيلي', 'hi': 'गेब्रियल मार्टिनेली', 'bn': 'গ্যাব্রিয়েল মার্টিনেলি'}, 'shortNameTranslation': {'ar': 'غ. مارتينيلي', 'hi': 'जी. मार्टिनेली', 'bn': 'জি. মার্টিনেলি'}}",False,goal,assisted,left-foot,15,850,850,regular,12.6,36.9,0,53.8,13.9,GabiMartinelli
Jayden Bogle,bogle-jayden,J. Bogle,D,2,740,M,929132,"{'nameTranslation': {'ar': 'بوجل، جايدن', 'hi': 'बोगल, जेडन', 'bn': 'বোগল, জেডেন'}, 'shortNameTranslation': {'ar': 'ج. ب.', 'hi': 'जे. बोगल', 'bn': 'জে. বোগল'}}",False,goal,regular,right-foot,13,750,750,own,1.2,49.6,0,52.7,3.8,
Jakub Kiwior,kiwior-jakub,J. Kiwior,D,4,15251,M,976037,"{'nameTranslation': {'ar': 'كيويور، جاكوب', 'hi': 'किविओर, जेकब', 'bn': 'কিভিওর, জাকুব'}, 'shortNameTranslation': {'ar': 'ج. كيويور', 'hi': 'जे. किविओर', 'bn': 'জে. কিভিওর'}}",False,block,assisted,left-foot,12,714,714,,24.6,42.5,0,50.3,19.0,j_kiwior
Bukayo Saka,bukayo-saka,B. Saka,F,7,187094,M,934235,"{'nameTranslation': {'ar': 'بوكايو ساكا', 'hi': 'बुकायो साका', 'bn': 'বুকায়ো সাকা'}, 'shortNameTranslation': {'ar': 'ب. ساكا', 'hi': 'बी. साका', 'bn': 'বি. সাকা'}}",False,block,assisted,left-foot,11,612,612,,10.2,48.1,0,51.4,19.0,BSaka7
Martin Ødegaard,martin-odegaard,M. Ødegaard,M,8,81763,M,547410,"{'nameTranslation': {'ar': 'مارتن أوديغارد', 'hi': 'मार्टिन ओडेगार्ड', 'bn': 'মার্টিন ওডেগার্ড'}, 'shortNameTranslation': {'ar': 'م. أوديغارد', 'hi': 'एम. ओडेगार्ड', 'bn': 'এম. ওডেগার্ড'}}",False,miss,corner,left-foot,9,481,481,,19.3,60.2,0,61.3,40.3,Ødegaard
Martin Ødegaard,martin-odegaard,M. Ødegaard,M,8,81763,M,547410,"{'nameTranslation': {'ar': 'مارتن أوديغارد', 'hi': 'मार्टिन ओडेगार्ड', 'bn': 'মার্টিন ওডেগার্ড'}, 'shortNameTranslation': {'ar': 'م. أوديغارد', 'hi': 'एम. ओडेगार्ड', 'bn': 'এম. ওডেগার্ড'}}",False,goal,regular,left-foot,5,261,261,regular,7.9,49.2,0,47.0,4.4,Ødegaard
Gabriel Martinelli,gabriel-martinelli,G. Martinelli,F,11,71135,M,922573,"{'nameTranslation': {'ar': 'غابرييل مارتينيلي', 'hi': 'गेब्रियल मार्टिनेली', 'bn': 'গ্যাব্রিয়েল মার্টিনেলি'}, 'shortNameTranslation': {'ar': 'غ. مارتينيلي', 'hi': 'जी. मार्टिनेली', 'bn': 'জি. মার্টিনেলি'}}",False,block,regular,right-foot,2,70,70,,9.2,41.6,0,47.8,19.0,GabiMartinelli
Bukayo Saka,bukayo-saka,B. Saka,F,7,187094,M,934235,"{'nameTranslation': {'ar': 'بوكايو ساكا', 'hi': 'बुकायो साका', 'bn': 'বুকায়ো সাকা'}, 'shortNameTranslation': {'ar': 'ب. ساكا', 'hi': 'बी. साका', 'bn': 'বি. সাকা'}}",False,post,assisted,left-foot,2,69,69,,4.2,60.1,0,45.8,39.9,BSaka7
Declan Rice,declan-rice,D. Rice,M,41,60954,M,856714,"{'nameTranslation': {'ar': 'ديكلان رايس', 'hi': 'डेक्लान राइस', 'bn': 'ডেক্লান রাইস'}, 'shortNameTranslation': {'ar': 'د. رايس', 'hi': 'डी. राइस', 'bn': 'ডি. রাইস'}}",False,block,regular,right-foot,2,67,67,,10.1,50.5,0,49.4,19.0,DeclanRice
