name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,keyPass,totalCross,shotOffTarget,expectedGoals,dispossessed,wasFouled,onTargetScoringAttempt,blockedScoringAttempt,expectedGoalsOnTarget,accurateCross,goals,totalOffside,wonContest,goalAssist,bigChanceCreated
Đorđe Petrović,,,dorde-petrovic,Đ. Petrović,G,1,194,8808,M,dj.petrovic12,882604,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia', 'slug': 'serbia'}",EUR,939340800,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوردي بيتروفيتش', 'hi': 'डोरे पेट्रोविक', 'bn': 'ডোরে পেট্রোভিচ'}, 'shortNameTranslation': {'ar': 'د. بيتروفيتش', 'hi': 'डी. पेट्रोविक', 'bn': 'ডি. পেট্রোভিচ'}}",40.0,36.0,5.0,1.0,36.0,37.0,,3.0,6.0,1.0,3.0,2.0,1.0,90.0,47.0,6.7,4.0,6.29e-05,"{'original': 6.7, 'alternative': 6.7}",0,-0.5313,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Malo Gusto,,,gusto-malo,M. Gusto,D,27,179,18882,M,malogst,996958,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1053302400,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوستو، مالو', 'hi': 'गुस्टो, मालो', 'bn': 'গুস্টো, মালো'}, 'shortNameTranslation': {'ar': 'م. جوستو', 'hi': 'एम. गुस्टो', 'bn': 'এম. গুস্টো'}}",94.0,87.0,6.0,4.0,37.0,37.0,53.0,68.0,7.0,,,,,84.0,136.0,8.0,23.0,0.147939,"{'original': 8, 'alternative': 7.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,5.0,9.0,,5.0,1.0,,1.0,4.0,3.0,4.0,,2.0,11.0,,,1.0,2.0,,,,3.0,,2.0,2.0,1.0,1.0
Axel Disasi,,,axel-disasi,A. Disasi,D,2,190,8850,M,axel_disasi,827243,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,889574400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أكسيل ديساسي', 'hi': 'एक्सल डिसासी', 'bn': 'অ্যাক্সেল ডিসাসি'}, 'shortNameTranslation': {'ar': 'أ. ديساسي', 'hi': 'ए. डिसासी', 'bn': 'এ. ডিসাসি'}}",115.0,110.0,2.0,1.0,67.0,68.0,43.0,47.0,6.0,,,,,90.0,122.0,7.0,7.0,0.0107145,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,3.0,3.0,5.0,1.0,,,,1.0,1.0,,1.0,1.0,,,,0.1874,,1.0,1.0,,0.1489,,,,,,
Thiago Silva,,,thiago-silva,T. Silva,D,,181,43819,M,ThiagoSilva,33541,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,464659200,"{'value': 560000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تياغو سيلفا', 'hi': 'थियागो सिल्वा', 'bn': 'থিয়াগো সিলভা'}, 'shortNameTranslation': {'ar': 'ت. سيلفا', 'hi': 'टी. सिल्वा', 'bn': 'টি. সিলভা'}}",90.0,89.0,4.0,3.0,52.0,52.0,37.0,38.0,2.0,,,,,61.0,97.0,7.1,2.0,0.0110576,"{'original': 7.1, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,,,3.0,1.0,,1.0,1.0,1.0,,,,,0.0993,,,,1.0,,,,,,,
Ben Chilwell,,,ben-chilwell,B. Chilwell,D,3,181,11476,M,Chilly,802695,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,851126400,"{'value': 11100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن تشيلويل', 'hi': 'बेन चिलवेल', 'bn': 'বেন চিলওয়েল'}, 'shortNameTranslation': {'ar': 'ب. تشيلويل', 'hi': 'बी. चिलवेल', 'bn': 'বি. চিলওয়েল'}}",67.0,54.0,3.0,1.0,20.0,24.0,34.0,48.0,6.0,,,,,90.0,96.0,7.3,22.0,0.0153797,"{'original': 7.3, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,3.0,1.0,5.0,5.0,,3.0,1.0,2.0,,,,2.0,1.0,,5.0,1.0,0.0426,,2.0,,,,,,,2.0,,
Moisés Caicedo,,,moises-caicedo,M. Caicedo,M,25,178,78106,M,MoisesCaicedo55,987650,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,1004659200,"{'value': 115000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مويسيس كايسيدو', 'hi': 'मोइसेस कैसेडो', 'bn': 'মোজেস কাইসেডো'}, 'shortNameTranslation': {'ar': 'م. كايسيدو', 'hi': 'एम. कैसेडो', 'bn': 'এম. কাইসেডো'}}",103.0,98.0,8.0,7.0,46.0,46.0,52.0,58.0,9.0,,,,,90.0,121.0,7.9,9.0,0.0594664,"{'original': 7.9, 'alternative': 7.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,,5.0,6.0,,,,1.0,1.0,4.0,3.0,1.0,,2.0,1.0,,,2.0,2.0,,,,,,,,,
Enzo Fernández,,,enzo-fernandez,E. Fernández,M,8,177,120510,M,Enzo8,974505,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,979689600,"{'value': 82000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إنزو فرنانديز', 'hi': 'एन्ज़ो फर्नांडीज़', 'bn': 'এনজো ফার্নান্ডেজ'}, 'shortNameTranslation': {'ar': 'إ. فرنانديز', 'hi': 'ई. फर्नांडीज़', 'bn': 'ই. ফার্নান্ডেজ'}}",130.0,110.0,15.0,10.0,47.0,49.0,63.0,84.0,7.0,,,,,90.0,144.0,8.1,24.0,0.0515077,"{'original': 8.1, 'alternative': 7.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,2.0,4.0,7.0,,1.0,1.0,,1.0,3.0,1.0,,2.0,,3.0,,0.4663,1.0,1.0,1.0,1.0,0.943,,1.0,,1.0,,
Noni Madueke,,,noni-madueke,N. Madueke,M,20,182,40433,M,nonzinoo10,966547,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1015718400,"{'value': 54000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نوني مادويكي', 'hi': 'नोनी मदुके', 'bn': 'ননি মাদুকে'}, 'shortNameTranslation': {'ar': 'ن. مادويكي', 'hi': 'एन. मदुके', 'bn': 'এন. মাদুকে'}}",30.0,25.0,,,5.0,8.0,20.0,23.0,5.0,,,,,45.0,42.0,6.9,10.0,0.0494007,"{'original': 6.9, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,3.0,5.0,,4.0,,,,,,,,1.0,1.0,,,2.0,1.0,,,,,,,3.0,,
Conor Gallagher,,,conor-gallagher,C. Gallagher,M,4,182,15436,M,conorgallagher92,904970,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,949795200,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونور غالاغير', 'hi': 'कोनोर गालाघर', 'bn': 'কনর গ্যালাঘের'}, 'shortNameTranslation': {'ar': 'ك. غالاغر', 'hi': 'सी. गालाघर', 'bn': 'সি. গ্যালাঘের'}}",44.0,38.0,1.0,1.0,11.0,11.0,29.0,40.0,3.0,,,,,90.0,72.0,8.8,15.0,0.134474,"{'original': 8.8, 'alternative': 8.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,,9.0,4.0,,3.0,,,2.0,,,,2.0,3.0,7.0,1.0,0.3705,2.0,3.0,2.0,,0.6961,2.0,2.0,,1.0,,
Nicolas Jackson,Nicolas Jackson,,nicolas-jackson,N. Jackson,F,11,186,86972,M,NJackson11,1085381,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,992995200,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس جاكسون', 'hi': 'निकोलस जैक्सन', 'bn': 'নিকোলাস জ্যাকসন'}, 'shortNameTranslation': {'ar': 'ن. جاكسون', 'hi': 'एन. जैक्सन', 'bn': 'এন. জ্যাকসন'}}",19.0,17.0,2.0,2.0,4.0,5.0,13.0,14.0,1.0,,,,,79.0,26.0,6.5,5.0,0.02477,"{'original': 6.5, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,4.0,3.0,,1.0,,,,1.0,,,,,,1.0,0.0628,2.0,1.0,,,,,,2.0,,,
