name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,errorLeadToAGoal,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalContest,wonContest,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,hitWoodwork,goals,totalTackle,wonTackle,unsuccessfulTouch,expectedGoals,expectedGoalsOnTarget,keyPass,aerialWon,outfielderBlock,interceptionWon,aerialLost,dispossessed,fouls,goalAssist,wasFouled,totalOffside,bigChanceCreated,bigChanceMissed,ownGoals
Luis Díaz,,,luis-diaz,L. Díaz,F,14,178,140854,M,LuisDíaz,883537,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دياز', 'hi': 'लुइस डियाज़', 'bn': 'লুইস দিয়াজ'}, 'shortNameTranslation': {'ar': 'ل. دياز', 'hi': 'एल. डियाज़', 'bn': 'এল. দিয়াজ'}}",38.0,29.0,,,3.0,3.0,35.0,,6.0,,,,,,,90.0,60.0,7.4,15.0,0.0434006,"{'original': 7.4, 'alternative': 7.2}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,26.0,,,7.0,5.0,,4.0,1.0,1.0,4.0,,,,1.0,,2.0,0.5345,0.6041,2.0,3.0,,,1.0,1.0,2.0,,,1.0,,,
Cody Gakpo,,,cody-gakpo,C. Gakpo,M,18,193,53434,M,CodyGakpo,862967,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,926035200,"{'value': 67000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كودي جاكبو', 'hi': 'कोडी गाकपो', 'bn': 'কোডি গাকপো'}, 'shortNameTranslation': {'ar': 'ك. جاكبو', 'hi': 'सी. गाकपो', 'bn': 'সি. গাকপো'}}",16.0,12.0,1.0,1.0,1.0,2.0,14.0,,1.0,,,,,,,26.0,25.0,6.9,6.0,0.034453,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,11.0,,,2.0,2.0,,1.0,1.0,,1.0,,,,,,1.0,0.0185,0.2103,,,,1.0,,1.0,1.0,,1.0,,,,
Joe Gomez,,,joe-gomez,J. Gomez,D,2,188,14017,M,joegomez5,318927,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,864345600,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو غوميز', 'hi': 'जो गोमेज़', 'bn': 'জো গোমেজ'}, 'shortNameTranslation': {'ar': 'ج. غوميز', 'hi': 'जे. गोमेज़', 'bn': 'জে গোমেজ'}}",18.0,17.0,1.0,,6.0,6.0,14.0,,4.0,,,,,,,25.0,27.0,6.5,4.0,0.0273534,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,11.0,2.0,,2.0,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,
Ibrahima Konaté,,,ibrahima-konate,I. Konaté,D,5,195,27389,M,ibrahimakonate,826215,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,927590400,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إبراهيما كوناتي', 'hi': 'इब्राहीमा कोनाटे', 'bn': 'ইব্রাহিম কোনাতে'}, 'shortNameTranslation': {'ar': 'إ. كوناتي', 'hi': 'आई. कोनाटे', 'bn': 'আই. কোনাতে'}}",29.0,24.0,5.0,4.0,11.0,12.0,17.0,,4.0,,,,,,,21.0,32.0,6.7,5.0,0.0121451,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,13.0,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,
Wataru Endo,,,wataru-endo,W. Endo,M,3,178,19922,M,endowataru,143040,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,729216000,"{'value': 4600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'واتارو إندو', 'hi': 'वातारू एंडो', 'bn': 'ওয়ান্ডারিং এন্ডো'}, 'shortNameTranslation': {'ar': 'و. إندو', 'hi': 'डब्लू. एंडो', 'bn': 'ডব্লিউ. এন্ডো'}}",8.0,6.0,,,3.0,4.0,4.0,,1.0,,,,,,,15.0,12.0,7.4,3.0,0.00036538,"{'original': 7.4, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,3.0,,,1.0,,,,,,1.0,1.0,,1.0,,,1.0,0.141,0.5717,1.0,,,,1.0,,,,,,,,
Adrián,,,adrian,Adrián,G,13,190,2132,M,,50539,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,536630400,"{'value': 415000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أدريان', 'hi': 'एड्रियन', 'bn': 'অ্যাড্রিয়ান'}, 'shortNameTranslation': {'ar': 'أدريان', 'hi': 'एड्रियन', 'bn': 'অ্যাড্রিয়ান'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarell Quansah,,,jarell-quansah,J. Quansah,D,4,190,10706,M,jarellquansah,1003339,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1043798400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاريل كوانسا', 'hi': 'जेरेल क्वांसाह', 'bn': 'জারেল কোয়ানসাহ'}, 'shortNameTranslation': {'ar': 'ج. كوانسا', 'hi': 'जे. क्वांसाह', 'bn': 'জে. কোয়ানসাহ'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Gannon-Doak,Ben Doak,,ben-doak,B. Doak,M,50,174,6950,M,bendoak._,1154861,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,1131667200,"{'value': 17500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن دوك', 'hi': 'बेन डोक', 'bn': 'বেন ডোয়াক'}, 'shortNameTranslation': {'ar': 'ب. دوك', 'hi': 'बी. डोक', 'bn': 'বি. দোয়াক'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curtis Jones,,,curtis-jones,C. Jones,M,17,185,17493,M,curtisjones,927353,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,980812800,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيرتس جونز', 'hi': 'कर्टिस जोन्स', 'bn': 'কার্টিস জোন্স'}, 'shortNameTranslation': {'ar': 'ك. جونز', 'hi': 'सी. जोन्स', 'bn': 'সি. জোন্স'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvey Elliott,,,harvey-elliott,H. Elliott,M,19,170,21929,M,harvelliott,955245,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1049414400,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هارفي إليوت', 'hi': 'हार्वे इलियट', 'bn': 'হার্ভে এলিয়ট'}, 'shortNameTranslation': {'ar': 'ه. إليوت', 'hi': 'एच. इलियट', 'bn': 'এইচ. এলিয়ট'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernd Leno,,,bernd-leno,B. Leno,G,1,190,2729,M,,103335,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,699667200,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرند لينو', 'hi': 'बर्न्ड लेनो', 'bn': 'বার্ন্ড লেনো'}, 'shortNameTranslation': {'ar': 'ب. لينو', 'hi': 'बी. लेनो', 'bn': 'বি. লেনো'}}",35.0,19.0,25.0,9.0,11.0,12.0,23.0,2.0,13.0,,,4.0,9.0,1.0,1.0,90.0,53.0,7.4,16.0,0.0022727,"{'original': 7.4, 'alternative': 7.1}",0,-1.8112,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Kenny Tete,,,kenny-tete,K. Tete,D,2,180,1091,M,,190877,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,813196800,"{'value': 11900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيني تيتي', 'hi': 'केनी टेटे', 'bn': 'কেনি টেটে'}, 'shortNameTranslation': {'ar': 'ك. تيتي', 'hi': 'के. टेटे', 'bn': 'কে. টেটে'}}",20.0,10.0,,,3.0,8.0,13.0,4.0,2.0,,,,,,,75.0,46.0,7.2,16.0,0.0170514,"{'original': 7.2, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,7.0,1.0,,4.0,2.0,1.0,1.0,,,1.0,,,1.0,2.0,1.0,1.0,0.5497,0.4487,,,,4.0,2.0,,,,,,,,
Calvin Bassey,,,calvin-bassey,C. Bassey,D,3,185,4536,M,,861972,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,946598400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالفين باسي', 'hi': 'केल्विन बैसी', 'bn': 'ক্যালভিন বাসসি'}, 'shortNameTranslation': {'ar': 'ك. باسي', 'hi': 'सी. बैसी', 'bn': 'সি. বাসসি'}}",36.0,23.0,9.0,1.0,20.0,26.0,10.0,2.0,7.0,,,,,,,90.0,46.0,6.1,13.0,0.00122329,"{'original': 6.1, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,,,3.0,3.0,,,,,,,,,1.0,1.0,,,,,2.0,1.0,4.0,1.0,,2.0,,,,,,
Tim Ream,,,tim-ream,T. Ream,D,3,185,550,M,,118179,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,560390400,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيم ريم', 'hi': 'टिम रीम', 'bn': 'টিম রেম'}, 'shortNameTranslation': {'ar': 'ت. ريم', 'hi': 'टी. रीम', 'bn': 'টি. রেম'}}",35.0,28.0,4.0,3.0,23.0,28.0,7.0,3.0,5.0,,,,,,,90.0,44.0,6.6,7.0,0.00302906,"{'original': 6.6, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,5.0,,,1.0,3.0,,1.0,1.0,,,,,,1.0,,,,,,1.0,3.0,1.0,1.0,,,,,1.0,,,
Antonee Robinson,,,antonee-robinson,A. Robinson,D,33,183,2925,M,,803174,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,870998400,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني روبنسون', 'hi': 'एंटोनी रॉबिन्सन', 'bn': 'অ্যান্টনি রবিনসন'}, 'shortNameTranslation': {'ar': 'أ. روبنسون', 'hi': 'ए. रॉबिन्सन', 'bn': 'এ. রবিনসন'}}",40.0,28.0,7.0,2.0,17.0,24.0,16.0,4.0,13.0,,,,,,,90.0,79.0,7.7,16.0,0.178242,"{'original': 7.7, 'alternative': 7.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,11.0,,,3.0,7.0,1.0,2.0,1.0,,1.0,1.0,,,4.0,3.0,1.0,0.0605,0.158,1.0,1.0,,13.0,,,1.0,1.0,1.0,,,,
Harrison Reed,,,harrison-reed,H. Reed,M,6,176,269,M,,365802,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,791164800,"{'value': 3200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاريسون ريد', 'hi': 'हैरिसन रीड', 'bn': 'হ্যারিসন রিড'}, 'shortNameTranslation': {'ar': 'ه. ريد', 'hi': 'एच. रीड', 'bn': 'এইচ. রিড'}}",35.0,29.0,1.0,1.0,19.0,22.0,15.0,6.0,3.0,,,,,,,89.0,58.0,6.8,12.0,0.00549443,"{'original': 6.8, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,10.0,2.0,,1.0,3.0,,2.0,1.0,,,,,,2.0,1.0,3.0,,,,,1.0,3.0,,,,,,,,,
João Palhinha,,,joao-palhinha,J. Palhinha,M,6,189,16675,M,Palhinha,364612,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,805248000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو بالينيا', 'hi': 'जोआओ पालहिन्हा', 'bn': 'জোয়াও পালহিনহা'}, 'shortNameTranslation': {'ar': 'ج. بالينيا', 'hi': 'जे. पालहिन्हा', 'bn': 'জে. পলহিনহা'}}",28.0,23.0,1.0,1.0,12.0,15.0,13.0,4.0,7.0,,,,,,,90.0,54.0,7.1,7.0,0.00535327,"{'original': 7.1, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,11.0,,,5.0,8.0,1.0,,,,1.0,1.0,,,5.0,1.0,1.0,0.0781,0.362,,,,4.0,,,4.0,,3.0,,,,
Harry Wilson,,,harry-wilson,H. Wilson,M,8,173,4052,M,,355528,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,858988800,"{'value': 22000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري ويلسون', 'hi': 'हैरी विल्सन', 'bn': 'হ্যারি উইলসন'}, 'shortNameTranslation': {'ar': 'ه. ويلسون', 'hi': 'एच. विल्सन', 'bn': 'এইচ. উইলসন'}}",15.0,12.0,2.0,2.0,3.0,3.0,13.0,2.0,2.0,,,,,,,62.0,32.0,7.3,9.0,0.0154845,"{'original': 7.3, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,9.0,1.0,,3.0,2.0,1.0,1.0,,,1.0,,,1.0,2.0,1.0,3.0,0.2375,0.2097,,,1.0,1.0,,1.0,,,,,,,
Andreas Pereira,,,andreas-pereira,A. Pereira,M,18,177,13772,M,andreaspereira,285949,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,820454400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}, 'shortNameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}}",26.0,23.0,,,5.0,6.0,23.0,,6.0,,,,,,,62.0,39.0,6.9,7.0,0.0813608,"{'original': 6.9, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,20.0,3.0,2.0,4.0,3.0,2.0,2.0,1.0,1.0,,,,,2.0,,1.0,0.0674,,3.0,,,2.0,,1.0,,,,,,,
