name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,duelLost,dispossessed,totalContest,wonContest,blockedScoringAttempt,totalClearance,totalTackle,unsuccessfulTouch,fouls,expectedGoals,keyPass,firstName,lastName,shotOffTarget,onTargetScoringAttempt,outfielderBlock,interceptionWon,wonTackle,penaltyConceded,wasFouled,expectedGoalsOnTarget,challengeLost,goalAssist,bigChanceCreated,goals,sofascoreId,totalKeeperSweeper,penaltyWon,lastManTackle
Jordan Pickford,jordan-pickford,J. Pickford,G,1,185,7467,M,138530,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,762998400,"{'value': 16100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان بيكفورد', 'hi': 'जॉर्डन पिकफोर्ड', 'bn': 'জর্ডান পিকফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. بيكفورد', 'hi': 'जे. पिकफोर्ड', 'bn': 'জে.পিকফোর্ড'}}",55.0,31.0,37.0,13.0,19.0,21.0,12.0,34.0,,,8.0,,2.0,,4.0,90.0,63.0,7.1,25.0,0.00771268,"{'original': 7.1, 'alternative': 7}",0,0.5052,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jpickford1,1.0,,
Ben Godfrey,ben-godfrey,B. Godfrey,D,22,183,591,M,754698,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,884822400,"{'value': 5100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن غودفري', 'hi': 'बेन गॉडफ्रे', 'bn': 'বেন গডফ্রে'}, 'shortNameTranslation': {'ar': 'ب. غودفري', 'hi': 'बी. गॉडफ्रे', 'bn': 'বি. গডফ্রে'}}",25.0,19.0,1.0,,6.0,7.0,13.0,18.0,2.0,6.0,4.0,,,,,90.0,48.0,7.1,9.0,0.00491626,"{'original': 7.1, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,3.0,,,,,5.0,3.0,2.0,,,,,,,,1.0,,2.0,,1.0,,1.0,,,,,,,
James Tarkowski,james-tarkowski,J. Tarkowski,D,6,185,2332,M,145188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,722131200,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس تاركوفسكي', 'hi': 'जेम्स टार्कोव्स्की', 'bn': 'জেমস তারকোভস্কি'}, 'shortNameTranslation': {'ar': 'ج. تاركوفسكي', 'hi': 'जे. टार्कोव्स्की', 'bn': 'জে. তারকোভস্কি'}}",39.0,34.0,4.0,4.0,20.0,20.0,14.0,19.0,5.0,7.0,3.0,,,,,90.0,56.0,7.4,7.0,0.0238435,"{'original': 7.4, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,2.0,5.0,1.0,,,,8.0,1.0,1.0,1.0,0.1199,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,
Jarrad Branthwaite,jarrad-branthwaite,J. Branthwaite,D,32,195,2559,M,979563,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1025136000,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاراد برانثويت', 'hi': 'जेर्राड ब्रैंथवेट', 'bn': 'জারাদ ব্র্যানথওয়েট'}, 'shortNameTranslation': {'ar': 'ج. برانثويت', 'hi': 'जे. ब्रैंथवेट', 'bn': 'জে. ব্র্যানথওয়েট'}}",57.0,49.0,8.0,4.0,24.0,26.0,25.0,31.0,4.0,7.0,,,,,,90.0,70.0,7.6,8.0,0.167607,"{'original': 7.6, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,4.0,,,,,5.0,1.0,,1.0,,1.0,,,,,1.0,1.0,,,2.0,,2.0,,,,,,1.0,
Ashley Young,ashley-young,A. Young,D,15,180,1765,M,10589,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,489715200,"{'value': 440000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آشلي يونغ', 'hi': 'एश्ले यंग', 'bn': 'অ্যাশলে ইয়াং'}, 'shortNameTranslation': {'ar': 'آ. يونغ', 'hi': 'एक यंग', 'bn': 'এ. ইয়াং'}}",31.0,26.0,11.0,6.0,16.0,16.0,10.0,16.0,1.0,6.0,1.0,,,,,67.0,44.0,7.1,7.0,0.00688391,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,2.0,2.0,,,,,3.0,4.0,,,,,,,,,,,4.0,,1.0,,,,,,,,,
Jack Harrison,jack-harrison,J. Harrison,M,20,175,1080,M,829570,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,848448000,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك هاريسون', 'hi': 'जैक हैरिसन', 'bn': 'জ্যাক হ্যারিসন'}, 'shortNameTranslation': {'ar': 'ج. هاريسون', 'hi': 'जे. हैरिसन', 'bn': 'জে. হ্যারিসন'}}",26.0,23.0,1.0,,10.0,11.0,15.0,19.0,,7.0,4.0,,,,,90.0,51.0,7.4,12.0,0.431587,"{'original': 7.4, 'alternative': 7.2}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,2.0,,6.0,2.0,2.0,,1.0,,5.0,3.0,,0.0698,2.0,,,1.0,1.0,1.0,,5.0,,2.0,0.6184,2.0,,,,,,,1.0
Idrissa Gueye,idrissa-gueye,I. Gueye,M,27,174,17031,M,106337,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,622771200,"{'value': 970000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إدريسا غاي', 'hi': 'इद्रिसा गुये', 'bn': 'ইদ্রিসা গুইয়ে'}, 'shortNameTranslation': {'ar': 'إ. غاي', 'hi': 'आई. गुये', 'bn': 'আই. গুইয়ে'}}",49.0,46.0,1.0,1.0,27.0,28.0,19.0,21.0,,4.0,10.0,,,,,80.0,61.0,6.8,5.0,0.00968205,"{'original': 6.8, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,3.0,1.0,1.0,,,1.0,4.0,,1.0,,1.0,,,,,,1.0,2.0,,,,,,,,iganagueye,,,
James Garner,james-garner,J. Garner,M,37,182,2524,M,927361,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,984441600,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس غارنر', 'hi': 'जेम्स गार्नर', 'bn': 'জেমস গার্নার'}, 'shortNameTranslation': {'ar': 'ج. غارنر', 'hi': 'जे. गार्नर', 'bn': 'জে. গার্নার'}}",24.0,21.0,,,9.0,9.0,12.0,18.0,,4.0,2.0,,,,,55.0,36.0,6.9,6.0,0.00974371,"{'original': 6.9, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,,,2.0,,,,1.0,1.0,3.0,,2.0,0.105,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,
Dwight McNeil,dwight-mcneil,D. McNeil,M,7,183,2030,M,935543,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,943228800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوايت مكنيل', 'hi': 'ड्वाइट मैकनील', 'bn': 'ডোয়াইট ম্যাকনিল'}, 'shortNameTranslation': {'ar': 'د. مكنيل', 'hi': 'डी. मैकनील', 'bn': 'ডি. ম্যাকনিল'}}",33.0,27.0,6.0,3.0,13.0,14.0,14.0,26.0,1.0,2.0,4.0,,,,,90.0,52.0,6.8,19.0,0.304858,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,7.0,,1.0,2.0,1.0,,,,1.0,,5.0,,,1.0,Dwight,McNeil,,,,1.0,,,1.0,,,,,,,,,
Abdoulaye Doucouré,abdoulaye-doucoure,A. Doucouré,M,8,182,1300,M,96535,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,725846400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عبدالله دوكوري', 'hi': 'अब्दुलाये डौकोरे', 'bn': 'আবদুলায়ে ডকোরে'}, 'shortNameTranslation': {'ar': 'ع. دوكوري', 'hi': 'ए. डौकोरे', 'bn': 'এ. ডকোরে'}}",23.0,17.0,,,10.0,10.0,7.0,13.0,1.0,2.0,1.0,,,,,54.0,28.0,6.6,6.0,0.0136257,"{'original': 6.6, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,2.0,,,,1.0,1.0,,,,0.041,,,,,,1.0,,,,1.0,,2.0,,,,,,,
