name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialWon,duelLost,duelWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,aerialLost,challengeLost,dispossessed,outfielderBlock,interceptionWon,wasFouled,totalContest,keyPass,shotOffTarget,totalCross,accurateCross,wonContest,blockedScoringAttempt,onTargetScoringAttempt,sofascoreId,goodHighClaim,goalAssist,bigChanceCreated,goals,lastManTackle,errorLeadToAShot,totalOffside,bigChanceMissed
Erling Haaland,,,erling-haaland,E. Haaland,F,9,194,807088,M,839956,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,964137600,"{'value': 218000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيرلينغ هالاند', 'hi': 'एर्लिंग हालैंड', 'bn': 'এরলিং হালান্ড'}, 'shortNameTranslation': {'ar': 'إ. هالاند', 'hi': 'ई. हालैंड', 'bn': 'ই. হালান্ড'}}",11.0,9.0,1.0,,2.0,2.0,7.0,9.0,1.0,3.0,,,,,80.0,22.0,8.7,5.0,0.5692,1.1234,0.0531223,"{'original': 8.7, 'alternative': 8.5}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,5.0,3.0,,,1.0,1.0,2.0,,2.0,,,2.0,,2.0,1.0,,,,1.0,2.0,EHaaland,,,,2.0,,,,
Mateo Kovačić,,,mateo-kovacic,M. Kovačić,M,8,178,34246,M,136710,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,768182400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتيو كوفاسيتش', 'hi': 'माटेओ कोवासिक', 'bn': 'মাতেও কোভাসিক'}, 'shortNameTranslation': {'ar': 'م. كوفاسيتش', 'hi': 'एम. कोवासिक', 'bn': 'এম. কোভাসিচ'}}",64.0,61.0,4.0,3.0,35.0,36.0,26.0,28.0,,1.0,,,,,67.0,76.0,7.6,4.0,0.0,0.0,0.244406,"{'original': 7.6, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,3.0,5.0,2.0,2.0,,1.0,1.0,,1.0,,,2.0,1.0,1.0,,,,1.0,,,Kova8,,,1.0,,,,,
Joško Gvardiol,,,josko-gvardiol,J. Gvardiol,D,24,186,50283,M,964994,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,1011744000,"{'value': 64000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوشكو غفارديول', 'hi': 'जोस्को ग्वार्डिओल', 'bn': 'জোসকো গোওয়ারদিওল'}, 'shortNameTranslation': {'ar': 'ي. غفارديول', 'hi': 'जे. ग्वार्डिओल', 'bn': 'জে. গোওয়ারদিওল'}}",7.0,5.0,1.0,,2.0,2.0,3.0,5.0,,2.0,,,,,11.0,14.0,7.0,3.0,0.0,0.0,0.00079653,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,2.0,,4.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,JGvardiol,,,,,,,,
Aymeric Laporte,,,aymeric-laporte,A. Laporte,D,14,191,10793,M,149734,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,769996800,"{'value': 9400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيميريك لابورت', 'hi': 'एमेरिक लापोर्टे', 'bn': 'আইমেরিক ল্যাপোর্টে'}, 'shortNameTranslation': {'ar': 'أ. لابورت', 'hi': 'ए. लापोर्टे', 'bn': 'এ. ল্যাপোর্টে'}}",11.0,11.0,,,7.0,7.0,4.0,4.0,1.0,2.0,,,,,11.0,14.0,7.0,,0.0358,0.024,0.00053046,"{'original': 7, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,1.0,,,,,,,,,,1.0,laporte27,,,,,,,,
Cole Palmer,,,cole-palmer,C. Palmer,M,10,185,368423,M,982780,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020643200,"{'value': 110000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كول بالمر', 'hi': 'कोल पाल्मर', 'bn': 'কোল পামার'}, 'shortNameTranslation': {'ar': 'ك. بالمر', 'hi': 'सी. पाल्मर', 'bn': 'সি. পামার'}}",5.0,4.0,,,1.0,1.0,3.0,4.0,,,,,,,10.0,6.0,6.5,2.0,0.0,0.0,0.0151772,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,ColdPalmer,,,,,,,,
James McAtee,,,james-mcatee,J. McAtee,M,24,180,10990,M,1003334,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034899200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس مكاتي', 'hi': 'जेम्स मैकएटी', 'bn': 'জেমস ম্যাকাটি'}, 'shortNameTranslation': {'ar': 'ج. مكاتي', 'hi': 'जे. मैकएटी', 'bn': 'জে. ম্যাকাটি'}}",,,,,,,,,,,,,,,1.0,1.0,,,0.0,0.0,0.0,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,jamesmcatee_,,,,,,,,
Stefan Ortega,,,stefan-ortega,S. Ortega,G,18,186,10750,M,125274,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,721008000,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ستيفان أورتيغا', 'hi': 'स्टीफन ऑर्टेगा', 'bn': 'স্টেফান ওর্তেগা'}, 'shortNameTranslation': {'ar': 'س. أورتيغا', 'hi': 'एस. ऑर्टेगा', 'bn': 'এস. ওর্তেগা'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,stefan.ortega1,,,,,,,,
Jack Grealish,,,jack-grealish,J. Grealish,M,18,180,61911,M,189061,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,810691200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك غريليش', 'hi': 'जैक ग्रेलिश', 'bn': 'জ্যাক গ্রেলিশ'}, 'shortNameTranslation': {'ar': 'ج. غريليش', 'hi': 'जे. ग्रेलिश', 'bn': 'জে গ্রেলিশ'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,JGrealish,,,,,,,,
Kalvin Phillips,,,kalvin-phillips,K. Phillips,M,44,177,7665,M,786028,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,817862400,"{'value': 5600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالفين فيليبس', 'hi': 'केल्विन फिलिप्स', 'bn': 'ক্যালভিন ফিলিপস'}, 'shortNameTranslation': {'ar': 'ك. فيليبس', 'hi': 'के. फिलिप्स', 'bn': 'কে. ফিলিপস'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,kalvinphillips,,,,,,,,
Sergio Gómez,,,sergio-gomez,S. Gómez,M,17,171,4599,M,855835,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,968025600,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيرجيو غوميز', 'hi': 'सर्जियो गोमेज़', 'bn': 'সার্জিও গোমেজ'}, 'shortNameTranslation': {'ar': 'س. غوميز', 'hi': 'एस. गोमेज़', 'bn': 'এস. গোমেজ'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,sergiogm_10,,,,,,,,
