team1,team2,score,event,match_url
PARIVISION,FAVBET,2-0,Galaxy Battle 2025 Phase 4,https://www.hltv.org/matches/2386207/parivision-vs-favbet-galaxy-battle-2025-phase-4
ARCRED,Nexus,2-0,NODWIN Clutch Series 1,https://www.hltv.org/matches/2386719/arcred-vs-nexus-nodwin-clutch-series-1
Rare Atom,Kaleido,2-1,ESL Challenger League Season 50 Asia-Pacific Cup 3,https://www.hltv.org/matches/2386521/rare-atom-vs-kaleido-esl-challenger-league-season-50-asia-pacific-cup-3
SPARTA,Oramond,0-2,Exort The Proving Grounds Season 5,https://www.hltv.org/matches/2386416/sparta-vs-oramond-exort-the-proving-grounds-season-5
Just Swing,Chinggis Warriors,2-0,ESL Challenger League Season 50 Asia-Pacific Cup 3,https://www.hltv.org/matches/2386523/just-swing-vs-chinggis-warriors-esl-challenger-league-season-50-asia-pacific-cup-3
FengDa,Last Bullet,2-0,ESL Challenger League Season 50 Asia-Pacific Cup 3,https://www.hltv.org/matches/2386524/fengda-vs-last-bullet-esl-challenger-league-season-50-asia-pacific-cup-3
DEPO,The Huns,0-2,ESL Challenger League Season 50 Asia-Pacific Cup 3,https://www.hltv.org/matches/2386522/depo-vs-the-huns-esl-challenger-league-season-50-asia-pacific-cup-3
LP,JERSA,2-0,CCT Season 3 South America Series 5,https://www.hltv.org/matches/2386676/lp-vs-jersa-cct-season-3-south-america-series-5
RUBY,ESC,0-2,Winline Insight Season 8,https://www.hltv.org/matches/2386226/ruby-vs-esc-winline-insight-season-8
Tricked,EYEBALLERS,0-2,CCT Season 3 Europe Series 8,https://www.hltv.org/matches/2386330/tricked-vs-eyeballers-cct-season-3-europe-series-8
The MongolZ,Natus Vincere,0-2,ESL Pro League Season 22,https://www.hltv.org/matches/2385960/the-mongolz-vs-natus-vincere-esl-pro-league-season-22
