name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalContest,wonContest,totalTackle,duelLost,wonTackle,fouls,aerialLost,interceptionWon,keyPass,totalCross,challengeLost,dispossessed,bigChanceCreated,unsuccessfulTouch,totalOffside,accurateCross,blockedScoringAttempt,expectedGoals,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,wasFouled,expectedGoalsOnTarget,goals,goodHighClaim,outfielderBlock
Jean-Philippe Mateta,,,jean-philippe-mateta,J. Mateta,F,14,192.0,9259,M,Matetajphilippe,848276,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,867456000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جان-فيليب ماتيتا', 'hi': 'जीन-फिलिप माटेटा', 'bn': 'জিন-ফিলিপ মাটেটা'}, 'shortNameTranslation': {'ar': 'ج. ماتيتا', 'hi': 'जे. माटेटा', 'bn': 'জে. মাটেটা'}}",13.0,11.0,,,1.0,4.0,4.0,7.0,9.0,,3.0,1.0,1.0,,,,76.0,21.0,9.8,3.0,0.062757,"{'original': 9.8, 'alternative': 9.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,,,,,,2.0,,,,,1.0,1.0,,,1.565,,,3.0,2.0,2.4911,3.0,,
Jefferson Lerma,,,jefferson-lerma,J. Lerma,M,8,179.0,5382,M,jeffersonlerma,355796,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,783043200,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيفرسون ليرما', 'hi': 'जेफरसन लेर्मा', 'bn': 'জেফারসন লারমা'}, 'shortNameTranslation': {'ar': 'ج. ليرما', 'hi': 'जे. लेर्मा', 'bn': 'জে. লারমা'}}",21.0,19.0,2.0,1.0,0.0,10.0,10.0,9.0,11.0,1.0,2.0,,,,,,14.0,22.0,6.8,2.0,0.00332051,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Odsonne Édouard,,,odsonne-edouard,O. Édouard,F,19,187.0,5777,M,,795228,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,884908800,"{'value': 7600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أودسون إدوارد', 'hi': 'ओडसन एडुआर्ड', 'bn': 'ওডসন এডওয়ার্ড'}, 'shortNameTranslation': {'ar': 'أ. إدوارد', 'hi': 'ओ. एडुआर्ड', 'bn': 'ও. এডওয়ার্ড'}}",4.0,3.0,,,0.0,,,3.0,4.0,,1.0,,,,,,14.0,6.0,6.6,2.0,0.00335215,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,
Jaïro Riedewald,,,jairo-riedewald,J. Riedewald,M,44,186.0,1300,M,,285989,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,842227200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيرو ريدوالد', 'hi': 'जैरो रीडेवाल्ड', 'bn': 'জাইরো রিডেওয়াল্ড'}, 'shortNameTranslation': {'ar': 'ج. ريدوالد', 'hi': 'जे. रीडेवाल्ड', 'bn': 'জে. রিডেওয়াল্ড'}}",9.0,9.0,1.0,1.0,0.0,3.0,3.0,6.0,6.0,,,,2.0,,,,8.0,10.0,6.7,1.0,0.00172902,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
James Tomkins,,,james-tomkins,J. Tomkins,D,,192.0,104,M,,32124,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,607132800,,"{'nameTranslation': {'ar': 'جيمس تومكينز', 'hi': 'जेम्स टॉमकिंस', 'bn': 'জেমস টমকিন্স'}, 'shortNameTranslation': {'ar': 'ج. تومكينز', 'hi': 'जे. टॉमकिंस', 'bn': 'জে. টমকিন্স'}}",10.0,10.0,3.0,3.0,0.0,4.0,4.0,6.0,6.0,1.0,1.0,,,,,,8.0,11.0,6.7,,0.00251325,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Ayew,,,jordan-ayew,J. Ayew,F,9,182.0,14311,M,jordanayew9,103045,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,684547200,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان أيو', 'hi': 'जॉर्डन अय्यू', 'bn': 'জর্ডান আইউ'}, 'shortNameTranslation': {'ar': 'ج. أيو', 'hi': 'जे. अय्यू', 'bn': 'জে. আইউ'}}",5.0,5.0,,,0.0,3.0,3.0,2.0,2.0,,,,,,,,2.0,5.0,,,0.00049972,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
Remi Matthews,,,remi-matthews,R. Matthews,G,31,184.0,187,M,,581610,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,760838400,"{'value': 325000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريمي ماثيوز', 'hi': 'रेमी मैथ्यूज़', 'bn': 'রেমি ম্যাথিউস'}, 'shortNameTranslation': {'ar': 'ر. ماثيوز', 'hi': 'आर. मैथ्यूज़', 'bn': 'আর. ম্যাথিউস'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeffrey Schlupp,,,jeffrey-schlupp,J. Schlupp,D,27,178.0,762,M,,148710,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,725068800,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيفري شلوب', 'hi': 'जेफ़री श्लुप्प', 'bn': 'জেফরি শ্লুপ'}, 'shortNameTranslation': {'ar': 'ج. شلوب', 'hi': 'जे. श्लुप्प', 'bn': 'জে. শ্লুপ'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Ward,,,joel-ward,J. Ward,D,,188.0,256,M,,39183,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,625622400,"{'value': 285000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويل وارد', 'hi': 'जोएल वार्ड', 'bn': 'জোয়েল ওয়ার্ড'}, 'shortNameTranslation': {'ar': 'ج. وارد', 'hi': 'जे. वार्ड', 'bn': 'জে. ওয়ার্ড'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
David Ozoh,,,david-ozoh,D. Ozoh,M,18,183.0,301,M,,1212155,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1115337600,"{'value': 1000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد أوزوه', 'hi': 'डेविड ओज़ोह', 'bn': 'ডেভিড ওজোহ'}, 'shortNameTranslation': {'ar': 'د. أوزوه', 'hi': 'डी. ओज़ोह', 'bn': 'ডি. ওজোহ'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Robin Olsen,,,robin-olsen,R. Olsen,G,30,198.0,1336,M,,26025,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,631756800,"{'value': 750000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبين أولسن', 'hi': 'रॉबिन ओल्सन', 'bn': 'রবিন ওলসেন'}, 'shortNameTranslation': {'ar': 'ر. أولسن', 'hi': 'आर. ओल्सन', 'bn': 'আর. ওলসেন'}}",47.0,37.0,16.0,6.0,0.0,36.0,37.0,1.0,10.0,1.0,1.0,,13.0,3.0,4.0,,90.0,63.0,6.6,10.0,0.00022886,"{'original': 6.6, 'alternative': 6}",0,-1.1298,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
Ezri Konsa,,,ezri-konsa,E. Konsa,D,4,183.0,3125,M,,827679,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,877564800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إزري كونسا', 'hi': 'एज़री कोंसा', 'bn': 'ইজরি কনসা'}, 'shortNameTranslation': {'ar': 'إ. كونسا', 'hi': 'ई. कोंसा', 'bn': 'ই. কনসা'}}",55.0,44.0,2.0,1.0,0.0,36.0,42.0,8.0,13.0,2.0,5.0,2.0,2.0,,,,90.0,77.0,5.7,16.0,0.00599582,"{'original': 5.7, 'alternative': 5.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,1.0,1.0,4.0,,,,,,,,3.0,,,,,,0.0728,,1.0,,1.0,,,,
Diego Carlos,,,diego-carlos,D. Carlos,D,34,185.0,2789,M,,604232,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,732153600,"{'value': 10000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دييغو كارلوس', 'hi': 'डिएगो कार्लोस', 'bn': 'দিয়েগো কার্লোস'}, 'shortNameTranslation': {'ar': 'د. كارلوس', 'hi': 'डी. कार्लोस', 'bn': 'ডি. কার্লোস'}}",73.0,66.0,7.0,3.0,0.0,57.0,60.0,9.0,13.0,,,4.0,3.0,,,,90.0,81.0,6.2,8.0,0.00397292,"{'original': 6.2, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,1.0,,,,0.0483,,1.0,,,,,,2.0
Clément Lenglet,,,clement-lenglet,C. Lenglet,D,15,186.0,8093,M,clement_lenglet,580550,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,803347200,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كليمو لينغليه', 'hi': 'क्लेमेंट लेंग्लेट', 'bn': 'ক্লেমেন্ট লেংলেট'}, 'shortNameTranslation': {'ar': 'ك. لينغليه', 'hi': 'सी. लेंग्लेट', 'bn': 'সি. লেংলেট'}}",67.0,62.0,9.0,5.0,0.0,51.0,54.0,11.0,13.0,,2.0,,5.0,,,,90.0,75.0,5.9,8.0,0.00681352,"{'original': 5.9, 'alternative': 5.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,2.0,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,2.0,,,,1.0
Lucas Digne,,,lucas-digne,L. Digne,D,12,178.0,4445,M,LDigne,96538,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,743126400,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس دين', 'hi': 'लुकास डिग्ने', 'bn': 'লুকাস ডিগনে'}, 'shortNameTranslation': {'ar': 'ل. دين', 'hi': 'एल. डिग्ने', 'bn': 'এল. ডিগনে'}}",35.0,28.0,2.0,1.0,0.0,18.0,21.0,12.0,20.0,1.0,8.0,6.0,2.0,,,,90.0,64.0,6.8,14.0,0.295788,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,4.0,4.0,1.0,1.0,2.0,,3.0,6.0,,1.0,1.0,1.0,,2.0,,,,,,2.0,,,,
Moussa Diaby,,,diaby-moussa,M. Diaby,M,19,170.0,7519,M,moussadiaby,855817,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,931305600,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موسى ديابي', 'hi': 'डायबी, मूसा', 'bn': 'ডায়াবি, মুসা'}, 'shortNameTranslation': {'ar': 'م. ديابي', 'hi': 'एम. डायबी', 'bn': 'এম. ডায়াবি'}}",15.0,14.0,1.0,1.0,0.0,8.0,9.0,6.0,6.0,,,,1.0,,,,87.0,25.0,5.7,6.0,0.0102672,"{'original': 5.7, 'alternative': 5.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,,,8.0,,,1.0,1.0,,,2.0,2.0,,,,,,0.5437,1.0,,2.0,,1.2371,,,
Calum Chambers,,,calum-chambers,C. Chambers,D,12,183.0,615,M,,227942,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,790560000,"{'value': 965000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالوم تشامبرز', 'hi': 'कैलम चैम्बर्स', 'bn': 'ক্যালাম চেম্বারস'}, 'shortNameTranslation': {'ar': 'ك. تشامبرز', 'hi': 'सी. चैम्बर्स', 'bn': 'সি. চেম্বারস'}}",49.0,45.0,3.0,2.0,0.0,37.0,38.0,8.0,11.0,,3.0,,3.0,,,,68.0,56.0,6.3,5.0,0.00563614,"{'original': 6.3, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,3.0,,2.0,,,,,,1.0,,,,,,,,,,1.0,,,,
Douglas Luiz,,,douglas-luiz,D. Luiz,M,12,175.0,11414,M,Douglas_Luiz,867887,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,894672000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوغلاس لويز', 'hi': 'डगलस लुइज़', 'bn': 'ডগলাস লুই'}, 'shortNameTranslation': {'ar': 'د. لويز', 'hi': 'डी. लुइज़', 'bn': 'ডি. লুইজ'}}",57.0,52.0,3.0,2.0,0.0,38.0,41.0,15.0,19.0,,1.0,,5.0,,,,90.0,63.0,6.5,9.0,0.3835,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,4.0,,1.0,,,2.0,3.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,
John McGinn,,,john-mcginn,J. McGinn,M,7,175.0,3796,M,,250223,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,782438400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون ماكجين', 'hi': 'जॉन मैकगिन', 'bn': 'জন ম্যাকগিন'}, 'shortNameTranslation': {'ar': 'ج. ماكجين', 'hi': 'जे. मैकगिन', 'bn': 'জে. ম্যাকগিন'}}",20.0,17.0,1.0,,0.0,10.0,12.0,7.0,9.0,,5.0,,2.0,,,,87.0,31.0,6.3,7.0,0.0146056,"{'original': 6.3, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,2.0,2.0,1.0,2.0,1.0,1.0,,,,1.0,,1.0,,2.0,,,,,,,,2.0,,,,
Jhon Durán,,,jhon-duran,J. Durán,F,10,185.0,30568,M,jaderduran9,974577,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1071273600,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون دوران', 'hi': 'जॉन डुरान', 'bn': 'জন ডুরান'}, 'shortNameTranslation': {'ar': 'ج. دوران', 'hi': 'जे. डुरान', 'bn': 'জে. ডুরান'}}",23.0,16.0,1.0,,0.0,8.0,8.0,8.0,15.0,4.0,4.0,,1.0,,,,90.0,30.0,6.6,10.0,0.00399042,"{'original': 6.6, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,4.0,,,2.0,,1.0,,1.0,1.0,,1.0,1.0,,,0.0547,,2.0,,,,,,
Ollie Watkins,,,ollie-watkins,O. Watkins,F,11,179.0,19613,M,OllieWatkins,555386,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,820281600,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولي واتكينز', 'hi': 'ओली वॉटकिंस', 'bn': 'অলি ওয়াটকিন্স'}, 'shortNameTranslation': {'ar': 'أ. واتكينز', 'hi': 'ओ. वॉटकिंस', 'bn': 'ও. ওয়াটকিন্স'}}",11.0,9.0,,,0.0,6.0,8.0,3.0,3.0,1.0,4.0,,,,,,68.0,19.0,6.3,4.0,0.00356318,"{'original': 6.3, 'alternative': 6.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,,5.0,,1.0,3.0,,,,,1.0,,,,,,0.2985,1.0,2.0,,2.0,,,,
