name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,sofascoreId,aerialLost,duelLost,duelWon,challengeLost,totalTackle,wonTackle,unsuccessfulTouch,penaltyConceded,fouls,keyPass,aerialWon,shotOffTarget,outfielderBlock,interceptionWon,expectedGoals,totalCross,wasFouled,totalContest,wonContest,dispossessed,accurateCross,firstName,lastName,blockedScoringAttempt,totalOffside,onTargetScoringAttempt,expectedGoalsOnTarget,bigChanceCreated,bigChanceMissed,goalAssist,goals,penaltyWon
Danny Welbeck,danny-welbeck,D. Welbeck,F,18,185,4472,M,33902,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,659577600,"{'value': 4200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داني ويلبيك', 'hi': 'डैनी वेल्बेक', 'bn': 'ড্যানি ওয়েলবেক'}, 'shortNameTranslation': {'ar': 'د. ويلبيك', 'hi': 'डी. वेल्बेक', 'bn': 'ডি. ওয়েলবেক'}}",18.0,14.0,,,8.0,10.0,6.0,8.0,1.0,,,,,,,,76.0,30.0,6.6,8.0,0.0354286,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,2.0,3.0,,1.0,,2.0,,,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,
Facundo Buonanotte,facundo-buonanotte,F. Buonanotte,M,40,174,18331,M,1117025,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1103760000,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فاكوندو بونانوتي', 'hi': 'फ़ाकंडो बुओनानोट्टे', 'bn': 'ফ্যাকুন্ডো বুওনানোত্তে'}, 'shortNameTranslation': {'ar': 'ف. بونانوتي', 'hi': 'एफ. बुओनानोट्टे', 'bn': 'এফ. বুওনানোট'}}",10.0,9.0,,,1.0,1.0,9.0,10.0,,,,,,,,,27.0,14.0,6.5,2.0,0.0370353,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,facubuonanotte_,,4.0,2.0,2.0,,,1.0,,2.0,,,,,,,1.0,,2.0,2.0,,1.0,Facundo Buonanotte,,,,,,,,,,
João Pedro,joao-pedro,J. Pedro,F,20,182,86665,M,975079,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1001462400,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو بيدرو', 'hi': 'जोआओ पेड्रो', 'bn': 'জন পেড্রো'}, 'shortNameTranslation': {'ar': 'ج. بيدرو', 'hi': 'जे. पेड्रो', 'bn': 'জে. পেড্রো'}}",20.0,18.0,,,3.0,3.0,15.0,17.0,,,,,,,,,27.0,31.0,6.5,7.0,0.0253657,"{'original': 6.5, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,joaopedro,,2.0,2.0,,1.0,,3.0,,,,,,,,0.1477,,1.0,1.0,,1.0,,,,1.0,,,,,,,,
Ansu Fati,ansu-fati,A. Fati,F,31,178,177605,M,962883,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,1036022400,"{'value': 10400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنسو فاتي', 'hi': 'अंसू फाति', 'bn': 'আনসু ফাতি'}, 'shortNameTranslation': {'ar': 'أ. فاتي', 'hi': 'ए. फाति', 'bn': 'এ. ফাতি'}}",10.0,9.0,,,2.0,2.0,7.0,8.0,,1.0,,,,,,,14.0,11.0,6.8,1.0,0.0683215,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,AnsuFati,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Jason Steele,jason-steele,J. Steele,G,23,188,502,M,31867,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,650937600,"{'value': 715000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جايسون ستيل', 'hi': 'जेसन स्टील', 'bn': 'জেসন স্টিল'}, 'shortNameTranslation': {'ar': 'ج. ستيل', 'hi': 'जे. स्टील', 'bn': 'জে. স্টিল'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joël Veltman,joel-veltman,J. Veltman,D,34,184,1159,M,219572,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,695433600,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويل فيلتمان', 'hi': 'जोएल वेल्टमैन', 'bn': 'জোয়েল ভেল্টম্যান'}, 'shortNameTranslation': {'ar': 'ج. فيلتمان', 'hi': 'जे. वेल्टमैन', 'bn': 'জে. ভেল্টম্যান'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor Júlio,igor-julio,I. Júlio,D,5,185,1286,M,842513,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,886809600,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيغور جوليو', 'hi': 'इगोर जूलियो', 'bn': 'ইগর জুলিও'}, 'shortNameTranslation': {'ar': 'إ. جوليو', 'hi': 'आई. जूलियो', 'bn': 'আই. জুলিও'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Peupion,cameron-peupion,C. Peupion,M,21,175,199,M,1002331,"{'alpha2': 'AU', 'alpha3': 'AUS', 'name': 'Australia', 'slug': 'australia'}",EUR,1032739200,"{'value': 290000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاميرون بيوبيون', 'hi': 'कैमरून पेउपियन', 'bn': 'ক্যামেরন পিউপিয়ন'}, 'shortNameTranslation': {'ar': 'ك. بيوبيون', 'hi': 'सी. पेउपियन', 'bn': 'সি. পিউপিয়ন'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Lallana,adam-lallana,A. Lallana,M,10,172,1265,M,17054,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,579225600,,"{'nameTranslation': {'ar': 'آدم لالانا', 'hi': 'एडम लल्लाना', 'bn': 'অ্যাডাম লাল্লানা'}, 'shortNameTranslation': {'ar': 'آ. لالانا', 'hi': 'ए. लल्लाना', 'bn': 'এ. লাল্লানা'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valentín Barco,valentin-barco,V. Barco,M,8,172,10685,M,1127057,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1090540800,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فالنتين باركو', 'hi': 'वैलेन्टिन बार्को', 'bn': 'ভ্যালেন্টিন বারকো'}, 'shortNameTranslation': {'ar': 'ف. باركو', 'hi': 'वी. बारको', 'bn': 'ভি. বারকো'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,colo.barco,,,,,,,,,,,,,,,,,,,,,,Valentín Barco,,,,,,,,,,
David Raya,david-raya,D. Raya,G,1,183,25247,M,581310,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,811123200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد رايا', 'hi': 'डेविड राया', 'bn': 'ডেভিড রায়া'}, 'shortNameTranslation': {'ar': 'د. رايا', 'hi': 'डी. राया', 'bn': 'ডি. রায়া'}}",29.0,18.0,14.0,4.0,16.0,19.0,2.0,10.0,,7.0,,,2.0,,,,90.0,35.0,7.0,11.0,0.00034005,"{'original': 7, 'alternative': 7.3}",0,0.3025,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,d_raya1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben White,benjamin-white,B. White,D,4,186,13312,M,846036,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,876268800,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بنيامين وايت', 'hi': 'बेंजामिन व्हाइट', 'bn': 'বেঞ্জামিন হোয়াইট'}, 'shortNameTranslation': {'ar': 'ب. وايت', 'hi': 'बी. व्हाइट', 'bn': 'বি. হোয়াইট'}}",38.0,27.0,1.0,,10.0,12.0,17.0,29.0,3.0,8.0,,,,,,,90.0,59.0,7.4,17.0,0.0734804,"{'original': 7.4, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,benwhite,,4.0,4.0,1.0,1.0,,1.0,,3.0,2.0,2.0,,,1.0,,3.0,1.0,,,,,,,,1.0,,,1.0,,,,
William Saliba,william-saliba,W. Saliba,D,2,193,43547,M,941168,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,985392000,"{'value': 85000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليام صاليبا', 'hi': 'विलियम सलीबा', 'bn': 'উইলিয়াম সালিবা'}, 'shortNameTranslation': {'ar': 'و. صاليبا', 'hi': 'डब्लू. सलीबा', 'bn': 'ডব্লিউ. সালিবা'}}",50.0,46.0,2.0,1.0,27.0,29.0,19.0,21.0,1.0,6.0,,,,,,,90.0,59.0,7.0,5.0,0.0114128,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,WSaliba4,1.0,4.0,4.0,,1.0,1.0,,,2.0,,1.0,,,,,,,3.0,2.0,,,,,,,,,,,,,
Gabriel Magalhães,gabriel-magalhaes,Gabriel,D,6,190,45357,M,869792,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,882489600,"{'value': 70000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل ماغاليس', 'hi': 'गेब्रियल मैगलहेस', 'bn': 'গ্যাব্রিয়েল ম্যাগালহায়েস'}, 'shortNameTranslation': {'ar': 'غابرييل', 'hi': 'गेब्रियल मैगलहेस', 'bn': 'গ্যাব্রিয়েল'}}",56.0,42.0,9.0,1.0,27.0,33.0,15.0,23.0,6.0,6.0,,,,,,,90.0,70.0,7.2,15.0,0.00555862,"{'original': 7.2, 'alternative': 7}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,GabrielMagalhães,1.0,1.0,4.0,,1.0,1.0,,,,,3.0,3.0,1.0,,0.6987,,,,,,,,,1.0,,1.0,0.1156,,2.0,,,
Oleksandr Zinchenko,oleksandr-zinchenko,O. Zinchenko,D,35,175,17817,M,287643,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,850608000,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليكساندر زينتشينكو', 'hi': 'ओलेक्सांद्र ज़िनचेंको', 'bn': 'অলেক্সান্ডার জিনচেনকো'}, 'shortNameTranslation': {'ar': 'أ. زينتشينكو', 'hi': 'ओ. ज़िनचेंको', 'bn': 'ও. জিনচেনকো'}}",41.0,36.0,1.0,,14.0,15.0,22.0,26.0,,1.0,,,,,,,72.0,50.0,6.7,6.0,0.0578792,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,OZinchenko,,2.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,
Martin Ødegaard,martin-odegaard,M. Ødegaard,M,8,178,81763,M,547410,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,913852800,"{'value': 82000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارتن أوديغارد', 'hi': 'मार्टिन ओडेगार्ड', 'bn': 'মার্টিন ওডেগার্ড'}, 'shortNameTranslation': {'ar': 'م. أوديغارد', 'hi': 'एम. ओडेगार्ड', 'bn': 'এম. ওডেগার্ড'}}",50.0,46.0,1.0,1.0,16.0,17.0,31.0,35.0,,5.0,,,,,,,89.0,64.0,7.5,9.0,0.291184,"{'original': 7.5, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,Ødegaard,,3.0,2.0,1.0,,,2.0,,,1.0,,,,2.0,0.0581,2.0,1.0,2.0,1.0,1.0,1.0,,,1.0,,1.0,0.0451,1.0,,,,
Jorginho,jorginho,Jorginho,M,21,180,32651,M,132874,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,693187200,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جورجينيو', 'hi': 'जोर्गिनहो', 'bn': 'জর্গিনহো'}, 'shortNameTranslation': {'ar': 'جورجينيو', 'hi': 'जोर्गिनहो', 'bn': 'জর্গিনহো'}}",55.0,50.0,3.0,2.0,19.0,21.0,31.0,34.0,,5.0,,,,,,,90.0,65.0,7.5,6.0,0.563672,"{'original': 7.5, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,jorginhofrello,,4.0,3.0,1.0,1.0,,,,2.0,1.0,,,,2.0,,,1.0,2.0,1.0,,,,,,,,,1.0,,1.0,,
Declan Rice,declan-rice,D. Rice,M,41,188,60954,M,856714,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,916272000,"{'value': 114000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديكلان رايس', 'hi': 'डेक्लान राइस', 'bn': 'ডেক্লান রাইস'}, 'shortNameTranslation': {'ar': 'د. رايس', 'hi': 'डी. राइस', 'bn': 'ডি. রাইস'}}",31.0,29.0,,,13.0,13.0,19.0,21.0,3.0,4.0,,,,,,,90.0,52.0,7.4,7.0,0.226895,"{'original': 7.4, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,DeclanRice,1.0,3.0,5.0,,2.0,1.0,1.0,,1.0,3.0,,,,1.0,0.0416,3.0,1.0,4.0,2.0,,3.0,,,1.0,,,,1.0,,,,
Bukayo Saka,bukayo-saka,B. Saka,F,7,178,187094,M,934235,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,999648000,"{'value': 136000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوكايو ساكا', 'hi': 'बुकायो साका', 'bn': 'বুকায়ো সাকা'}, 'shortNameTranslation': {'ar': 'ب. ساكا', 'hi': 'बी. साका', 'bn': 'বি. সাকা'}}",28.0,22.0,2.0,1.0,1.0,2.0,22.0,30.0,2.0,2.0,,,,,,,64.0,47.0,7.8,12.0,0.230925,"{'original': 7.8, 'alternative': 7.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,BSaka7,1.0,3.0,5.0,,2.0,1.0,,,,3.0,,1.0,,,0.985,4.0,2.0,2.0,1.0,1.0,1.0,,,1.0,,1.0,0.9917,,,,1.0,
Kai Havertz,kai-havertz,K. Havertz,F,29,193,71176,M,836705,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,929059200,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاي هافرتز', 'hi': 'काई हावर्ट्ज़', 'bn': 'কাই হাভার্টজ'}, 'shortNameTranslation': {'ar': 'ك. هافيرتز', 'hi': 'के. हावर्ट्ज़', 'bn': 'কে. হাভার্টজ'}}",22.0,18.0,,,6.0,6.0,13.0,17.0,1.0,3.0,,,,,,,89.0,36.0,8.6,6.0,0.494059,"{'original': 8.6, 'alternative': 8.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,KaiHav,3.0,7.0,7.0,,1.0,1.0,1.0,,3.0,4.0,3.0,1.0,,,0.7082,1.0,4.0,1.0,,,1.0,,,,1.0,1.0,0.857,2.0,1.0,1.0,1.0,
