name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,duelLost,challengeLost,totalTackle,unsuccessfulTouch,wasFouled,fouls,totalOffside,keyPass,totalCross,totalContest,shotOffTarget,outfielderBlock,wonContest,bigChanceCreated,interceptionWon,wonTackle,firstName,lastName,onTargetScoringAttempt,blockedScoringAttempt,dispossessed,bigChanceMissed,accurateCross,goals
Nicolas Jackson,nicolas-jackson,N. Jackson,F,11,186,86972,M,NJackson11,1085381,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,992995200,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس جاكسون', 'hi': 'निकोलस जैक्सन', 'bn': 'নিকোলাস জ্যাকসন'}, 'shortNameTranslation': {'ar': 'ن. جاكسون', 'hi': 'एन. जैक्सन', 'bn': 'এন. জ্যাকসন'}}",10.0,7.0,,,2.0,3.0,5.0,7.0,2.0,3.0,2.0,2.0,,,,,,68.0,20.0,6.4,8.0,0.4822,0.6694,0.00980591,"{'original': 6.4, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,5.0,,1.0,3.0,,2.0,3.0,1.0,,1.0,,,,,,1.0,Nicolas Jackson,,1.0,,1.0,1.0,,
Ben Chilwell,ben-chilwell,B. Chilwell,D,3,181,11476,M,Chilly,802695,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,851126400,"{'value': 11100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن تشيلويل', 'hi': 'बेन चिलवेल', 'bn': 'বেন চিলওয়েল'}, 'shortNameTranslation': {'ar': 'ب. تشيلويل', 'hi': 'बी. चिलवेल', 'bn': 'বি. চিলওয়েল'}}",19.0,17.0,2.0,1.0,10.0,11.0,8.0,10.0,,3.0,2.0,3.0,,,,,,29.0,31.0,6.9,4.0,0.2209,0.3241,0.0143129,"{'original': 6.9, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,,1.0,,2.0,1.0,,,2.0,,,,,,1.0,1.0,,,1.0,,,1.0,1.0,
Lesley Ugochukwu,lesley-ugochukwu,L. Ugochukwu,M,8,188,5188,M,l.ugochukwu8,1048916,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1080259200,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليزلي أوغوتشوكوو', 'hi': 'लेस्ली उगोचुकु', 'bn': 'লেসলি উগোচুকউ'}, 'shortNameTranslation': {'ar': 'ل. أوغوتشوكوو', 'hi': 'एल. उगोचुकु', 'bn': 'এল. উগোচুকউ'}}",13.0,12.0,,,6.0,6.0,6.0,7.0,,4.0,,2.0,,,,,,22.0,23.0,6.9,5.0,0.0,0.0,0.0122724,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,,3.0,3.0,,1.0,,,,1.0,,,1.0,,,3.0,,,,,1.0,,,
Cole Palmer,cole-palmer,C. Palmer,M,10,185,368423,M,ColdPalmer,982780,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020643200,"{'value': 110000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كول بالمر', 'hi': 'कोल पाल्मर', 'bn': 'কোল পামার'}, 'shortNameTranslation': {'ar': 'ك. بالمر', 'hi': 'सी. पाल्मर', 'bn': 'সি. পামার'}}",20.0,17.0,4.0,3.0,3.0,5.0,14.0,15.0,,1.0,,3.0,,,,,,22.0,28.0,6.8,8.0,0.1823,0.0,0.0360647,"{'original': 6.8, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,4.0,,,1.0,1.0,,1.0,2.0,,,,,,1.0,,,,,,2.0,4.0,,,
Armando Broja,armando-broja,A. Broja,F,27,191,8884,M,armando.broja,996985,"{'alpha2': 'AL', 'alpha3': 'ALB', 'name': 'Albania', 'slug': 'albania'}",EUR,1000080000,"{'value': 9100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أرماندو برويا', 'hi': 'अरमांडो ब्रोजा', 'bn': 'আরমান্দো ব্রজা'}, 'shortNameTranslation': {'ar': 'أ. برويا', 'hi': 'ए. ब्रोजा', 'bn': 'এ. ব্রজা'}}",1.0,1.0,,,,,1.0,1.0,,,,,,,,,,11.0,4.0,6.5,1.0,0.0257,0.0,0.0006342,"{'original': 6.5, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,
Đorđe Petrović,dorde-petrovic,Đ. Petrović,G,1,194,8808,M,dj.petrovic12,882604,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia', 'slug': 'serbia'}",EUR,939340800,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوردي بيتروفيتش', 'hi': 'डोरे पेट्रोविक', 'bn': 'ডোরে পেট্রোভিচ'}, 'shortNameTranslation': {'ar': 'د. بيتروفيتش', 'hi': 'डी. पेट्रोविक', 'bn': 'ডি. পেট্রোভিচ'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Bergström,lucas-bergstrom,L. Bergström,G,13,206,3384,M,,996903,"{'alpha2': 'FI', 'alpha3': 'FIN', 'name': 'Finland', 'slug': 'finland'}",EUR,1031184000,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس بيرغستروم', 'hi': 'लुकास बर्गस्ट्रोम', 'bn': 'লুকাস বার্গস্ট্রোম'}, 'shortNameTranslation': {'ar': 'ل. بيرغستروم', 'hi': 'एल. बर्गस्ट्रोम', 'bn': 'এল. বার্গস্ট্রোম'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Cucurella,marc-cucurella,M. Cucurella,D,3,175,37004,M,cucurella3,794939,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,901065600,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك كوكوريلا', 'hi': 'मार्क कोकोरेला', 'bn': 'মার্ক কুকুরেলা'}, 'shortNameTranslation': {'ar': 'م. كوكوريلا', 'hi': 'एम. कोकोरेला', 'bn': 'এম. কুকুরেলা'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Maatsen,ian-maatsen,I. Maatsen,D,22,178,5423,M,maatsen_,976263,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1015718400,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيان ماتسين', 'hi': 'इयान मात्सेन', 'bn': 'ইয়ান মাতসেন'}, 'shortNameTranslation': {'ar': 'إ. ماتسين', 'hi': 'आई. मात्सेन', 'bn': 'আই. মাতসেন'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
Deivid Washington,deivid-washington,D. Washington,F,33,186,7071,M,deividwashington_,1485371,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1117929600,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد واشنطن', 'hi': 'डेविड वॉशिंगटन', 'bn': 'ডেভিড ওয়াশিংটন'}, 'shortNameTranslation': {'ar': 'د. واشنطن', 'hi': 'डी. वॉशिंगटन', 'bn': 'ডি. ওয়াশিংটন'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,Deivid Washington,,,,,,,
Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,195,62646,M,EmiMartínez,158263,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,715392000,"{'value': 14400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إميليانو مارتينيز', 'hi': 'एमिलियानो मार्टिनेज', 'bn': 'এমিলিয়ানো মার্টিনেজ'}, 'shortNameTranslation': {'ar': 'إ. مارتينيز', 'hi': 'ई. मार्टिनेज', 'bn': 'ই. মার্টিনেজ'}}",46.0,35.0,17.0,7.0,32.0,35.0,3.0,11.0,,,1.0,8.0,,3.0,4.0,2.0,2.0,90.0,57.0,7.7,12.0,0.0,0.0,0.00026542,"{'original': 7.7, 'alternative': 7.9}",0,1.6442,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
Matty Cash,matty-cash,M. Cash,D,2,185,9152,M,mattycash622,833956,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,870912000,"{'value': 19800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتي كاش', 'hi': 'मैटी कैश', 'bn': 'ম্যাটি ক্যাশ'}, 'shortNameTranslation': {'ar': 'م. كاش', 'hi': 'एम. कैश', 'bn': 'এম. ক্যাশ'}}",33.0,31.0,2.0,1.0,19.0,20.0,12.0,14.0,,,2.0,3.0,,,,,,90.0,47.0,7.5,4.0,0.0667,0.5676,0.00794736,"{'original': 7.5, 'alternative': 7.3}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,1.0,,,,,,1.0,,,,2.0,1.0,,,,
Ezri Konsa,ezri-konsa,E. Konsa,D,4,183,3125,M,,827679,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,877564800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إزري كونسا', 'hi': 'एज़री कोंसा', 'bn': 'ইজরি কনসা'}, 'shortNameTranslation': {'ar': 'إ. كونسا', 'hi': 'ई. कोंसा', 'bn': 'ই. কনসা'}}",38.0,37.0,1.0,1.0,29.0,30.0,8.0,8.0,2.0,5.0,6.0,1.0,,,,,,90.0,53.0,7.7,2.0,0.1988,0.0,0.00408428,"{'original': 7.7, 'alternative': 7.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,2.0,,1.0,1.0,2.0,,,,,,1.0,2.0,,,1.0,1.0,,,,,,,,
Pau Torres,pau-torres,P. Torres,D,14,192,4120,M,pauttorres,864169,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,853372800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باو توريس', 'hi': 'पाऊ टोरेस', 'bn': 'পাউ টরেস'}, 'shortNameTranslation': {'ar': 'ب. توريس', 'hi': 'पी. टोरेस', 'bn': 'পি. টরেস'}}",49.0,45.0,4.0,4.0,34.0,38.0,11.0,11.0,1.0,4.0,2.0,2.0,,,,,,90.0,57.0,7.4,4.0,0.0,0.0,0.00499899,"{'original': 7.4, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,2.0,,2.0,,,,,1.0,,1.0,,,1.0,,,2.0,,,,,,,,
Lucas Digne,lucas-digne,L. Digne,D,12,178,4445,M,LDigne,96538,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,743126400,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس دين', 'hi': 'लुकास डिग्ने', 'bn': 'লুকাস ডিগনে'}, 'shortNameTranslation': {'ar': 'ل. دين', 'hi': 'एल. डिग्ने', 'bn': 'এল. ডিগনে'}}",34.0,27.0,1.0,,16.0,19.0,11.0,19.0,,5.0,,6.0,,,,,,90.0,62.0,7.4,17.0,0.0197,0.0826,0.0210227,"{'original': 7.4, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,4.0,1.0,4.0,1.0,1.0,1.0,,,4.0,,1.0,,,,3.0,2.0,,,1.0,,1.0,,,
Boubacar Kamara,boubacar-kamara,B. Kamara,M,44,184,3320,M,,826204,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,943315200,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبكر كامارا', 'hi': 'बौबाकर कामारा', 'bn': 'বউবকার কামারা'}, 'shortNameTranslation': {'ar': 'ب. كامارا', 'hi': 'बी. कामारा', 'bn': 'বি.কামারা'}}",45.0,40.0,9.0,5.0,24.0,24.0,16.0,21.0,,6.0,,5.0,,,,,,89.0,65.0,7.4,11.0,0.0,0.0,0.0514182,"{'original': 7.4, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,5.0,1.0,5.0,4.0,,1.0,,4.0,,3.0,,,1.0,,2.0,4.0,,,,,,,,
Douglas Luiz,douglas-luiz,D. Luiz,M,12,175,11414,M,Douglas_Luiz,867887,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,894672000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوغلاس لويز', 'hi': 'डगलस लुइज़', 'bn': 'ডগলাস লুই'}, 'shortNameTranslation': {'ar': 'د. لويز', 'hi': 'डी. लुइज़', 'bn': 'ডি. লুইজ'}}",58.0,47.0,10.0,5.0,21.0,25.0,26.0,38.0,2.0,6.0,2.0,11.0,,,,,,90.0,75.0,7.1,18.0,0.0808,0.0,0.0771421,"{'original': 7.1, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,5.0,1.0,2.0,1.0,1.0,3.0,,,5.0,1.0,,1.0,1.0,,1.0,1.0,,,,2.0,1.0,,,
John McGinn,john-mcginn,J. McGinn,M,7,175,3796,M,,250223,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,782438400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون ماكجين', 'hi': 'जॉन मैकगिन', 'bn': 'জন ম্যাকগিন'}, 'shortNameTranslation': {'ar': 'ج. ماكجين', 'hi': 'जे. मैकगिन', 'bn': 'জে. ম্যাকগিন'}}",19.0,14.0,3.0,2.0,3.0,5.0,12.0,17.0,,2.0,,4.0,,,,,,75.0,29.0,6.6,10.0,0.0,0.0,0.0230703,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,5.0,2.0,1.0,1.0,,1.0,,,3.0,2.0,,,1.0,,1.0,1.0,,,,,1.0,,1.0,
Moussa Diaby,diaby-moussa,M. Diaby,M,19,170,7519,M,moussadiaby,855817,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,931305600,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موسى ديابي', 'hi': 'डायबी, मूसा', 'bn': 'ডায়াবি, মুসা'}, 'shortNameTranslation': {'ar': 'م. ديابي', 'hi': 'एम. डायबी', 'bn': 'এম. ডায়াবি'}}",17.0,17.0,2.0,2.0,6.0,6.0,11.0,13.0,,1.0,,1.0,,,,,,81.0,27.0,6.6,6.0,0.2251,0.3545,0.0519978,"{'original': 6.6, 'alternative': 6.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,1.0,1.0,2.0,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,
Nicolò Zaniolo,nicolo-zaniolo,N. Zaniolo,F,10,189,9354,M,nicolozaniolo,864898,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,930873600,"{'value': 11400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولو زانيولو', 'hi': 'निकोलो ज़ेनिओलो', 'bn': 'নিকোলো জানিওলো'}, 'shortNameTranslation': {'ar': 'ن. زانيولو', 'hi': 'एन. ज़ेनिओलो', 'bn': 'এন. জানিওলো'}}",15.0,9.0,,,4.0,5.0,5.0,15.0,1.0,6.0,2.0,5.0,,,,,,75.0,47.0,6.7,21.0,0.1558,0.0296,0.0205249,"{'original': 6.7, 'alternative': 6.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,11.0,,,4.0,1.0,2.0,,,5.0,7.0,,,4.0,,,,,,1.0,1.0,3.0,,,
