name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalContest,wonContest,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,duelLost,challengeLost,interceptionWon,unsuccessfulTouch,wasFouled,fouls,outfielderBlock,totalTackle,wonTackle,aerialLost,shotOffTarget,keyPass,sofascoreId,totalOffside,totalCross,accurateCross,dispossessed,goalAssist,onTargetScoringAttempt,blockedScoringAttempt,firstName,lastName,goals,errorLeadToAGoal,totalKeeperSweeper,accurateKeeperSweeper,bigChanceCreated
Evan Ferguson,evan-ferguson,E. Ferguson,F,11,188,8187,M,999231,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1098144000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفان فيرغسون', 'hi': 'इवान फर्ग्यूसन', 'bn': 'ইভান ফার্গুসন'}, 'shortNameTranslation': {'ar': 'إ. فيرغسون', 'hi': 'ई. फर्ग्यूसन', 'bn': 'ই. ফার্গুসন'}}",18.0,17.0,,,4.0,4.0,13.0,14.0,1.0,7.0,2.0,2.0,,1.0,,,,,81.0,34.0,9.7,6.0,0.7827,1.4268,0.0355383,"{'original': 9.7, 'alternative': 9.6}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,,3.0,4.0,1.0,,,,,,,EvanFerguson9,,,,1.0,,4.0,,,,3.0,,,,
Tariq Lamptey,lamptey-tariq,T. Lamptey,D,48,165,4099,M,914691,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,970272000,"{'value': 10000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لامبتي، تاريك', 'hi': 'लैम्पटे, तारिक', 'bn': 'ল্যাম্পটে, তারিক'}, 'shortNameTranslation': {'ar': 'ت. لامبتي', 'hi': 'टी. लैम्पटे', 'bn': 'টি. ল্যাম্পটে'}}",7.0,5.0,,,1.0,1.0,4.0,6.0,,1.0,1.0,1.0,,1.0,,,,,13.0,9.0,6.5,2.0,0.0,0.0,0.00084911,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,1.0,,,1.0,,,,,,,TariqLamptey,,,,,,,,,,,,,,
Mahmoud Dahoud,mahmoud-dahoud,M. Dahoud,M,18,177,1888,M,341589,"{'alpha2': 'SY', 'alpha3': 'SYR', 'name': 'Syria', 'slug': 'syria'}",EUR,820454400,"{'value': 2200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمود داوود', 'hi': 'महमूद दाउद', 'bn': 'মাহমুদ দাহৌদ'}, 'shortNameTranslation': {'ar': 'م. داوود', 'hi': 'एम. दाउद', 'bn': 'এম. দাহৌদ'}}",23.0,23.0,,,14.0,14.0,9.0,9.0,,,,,,,,,,,13.0,24.0,6.4,,0.0,0.0,0.00661628,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
James Milner,james-milner,J. Milner,M,20,175,3314,M,791,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,505180800,"{'value': 820000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ميلنر', 'hi': 'जेम्स मिलनर', 'bn': 'জেমস মিলনার'}, 'shortNameTranslation': {'ar': 'ج. ميلنر', 'hi': 'जे. मिलनर', 'bn': 'জে. মিলনার'}}",12.0,12.0,,,7.0,7.0,5.0,5.0,,1.0,,,1.0,2.0,,,,,9.0,15.0,6.5,1.0,0.0,0.0,0.001526,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
Adam Lallana,adam-lallana,A. Lallana,M,10,172,1265,M,17054,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,579225600,,"{'nameTranslation': {'ar': 'آدم لالانا', 'hi': 'एडम लल्लाना', 'bn': 'অ্যাডাম লাল্লানা'}, 'shortNameTranslation': {'ar': 'آ. لالانا', 'hi': 'ए. लल्लाना', 'bn': 'এ. লাল্লানা'}}",14.0,14.0,,,5.0,5.0,9.0,9.0,,1.0,,,,,,,,,9.0,16.0,6.4,1.0,0.0,0.0,0.00431637,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,2.0,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,
Simon Adingra,simon-adingra,S. Adingra,M,24,175,45746,M,1110842,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1009843200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيمون أدينغرا', 'hi': 'साइमन एडिंगरा', 'bn': 'সাইমন আদিংরা'}, 'shortNameTranslation': {'ar': 'س. أدينغرا', 'hi': 'एस. एडिंगरा', 'bn': 'এস. আদিংরা'}}",3.0,3.0,,,1.0,1.0,2.0,2.0,,1.0,,,,1.0,,,,,10.0,5.0,6.6,,0.0996,0.0,0.00645821,"{'original': 6.6, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,1.0,,,,,,,,simon.adingra,,,,,,,1.0,,,,,,,
Jason Steele,jason-steele,J. Steele,G,23,188,502,M,31867,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,650937600,"{'value': 715000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جايسون ستيل', 'hi': 'जेसन स्टील', 'bn': 'জেসন স্টিল'}, 'shortNameTranslation': {'ar': 'ج. ستيل', 'hi': 'जे. स्टील', 'bn': 'জে. স্টিল'}}",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Webster,adam-webster,A. Webster,D,4,191,506,M,216308,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,789177600,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم ويبستر', 'hi': 'एडम वेबस्टर', 'bn': 'অ্যাডাম ওয়েবস্টার'}, 'shortNameTranslation': {'ar': 'آ. ويبستر', 'hi': 'ए. वेबस्टर', 'bn': 'এ. ওয়েবস্টার'}}",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor Júlio,igor-julio,I. Júlio,D,5,185,1286,M,842513,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,886809600,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيغور جوليو', 'hi': 'इगोर जूलियो', 'bn': 'ইগর জুলিও'}, 'shortNameTranslation': {'ar': 'إ. جوليو', 'hi': 'आई. जूलियो', 'bn': 'আই. জুলিও'}}",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facundo Buonanotte,facundo-buonanotte,F. Buonanotte,M,40,174,18331,M,1117025,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1103760000,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فاكوندو بونانوتي', 'hi': 'फ़ाकंडो बुओनानोट्टे', 'bn': 'ফ্যাকুন্ডো বুওনানোত্তে'}, 'shortNameTranslation': {'ar': 'ف. بونانوتي', 'hi': 'एफ. बुओनानोट्टे', 'bn': 'এফ. বুওনানোট'}}",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,facubuonanotte_,,,,,,,,Facundo Buonanotte,,,,,,
Nick Pope,nick-pope,N. Pope,G,1,198,4568,M,162653,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,703641600,"{'value': 6700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيك بوب', 'hi': 'निक पोप', 'bn': 'নিক পোপ'}, 'shortNameTranslation': {'ar': 'ن. بوب', 'hi': 'एन. पोप', 'bn': 'এন. পোপ'}}",23.0,18.0,8.0,3.0,16.0,17.0,2.0,6.0,,,,,1.0,8.0,,2.0,4.0,,90.0,34.0,6.0,5.0,0.0,0.0,0.00088001,"{'original': 6, 'alternative': 5.9}",0,-1.2633,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,npope29,,,,,,,,,,,1.0,2.0,2.0,
Kieran Trippier,kieran-trippier,K. Trippier,D,2,174,8611,M,69256,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,653702400,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيران تريبيير', 'hi': 'किरन ट्रिप्पियर', 'bn': 'কাইরান ট্রিপিয়ার'}, 'shortNameTranslation': {'ar': 'ك. تريبيير', 'hi': 'के.ट्रिप्पियर', 'bn': 'কে. ট্রিপিয়ার'}}",63.0,52.0,7.0,2.0,38.0,44.0,15.0,24.0,,5.0,,,2.0,2.0,,,,,90.0,86.0,6.7,15.0,0.0,0.0,0.0414825,"{'original': 6.7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,4.0,1.0,1.0,,2.0,2.0,2.0,3.0,1.0,1.0,,1.0,ktrippier2,,5.0,1.0,,,,,,,,,,,
Fabian Schär,fabian-schar,F. Schär,D,5,186,3205,M,101882,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,693187200,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فابيان شار', 'hi': 'फेबियन शार', 'bn': 'ফ্যাবিয়ান শার'}, 'shortNameTranslation': {'ar': 'ف. شار', 'hi': 'एफ. शार', 'bn': 'এফ. শার'}}",71.0,59.0,11.0,5.0,41.0,48.0,18.0,23.0,,4.0,,,3.0,4.0,,,,,90.0,83.0,6.8,12.0,0.0172,0.1638,0.0426119,"{'original': 6.8, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,7.0,1.0,1.0,,,4.0,2.0,4.0,3.0,2.0,,,,,,,,,1.0,,,,,,,,
Dan Burn,dan-burn,D. Burn,D,33,201,4399,M,99090,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,705369600,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دان بيرن', 'hi': 'डैन बर्न', 'bn': 'ড্যান বার্ন'}, 'shortNameTranslation': {'ar': 'د. بيرن', 'hi': 'डी. बर्न', 'bn': 'ডি বার্ন'}}",41.0,36.0,3.0,2.0,30.0,32.0,6.0,9.0,3.0,4.0,,,1.0,4.0,,,,,90.0,49.0,6.0,5.0,0.0,0.0,0.00119277,"{'original': 6, 'alternative': 5.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,8.0,2.0,,,1.0,4.0,,,,2.0,,,,,,,,,,,,,,,,,
Matt Targett,matt-targett,M. Targett,D,3,183,815,M,368134,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,811382400,"{'value': 3200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات تارجيت', 'hi': 'मैट टार्गेट', 'bn': 'ম্যাট টার্গেট'}, 'shortNameTranslation': {'ar': 'م. تارجيت', 'hi': 'एम. टार्गेट', 'bn': 'এম. টার্গেট'}}",31.0,26.0,4.0,1.0,13.0,15.0,13.0,16.0,,4.0,1.0,,2.0,4.0,,,,,74.0,45.0,6.1,6.0,0.0,0.0,0.00496726,"{'original': 6.1, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,,,,2.0,,,2.0,,3.0,,1.0,,,,,,,,,,,,,,,
Sandro Tonali,sandro-tonali,S. Tonali,M,8,181,14020,M,892673,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,957744000,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساندرو تونالي', 'hi': 'सैंड्रो टोनाली', 'bn': 'সান্দ্রো টোনালি'}, 'shortNameTranslation': {'ar': 'س. تونالي', 'hi': 'एस. टोनाली', 'bn': 'এস. টোনালি'}}",21.0,17.0,,,7.0,9.0,11.0,14.0,,2.0,1.0,1.0,2.0,1.0,,,,,58.0,30.0,6.8,7.0,0.0,0.0,0.103693,"{'original': 6.8, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,1.0,,1.0,1.0,,,,,,,2.0,sandrotonali,,2.0,1.0,1.0,,,,,,,,,,
Bruno Guimarães,bruno-guimaraes,B. Guimarães,M,39,182,31656,M,866469,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,879638400,"{'value': 77000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو غيماريش', 'hi': 'ब्रूनो गीमरेस', 'bn': 'ব্রুনো গুইমারেস'}, 'shortNameTranslation': {'ar': 'ب. غيمارايش', 'hi': 'बी. गीमरेस', 'bn': 'বি. গুইমারেস'}}",52.0,48.0,2.0,1.0,22.0,24.0,26.0,29.0,,8.0,1.0,1.0,,3.0,,,,,90.0,65.0,7.1,7.0,0.0,0.0,0.200916,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,1.0,,1.0,4.0,1.0,,3.0,2.0,,,1.0,BrunoGuimarães,,1.0,,1.0,,,,,,,,,,
Joelinton,joelinton,Joelinton,M,7,186,9814,M,560128,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,839980800,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويلينتون', 'hi': 'जोलिंटन', 'bn': 'জোলিন্টন'}, 'shortNameTranslation': {'ar': 'جولينتون', 'hi': 'जोएलिंटन', 'bn': 'জোলিন্টন'}}",21.0,17.0,,,8.0,8.0,9.0,13.0,,4.0,3.0,2.0,,3.0,,,,,58.0,33.0,6.7,6.0,0.1242,0.0,0.0023116,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,6.0,1.0,,1.0,,2.0,,2.0,2.0,2.0,1.0,,joelinton34,,,,,,,,,,,,,,
Miguel Almirón,miguel-almiron,M. Almirón,M,10,174,8455,M,333373,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,760838400,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميغيل ألميرون', 'hi': 'मिगुएल अल्मिरोन', 'bn': 'মিগুয়েল আলমিরন'}, 'shortNameTranslation': {'ar': 'م. ألميرون', 'hi': 'एम. अल्मिरोन', 'bn': 'এম. আলমিরন'}}",27.0,21.0,1.0,1.0,15.0,17.0,6.0,11.0,,1.0,1.0,1.0,,4.0,,,,,58.0,35.0,6.7,8.0,0.0,0.0,0.00492676,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,,,,,,,,,miguel_almiron,,1.0,,,,,,,,,,,,
Alexander Isak,alexander-isak,A. Isak,F,9,193,101689,M,823941,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,937872000,"{'value': 124000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألكسندر إيزاك', 'hi': 'अलेक्जेंडर इसाक', 'bn': 'আলেকজান্ডার ইসাক'}, 'shortNameTranslation': {'ar': 'أ. إيزاك', 'hi': 'ए. इसाक', 'bn': 'এ. ইসাক'}}",15.0,11.0,1.0,1.0,2.0,3.0,9.0,13.0,,5.0,6.0,5.0,1.0,,,,,,74.0,30.0,7.0,8.0,0.4386,0.0,0.0348237,"{'original': 7, 'alternative': 6.9}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,1.0,,2.0,,1.0,,,,,2.0,,AlexIsak,,1.0,,,,,2.0,,,,,,,
