name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,duelLost,duelWon,challengeLost,shotOffTarget,totalTackle,wonTackle,unsuccessfulTouch,fouls,totalCross,accurateCross,aerialLost,aerialWon,dispossessed,totalContest,wonContest,bigChanceCreated,outfielderBlock,wasFouled,keyPass,sofascoreId,interceptionWon,bigChanceMissed,onTargetScoringAttempt,blockedScoringAttempt,hitWoodwork,totalOffside
Rob Holding,rob-holding,R. Holding,D,6,189,1071,M,793228,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,811555200,"{'value': 2800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روب هولدينغ', 'hi': 'रोब होल्डिंग', 'bn': 'রব হোল্ডিং'}, 'shortNameTranslation': {'ar': 'ر. هولدينغ', 'hi': 'आर. होल्डिंग', 'bn': 'আর. হোল্ডিং'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malcolm Ebiowei,ebiowei-malcolm,M. Ebiowei,M,17,185,310,M,1176104,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1062633600,"{'value': 970000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إبيوي، مالكوم', 'hi': 'एबियोवेई, मैल्कम', 'bn': 'ইবিওই, ম্যালকম'}, 'shortNameTranslation': {'ar': 'م. إيبوي', 'hi': 'एम. एबियोवेई', 'bn': 'এম. ইবিওই'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Ozoh,david-ozoh,D. Ozoh,M,18,183,301,M,1212155,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1115337600,"{'value': 1000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد أوزوه', 'hi': 'डेविड ओज़ोह', 'bn': 'ডেভিড ওজোহ'}, 'shortNameTranslation': {'ar': 'د. أوزوه', 'hi': 'डी. ओज़ोह', 'bn': 'ডি. ওজোহ'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jadan Raymond,raymond-jadan,J. Raymond,M,,180,102,M,1138145,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,1066176000,"{'value': 54000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريموند، جادان', 'hi': 'रेमंड, जादान', 'bn': 'রেমন্ড, জাদান'}, 'shortNameTranslation': {'ar': 'ج. ريموند', 'hi': 'जे. रेमंड', 'bn': 'জে. রেমন্ড'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,Jadan Raymond,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ademola Ola-Adebomi,ademola-ola-adebomi,A. Ola-Adebomi,F,9,195,116,M,1212153,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1062547200,"{'value': 270000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أديمولا أولا-أديبومي', 'hi': 'एडेमोला ओला-एडेबोमी', 'bn': 'আদেমোলা ওলা-আদেবোমি'}, 'shortNameTranslation': {'ar': 'أ. أولا-أديبومي', 'hi': 'ए. ओला-एडेबोमी', 'bn': 'এ. ওলা-আদেবোমি'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Turner,matt-turner,M. Turner,G,30,190,1581,M,833943,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,772416000,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات تيرنر', 'hi': 'मैट टर्नर', 'bn': 'ম্যাট টার্নার'}, 'shortNameTranslation': {'ar': 'م. تيرنر', 'hi': 'एम. टर्नर', 'bn': 'এম. টার্নার'}}",27.0,24.0,7.0,4.0,23.0,23.0,1.0,4.0,2.0,7.0,1.0,1.0,2.0,2.0,90.0,38.0,7.4,3.0,0.0,0.0,0.0001707,"{'original': 7.4, 'alternative': 7.4}",0,0.1343,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
Serge Aurier,serge-aurier,S. Aurier,D,93,176,3021,M,105697,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,725155200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيرج أورييه', 'hi': 'सर्ज ऑरिएर', 'bn': 'সার্জ অউরিয়ার'}, 'shortNameTranslation': {'ar': 'س. أورييه', 'hi': 'एस. ऑरिएर', 'bn': 'সি. অউরিয়ার'}}",39.0,37.0,,,20.0,21.0,17.0,21.0,3.0,4.0,,,,,45.0,58.0,7.1,8.0,0.0369,0.0781,0.0444323,"{'original': 7.1, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,2.0,2.0,,1.0,,,1.0,1.0,3.0,,,1.0,1.0,1.0,1.0,,,,,Serge_aurier,1.0,,1.0,,,
Willy Boly,willy-boly,W. Boly,D,30,195,1805,M,139310,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,665539200,"{'value': 775000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويلي بولي', 'hi': 'विली बोली', 'bn': 'উইলি বলি'}, 'shortNameTranslation': {'ar': 'و. بولي', 'hi': 'डब्लू. बोली', 'bn': 'ডব্লিউ. বলি'}}",66.0,58.0,7.0,3.0,46.0,51.0,12.0,15.0,8.0,4.0,,,,,90.0,81.0,7.6,8.0,0.1343,0.0,0.0521397,"{'original': 7.6, 'alternative': 7.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,3.0,8.0,,1.0,3.0,2.0,,2.0,,,1.0,5.0,,,,,,,,,2.0,,,1.0,,
Murillo,murillo,Murillo,D,5,180,9796,M,1199282,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1025740800,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}, 'shortNameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}}",58.0,48.0,12.0,6.0,32.0,36.0,16.0,22.0,3.0,4.0,,,,,90.0,68.0,8.0,10.0,0.422,0.3908,0.0520939,"{'original': 8, 'alternative': 7.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,Murillo,,3.0,5.0,,,2.0,2.0,,,,,3.0,1.0,,2.0,2.0,1.0,1.0,,2.0,murillosantiago40,,1.0,2.0,,,
Harry Toffolo,harry-toffolo,H. Toffolo,D,15,183,379,M,358218,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,808790400,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري توفولو', 'hi': 'हैरी टोफ़ोलो', 'bn': 'হ্যারি টফোলো'}, 'shortNameTranslation': {'ar': 'ه. توفولو', 'hi': 'एच. टोफ़ोलो', 'bn': 'এইচ. টফোলো'}}",45.0,36.0,5.0,1.0,14.0,17.0,23.0,31.0,2.0,4.0,,,,,90.0,67.0,7.2,13.0,0.0091,0.0742,0.0513358,"{'original': 7.2, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,4.0,4.0,2.0,,4.0,,,,3.0,1.0,1.0,,,1.0,,,1.0,,1.0,,2.0,,1.0,,,
Ibrahim Sangaré,ibrahim-sangare,I. Sangaré,M,6,191,9875,M,843754,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,881020800,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إبراهيم سانغاري', 'hi': 'इब्राहिम संगारे', 'bn': 'ইব্রাহিম সাঙ্গারে'}, 'shortNameTranslation': {'ar': 'إ. سانغاري', 'hi': 'आई. संगारे', 'bn': 'আই. সাঙ্গারে'}}",23.0,22.0,1.0,1.0,12.0,12.0,10.0,11.0,,4.0,,,,,76.0,39.0,6.9,6.0,0.0,0.0,0.0484378,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,5.0,7.0,2.0,,4.0,1.0,1.0,,,,,1.0,2.0,2.0,1.0,,,2.0,1.0,ibrahim_sangare,,,,,,
Orel Mangala,orel-mangala,O. Mangala,M,20,178,1539,M,793988,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,890179200,"{'value': 9600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانغالا، أوريل', 'hi': 'मंगला, ओरेल', 'bn': 'মঙ্গলা, ওরেল'}, 'shortNameTranslation': {'ar': 'أ. مانغالا', 'hi': 'ओ. मंगला', 'bn': 'ও. মঙ্গলা'}}",40.0,39.0,1.0,1.0,22.0,23.0,17.0,17.0,1.0,4.0,,,,,83.0,50.0,7.2,3.0,0.1008,0.0,0.0131106,"{'original': 7.2, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,3.0,3.0,,2.0,2.0,2.0,,1.0,,,,,2.0,,,,,1.0,1.0,,1.0,,,,,
Nicolás Domínguez,nicolas-dominguez,N. Domínguez,M,16,179,3140,M,871765,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,898992000,"{'value': 14700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس دومينغيز', 'hi': 'निकोलस डोमिन्ग्यूज़', 'bn': 'নিকোলাস ডোমিংগুয়েজ'}, 'shortNameTranslation': {'ar': 'ن. دومينغيز', 'hi': 'एन. डोमिन्ग्यूज़', 'bn': 'এন. ডোমিঙ্গুয়েজ'}}",63.0,56.0,4.0,2.0,19.0,21.0,37.0,43.0,2.0,4.0,,,,,90.0,71.0,7.1,10.0,0.0286,0.2672,0.170807,"{'original': 7.1, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,4.0,2.0,2.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,,1.0,,,
Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,171,6717,M,865912,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,948931200,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مورغان غيبز-وايت', 'hi': 'मॉर्गन गिब्स-व्हाइट', 'bn': 'মরগান গিবস-হোয়াইট'}, 'shortNameTranslation': {'ar': 'م. غيبز-وايت', 'hi': 'एम. गिब्स-व्हाइट', 'bn': 'এম. গিবস-হোয়াইট'}}",44.0,35.0,3.0,,8.0,11.0,30.0,43.0,,6.0,,,,,90.0,70.0,7.4,22.0,0.1477,0.0,0.152481,"{'original': 7.4, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,6.0,6.0,1.0,2.0,2.0,2.0,2.0,1.0,10.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,,1.0,4.0,Morgangibbs27,,1.0,,,1.0,
Chris Wood,chris-wood,C. Wood,F,11,191,7744,M,50480,"{'alpha2': 'NZ', 'alpha3': 'NZL', 'name': 'New Zealand', 'slug': 'new-zealand'}",EUR,692064000,"{'value': 8400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس وود', 'hi': 'क्रिस वुड', 'bn': 'ক্রিস উড'}, 'shortNameTranslation': {'ar': 'ك. وود', 'hi': 'सी. वुड', 'bn': 'সি. উড'}}",15.0,11.0,,,4.0,5.0,7.0,10.0,1.0,2.0,,,,,76.0,26.0,6.6,9.0,0.0,0.0,0.00644238,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,7.0,4.0,,,1.0,1.0,1.0,1.0,,,2.0,2.0,3.0,1.0,,,,1.0,1.0,wodsy39,,,,,,
