name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,accurateCross,aerialWon,duelWon,bigChanceCreated,totalClearance,totalTackle,wonTackle,unsuccessfulTouch,keyPass,duelLost,challengeLost,interceptionWon,errorLeadToAGoal,sofascoreId,totalContest,wonContest,dispossessed,wasFouled,fouls,totalOffside,aerialLost,outfielderBlock,onTargetScoringAttempt,goals,errorLeadToAShot,expectedGoals,expectedGoalsOnTarget,bigChanceMissed,shotOffTarget,blockedScoringAttempt,goodHighClaim
Yoane Wissa,yoane-wissa,Y. Wissa,F,9,176,43905,M,805123,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,841708800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوني ويسا', 'hi': 'योआने विस्सा', 'bn': 'জন উইসা'}, 'shortNameTranslation': {'ar': 'ي. ويسا', 'hi': 'वाई. विस्सा', 'bn': 'ওয়াই. উইসা'}}",19.0,14.0,5.0,2.0,1.0,4.0,4.0,10.0,15.0,1.0,,,84.0,30.0,8.1,7.0,0.0831076,"{'original': 8.1, 'alternative': 7.9}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,1.0,4.0,1.0,1.0,,,1.0,1.0,2.0,1.0,,,yowissa,1.0,,,3.0,2.0,,,,1.0,1.0,,0.3215,0.4622,,2.0,1.0,
Saman Ghoddos,saman-ghoddos,S. Ghoddos,M,7,177,2148,M,548050,"{'alpha2': 'IR', 'alpha3': 'IRN', 'name': 'Iran', 'slug': 'iran'}",EUR,747273600,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سامان قدوس', 'hi': 'समन घोड्डोस', 'bn': 'সামান ঘোদ্দোস'}, 'shortNameTranslation': {'ar': 'س. قدوس', 'hi': 'एस. घोड्डोस', 'bn': 'এস, ঘোদ্দোস'}}",11.0,10.0,2.0,1.0,0.0,5.0,5.0,5.0,6.0,1.0,,,27.0,16.0,6.6,2.0,0.00681747,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,3.0,,1.0,2.0,2.0,,,4.0,3.0,,,,,,,1.0,1.0,,,,,,,,,,,,
Mikkel Damsgaard,damsgaard-mikkel,M. Damsgaard,M,24,180,3573,M,907072,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,962582400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دامسغارد، ميكيل', 'hi': 'डैम्सगार्ड, मिकेल', 'bn': 'ডামসগার্ড, মিক্কেল'}, 'shortNameTranslation': {'ar': 'م. دامسغارد', 'hi': 'एम. डैम्सगार्ड', 'bn': 'এম. ড্যামসগার্ড'}}",17.0,15.0,1.0,1.0,0.0,5.0,7.0,10.0,11.0,2.0,,,26.0,20.0,6.4,4.0,0.0150171,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,,,,,,,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,
Kevin Schade,kevin-schade,K. Schade,M,7,183,2784,M,1006387,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,1006819200,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيفين شايد', 'hi': 'केविन शैड', 'bn': 'কেভিন শেড'}, 'shortNameTranslation': {'ar': 'ك. شايد', 'hi': 'के. शैड', 'bn': 'কে. স্কেড'}}",8.0,6.0,,,0.0,1.0,1.0,5.0,8.0,,,,16.0,9.0,6.5,3.0,0.0143265,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Neal Maupay,neal-maupay,N. Maupay,F,9,171,2064,M,268903,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,839980800,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيل موباي', 'hi': 'नील मौपे', 'bn': 'নিল মাউপে'}, 'shortNameTranslation': {'ar': 'ن. موباي', 'hi': 'एन. मौपे', 'bn': 'এন. মাউপে'}}",5.0,4.0,,,0.0,1.0,2.0,3.0,3.0,,,,16.0,8.0,6.3,2.0,0.00672082,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,,
Yehor Yarmolyuk,yarmoliuk-yehor,Y. Yarmolyuk,M,18,180,2447,M,1031258,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1078099200,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يارموليوك، يهور', 'hi': 'यार्मोलीउक, योहोर', 'bn': 'ইয়ারমোলিক, ইহোর'}, 'shortNameTranslation': {'ar': 'ي. يارموليوك', 'hi': 'वाई. यार्मोलीउक', 'bn': 'ওয়াই. ইয়ারমোলিক'}}",6.0,5.0,,,0.0,1.0,1.0,4.0,5.0,1.0,,,14.0,10.0,6.6,3.0,0.00379469,"{'original': 6.6, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,1.0,,,,,1.0,,2.0,1.0,,,,2.0,1.0,,,,,,,1.0,,,0.0244,0.0555,,,,
Hákon Rafn Valdimarsson,hakon-rafn-valdimarsson,H. R. Valdimarsson,G,12,195,496,M,1005959,"{'alpha2': 'IS', 'alpha3': 'ISL', 'name': 'Iceland', 'slug': 'iceland'}",EUR,1002931200,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاكون رافن فالديمارسون', 'hi': 'हाकोन राफ़न वाल्डिमर्सन', 'bn': 'হ্যাকন রাফন ভালদিমারসন'}, 'shortNameTranslation': {'ar': 'ه. ر. فالديمارسون', 'hi': 'एच.आर. वाल्डिमर्सन', 'bn': 'এইচ. আর. ভালডিমারসন'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keane Lewis-Potter,keane-lewis-potter,K. Lewis-Potter,D,23,170,979,M,972421,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,982800000,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيان لويس-بوتر', 'hi': 'कीन लुईस-पॉटर', 'bn': 'কিন লুইস-পটার'}, 'shortNameTranslation': {'ar': 'ك. لويس-بوتر', 'hi': 'के. लुईस-पॉटर', 'bn': 'কে. লুইস-পটার'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Trevitt,ryan-trevitt,R. Trevitt,M,14,170,106,M,1177007,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1047427200,"{'value': 290000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رايان تريفيت', 'hi': 'रयान ट्रेविट', 'bn': 'রায়ান ট্রেভিট'}, 'shortNameTranslation': {'ar': 'ر. تريفيت', 'hi': 'आर. ट्रेविट', 'bn': 'আর. ট্রেভিট'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,Ryan Trevitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunus Konak,yunus-konak,Y. Konak,M,26,181,1108,M,1518589,"{'alpha2': 'TR', 'alpha3': 'TUR', 'name': 'Türkiye', 'slug': 'turkiye'}",EUR,1136851200,"{'value': 4200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يونس كوناك'}, 'shortNameTranslation': {'ar': 'ي. كوناك'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,Yunus Konak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Pope,nick-pope,N. Pope,G,1,198,4568,M,162653,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,703641600,"{'value': 6700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيك بوب', 'hi': 'निक पोप', 'bn': 'নিক পোপ'}, 'shortNameTranslation': {'ar': 'ن. بوب', 'hi': 'एन. पोप', 'bn': 'এন. পোপ'}}",29.0,15.0,20.0,7.0,0.0,9.0,12.0,6.0,17.0,6.0,3.0,3.0,90.0,39.0,6.8,14.0,0.00157762,"{'original': 6.8, 'alternative': 6.4}",0,-0.3021,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,1.0,,,,,,,,,,,npope29,,,,1.0,,,,,,,,,,,,,3.0
Emil Krafth,emil-krafth,E. Krafth,D,17,184,946,M,150396,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,775785600,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إميل كرافث', 'hi': 'एमिल क्राफ्ट', 'bn': 'এমিল ক্রাফট'}, 'shortNameTranslation': {'ar': 'إ. كرافث', 'hi': 'ई. क्राफ्ट', 'bn': 'ই. ক্রাফট'}}",31.0,26.0,3.0,,0.0,10.0,11.0,16.0,21.0,3.0,,,90.0,47.0,6.2,8.0,0.0247635,"{'original': 6.2, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,,1.0,,1.0,,,,,2.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,
Fabian Schär,fabian-schar,F. Schär,D,5,186,3205,M,101882,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,693187200,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فابيان شار', 'hi': 'फेबियन शार', 'bn': 'ফ্যাবিয়ান শার'}, 'shortNameTranslation': {'ar': 'ف. شار', 'hi': 'एफ. शार', 'bn': 'এফ. শার'}}",34.0,26.0,5.0,1.0,0.0,14.0,16.0,12.0,18.0,3.0,,,89.0,43.0,6.4,8.0,0.00744248,"{'original': 6.4, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,1.0,3.0,,2.0,1.0,,,,3.0,,,,,1.0,1.0,,,2.0,,1.0,1.0,,,,0.1026,,,,1.0,
Dan Burn,dan-burn,D. Burn,D,33,201,4399,M,99090,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,705369600,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دان بيرن', 'hi': 'डैन बर्न', 'bn': 'ড্যান বার্ন'}, 'shortNameTranslation': {'ar': 'د. بيرن', 'hi': 'डी. बर्न', 'bn': 'ডি বার্ন'}}",28.0,25.0,1.0,,0.0,18.0,20.0,7.0,8.0,7.0,,,90.0,37.0,6.4,3.0,0.00287607,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,,,1.0,1.0,,7.0,,,,,2.0,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,
Lewis Hall,lewis-hall,L. Hall,D,3,179,4014,M,1136730,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1094601600,"{'value': 30000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس هال', 'hi': 'लुईस हॉल', 'bn': 'লুইস হল'}, 'shortNameTranslation': {'ar': 'ل. هال', 'hi': 'एल. हॉल', 'bn': 'এল. হল'}}",43.0,36.0,3.0,2.0,0.0,19.0,22.0,17.0,24.0,8.0,,,90.0,73.0,7.2,11.0,0.0143602,"{'original': 7.2, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,Lewis Hall,,3.0,,,9.0,,1.0,4.0,3.0,1.0,,5.0,3.0,1.0,,lewishall_10,3.0,3.0,,2.0,,,2.0,,,,1.0,,,,,,
Sean Longstaff,sean-longstaff,S. Longstaff,M,8,187,1640,M,866191,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,878169600,"{'value': 17200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شون لونغستاف', 'hi': 'सीन लॉन्गस्टाफ़', 'bn': 'শন লংস্টাফ'}, 'shortNameTranslation': {'ar': 'ش. لونغستاف', 'hi': 'एस. लॉन्गस्टाफ़', 'bn': 'এস. লংস্টাফ'}}",31.0,25.0,1.0,,0.0,12.0,14.0,13.0,18.0,2.0,,,90.0,40.0,6.9,8.0,0.0589829,"{'original': 6.9, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,1.0,5.0,,1.0,1.0,1.0,,,3.0,1.0,2.0,,,4.0,3.0,,,1.0,,,,,,,,,,,,
Bruno Guimarães,bruno-guimaraes,B. Guimarães,M,39,182,31656,M,866469,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,879638400,"{'value': 77000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو غيماريش', 'hi': 'ब्रूनो गीमरेस', 'bn': 'ব্রুনো গুইমারেস'}, 'shortNameTranslation': {'ar': 'ب. غيمارايش', 'hi': 'बी. गीमरेस', 'bn': 'বি. গুইমারেস'}}",70.0,58.0,5.0,1.0,2.0,15.0,17.0,44.0,54.0,9.0,,,90.0,83.0,9.4,15.0,0.376752,"{'original': 9.4, 'alternative': 9.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,1.0,,7.0,2.0,,1.0,1.0,1.0,4.0,4.0,,1.0,,BrunoGuimarães,2.0,1.0,1.0,5.0,2.0,,,,1.0,1.0,,0.7122,0.1446,,,,
Joelinton,joelinton,Joelinton,M,7,186,9814,M,560128,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,839980800,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويلينتون', 'hi': 'जोलिंटन', 'bn': 'জোলিন্টন'}, 'shortNameTranslation': {'ar': 'جولينتون', 'hi': 'जोएलिंटन', 'bn': 'জোলিন্টন'}}",41.0,37.0,3.0,2.0,0.0,12.0,13.0,25.0,28.0,8.0,,,81.0,52.0,7.0,7.0,0.200196,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,4.0,1.0,,4.0,3.0,1.0,2.0,6.0,2.0,1.0,,joelinton34,,,1.0,,1.0,,2.0,,,,,0.6061,,1.0,1.0,,
Jacob Murphy,jacob-murphy,J. Murphy,F,23,176,3550,M,372336,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,793584000,"{'value': 13800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب مورفي', 'hi': 'जैकब मर्फी', 'bn': 'জ্যাকব মারফি'}, 'shortNameTranslation': {'ar': 'ج. مورفي', 'hi': 'जे. मर्फी', 'bn': 'জে. মারফি'}}",26.0,15.0,,,0.0,4.0,6.0,12.0,22.0,4.0,,,68.0,35.0,7.6,12.0,0.0385172,"{'original': 7.6, 'alternative': 7.5}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,1.0,,2.0,1.0,,0.7218,0.8578,,1.0,1.0,
Alexander Isak,alexander-isak,A. Isak,F,9,193,101689,M,823941,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,937872000,"{'value': 124000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألكسندر إيزاك', 'hi': 'अलेक्जेंडर इसाक', 'bn': 'আলেকজান্ডার ইসাক'}, 'shortNameTranslation': {'ar': 'أ. إيزاك', 'hi': 'ए. इसाक', 'bn': 'এ. ইসাক'}}",22.0,17.0,,,1.0,3.0,4.0,14.0,18.0,2.0,,,81.0,39.0,7.9,11.0,0.498516,"{'original': 7.9, 'alternative': 7.7}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,1.0,3.0,2.0,1.0,,,3.0,2.0,3.0,,1.0,,AlexIsak,4.0,1.0,,1.0,,1.0,,,3.0,1.0,,0.8725,1.8072,2.0,1.0,,
