name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,aerialWon,duelLost,totalClearance,totalTackle,unsuccessfulTouch,fouls,dispossessed,onTargetScoringAttempt,goals,expectedGoals,expectedGoalsOnTarget,interceptionWon,bigChanceCreated,blockedScoringAttempt,keyPass,firstName,lastName,goalAssist,totalContest,wonContest,wonTackle,totalOffside,shotOffTarget,challengeLost,sofascoreId,bigChanceMissed,goodHighClaim,saves,outfielderBlock,ownGoals,hitWoodwork
Yoane Wissa,yoane-wissa,Y. Wissa,F,9,176,43905,M,805123,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,841708800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوني ويسا', 'hi': 'योआने विस्सा', 'bn': 'জন উইসা'}, 'shortNameTranslation': {'ar': 'ي. ويسا', 'hi': 'वाई. विस्सा', 'bn': 'ওয়াই. উইসা'}}",15.0,9.0,,,5.0,6.0,4.0,9.0,4.0,1.0,,89.0,24.0,6.7,7.0,0.0190876,"{'original': 6.7, 'alternative': 6.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,3.0,5.0,1.0,1.0,,1.0,,,,0.1843,,,,2.0,1.0,,,,1.0,,,,,,yowissa,,,,,,
Thomas Strakosha,thomas-strakosha,T. Strakosha,G,1,191,1699,M,227212,"{'alpha2': 'AL', 'alpha3': 'ALB', 'name': 'Albania', 'slug': 'albania'}",EUR,795571200,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس ستراكوشا', 'hi': 'थॉमस स्ट्राकोशा', 'bn': 'টমাস স্ট্রাকোশা'}, 'shortNameTranslation': {'ar': 'ت. ستراكوشا', 'hi': 'टी. स्ट्राकोशा', 'bn': 'টি. স্ট্রাকোশা'}}",20.0,17.0,9.0,6.0,14.0,15.0,3.0,5.0,,5.0,,45.0,23.0,6.9,3.0,0.00056013,"{'original': 6.9, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Mads Roerslev,mads-roerslev,M. Roerslev,D,2,184,470,M,826057,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,930182400,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مادس روزرفيل', 'hi': 'मैड्स रोर्सलेव', 'bn': 'ম্যাডস রোয়ার্সলেভ'}, 'shortNameTranslation': {'ar': 'م. روزرفيل', 'hi': 'एम. रोर्सलेव', 'bn': 'এম. রোয়ার্সলেভ'}}",3.0,1.0,,,1.0,1.0,,2.0,1.0,,,11.0,6.0,6.7,2.0,2.2e-07,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,,2.0,,,,,,,,,,,,,Mads,Roerslev,,,,,,,,,,,,,,
Yehor Yarmolyuk,yarmoliuk-yehor,Y. Yarmolyuk,M,18,180,2447,M,1031258,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1078099200,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يارموليوك، يهور', 'hi': 'यार्मोलीउक, योहोर', 'bn': 'ইয়ারমোলিক, ইহোর'}, 'shortNameTranslation': {'ar': 'ي. يارموليوك', 'hi': 'वाई. यार्मोलीउक', 'bn': 'ওয়াই. ইয়ারমোলিক'}}",5.0,5.0,,,4.0,4.0,1.0,1.0,1.0,2.0,,12.0,8.0,6.4,1.0,0.00016974,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,3.0,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,
Saman Ghoddos,saman-ghoddos,S. Ghoddos,M,7,177,2148,M,548050,"{'alpha2': 'IR', 'alpha3': 'IRN', 'name': 'Iran', 'slug': 'iran'}",EUR,747273600,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سامان قدوس', 'hi': 'समन घोड्डोस', 'bn': 'সামান ঘোদ্দোস'}, 'shortNameTranslation': {'ar': 'س. قدوس', 'hi': 'एस. घोड्डोस', 'bn': 'এস, ঘোদ্দোস'}}",4.0,4.0,,,3.0,3.0,1.0,1.0,,,,1.0,4.0,,,0.00042874,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Mee,ben-mee,B. Mee,D,15,180,600,M,137774,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,622339200,"{'value': 460000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن مي', 'hi': 'बेन मी', 'bn': 'বেন মে'}, 'shortNameTranslation': {'ar': 'ب. مي', 'hi': 'बी. मी', 'bn': 'বি. মি'}}",2.0,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,5.0,,1.0,7.8e-07,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valintino Adedokun,val-adedokun,V. Adedokun,D,23,175,40,M,1127815,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1045180800,"{'value': 120000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فال أديديوكون', 'hi': 'वैल एडेडोकुन', 'bn': 'ভ্যাল আদেডোকুন'}, 'shortNameTranslation': {'ar': 'ف. أديديوكون', 'hi': 'वी. एडेडोकुन', 'bn': 'ভি. আদেদোকুন'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zanka,zanka,Zanka,D,5,189,495,M,26404,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,640828800,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}, 'shortNameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethan Brierley,ethan-brierley,E. Brierley,M,6,173,43,M,998841,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1069545600,"{'value': 370000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيثان برييرلي', 'hi': 'एथन ब्रियरली', 'bn': 'ইথান ব্রিয়ারলি'}, 'shortNameTranslation': {'ar': 'إ. برييرلي', 'hi': 'ई. ब्रियरली', 'bn': 'ই. ব্রিয়ারলি'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Olakigbe,olakigbe-michael,M. Olakigbe,M,37,180,76,M,1014556,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1082851200,"{'value': 535000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولاكيجبي، مايكل', 'hi': 'ओलाकिग्बे, माइकल', 'bn': 'ওলাকিগবে, মাইকেল'}, 'shortNameTranslation': {'ar': 'م. أولاكيجبي', 'hi': 'एम. ओलाकिग्बे', 'bn': 'এম. ওলাকিগবে'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphonse Aréola,alphonse-areola,A. Aréola,G,23,195,3093,M,96531,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,730771200,"{'value': 6500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفونس أريولا', 'hi': 'अल्फोंस एरियोला', 'bn': 'আলফোনস আরেওলা'}, 'shortNameTranslation': {'ar': 'أ. أريولا', 'hi': 'ए. एरियोला', 'bn': 'এ. আরেওলা'}}",21.0,9.0,19.0,7.0,5.0,8.0,4.0,13.0,,3.0,,90.0,26.0,6.0,12.0,0.00046419,"{'original': 6, 'alternative': 5.8}",0,-1.2773,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
Vladimír Coufal,vladimir-coufal,V. Coufal,D,34,179,1643,M,138024,"{'alpha2': 'CZ', 'alpha3': 'CZE', 'name': 'Czechia', 'slug': 'czechia'}",EUR,714441600,"{'value': 2900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فلاديمير كوفال', 'hi': 'व्लादिमीर कुफाल', 'bn': 'ভ্লাদিমির কউফল'}, 'shortNameTranslation': {'ar': 'ف. كوفال', 'hi': 'वी. कुफाल', 'bn': 'ভি. কউফল'}}",47.0,30.0,9.0,1.0,12.0,14.0,18.0,34.0,5.0,7.0,1.0,90.0,79.0,7.0,23.0,0.0154864,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,3.0,1.0,5.0,5.0,3.0,,2.0,,,,0.0178,,3.0,,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,
Konstantinos Mavropanos,konstantinos-mavropanos,K. Mavropanos,D,15,194,2675,M,829022,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece', 'slug': 'greece'}",EUR,881798400,"{'value': 16300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونستانتينوس مافروبانوس', 'hi': 'कोंस्टैंटिनोस मावरोपानोस', 'bn': 'কনস্টানটাইনস মাভ্রোপানোস'}, 'shortNameTranslation': {'ar': 'ك. مافروبانوس', 'hi': 'के. मावरोपानोस', 'bn': 'কে. মাভ্রোপানোস'}}",37.0,26.0,6.0,,21.0,26.0,5.0,11.0,8.0,3.0,3.0,90.0,54.0,6.3,11.0,0.00215624,"{'original': 6.3, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,4.0,4.0,5.0,1.0,,3.0,,,,0.0317,,2.0,,,,,,,,,,,1.0,,,,,,1.0,1.0,
Nayef Aguerd,nayef-aguerd,N. Aguerd,D,21,188,26523,M,877102,"{'alpha2': 'MA', 'alpha3': 'MAR', 'name': 'Morocco', 'slug': 'morocco'}",EUR,828144000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نايف أكرد', 'hi': 'नायेफ़ अगुएर्ड', 'bn': 'নায়েফ আগুয়ের্ড'}, 'shortNameTranslation': {'ar': 'ن. أكرد', 'hi': 'एन. अगुएर्ड', 'bn': 'এন. আগুয়ের্ড'}}",41.0,29.0,17.0,9.0,15.0,18.0,14.0,24.0,4.0,3.0,,90.0,56.0,6.7,16.0,0.00763544,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,2.0,4.0,3.0,7.0,,2.0,,,,,,,,,,,,,,1.0,,,,,,nayefaguard,,,,2.0,,
Emerson Palmieri,emerson-palmieri,Emerson,D,3,176,2307,M,155997,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,775872000,"{'value': 9100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيمرسون بالميري', 'hi': 'एमर्सन पामिएरी', 'bn': 'এমারসন পালমিরি'}, 'shortNameTranslation': {'ar': 'إيمرسون', 'hi': 'एमर्सन पामिएरी', 'bn': 'এমারসন'}}",37.0,27.0,4.0,1.0,16.0,19.0,12.0,21.0,3.0,3.0,,90.0,66.0,6.5,17.0,0.116871,"{'original': 6.5, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,1.0,,1.0,3.0,3.0,2.0,2.0,2.0,,,,0.0159,,3.0,,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,
Mohammed Kudus,mohammed-kudus,M. Kudus,M,20,176,89694,M,905163,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,965174400,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمد قدوس', 'hi': 'मोहम्मद कुडूस', 'bn': 'মোহাম্মদ কুদুস'}, 'shortNameTranslation': {'ar': 'م. قدوس', 'hi': 'एम. कुडूस', 'bn': 'এম. কুদুস'}}",27.0,24.0,2.0,2.0,8.0,8.0,16.0,25.0,9.0,5.0,4.0,90.0,56.0,7.9,14.0,0.237311,"{'original': 7.9, 'alternative': 7.7}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,6.0,,1.0,1.0,6.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.5891,0.3675,,,,2.0,,,,2.0,1.0,2.0,,3.0,,Kudus,1.0,,,,,1.0
James Ward-Prowse,james-ward-prowse,J. Ward-Prowse,M,8,177,4283,M,161717,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,783648000,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس وارد-براوس', 'hi': 'जेम्स वार्ड-प्रोव्स', 'bn': 'জেমস ওয়ার্ড-প্রোস'}, 'shortNameTranslation': {'ar': 'ج. وارد-براوس', 'hi': 'जे. वार्ड-प्रोव्स', 'bn': 'জে. ওয়ার্ড-প্রোস'}}",47.0,38.0,4.0,2.0,19.0,23.0,19.0,33.0,2.0,5.0,,90.0,66.0,6.8,18.0,0.0118292,"{'original': 6.8, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,9.0,,2.0,,3.0,1.0,2.0,,,,,,0.0526,,1.0,,1.0,1.0,,,,,,2.0,,,1.0,prowsey16,,,,,,
Tomáš Souček,tomas-soucek,T. Souček,M,28,192,3227,M,799041,"{'alpha2': 'CZ', 'alpha3': 'CZE', 'name': 'Czechia', 'slug': 'czechia'}",EUR,793843200,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماش سوتشيك', 'hi': 'टॉमस सौसेक', 'bn': 'তোমাস সোউচেক'}, 'shortNameTranslation': {'ar': 'ت. سوتشيك', 'hi': 'टी. सौसेक', 'bn': 'টি. সোউচেক'}}",44.0,35.0,5.0,3.0,16.0,19.0,19.0,25.0,,2.0,,90.0,47.0,6.1,9.0,0.0198473,"{'original': 6.1, 'alternative': 6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,6.0,,10.0,1.0,,,2.0,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,
Saïd Benrahma,said-benrahma,S. Benrahma,F,10,172,12009,M,354808,"{'alpha2': 'DZ', 'alpha3': 'DZA', 'name': 'Algeria', 'slug': 'algeria'}",EUR,808012800,"{'value': 9400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سعيد بن رحمة', 'hi': 'सईद बनराहमा', 'bn': 'সাঈদ, বেনরাহমা'}, 'shortNameTranslation': {'ar': 'س. بن رحمة', 'hi': 'एस. बनराहमा', 'bn': 'এস. বেনরাহমা'}}",14.0,10.0,,,3.0,7.0,8.0,8.0,2.0,7.0,2.0,64.0,24.0,6.7,8.0,0.0991125,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,,,2.0,,,1.0,,,,,,,1.0,1.0,,1.0,,,,2.0,,,,,,said_benrahma11,,,,,,
Jarrod Bowen,jarrod-bowen,J. Bowen,M,20,174,8771,M,552884,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,851040000,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جارود بوين', 'hi': 'जारोड बोवेन', 'bn': 'জারড বোয়েন'}, 'shortNameTranslation': {'ar': 'ج. بوين', 'hi': 'जे. बोवेन', 'bn': 'জে. বোয়েন'}}",23.0,18.0,,,7.0,7.0,11.0,16.0,1.0,2.0,,90.0,32.0,7.5,8.0,0.481756,"{'original': 7.5, 'alternative': 7.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,7.0,1.0,10.0,1.0,,1.0,2.0,2.0,1.0,1.0,0.5427,0.8416,,1.0,,2.0,,,,,,,,1.0,,jarrodbowen,,,,,,
