name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,accurateCross,aerialLost,duelLost,dispossessed,totalContest,shotOffTarget,onTargetScoringAttempt,goals,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,expectedGoals,expectedGoalsOnTarget,bigChanceMissed,totalClearance,outfielderBlock,keyPass,aerialWon,wonContest,challengeLost,bigChanceCreated,goalAssist,totalOffside,blockedScoringAttempt,errorLeadToAShot
Leon Chiwome,chiwome-leon,L. Chiwome,F,84,186.0,238,M,,1400646,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1136851200,"{'value': 640000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تشيوومي، ليون'}, 'shortNameTranslation': {'ar': 'ل. تشيوومي'}}",8.0,7.0,,,3.0,4.0,4.0,4.0,2.0,1.0,,,,,,,84.0,16.0,6.5,2.0,0.00126246,"{'original': 6.5, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,Leon Chiwome,,,,2.0,4.0,1.0,,,,,,1.0,,,,0.0363,,,2.0,,,1.0,,1.0,,,,1.0,
Hugo Bueno,hugo-bueno,H. Bueno,D,3,180.0,661,M,,1013928,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,1032307200,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هوغو بوينو', 'hi': 'ह्यूगो ब्यूनो', 'bn': 'হুগো বুয়েনো'}, 'shortNameTranslation': {'ar': 'ه. بوينو', 'hi': 'एच. ब्यूनो', 'bn': 'এইচ. বুয়েনো'}}",6.0,5.0,,,1.0,2.0,6.0,6.0,,1.0,,,,,,,26.0,11.0,6.7,1.0,0.129363,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,2.0,2.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,
Tawanda Chirewa,tawanda-chirewa,T. Chirewa,M,23,181.0,860,M,,1005725,"{'alpha2': 'ZW', 'alpha3': 'ZWE', 'name': 'Zimbabwe', 'slug': 'zimbabwe'}",EUR,1065830400,"{'value': 485000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تاواندا شيريوا', 'hi': 'तवांडा चिरेवा', 'bn': 'তাওয়ান্ডা চিরেওয়া'}, 'shortNameTranslation': {'ar': 'ت. شيريوا', 'hi': 'टी. चिरेवा', 'bn': 'টি. চিরোয়া'}}",3.0,2.0,,,1.0,2.0,1.0,1.0,,1.0,,,,,,,19.0,7.0,6.3,4.0,0.00024119,"{'original': 6.3, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,2.0,,1.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,
Matt Doherty,matt-doherty,M. Doherty,D,2,182.0,1503,M,,143047,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,695520000,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات دوهيرتي', 'hi': 'मैट डोहर्टी', 'bn': 'ম্যাট ডোহার্টি'}, 'shortNameTranslation': {'ar': 'م. دوهيرتي', 'hi': 'एम. डोहर्टी', 'bn': 'এম. ডোহার্টি'}}",12.0,9.0,1.0,1.0,6.0,7.0,3.0,5.0,4.0,1.0,,,,,,,16.0,17.0,6.8,3.0,0.0108087,"{'original': 6.8, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,1.0,,,,2.0,,,,0.0717,,1.0,1.0,,1.0,2.0,,,,,,,
Boubacar Traoré,boubacar-traore,B. Traoré,M,8,183.0,1017,M,,982613,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,998265600,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبكر تراوري', 'hi': 'बौबाकर ट्रैओरे', 'bn': 'বউবাকার ট্রাওরে'}, 'shortNameTranslation': {'ar': 'ب. تراوري', 'hi': 'बी. ट्रैओरे', 'bn': 'বি. ট্রাওরে'}}",11.0,10.0,1.0,1.0,3.0,4.0,7.0,7.0,1.0,3.0,,,,,,,16.0,17.0,6.8,2.0,0.00188524,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,
Nathan Fraser,nathan-fraser,N. Fraser,F,29,188.0,828,M,,1166679,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1120176000,"{'value': 625000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان فريزر', 'hi': 'नाथन फ्रेजर', 'bn': 'নাথান ফ্রেজার'}, 'shortNameTranslation': {'ar': 'ن. فريزر', 'hi': 'एन. फ्रेजर', 'bn': 'এন. ফ্রেজার'}}",3.0,3.0,,,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,16.0,5.0,6.7,,0.00563353,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,1.0,,,1.0,,,,1.0,,,1.0,0.0515,,,,,,,,,,,,,
Daniel Bentley,daniel-bentley,D. Bentley,G,25,188.0,263,M,,101367,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,742521600,"{'value': 910000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانيال بنتلي', 'hi': 'डैनियल बेंटले', 'bn': 'ড্যানিয়েল বেন্টলি'}, 'shortNameTranslation': {'ar': 'د. بنتلي', 'hi': 'डी. बेंटले', 'bn': 'ডি. বেন্টলি'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noha Lemina,noha-lemina,N. Lemina,M,37,168.0,836,M,,1145633,"{'alpha2': 'GA', 'alpha3': 'GAB', 'name': 'Gabon', 'slug': 'gabon'}",EUR,1118966400,"{'value': 215000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نوها ليمينا'}, 'shortNameTranslation': {'ar': 'ن. ليمينا'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fletcher Holman,fletcher-holman,F. Holman,F,52,,52,M,,1621150,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1097539200,,"{'nameTranslation': {'ar': 'فليتشر هولمان'}, 'shortNameTranslation': {'ar': 'ف. هولمان'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,Fletcher Holman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ty Barnett,barnett-ty,T. Barnett,F,45,,34,M,,1136404,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1121731200,"{'value': 155000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تاي بارنيت', 'hi': 'बार्नेट, टाई', 'bn': 'বার্নেট, টাই'}, 'shortNameTranslation': {'ar': 'ت. بارنيت', 'hi': 'टी. बार्नेट', 'bn': 'টি. বার্নেট'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
