name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,duelLost,duelWon,challengeLost,dispossessed,totalContest,shotOffTarget,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,expectedGoals,aerialWon,bigChanceMissed,blockedScoringAttempt,interceptionWon,aerialLost,onTargetScoringAttempt,expectedGoalsOnTarget,bigChanceCreated,errorLeadToAGoal,totalOffside,keyPass,sofascoreId,accurateCross,wonContest,clearanceOffLine,outfielderBlock,goals,goalAssist,hitWoodwork
Ollie Watkins,,,ollie-watkins,O. Watkins,F,11,179,19613,M,555386,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,820281600,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولي واتكينز', 'hi': 'ओली वॉटकिंस', 'bn': 'অলি ওয়াটকিন্স'}, 'shortNameTranslation': {'ar': 'أ. واتكينز', 'hi': 'ओ. वॉटकिंस', 'bn': 'ও. ওয়াটকিন্স'}}",19.0,14.0,,,5.0,6.0,10.0,15.0,,1.0,,,,,90.0,30.0,8.9,10.0,0.131612,"{'original': 8.9, 'alternative': 8.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,6.0,3.0,,3.0,1.0,1.0,,,,1.0,2.0,0.5578,2.0,1.0,,,,2.0,1.7036,1.0,,,2.0,OllieWatkins,1.0,,1.0,1.0,1.0,2.0,1.0
Jacob Ramsey,,,jacob-ramsey,J. Ramsey,M,41,180,3079,M,975937,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,991008000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب رامزي', 'hi': 'जैकब रैमसे', 'bn': 'জ্যাকব রামসে'}, 'shortNameTranslation': {'ar': 'ج. رامزي', 'hi': 'जे. रैमसे', 'bn': 'জে. রামসে'}}",21.0,16.0,1.0,,11.0,12.0,5.0,9.0,,3.0,,,,,45.0,28.0,6.8,7.0,0.00274112,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,2.0,4.0,,1.0,3.0,,1.0,,,1.0,,,,,,,,,,,,,,,,2.0,,1.0,,,
Matty Cash,,,matty-cash,M. Cash,D,2,185,9152,M,833956,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,870912000,"{'value': 19800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتي كاش', 'hi': 'मैटी कैश', 'bn': 'ম্যাটি ক্যাশ'}, 'shortNameTranslation': {'ar': 'م. كاش', 'hi': 'एम. कैश', 'bn': 'এম. ক্যাশ'}}",27.0,25.0,,,20.0,21.0,5.0,6.0,3.0,,,,,,31.0,35.0,6.6,4.0,0.00536464,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,mattycash622,,,,,,,
Moussa Diaby,,,diaby-moussa,M. Diaby,M,19,170,7519,M,855817,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,931305600,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موسى ديابي', 'hi': 'डायबी, मूसा', 'bn': 'ডায়াবি, মুসা'}, 'shortNameTranslation': {'ar': 'م. ديابي', 'hi': 'एम. डायबी', 'bn': 'এম. ডায়াবি'}}",13.0,11.0,,,7.0,7.0,6.0,10.0,,1.0,,,,,30.0,25.0,7.1,6.0,0.0803737,"{'original': 7.1, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,4.0,2.0,2.0,,1.0,3.0,,,,,,,0.1998,,,,,,1.0,0.0498,1.0,,,1.0,moussadiaby,2.0,2.0,,,,,
Tim Iroegbunam,,,tim-iroegbunam,T. Iroegbunam,M,42,182,708,M,1085950,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1056931200,"{'value': 12400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيم إيروغبونام', 'hi': 'टिम इरोएगबुनम', 'bn': 'টিম ইরোগবুনাম'}, 'shortNameTranslation': {'ar': 'ت. إيروغبونام', 'hi': 'टी. इरोएगबुनम', 'bn': 'টি. ইরোগবুনাম'}}",7.0,6.0,,,3.0,3.0,3.0,4.0,,2.0,,,,,19.0,12.0,6.6,2.0,0.00049024,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,1.0,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,
Morgan Rogers,,,morgan-rogers,M. Rogers,M,27,187,12094,M,948261,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1027641600,"{'value': 67000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مورغان روجرز', 'hi': 'मॉर्गन रोजर्स', 'bn': 'মরগান রজার্স'}, 'shortNameTranslation': {'ar': 'م. روجرز', 'hi': 'एम. रोजर्स', 'bn': 'এম. রজার্স'}}",2.0,1.0,,,,,1.0,2.0,,,,,,,9.0,4.0,6.2,1.0,0.00015955,"{'original': 6.2, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,1.0,,,1.0,1.0,,,,,,0.1796,,1.0,,,1.0,,,,,,,mrogers,,1.0,,,,,
James Wright,James Wright,,wright-james,J. Wright,G,64,188,63,M,1138445,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1101945600,"{'value': 220000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رايت، جيمس', 'hi': 'राइट, जेम्स', 'bn': 'রাইট, জেমস'}, 'shortNameTranslation': {'ar': 'ج. رايت', 'hi': 'जे. राइट', 'bn': 'জে. রাইট'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robin Olsen,,,robin-olsen,R. Olsen,G,30,198,1336,M,26025,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,631756800,"{'value': 750000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبين أولسن', 'hi': 'रॉबिन ओल्सन', 'bn': 'রবিন ওলসেন'}, 'shortNameTranslation': {'ar': 'ر. أولسن', 'hi': 'आर. ओल्सन', 'bn': 'আর. ওলসেন'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calum Chambers,,,calum-chambers,C. Chambers,D,12,183,615,M,227942,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,790560000,"{'value': 965000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالوم تشامبرز', 'hi': 'कैलम चैम्बर्स', 'bn': 'ক্যালাম চেম্বারস'}, 'shortNameTranslation': {'ar': 'ك. تشامبرز', 'hi': 'सी. चैम्बर्स', 'bn': 'সি. চেম্বারস'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaine Kesler-Hayden,,,kaine-hayden,K. Kesler-Hayden,M,20,175,290,M,1099074,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1035331200,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاين كيسلر-هايدن'}, 'shortNameTranslation': {'ar': 'ك. كيسلر-هايدن'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
