name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,totalClearance,totalTackle,wonTackle,wasFouled,fouls,keyPass,challengeLost,blockedScoringAttempt,interceptionWon,unsuccessfulTouch,expectedGoals,shotOffTarget,outfielderBlock,bigChanceMissed,onTargetScoringAttempt,goals,totalOffside,expectedGoalsOnTarget,errorLeadToAShot,bigChanceCreated,penaltyWon,dispossessed,penaltyMiss,goalAssist,goodHighClaim,penaltySave,penaltyFaced,penaltyConceded,hitWoodwork
Rasmus Højlund,,,rasmus-hojlund,R. Højlund,F,19,191,71511,M,RHøjlund,1086417,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,1044316800,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'راسموس هويجلوند', 'hi': 'रस्मस होजलंड', 'bn': 'রাসমাস হলান্ড'}, 'shortNameTranslation': {'ar': 'راسموس هوجلوند', 'hi': 'रासमस होजलंड', 'bn': 'রাসমাস হলান্ড'}}",7.0,6.0,,,1.0,1.0,5.0,6.0,2.0,,,84.0,19.0,7.0,4.0,0.0394373,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,2.0,3.0,1.0,1.0,1.0,,,2.0,,2.0,1.0,,,2.0,0.0416,,,,1.0,,1.0,0.0569,,,,1.0,,,,,,,
Sergio Reguilón,,,sergio-reguilon,S. Reguilón,D,,178,6051,M,sergio_regui,858195,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,850694400,"{'value': 4900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيرجيو ريغيلون', 'hi': 'सर्जियो रेगुइलोन', 'bn': 'সার্জিও রেগুইলন'}, 'shortNameTranslation': {'ar': 'س. ريغيلون', 'hi': 'एस. रेगुइलोन', 'bn': 'এস. রেগুইলন'}}",22.0,19.0,5.0,2.0,4.0,5.0,15.0,20.0,5.0,,,45.0,47.0,7.2,9.0,0.12299,"{'original': 7.2, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,3.0,,,,4.0,5.0,1.0,,1.0,3.0,2.0,2.0,1.0,2.0,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,
Marcus Rashford,,,marcus-rashford,M. Rashford,M,14,185,351448,M,Rashford,814590,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,878256000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس راشفورد', 'hi': 'मार्कस रैशफोर्ड', 'bn': 'মার্কাস রাশফোর্ড'}, 'shortNameTranslation': {'ar': 'م. راشفورد', 'hi': 'एम. रैशफोर्ड', 'bn': 'এম. রাশফোর্ড'}}",3.0,1.0,,,,,1.0,3.0,,,,11.0,4.0,6.5,2.0,0.00084148,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonny Evans,,,jonny-evans,J. Evans,D,,188,4632,M,6jevans,30144,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,568166400,,"{'nameTranslation': {'ar': 'جوني إيفانز', 'hi': 'जॉनी इवांस', 'bn': 'জনি ইভান্স'}, 'shortNameTranslation': {'ar': 'ج. إيفانز', 'hi': 'जे. इवांस', 'bn': 'জে. ইভান্স'}}",1.0,1.0,,,,,1.0,1.0,,,,1.0,1.0,,,0.00070733,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altay Bayındır,,,altay-bayindir,A. Bayındır,G,1,198,15058,M,altaybayindir,815890,"{'alpha2': 'TR', 'alpha3': 'TUR', 'name': 'Türkiye', 'slug': 'turkiye'}",EUR,892512000,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألتاي بايندر', 'hi': 'अल्ताय बय्यन्दिर', 'bn': 'আলতায় বেয়ান্দির'}, 'shortNameTranslation': {'ar': 'أ. بايندر', 'hi': 'ए. बय्यन्दिर', 'bn': 'এ. বেয়ান্দির'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Wan-Bissaka,,,aaron-wan-bissaka,A. Wan-Bissaka,D,29,183,18042,M,awbissaka,863653,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,880502400,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون وان بيساكا', 'hi': 'एरोन वान-बिसाका', 'bn': 'হারুন ওয়ান-বিসাকা'}, 'shortNameTranslation': {'ar': 'آ. وان-بيساكا', 'hi': 'ए. वान-बिसाका', 'bn': 'এ. ওয়ান-বিসাকা'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facundo Pellistri,,,facundo-pellistri,F. Pellistri,M,28,174,7968,M,facupellistri,989803,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,1008806400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فاكوندو بيليستري', 'hi': 'फ़ाकंडो पेलिस्ट्री', 'bn': 'ফ্যাকুন্ডো পেলিস্ট্রি'}, 'shortNameTranslation': {'ar': 'ف. بيليستري', 'hi': 'एफ. पेलिस्ट्री', 'bn': 'এফ. পেলিস্ট্রি'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Martial,,,anthony-martial,A. Martial,M,9,181,16939,M,martial_9,191176,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,818121600,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني مارسيال', 'hi': 'एंथनी मार्शल', 'bn': 'অ্যান্টনি মার্শাল'}, 'shortNameTranslation': {'ar': 'أ. مارسيال', 'hi': 'ए. मार्शल', 'bn': 'এ. মার্শাল'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donny van de Beek,,,donny-van-de-beek,D. v. d. Beek,M,6,183,8261,M,donnyvdbeek,361790,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,861321600,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوني فان دي بيك', 'hi': 'डोनी वैन डे बीक', 'bn': 'ডনি ভ্যান ডি বেক'}, 'shortNameTranslation': {'ar': 'د. فان دي بيك', 'hi': 'डी.वी.डी. बेक', 'bn': 'ডি. ভি. ডি. বেক'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobbie Mainoo,Kobbie,Mainoo,kobbie-mainoo,K. Mainoo,M,37,180,54282,M,KobbieM,1142175,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1113868800,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كوبي ماينو', 'hi': 'कोबी मैनू', 'bn': 'কোবি মাইনু'}, 'shortNameTranslation': {'ar': 'ك. ماينو', 'hi': 'के. मैनू', 'bn': 'কে. মাইনু'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Sánchez,,,robert-sanchez,R. Sánchez,G,1,197,17613,M,RS1,920546,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,879811200,"{'value': 19900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبرت سانشيز', 'hi': 'रॉबर्ट सांचेज़', 'bn': 'রবার্ট সানচেজ'}, 'shortNameTranslation': {'ar': 'ر. سانشيز', 'hi': 'आर. सांचेज़', 'bn': 'আর. সানচেজ'}}",42.0,35.0,14.0,9.0,32.0,38.0,3.0,4.0,11.0,6.0,7.0,90.0,59.0,8.1,7.0,0.00199552,"{'original': 8.1, 'alternative': 7.7}",0,1.3016,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,1.0,1.0,,
Marc Cucurella,,,marc-cucurella,M. Cucurella,D,3,175,37004,M,cucurella3,794939,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,901065600,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك كوكوريلا', 'hi': 'मार्क कोकोरेला', 'bn': 'মার্ক কুকুরেলা'}, 'shortNameTranslation': {'ar': 'م. كوكوريلا', 'hi': 'एम. कोकोरेला', 'bn': 'এম. কুকুরেলা'}}",27.0,25.0,,,16.0,18.0,9.0,9.0,1.0,,,45.0,42.0,7.1,4.0,0.00303727,"{'original': 7.1, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,1.0,5.0,,,,2.0,1.0,2.0,1.0,,,,1.0,2.0,,,2.0,,,,,,,,,,,,,,,,
Axel Disasi,,,axel-disasi,A. Disasi,D,2,190,8850,M,axel_disasi,827243,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,889574400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أكسيل ديساسي', 'hi': 'एक्सल डिसासी', 'bn': 'অ্যাক্সেল ডিসাসি'}, 'shortNameTranslation': {'ar': 'أ. ديساسي', 'hi': 'ए. डिसासी', 'bn': 'এ. ডিসাসি'}}",87.0,81.0,6.0,4.0,65.0,69.0,16.0,18.0,4.0,,,90.0,93.0,6.5,9.0,0.16621,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,
Thiago Silva,,,thiago-silva,T. Silva,D,,181,43819,M,ThiagoSilva,33541,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,464659200,"{'value': 560000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تياغو سيلفا', 'hi': 'थियागो सिल्वा', 'bn': 'থিয়াগো সিলভা'}, 'shortNameTranslation': {'ar': 'ت. سيلفا', 'hi': 'टी. सिल्वा', 'bn': 'টি. সিলভা'}}",71.0,65.0,6.0,3.0,54.0,58.0,11.0,13.0,1.0,,,90.0,78.0,6.7,6.0,0.00616085,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,1.0,1.0,,,3.0,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,
Levi Colwill,,,levi-colwill,L. Colwill,D,6,187,17567,M,LColwill,996911,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1046217600,"{'value': 55000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليفي كولويل', 'hi': 'लेवी कोलविल', 'bn': 'লেভি কলউইল'}, 'shortNameTranslation': {'ar': 'ل. كولويل', 'hi': 'एल. कोलविल', 'bn': 'এল. কলউইল'}}",26.0,21.0,1.0,,14.0,19.0,7.0,7.0,3.0,,,90.0,44.0,7.0,6.0,0.00586263,"{'original': 7, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,1.0,4.0,4.0,7.0,,,3.0,2.0,1.0,1.0,3.0,1.0,,1.0,3.0,1.0,0.0497,1.0,,,,,,,,1.0,,,,,,,,,
Moisés Caicedo,,,moises-caicedo,M. Caicedo,M,25,178,78106,M,MoisesCaicedo55,987650,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,1004659200,"{'value': 115000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مويسيس كايسيدو', 'hi': 'मोइसेस कैसेडो', 'bn': 'মোজেস কাইসেডো'}, 'shortNameTranslation': {'ar': 'م. كايسيدو', 'hi': 'एम. कैसेडो', 'bn': 'এম. কাইসেডো'}}",60.0,53.0,3.0,2.0,32.0,37.0,21.0,23.0,5.0,,,90.0,80.0,7.0,9.0,0.0146138,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,6.0,7.0,,,1.0,6.0,2.0,1.0,3.0,,2.0,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,
Enzo Fernández,,,enzo-fernandez,E. Fernández,M,8,177,120510,M,Enzo8,974505,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,979689600,"{'value': 82000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إنزو فرنانديز', 'hi': 'एन्ज़ो फर्नांडीज़', 'bn': 'এনজো ফার্নান্ডেজ'}, 'shortNameTranslation': {'ar': 'إ. فرنانديز', 'hi': 'ई. फर्नांडीज़', 'bn': 'ই. ফার্নান্ডেজ'}}",58.0,47.0,9.0,6.0,32.0,35.0,15.0,24.0,5.0,,,90.0,73.0,6.0,13.0,0.0144459,"{'original': 6, 'alternative': 5.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,,2.0,6.0,7.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,3.0,1.0,1.0,,0.6169,1.0,,2.0,1.0,,,0.0193,,,,1.0,,,,,,1.0,
Raheem Sterling,,,raheem-sterling,R. Sterling,F,30,170,37771,M,Sterling7,138534,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,786844800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رحيم ستيرلينغ', 'hi': 'रहीम स्टर्लिंग', 'bn': 'রাহিম স্টার্লিং'}, 'shortNameTranslation': {'ar': 'ر. سترلينغ', 'hi': 'आर. स्टर्लिंग', 'bn': 'আর. স্টার্লিং'}}",22.0,17.0,,,3.0,4.0,14.0,19.0,4.0,,,90.0,35.0,6.5,13.0,0.0961238,"{'original': 6.5, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,1.0,,7.0,3.0,3.0,,,,,3.0,1.0,2.0,,,,1.0,,,,,,,,,,1.0,,2.0,,,,,,,
Cole Palmer,,,cole-palmer,C. Palmer,M,10,185,368423,M,ColdPalmer,982780,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020643200,"{'value': 110000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كول بالمر', 'hi': 'कोल पाल्मर', 'bn': 'কোল পামার'}, 'shortNameTranslation': {'ar': 'ك. بالمر', 'hi': 'सी. पाल्मर', 'bn': 'সি. পামার'}}",49.0,42.0,1.0,1.0,22.0,23.0,20.0,26.0,2.0,,,90.0,69.0,7.1,18.0,0.0308695,"{'original': 7.1, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,4.0,3.0,5.0,2.0,,,,1.0,1.0,2.0,,,1.0,6.0,0.067,,,,1.0,1.0,,0.4801,1.0,,,,,,,,,,
Mykhaylo Mudryk,,,mykhaylo-mudryk,M. Mudryk,M,10,175,52950,M,MMudryk10,958966,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,978652800,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميخايلو مودريك', 'hi': 'माइखाइलो मुडरीक', 'bn': 'মিখাইলো মড্রিক'}, 'shortNameTranslation': {'ar': 'م. مودريك', 'hi': 'एम. मुडरीक', 'bn': 'এম. মড্রিক'}}",13.0,9.0,,,2.0,2.0,8.0,12.0,2.0,,,77.0,26.0,6.5,7.0,0.0547011,"{'original': 6.5, 'alternative': 6.3}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,,,5.0,1.0,1.0,,,,,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.3394,2.0,,1.0,,,,,,,,,,1.0,,,,,1.0
