name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,unsuccessfulTouch,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,outfielderBlock,interceptionWon,totalTackle,wonTackle,wasFouled,expectedGoals,expectedGoalsOnTarget,keyPass,dispossessed,totalClearance,fouls,firstName,lastName,accurateCross,shotOffTarget,goalAssist,bigChanceCreated,blockedScoringAttempt,totalOffside,bigChanceMissed,errorLeadToAGoal,goodHighClaim,savedShotsFromInsideTheBox,totalKeeperSweeper,accurateKeeperSweeper,errorLeadToAShot,hitWoodwork
Mykhaylo Mudryk,mykhaylo-mudryk,M. Mudryk,M,10,175,52950,M,MMudryk10,958966,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,978652800,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميخايلو مودريك', 'hi': 'माइखाइलो मुडरीक', 'bn': 'মিখাইলো মড্রিক'}, 'shortNameTranslation': {'ar': 'م. مودريك', 'hi': 'एम. मुडरीक', 'bn': 'এম. মড্রিক'}}",22.0,14.0,1.0,1.0,7.0,11.0,8.0,15.0,5.0,,,66.0,32.0,6.2,13.0,0.0588922,"{'original': 6.2, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,1.0,1.0,3.0,1.0,,2.0,,,,,2.0,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,
Nicolas Jackson,nicolas-jackson,N. Jackson,F,11,186,86972,M,NJackson11,1085381,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,992995200,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس جاكسون', 'hi': 'निकोलस जैक्सन', 'bn': 'নিকোলাস জ্যাকসন'}, 'shortNameTranslation': {'ar': 'ن. جاكسون', 'hi': 'एन. जैक्सन', 'bn': 'এন. জ্যাকসন'}}",22.0,17.0,1.0,1.0,8.0,9.0,9.0,14.0,5.0,4.0,,90.0,43.0,6.1,14.0,0.0209186,"{'original': 6.1, 'alternative': 5.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,2.0,,7.0,7.0,,3.0,2.0,,,,,1.0,1.0,4.0,0.498,,,3.0,,2.0,Nicolas Jackson,,,1.0,,,1.0,,2.0,,,,,,,1.0
Raheem Sterling,raheem-sterling,R. Sterling,F,30,170,37771,M,Sterling7,138534,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,786844800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رحيم ستيرلينغ', 'hi': 'रहीम स्टर्लिंग', 'bn': 'রাহিম স্টার্লিং'}, 'shortNameTranslation': {'ar': 'ر. سترلينغ', 'hi': 'आर. स्टर्लिंग', 'bn': 'আর. স্টার্লিং'}}",13.0,10.0,,,3.0,4.0,7.0,10.0,1.0,,,24.0,24.0,6.3,10.0,0.00557011,"{'original': 6.3, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,1.0,,8.0,3.0,,2.0,1.0,1.0,,,,,,2.0,0.0495,0.0216,,5.0,,1.0,,,,,,,,,,,,,,,1.0,
Trevoh Chalobah,trevoh-chalobah,T. Chalobah,D,23,190,13565,M,yungchalobah,826134,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,931132800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تريفوه تشالوبا', 'hi': 'ट्रेवोह चालोबा', 'bn': 'ত্রেভহ চালোবাহ'}, 'shortNameTranslation': {'ar': 'ت. تشالوبا', 'hi': 'टी. चालोबा', 'bn': 'টি. চালোবাহ'}}",23.0,21.0,1.0,,6.0,6.0,15.0,17.0,3.0,,,23.0,23.0,6.4,2.0,0.00850838,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thiago Silva,thiago-silva,T. Silva,D,,181,43819,M,ThiagoSilva,33541,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,464659200,"{'value': 560000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تياغو سيلفا', 'hi': 'थियागो सिल्वा', 'bn': 'থিয়াগো সিলভা'}, 'shortNameTranslation': {'ar': 'ت. سيلفا', 'hi': 'टी. सिल्वा', 'bn': 'টি. সিলভা'}}",23.0,22.0,,,16.0,17.0,6.0,6.0,,,,12.0,24.0,6.7,1.0,0.00363533,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cesare Casadei,cesare-casadei,C. Casadei,M,22,192,6954,M,cesarecasadei,1016788,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,1042156800,"{'value': 15600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيزار كاسادي', 'hi': 'सेसरे कासादेई', 'bn': 'সিজার ক্যাসাডেই'}, 'shortNameTranslation': {'ar': 'س. كاسادي', 'hi': 'सी. कासादेई', 'bn': 'সি. ক্যাসাডেই'}}",14.0,14.0,,,6.0,6.0,8.0,8.0,1.0,1.0,,11.0,18.0,6.9,1.0,0.00643131,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,2.0,1.0,4.0,,2.0,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
Marcus Bettinelli,marcus-bettinelli,M. Bettinelli,G,13,194,7252,M,marcusbettss,257993,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,706665600,"{'value': 530000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس بتينلي', 'hi': 'मार्कस बेट्टीनेली', 'bn': 'মার্কাস বেটিনেলি'}, 'shortNameTranslation': {'ar': 'م. بتينلي', 'hi': 'एम. बेट्टीनेली', 'bn': 'এম. বেটিনেল্লি'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carney Chukwuemeka,carney-chukwuemeka,C. Chukwuemeka,M,17,185,10655,M,chukwuemeka10,994556,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1066608000,"{'value': 18100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كارني تشوكويميكا', 'hi': 'कार्नी चुक्वुमेका', 'bn': 'কার্নি চুকউয়েমেকা'}, 'shortNameTranslation': {'ar': 'ك. تشوكويميكا', 'hi': 'सी. चुक्वुमेका', 'bn': 'সি. চুকউয়েমেকা'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimi Tauriainen,jimi-tauriainen,J. Tauriainen,M,42,188,628,M,,1391111,"{'alpha2': 'FI', 'alpha3': 'FIN', 'name': 'Finland', 'slug': 'finland'}",EUR,1078790400,"{'value': 105000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمي توريانين'}, 'shortNameTranslation': {'ar': 'ج. توريانين'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,Jimi Tauriainen,,,,,,,,,,,,,,,
Kiano Dyer,dyer-kiano,K. Dyer,M,33,178,1543,M,,1402736,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1164067200,,"{'nameTranslation': {'ar': 'داير، كيانوا'}, 'shortNameTranslation': {'ar': 'ك. داير'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,Kiano Dyer,,,,,,,,,,,,,,,
Deivid Washington,deivid-washington,D. Washington,F,33,186,7071,M,deividwashington_,1485371,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1117929600,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد واشنطن', 'hi': 'डेविड वॉशिंगटन', 'bn': 'ডেভিড ওয়াশিংটন'}, 'shortNameTranslation': {'ar': 'د. واشنطن', 'hi': 'डी. वॉशिंगटन', 'bn': 'ডি. ওয়াশিংটন'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,Deivid Washington,,,,,,,,,,,,,,,
