name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,aerialWon,onTargetScoringAttempt,blockedScoringAttempt,totalClearance,outfielderBlock,expectedGoals,expectedGoalsOnTarget,aerialLost,duelLost,dispossessed,totalContest,wonContest,shotOffTarget,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,sofascoreId,bigChanceMissed,hitWoodwork,challengeLost,totalCross,accurateCross,keyPass,bigChanceCreated,totalOffside,punches,totalKeeperSweeper,accurateKeeperSweeper,goals,goalAssist,goodHighClaim
Chris Wood,chris-wood,C. Wood,F,11,191,7744,M,50480,"{'alpha2': 'NZ', 'alpha3': 'NZL', 'name': 'New Zealand', 'slug': 'new-zealand'}",EUR,692064000,"{'value': 8400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس وود', 'hi': 'क्रिस वुड', 'bn': 'ক্রিস উড'}, 'shortNameTranslation': {'ar': 'ك. وود', 'hi': 'सी. वुड', 'bn': 'সি. উড'}}",20.0,14.0,,,6.0,7.0,8.0,13.0,3.0,3.0,,,,90.0,29.0,6.0,11.0,0.0251956,"{'original': 6, 'alternative': 5.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,,1.0,,,0.9373,,2.0,5.0,1.0,2.0,,2.0,,,,2.0,,wodsy39,2.0,,,,,2.0,,,,,,,,
Gonzalo Montiel,gonzalo-montiel,G. Montiel,D,4,175,9289,M,822933,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,852076800,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غونزالو مونتييل', 'hi': 'गोंजालो मोंटिएल', 'bn': 'গঞ্জালো মন্টিয়েল'}, 'shortNameTranslation': {'ar': 'غ. مونتيل', 'hi': 'जी. मोंटिएल', 'bn': 'জি. মন্টিয়েল'}}",25.0,17.0,4.0,2.0,8.0,10.0,9.0,15.0,3.0,1.0,,,,55.0,38.0,7.1,11.0,0.435631,"{'original': 7.1, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,,,1.0,,0.0356,,1.0,2.0,,,,1.0,,2.0,2.0,1.0,,gonzalo_montiel29,,,1.0,,,2.0,1.0,1.0,,,,,,
Andrew Omobamidele,andrew-omobamidele,A. Omobamidele,D,20,188,706,M,983066,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1024790400,"{'value': 7700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرو أوموباميديلي', 'hi': 'एंड्रयू ओमोबामिडेले', 'bn': 'অ্যান্ড্রু ওমোবামিডেলে'}, 'shortNameTranslation': {'ar': 'أ. أوموباميديلي', 'hi': 'ए. ओमोबामिडेले', 'bn': 'এ. ওমোবামিডেলে'}}",9.0,7.0,1.0,,4.0,5.0,3.0,4.0,1.0,1.0,,,,16.0,10.0,6.5,2.0,0.00185528,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
Giovanni Reyna,giovanni-reyna,G. Reyna,M,13,185,5145,M,989056,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,1037145600,"{'value': 7500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيوفاني رينا', 'hi': 'जियोवानी रेयना', 'bn': 'জিওভানি রেইনা'}, 'shortNameTranslation': {'ar': 'ج. رينا', 'hi': 'जी. रेयना', 'bn': 'জি রেইনা'}}",7.0,5.0,1.0,1.0,,,5.0,9.0,,,,,,16.0,11.0,6.6,5.0,0.0132177,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,1.0,,1.0,,,,,,,,gioareyna,,,,2.0,,1.0,,,,,,,,
Ryan Yates,ryan-yates,R. Yates,M,22,190,881,M,846252,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,880070400,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان ييتس', 'hi': 'रयान येट्स', 'bn': 'রায়ান ইয়েটস'}, 'shortNameTranslation': {'ar': 'ر. ييتس', 'hi': 'आर. येट्स', 'bn': 'আর. ইয়েটস'}}",8.0,7.0,,,1.0,1.0,6.0,8.0,2.0,2.0,2.0,,,16.0,12.0,6.8,2.0,0.0110702,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Ibrahim Sangaré,ibrahim-sangare,I. Sangaré,M,6,191,9875,M,843754,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,881020800,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إبراهيم سانغاري', 'hi': 'इब्राहिम संगारे', 'bn': 'ইব্রাহিম সাঙ্গারে'}, 'shortNameTranslation': {'ar': 'إ. سانغاري', 'hi': 'आई. संगारे', 'bn': 'আই. সাঙ্গারে'}}",5.0,5.0,,,1.0,1.0,4.0,4.0,2.0,1.0,,,,12.0,8.0,6.6,1.0,0.0031621,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,1.0,4.0,1.0,,,,,2.0,2.0,,1.0,ibrahim_sangare,,,1.0,,,,,,,,,,,
Matt Turner,matt-turner,M. Turner,G,30,190,1581,M,833943,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,772416000,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات تيرنر', 'hi': 'मैट टर्नर', 'bn': 'ম্যাট টার্নার'}, 'shortNameTranslation': {'ar': 'م. تيرنر', 'hi': 'एम. टर्नर', 'bn': 'এম. টার্নার'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Toffolo,harry-toffolo,H. Toffolo,D,15,183,379,M,358218,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,808790400,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري توفولو', 'hi': 'हैरी टोफ़ोलो', 'bn': 'হ্যারি টফোলো'}, 'shortNameTranslation': {'ar': 'ه. توفولو', 'hi': 'एच. टोफ़ोलो', 'bn': 'এইচ. টফোলো'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divock Origi,divock-origi,D. Origi,F,27,189,3656,M,190399,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,798163200,"{'value': 525000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفوك أوريجي', 'hi': 'डिवॉक ओरिजी', 'bn': 'ডিভক অরিজি'}, 'shortNameTranslation': {'ar': 'د. أوريجي', 'hi': 'डी. ओरिजी', 'bn': 'ডি. অরিজি'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,divockorigi,,,,,,,,,,,,,,
Rodrigo Ribeiro,ribeiro-rodrigo,R. Ribeiro,F,28,185,1437,M,1215904,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,1114646400,"{'value': 2400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريبييرو، رودريغو', 'hi': 'रिबेरो, रोड्रिगो', 'bn': 'রিবেইরো, রদ্রিগো'}, 'shortNameTranslation': {'ar': 'ر. ريبييرو', 'hi': 'आर. रिबेरो', 'bn': 'আর. রিবেইরো'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ederson,ederson,Ederson,G,31,188,51284,M,254491,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,745545600,"{'value': 16600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}, 'shortNameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}}",22.0,20.0,3.0,1.0,20.0,21.0,,1.0,2.0,6.0,1.0,1.0,1.0,45.0,28.0,7.1,2.0,5.922e-05,"{'original': 7.1, 'alternative': 7.1}",0,0.1205,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,,,1.0,,,,,,,,,,,,,,,Ederson93,,,,,,,,,1.0,2.0,2.0,,,
Kyle Walker,kyle-walker,K. Walker,D,2,183,28997,M,44614,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,643852800,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كايل ووكر', 'hi': 'काइल वाकर', 'bn': 'কাইল ওয়াকার'}, 'shortNameTranslation': {'ar': 'ك. ووكر', 'hi': 'के. वाकर', 'bn': 'কে. ওয়াকার'}}",64.0,59.0,2.0,1.0,22.0,23.0,38.0,42.0,5.0,5.0,1.0,,,90.0,84.0,7.2,9.0,0.0723911,"{'original': 7.2, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,,,,,,,,,3.0,,1.0,1.0,,1.0,3.0,2.0,,,KyleWalker2,,,3.0,1.0,1.0,,,,,,,,,
Manuel Akanji,manuel-akanji,M. Akanji,D,25,187,23614,M,383560,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,806112000,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانويل أكانجي', 'hi': 'मैनुअल अकांजी', 'bn': 'ম্যানুয়েল আকানজি'}, 'shortNameTranslation': {'ar': 'م. أكانجي', 'hi': 'एम. अकांजी', 'bn': 'এম. আকানজি'}}",58.0,56.0,2.0,1.0,44.0,44.0,12.0,14.0,2.0,7.0,,,,90.0,63.0,7.1,2.0,0.00331524,"{'original': 7.1, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,2.0,2.0,,,,,,2.0,2.0,,,manuel_akanji,,,,,,1.0,,,,,,,,
Nathan Aké,nathan-ake,N. Aké,D,6,180,21377,M,149663,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,793065600,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان آكي', 'hi': 'नाथन एके', 'bn': 'নাথান আকে'}, 'shortNameTranslation': {'ar': 'ن. آكي', 'hi': 'एन. एके', 'bn': 'এন. আকে'}}",68.0,63.0,2.0,1.0,42.0,46.0,21.0,22.0,3.0,6.0,,,,90.0,79.0,7.2,6.0,0.0105186,"{'original': 7.2, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,,,6.0,,,,1.0,3.0,,1.0,,,1.0,1.0,1.0,,1.0,nathanake,,,,,,,,,,,,,,
Joško Gvardiol,josko-gvardiol,J. Gvardiol,D,24,186,50283,M,964994,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,1011744000,"{'value': 64000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوشكو غفارديول', 'hi': 'जोस्को ग्वार्डिओल', 'bn': 'জোসকো গোওয়ারদিওল'}, 'shortNameTranslation': {'ar': 'ي. غفارديول', 'hi': 'जे. ग्वार्डिओल', 'bn': 'জে. গোওয়ারদিওল'}}",71.0,61.0,,,28.0,32.0,33.0,41.0,5.0,7.0,,,,90.0,90.0,8.2,15.0,0.0518701,"{'original': 8.2, 'alternative': 8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,3.0,1.0,,1.0,2.0,0.0751,0.2234,1.0,3.0,1.0,2.0,1.0,,,1.0,1.0,,,JGvardiol,,,,2.0,,,,1.0,,,,1.0,,
Rodri,rodri,Rodri,M,16,191,93944,M,827606,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,835401600,"{'value': 68000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}, 'shortNameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}}",145.0,136.0,10.0,6.0,46.0,51.0,90.0,94.0,5.0,6.0,,,,90.0,160.0,7.9,13.0,0.0961287,"{'original': 7.9, 'alternative': 7.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,,2.0,1.0,,,2.0,4.0,1.0,,,,1.0,4.0,4.0,2.0,2.0,Rodri,,,,,,1.0,,,,,,,,
Jérémy Doku,jeremy-doku,J. Doku,M,11,173,68596,M,934386,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,1022457600,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيريمي دوكو', 'hi': 'जेरेमी डोकू', 'bn': 'জেরেমি ডকু'}, 'shortNameTranslation': {'ar': 'ج. دوكو', 'hi': 'जे. डोकू', 'bn': 'জে. ডকু'}}",16.0,15.0,,,5.0,5.0,10.0,11.0,2.0,2.0,1.0,,,45.0,25.0,6.7,4.0,0.00658409,"{'original': 6.7, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,1.0,,,0.0384,,,5.0,2.0,,,1.0,1.0,1.0,,1.0,2.0,Dokss,,,1.0,,,,,,,,,,,
Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,11,181,335100,M,70996,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,678067200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيفن دي بروين', 'hi': 'केविन डी ब्रूने', 'bn': 'কেভিন ডি ব্রুইন'}, 'shortNameTranslation': {'ar': 'ك. دي بروين', 'hi': 'के. डी ब्रूने', 'bn': 'কে. ডি ব্রুইন'}}",55.0,47.0,1.0,1.0,13.0,14.0,35.0,46.0,1.0,1.0,1.0,,,89.0,72.0,8.1,16.0,0.254129,"{'original': 8.1, 'alternative': 7.8}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,2.0,3.0,,,0.2096,0.7148,,4.0,,3.0,,,,,,1.0,,KDB,,,1.0,5.0,1.0,3.0,1.0,,,,,,2.0,
Bernardo Silva,bernardo-silva,B. Silva,M,20,173,65986,M,331209,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,776476800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرناردو سيلفا', 'hi': 'बर्नार्डो सिल्वा', 'bn': 'বার্নার্ডো সিলভা'}, 'shortNameTranslation': {'ar': 'ب. سيلفا', 'hi': 'बी. सिल्वा', 'bn': 'বি. সিলভা'}}",66.0,55.0,3.0,1.0,22.0,25.0,33.0,42.0,4.0,4.0,1.0,,,90.0,78.0,6.9,17.0,0.0463882,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,3.0,2.0,,,,2.0,3.0,,3.0,,BSilva,,,1.0,1.0,,,,,,,,,,
Jack Grealish,jack-grealish,J. Grealish,M,18,180,61911,M,189061,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,810691200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك غريليش', 'hi': 'जैक ग्रेलिश', 'bn': 'জ্যাক গ্রেলিশ'}, 'shortNameTranslation': {'ar': 'ج. غريليش', 'hi': 'जे. ग्रेलिश', 'bn': 'জে গ্রেলিশ'}}",28.0,26.0,1.0,1.0,6.0,6.0,20.0,22.0,2.0,4.0,2.0,,,62.0,35.0,6.8,6.0,0.0612913,"{'original': 6.8, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,4.0,1.0,3.0,,,,,,,,JGrealish,,,,,,1.0,,,,,,,,
