name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,duelLost,totalContest,outfielderBlock,fouls,aerialLost,aerialWon,duelWon,totalTackle,wonTackle,keyPass,challengeLost,onTargetScoringAttempt,goals,expectedGoals,expectedGoalsOnTarget,wonContest,interceptionWon,lastManTackle,wasFouled,goalAssist,accurateCross,dispossessed,bigChanceCreated,shotOffTarget,blockedScoringAttempt,unsuccessfulTouch,totalOffside,bigChanceMissed,errorLeadToAShot
Guglielmo Vicario,guglielmo-vicario,G. Vicario,G,1,194,7041,M,guglielmovicario,553606,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,844646400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيكاريو غولييلمو', 'hi': 'गुग्लिल्मो विकारियो', 'bn': 'উইলিয়াম দ্য ভিকারিও'}, 'shortNameTranslation': {'ar': 'ف. غولييلمو', 'hi': 'जी. विकारियो', 'bn': 'জি. ভিকারিও'}}",28.0,26.0,3.0,1.0,26.0,26.0,,2.0,3.0,6.0,1.0,1.0,3.0,1.0,90.0,41.0,7.4,2.0,8.214e-05,"{'original': 7.4, 'alternative': 7.3}",0,0.3005,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,
Pedro Porro,pedro-porro,P. Porro,D,23,173,11089,M,pedroporro29,913654,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,937180800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيدرو بورو', 'hi': 'पेड्रो पोरो', 'bn': 'পেড্রো পোরো'}, 'shortNameTranslation': {'ar': 'ب. بورو', 'hi': 'पी. पोरो', 'bn': 'পি. পোরো'}}",52.0,41.0,4.0,1.0,14.0,17.0,27.0,42.0,2.0,7.0,,,,,90.0,90.0,7.3,23.0,0.0521706,"{'original': 7.3, 'alternative': 6.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,7.0,7.0,2.0,,,,,6.0,4.0,3.0,,3.0,1.0,,0.0515,0.0599,1.0,2.0,,1.0,,,3.0,,1.0,,,,,
Cristian Romero,cristian-romero,C. Romero,D,17,185,37279,M,cutiromero2,829932,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,893635200,"{'value': 56000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان روميرو', 'hi': 'क्रिस्टियन रोमेरो', 'bn': 'ক্রিশ্চিয়ান রোমেরো'}, 'shortNameTranslation': {'ar': 'ك. روميرو', 'hi': 'सी. रोमेरो', 'bn': 'সি. রোমেরো'}}",82.0,79.0,6.0,5.0,45.0,48.0,34.0,34.0,,5.0,,,,,90.0,93.0,7.3,4.0,0.0465462,"{'original': 7.3, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,5.0,,2.0,3.0,1.0,4.0,8.0,3.0,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,
Micky van de Ven,micky-van-de-ven,M. van de Ven,D,37,193,11821,M,mickyvdven,998247,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,987638400,"{'value': 63000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميكي فان دي فين', 'hi': 'मिकी वैन डे वेन', 'bn': 'মিকি ভ্যান ডি ভেন'}, 'shortNameTranslation': {'ar': 'م. فان دي فين', 'hi': 'एम. वैन डे वेन', 'bn': 'এম. ভ্যান ডি ভেন'}}",67.0,64.0,2.0,1.0,52.0,53.0,12.0,14.0,2.0,5.0,,,,,90.0,78.0,6.9,5.0,0.00340809,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,2.0,,,1.0,1.0,2.0,5.0,3.0,3.0,,,,,,,,,,,,,,,,,2.0,,,
Destiny Udogie,destiny-udogie,D. Udogie,D,13,186,5987,M,udogiethree,983572,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,1038441600,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديستيني أودوجي', 'hi': 'डेस्टिनी उडोगी', 'bn': 'ডেসটিনি উদোগি'}, 'shortNameTranslation': {'ar': 'د. أودوجي', 'hi': 'डी. उडोगी', 'bn': 'ডি. উদোগি'}}",53.0,47.0,1.0,,16.0,18.0,31.0,35.0,4.0,6.0,,,,,90.0,82.0,7.6,12.0,0.0248838,"{'original': 7.6, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,4.0,2.0,1.0,,1.0,1.0,8.0,3.0,3.0,,,1.0,,0.131,0.0323,1.0,,,3.0,,,2.0,,,,1.0,,,
Yves Bissouma,yves-bissouma,Y. Bissouma,M,8,181,14766,M,YB8,844842,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,841363200,"{'value': 13800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيف بيسوما', 'hi': 'यवेस बिसौमा', 'bn': 'ইয়েভেস বিসুমা'}, 'shortNameTranslation': {'ar': 'إ. بيسوما', 'hi': 'वाई. बिसौमा', 'bn': 'ওয়াই. বিসুমা'}}",97.0,93.0,2.0,1.0,49.0,51.0,44.0,46.0,1.0,7.0,,,,,82.0,105.0,7.1,5.0,0.0804864,"{'original': 7.1, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,5.0,1.0,,2.0,2.0,,2.0,1.0,,1.0,,,,0.0471,,1.0,2.0,,,,,1.0,,1.0,,,,,
Rodrigo Bentancur,bentancur-rodrigo,R. Bentancur,M,30,187,8373,M,rodrigo_bentancur,791190,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,867196800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودريغو بينتانكور', 'hi': 'बेनटानकुर, रोड्रिगो', 'bn': 'বেন্টানকুর, রদ্রিগো'}, 'shortNameTranslation': {'ar': 'ر. بينتانكور', 'hi': 'आर. बेनटानकुर', 'bn': 'আর. বেন্টানকুর'}}",86.0,76.0,1.0,1.0,30.0,36.0,46.0,51.0,1.0,2.0,,,,,70.0,99.0,7.3,12.0,0.174838,"{'original': 7.3, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,3.0,1.0,,1.0,,4.0,7.0,1.0,1.0,1.0,1.0,,,0.0349,,,2.0,,2.0,,,,,1.0,,,,,1.0
Brennan Johnson,brennan-johnson,B. Johnson,F,22,186,9634,M,brenjohnson_,1085180,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,990576000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برينان جونسون', 'hi': 'ब्रेनन जॉनसन', 'bn': 'ব্রেনান জনসন'}, 'shortNameTranslation': {'ar': 'ب. جونسون', 'hi': 'बी. जॉनसन', 'bn': 'বি. জনসন'}}",35.0,26.0,2.0,,6.0,7.0,20.0,32.0,,2.0,,,,,89.0,50.0,7.3,17.0,0.17881,"{'original': 7.3, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,4.0,4.0,2.0,,1.0,,,2.0,,,1.0,1.0,1.0,1.0,0.4103,0.907,2.0,,,,,,2.0,,,1.0,1.0,,,
James Maddison,james-maddison,J. Maddison,M,10,175,16399,M,Madders,356398,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,848707200,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ماديسون', 'hi': 'जेम्स मैडिसन', 'bn': 'জেমস ম্যাডিসন'}, 'shortNameTranslation': {'ar': 'ج. ماديسون', 'hi': 'जे. मैडिसन', 'bn': 'জে. ম্যাডিসন'}}",53.0,47.0,3.0,3.0,15.0,15.0,32.0,42.0,,,,,,,70.0,72.0,7.2,13.0,0.0972696,"{'original': 7.2, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,4.0,5.0,3.0,,1.0,,,5.0,1.0,1.0,1.0,1.0,,,0.139,,2.0,1.0,,2.0,,,2.0,,,2.0,,,,
Timo Werner,timo-werner,T. Werner,F,36,180,20181,M,timowerner,232306,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,826070400,"{'value': 4700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيمو فيرنر', 'hi': 'टीमो वर्नर', 'bn': 'টিমো ওয়ার্নার'}, 'shortNameTranslation': {'ar': 'ت. فيرنر', 'hi': 'टी. वर्नर', 'bn': 'টি. ওয়ার্নার'}}",27.0,19.0,1.0,1.0,7.0,7.0,12.0,20.0,1.0,,,,,,82.0,41.0,7.4,8.0,0.532913,"{'original': 7.4, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,,,,,,3.0,2.0,2.0,1.0,1.0,,,0.0314,,,,,1.0,1.0,,,1.0,,1.0,,1.0,,
