name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialWon,duelWon,totalContest,wonContest,bigChanceCreated,blockedScoringAttempt,totalClearance,interceptionWon,possessionLostCtrl,expectedGoals,keyPass,duelLost,fouls,shotOffTarget,bigChanceMissed,onTargetScoringAttempt,goals,totalTackle,expectedGoalsOnTarget,aerialLost,dispossessed,wasFouled,sofascoreId,goalAssist,challengeLost,unsuccessfulTouch,errorLeadToAShot,wonTackle,totalOffside,hitWoodwork,punches,outfielderBlock
Anthony Gordon,,,gordon-anthony,A. Gordon,F,10,183,15531,M,914902,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,982972800,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غوردون، أنتوني', 'hi': 'गॉर्डन, एंथनी', 'bn': 'গর্ডন, অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أ. غوردون', 'hi': 'ए. गॉर्डन', 'bn': 'এ. গর্ডন'}}",33.0,29.0,2.0,1.0,8.0,9.0,2.0,,,,84.0,60.0,8.0,0.39195,"{'original': 8, 'alternative': 7.9}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,24.0,33.0,9.0,3.0,,3.0,3.0,1.0,1.0,,,1.0,12.0,0.2957,4.0,2.0,,3.0,1.0,1.0,,2.0,0.2143,,,,AGordon,1.0,,,,2.0,,1.0,,
Emil Krafth,,,emil-krafth,E. Krafth,D,17,184,946,M,150396,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,775785600,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إميل كرافث', 'hi': 'एमिल क्राफ्ट', 'bn': 'এমিল ক্রাফট'}, 'shortNameTranslation': {'ar': 'إ. كرافث', 'hi': 'ई. क्राफ्ट', 'bn': 'ই. ক্রাফট'}}",65.0,59.0,1.0,1.0,17.0,17.0,3.0,,,,76.0,91.0,8.2,0.274464,"{'original': 8.2, 'alternative': 7.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,45.0,54.0,6.0,3.0,,6.0,1.0,1.0,1.0,,,,11.0,0.064,3.0,3.0,1.0,1.0,,,,3.0,,1.0,1.0,2.0,,,,,,2.0,,,,
Lewis Miley,Lewis Miley,,lewis-miley,L. Miley,M,67,188,3070,M,1400650,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1146441600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس مايلي', 'hi': 'लुईस माइली', 'bn': 'লুইস মাইলি'}, 'shortNameTranslation': {'ar': 'ل. مايلي', 'hi': 'एल. माइली', 'bn': 'এল. মাইলি'}}",35.0,30.0,1.0,1.0,10.0,11.0,4.0,,,,54.0,43.0,7.7,0.204311,"{'original': 7.7, 'alternative': 7.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,20.0,25.0,1.0,,,1.0,2.0,1.0,,,,,8.0,0.3058,2.0,2.0,1.0,,,2.0,1.0,,0.8807,,,,,,,1.0,,,,,,
Lewis Hall,Lewis Hall,,lewis-hall,L. Hall,D,3,179,4014,M,1136730,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1094601600,"{'value': 30000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس هال', 'hi': 'लुईस हॉल', 'bn': 'লুইস হল'}, 'shortNameTranslation': {'ar': 'ل. هال', 'hi': 'एल. हॉल', 'bn': 'এল. হল'}}",9.0,8.0,1.0,1.0,2.0,3.0,,,,,13.0,13.0,6.3,0.00709004,"{'original': 6.3, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,6.0,6.0,,,,1.0,2.0,,,,,,4.0,,,2.0,,,,,,1.0,,,,,lewishall_10,,,,,,,,,
Sven Botman,,,sven-botman,S. Botman,D,4,193,3367,M,910046,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,947635200,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سفين بوتمان', 'hi': 'स्वेन बोटमैन', 'bn': 'সোভেন বটম্যান'}, 'shortNameTranslation': {'ar': 'س. بوتمان', 'hi': 'एस. बोटमैन', 'bn': 'এস. বটম্যান'}}",28.0,27.0,,,14.0,15.0,1.0,,,,13.0,28.0,6.7,0.00814226,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,13.0,13.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Matt Ritchie,,,matt-ritchie,M. Ritchie,M,30,173,305,M,42699,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,621388800,"{'value': 145000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات ريتشي', 'hi': 'मैट रिची', 'bn': 'ম্যাট রিচি'}, 'shortNameTranslation': {'ar': 'م. ريتشي', 'hi': 'एम. रिची', 'bn': 'এম. রিচি'}}",8.0,8.0,,,1.0,1.0,1.0,,,,13.0,11.0,7.0,0.00479007,"{'original': 7, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,7.0,8.0,1.0,,,,,,,,,,1.0,0.1356,,,,1.0,,1.0,,,0.0251,,,,,,,,,,,,,
Mark Gillespie,,,mark-gillespie,M. Gillespie,G,29,190,383,M,108508,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,701654400,"{'value': 155000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك جيليسبي', 'hi': 'मार्क गिलेस्पी', 'bn': 'মার্ক গিলেস্পি'}, 'shortNameTranslation': {'ar': 'م. جيليسبي', 'hi': 'एम. गिलेस्पी', 'bn': 'এম. গিলেস্পি'}}",,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loris Karius,,,loris-karius,L. Karius,G,1,190,1695,M,174135,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,740707200,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوريس كاريوس', 'hi': 'लोरिस केरियस', 'bn': 'লরিস ক্যারিয়াস'}, 'shortNameTranslation': {'ar': 'ل. كاريوس', 'hi': 'एल. केरियस', 'bn': 'এল. কারিয়াস'}}",,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Murphy,,,alex-murphy,A. Murphy,D,37,188,673,M,1125214,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1088121600,"{'value': 315000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'اليكس ميرفي', 'hi': 'एलेक्स मर्फी', 'bn': 'অ্যালেক্স মারফি'}, 'shortNameTranslation': {'ar': 'ا. ميرفي', 'hi': 'ए. मर्फी', 'bn': 'এ. মারফি'}}",,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Dummett,,,paul-dummett,P. Dummett,D,,183,150,M,185995,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,685843200,,"{'nameTranslation': {'ar': 'بول دومت', 'hi': 'पॉल डमेट', 'bn': 'পল ডুমেট'}, 'shortNameTranslation': {'ar': 'ب. دومت', 'hi': 'पी. डमेट', 'bn': 'পি. ডামেট'}}",,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernd Leno,,,bernd-leno,B. Leno,G,1,190,2729,M,103335,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,699667200,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرند لينو', 'hi': 'बर्न्ड लेनो', 'bn': 'বার্ন্ড লেনো'}, 'shortNameTranslation': {'ar': 'ب. لينو', 'hi': 'बी. लेनो', 'bn': 'বি. লেনো'}}",35.0,12.0,26.0,3.0,11.0,13.0,11.0,1.0,5.0,7.0,90.0,49.0,7.5,4.998e-05,"{'original': 7.5, 'alternative': 7.2}",0,0.8986,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,22.0,,,,,,,,,1.0,,23.0,,,,,,,,,,,,,,,,,,,,,,1.0,
Timothy Castagne,,,timothy-castagne,T. Castagne,D,21,185,2324,M,329417,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,818121600,"{'value': 9500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيموثي كاستاني', 'hi': 'टिमोथी कास्टेग्ने', 'bn': 'টিমোথি কাস্টেন'}, 'shortNameTranslation': {'ar': 'ت. كاستاني', 'hi': 'टी. कास्टेग्ने', 'bn': 'টি. কাস্টেন'}}",19.0,16.0,1.0,,9.0,11.0,3.0,,,,61.0,31.0,6.5,0.00441016,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,7.0,8.0,,,,2.0,,,,,,,5.0,,1.0,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,
Tosin Adarabioyo,,,tosin-adarabioyo,T. Adarabioyo,D,4,196,10404,M,352668,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,875059200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توسين أدارابايو', 'hi': 'टोसिन अदाराबियोयो', 'bn': 'তোসিন আদারাবিয়োয়ো'}, 'shortNameTranslation': {'ar': 'ت. أدارابايو', 'hi': 'टी. अदाराबियोयो', 'bn': 'টি. আদারাবিয়োয়ো'}}",30.0,18.0,9.0,5.0,13.0,18.0,2.0,,,,90.0,45.0,6.5,0.00950882,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,12.0,,,1.0,6.0,1.0,1.0,,,3.0,1.0,14.0,,,3.0,1.0,,,,,4.0,,,2.0,,tosinadarabioyo,,,,,1.0,,,,1.0
Issa Diop,,,issa-diop,I. Diop,D,31,194,855,M,825719,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,852768000,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عيسى ديوب', 'hi': 'इस्सा डियोप', 'bn': 'ইসা ডিওপ'}, 'shortNameTranslation': {'ar': 'ع. ديوب', 'hi': 'आई. डियोप', 'bn': 'আই. ডিওপ'}}",24.0,22.0,1.0,,16.0,17.0,1.0,,,,90.0,36.0,6.6,0.00199572,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,6.0,7.0,,,1.0,3.0,,,,,8.0,,2.0,,,3.0,2.0,,,,,2.0,,,,,,,1.0,,,1.0,,,,2.0
Antonee Robinson,,,antonee-robinson,A. Robinson,D,33,183,2925,M,803174,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,870998400,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني روبنسون', 'hi': 'एंटोनी रॉबिन्सन', 'bn': 'অ্যান্টনি রবিনসন'}, 'shortNameTranslation': {'ar': 'أ. روبنسون', 'hi': 'ए. रॉबिन्सन', 'bn': 'এ. রবিনসন'}}",27.0,20.0,4.0,1.0,10.0,13.0,3.0,,,,90.0,60.0,7.0,0.0145431,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,11.0,17.0,3.0,1.0,,4.0,2.0,,,,4.0,7.0,13.0,,2.0,3.0,,,,,,3.0,,,,1.0,,,1.0,1.0,,2.0,,,,1.0
João Palhinha,,,joao-palhinha,J. Palhinha,M,6,189,16675,M,364612,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,805248000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو بالينيا', 'hi': 'जोआओ पालहिन्हा', 'bn': 'জোয়াও পালহিনহা'}, 'shortNameTranslation': {'ar': 'ج. بالينيا', 'hi': 'जे. पालहिन्हा', 'bn': 'জে. পলহিনহা'}}",15.0,12.0,1.0,,10.0,10.0,2.0,,,,77.0,27.0,6.7,0.00272692,"{'original': 6.7, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,5.0,,,,6.0,,,,,,1.0,4.0,0.0159,,4.0,1.0,,,1.0,,4.0,0.044,,1.0,2.0,Palhinha,,2.0,,,2.0,,,,
Tom Cairney,,,tom-cairney,T. Cairney,M,10,185,480,M,82566,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,664329600,"{'value': 795000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توم كايرني', 'hi': 'टॉम केर्नी', 'bn': 'টম কেয়ারনে'}, 'shortNameTranslation': {'ar': 'ت. كايرني', 'hi': 'टी. केर्नी', 'bn': 'টি. কেয়ারনে'}}",31.0,29.0,1.0,,17.0,17.0,6.0,,,,76.0,43.0,7.0,0.00774026,"{'original': 7, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,12.0,16.0,2.0,,1.0,6.0,2.0,2.0,,,,1.0,5.0,0.0222,,1.0,,,,1.0,,2.0,0.0628,,,1.0,,,1.0,1.0,,,,,,
Harry Wilson,,,harry-wilson,H. Wilson,M,8,173,4052,M,355528,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,858988800,"{'value': 22000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري ويلسون', 'hi': 'हैरी विल्सन', 'bn': 'হ্যারি উইলসন'}, 'shortNameTranslation': {'ar': 'ه. ويلسون', 'hi': 'एच. विल्सन', 'bn': 'এইচ. উইলসন'}}",23.0,20.0,,,8.0,8.0,3.0,,,,90.0,33.0,6.7,0.0197001,"{'original': 6.7, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,12.0,15.0,,,,1.0,1.0,,,,1.0,1.0,4.0,,,2.0,,,,,,,,,,1.0,,,1.0,,,,,,,2.0
Andreas Pereira,,,andreas-pereira,A. Pereira,M,18,177,13772,M,285949,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,820454400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}, 'shortNameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}}",16.0,13.0,3.0,2.0,4.0,4.0,2.0,,,,61.0,26.0,6.7,0.0137412,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,9.0,13.0,1.0,,,1.0,,,,,1.0,,7.0,0.0161,,4.0,,1.0,,,,1.0,,2.0,1.0,,andreaspereira,,1.0,2.0,,1.0,,,,1.0
Alex Iwobi,,,alex-iwobi,A. Iwobi,M,17,183,7053,M,352770,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,831081600,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس إيووبي', 'hi': 'एलेक्स इवोबी', 'bn': 'অ্যালেক্স ইওবি'}, 'shortNameTranslation': {'ar': 'أ. إيووبي', 'hi': 'ए. इवोबी', 'bn': 'এ. ইওবি'}}",23.0,21.0,3.0,1.0,5.0,6.0,4.0,,,,77.0,34.0,6.0,0.0321177,"{'original': 6, 'alternative': 5.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,16.0,18.0,1.0,,,1.0,2.0,,,,2.0,,7.0,0.1203,,11.0,2.0,,1.0,1.0,,1.0,0.0946,6.0,,,alexanderiwobi,,1.0,2.0,,1.0,,,,
