season,date,home_team,away_team,home_score,away_score,result,odds_1,odds_x,odds_2
current,,ETO FC,Ferencvárosi TC,,,,3.65,3.6,1.88
current,2026-08-30,Puskás Akadémia FC,Ferencvárosi TC,1.0,2.0,A,3.95,3.7,1.73
current,2026-08-30,Kisvárda FC,ETO FC,1.0,1.0,D,3.05,3.4,2.08
current,2026-08-29,Újpest FC,Vasas FC,3.0,1.0,H,2.18,3.45,2.84
current,2026-08-29,Budapest Honvéd FC,Zalaegerszegi TE FC,1.0,0.0,H,1.98,3.35,3.25
current,2026-08-29,Nyíregyháza Spartacus,Paksi FC,1.0,1.0,D,2.25,3.65,2.63
current,2026-08-28,Debreceni VSC,MTK Budapest,2.0,2.0,D,2.39,3.35,2.57
current,2026-08-23,Kisvárda FC,Debreceni VSC,0.0,0.0,D,3.05,3.45,2.15
current,2026-08-23,ETO FC,Zalaegerszegi TE FC,3.0,0.0,H,1.67,4.05,4.27
current,2026-08-22,MTK Budapest,Nyíregyháza Spartacus,2.0,1.0,H,2.23,3.55,2.84
current,2026-08-22,Vasas FC,Puskás Akadémia FC,0.0,1.0,A,2.18,3.5,2.95
current,2026-08-21,Paksi FC,Újpest FC,2.0,0.0,H,1.93,3.8,3.33
current,2026-08-17,Zalaegerszegi TE FC,Ferencvárosi TC,0.0,1.0,A,5.13,3.95,1.58
current,2026-08-16,Puskás Akadémia FC,Paksi FC,3.0,2.0,H,2.32,3.45,2.72
current,2026-08-16,Debreceni VSC,ETO FC,1.0,1.0,D,2.39,3.45,2.67
current,2026-08-15,Nyíregyháza Spartacus,Kisvárda FC,2.0,1.0,H,1.82,3.63,3.95
current,2026-08-15,Újpest FC,MTK Budapest,1.0,1.0,D,1.95,3.65,3.35
current,2026-08-14,Budapest Honvéd FC,Vasas FC,1.0,2.0,A,2.53,3.35,2.48
current,2026-08-09,Debreceni VSC,Nyíregyháza Spartacus,1.0,0.0,H,2.28,3.25,2.78
current,2026-08-09,Paksi FC,Budapest Honvéd FC,2.0,2.0,D,2.0,3.45,3.25
current,2026-08-08,Kisvárda FC,Újpest FC,2.0,4.0,A,2.75,3.3,2.3
current,2026-08-08,Vasas FC,Zalaegerszegi TE FC,5.0,0.0,H,2.25,3.45,2.75
current,2026-08-07,MTK Budapest,Puskás Akadémia FC,2.0,3.0,A,2.55,3.5,2.48
current,2026-08-03,Zalaegerszegi TE FC,Paksi FC,5.0,2.0,H,2.73,3.63,2.28
current,2026-08-02,Ferencvárosi TC,Vasas FC,0.0,0.0,D,1.52,4.17,5.38
current,2026-08-02,ETO FC,Nyíregyháza Spartacus,4.0,0.0,H,2.05,3.55,3.1
current,2026-08-02,Újpest FC,Debreceni VSC,4.0,2.0,H,1.9,3.4,3.83
current,2026-08-01,Budapest Honvéd FC,MTK Budapest,3.0,3.0,D,2.55,3.45,2.45
current,2026-07-31,Puskás Akadémia FC,Kisvárda FC,0.0,2.0,A,1.78,3.4,4.27
current,2026-07-27,MTK Budapest,Zalaegerszegi TE FC,3.0,0.0,H,2.05,3.53,3.2
current,2026-07-26,Paksi FC,Ferencvárosi TC,4.0,2.0,H,3.9,4.0,1.73
current,2026-07-26,Debreceni VSC,Puskás Akadémia FC,0.0,2.0,A,2.39,3.3,2.78
current,2026-07-26,Vasas FC,ETO FC,2.0,2.0,D,3.1,3.5,2.1
current,2026-07-25,Kisvárda FC,Budapest Honvéd FC,1.0,1.0,D,2.53,3.3,2.59
current,2026-07-24,Nyíregyháza Spartacus,Újpest FC,2.0,1.0,H,2.47,3.45,2.57
2025-2026,2026-05-16,Debreceni VSC,Újpest FC,2.0,1.0,H,1.66,3.88,4.5
2025-2026,2026-05-16,Diósgyőri VTK,Paksi FC,1.0,3.0,A,6.59,5.14,1.36
2025-2026,2026-05-16,Ferencvárosi TC,Zalaegerszegi TE FC,3.0,0.0,H,1.27,5.66,8.82
2025-2026,2026-05-16,Kisvárda FC,ETO FC,0.0,1.0,A,7.05,5.09,1.35
2025-2026,2026-05-15,Puskás Akadémia FC,MTK Budapest,2.0,2.0,D,1.91,3.58,3.61
2025-2026,2026-05-15,Nyíregyháza Spartacus,Kazincbarcikai SC,2.0,2.0,D,1.32,5.12,7.84
2025-2026,2026-05-03,Újpest FC,Ferencvárosi TC,0.0,5.0,A,5.59,4.34,1.48
2025-2026,2026-05-03,Paksi FC,Debreceni VSC,5.0,2.0,H,2.03,3.7,3.15
2025-2026,2026-05-02,ETO FC,Diósgyőri VTK,4.0,0.0,H,1.08,10.61,17.7
2025-2026,2026-05-02,Kazincbarcikai SC,Kisvárda FC,2.0,1.0,H,3.89,3.45,1.87
2025-2026,2026-05-02,MTK Budapest,Nyíregyháza Spartacus,1.0,1.0,D,2.3,3.43,2.81
2025-2026,2026-05-01,Zalaegerszegi TE FC,Puskás Akadémia FC,1.0,3.0,A,2.24,3.27,3.04
2025-2026,2026-04-26,Debreceni VSC,ETO FC,1.0,1.0,D,3.45,3.58,1.94
2025-2026,2026-04-26,Ferencvárosi TC,Paksi FC,2.0,0.0,H,1.36,4.95,6.92
2025-2026,2026-04-25,Nyíregyháza Spartacus,Zalaegerszegi TE FC,2.0,1.0,H,2.19,3.42,3.01
2025-2026,2026-04-25,Puskás Akadémia FC,Újpest FC,2.0,0.0,H,2.31,3.38,2.82
2025-2026,2026-04-25,Kisvárda FC,Diósgyőri VTK,1.0,2.0,A,1.54,3.95,5.42
2025-2026,2026-04-24,Kazincbarcikai SC,MTK Budapest,0.0,0.0,D,4.38,3.88,1.68
2025-2026,2026-04-19,ETO FC,Ferencvárosi TC,1.0,0.0,H,2.79,3.39,2.34
2025-2026,2026-04-19,Paksi FC,Puskás Akadémia FC,1.0,0.0,H,2.11,3.66,2.99
2025-2026,2026-04-18,Diósgyőri VTK,Debreceni VSC,0.0,5.0,A,3.1,3.45,2.13
2025-2026,2026-04-18,MTK Budapest,Kisvárda FC,2.0,1.0,H,1.93,3.44,3.65
2025-2026,2026-04-18,Zalaegerszegi TE FC,Kazincbarcikai SC,4.0,0.0,H,1.38,4.56,7.2
2025-2026,2026-04-17,Újpest FC,Nyíregyháza Spartacus,7.0,2.0,H,2.18,3.44,3.01
2025-2026,2026-04-14,Ferencvárosi TC,Puskás Akadémia FC,2.0,1.0,H,1.35,4.72,7.89
2025-2026,2026-04-13,Kisvárda FC,Debreceni VSC,0.0,0.0,D,2.77,3.25,2.43
2025-2026,2026-04-11,Nyíregyháza Spartacus,Paksi FC,2.0,0.0,H,2.4,3.53,2.6
2025-2026,2026-04-11,MTK Budapest,Zalaegerszegi TE FC,3.0,0.0,H,2.53,3.28,2.61
2025-2026,2026-04-11,Kazincbarcikai SC,Újpest FC,0.0,3.0,A,4.73,3.75,1.65
2025-2026,2026-04-10,Ferencvárosi TC,Diósgyőri VTK,3.0,1.0,H,1.15,7.29,13.86
2025-2026,2026-04-10,Puskás Akadémia FC,ETO FC,1.0,4.0,A,3.87,3.65,1.82
2025-2026,2026-04-05,ETO FC,Nyíregyháza Spartacus,1.0,0.0,H,1.51,4.17,5.52
2025-2026,2026-04-05,Debreceni VSC,Ferencvárosi TC,0.0,2.0,A,4.64,3.86,1.65
2025-2026,2026-04-05,Diósgyőri VTK,Puskás Akadémia FC,1.0,2.0,A,2.64,3.31,2.48
2025-2026,2026-04-04,Újpest FC,MTK Budapest,2.0,2.0,D,1.98,3.45,3.46
2025-2026,2026-04-04,Paksi FC,Kazincbarcikai SC,5.0,1.0,H,1.4,4.62,6.42
2025-2026,2026-04-04,Zalaegerszegi TE FC,Kisvárda FC,2.0,0.0,H,1.9,3.34,3.84
2025-2026,2026-03-22,Kisvárda FC,Ferencvárosi TC,1.0,1.0,D,5.41,3.85,1.57
2025-2026,2026-03-22,Kazincbarcikai SC,ETO FC,1.0,3.0,A,7.89,5.04,1.32
2025-2026,2026-03-22,Puskás Akadémia FC,Debreceni VSC,1.0,1.0,D,2.14,3.38,3.16
2025-2026,2026-03-21,Zalaegerszegi TE FC,Újpest FC,2.0,0.0,H,2.29,3.3,2.93
2025-2026,2026-03-21,Nyíregyháza Spartacus,Diósgyőri VTK,3.0,1.0,H,1.88,3.43,3.89
2025-2026,2026-03-20,MTK Budapest,Paksi FC,0.0,2.0,A,2.88,3.75,2.14
2025-2026,2026-03-14,Debreceni VSC,Nyíregyháza Spartacus,1.0,1.0,D,2.13,3.31,3.24
2025-2026,2026-03-14,Paksi FC,Zalaegerszegi TE FC,1.0,1.0,D,1.89,3.61,3.55
2025-2026,2026-03-14,Újpest FC,Kisvárda FC,2.0,1.0,H,1.93,3.42,3.71
2025-2026,2026-03-13,ETO FC,MTK Budapest,0.0,0.0,D,1.42,4.62,6.18
2025-2026,2026-03-13,Diósgyőri VTK,Kazincbarcikai SC,0.0,4.0,A,1.59,3.86,5.22
2025-2026,2026-03-08,Nyíregyháza Spartacus,Ferencvárosi TC,1.0,3.0,A,5.34,3.69,1.61
2025-2026,2026-03-08,Kazincbarcikai SC,Debreceni VSC,0.0,3.0,A,4.73,3.8,1.66
2025-2026,2026-03-08,MTK Budapest,Diósgyőri VTK,1.0,1.0,D,2.15,3.44,3.07
2025-2026,2026-03-07,Újpest FC,Paksi FC,0.0,0.0,D,2.28,3.44,2.89
2025-2026,2026-03-07,Zalaegerszegi TE FC,ETO FC,2.0,1.0,H,3.03,3.51,2.16
2025-2026,2026-03-06,Kisvárda FC,Puskás Akadémia FC,1.0,0.0,H,2.84,3.01,2.52
2025-2026,2026-03-01,Ferencvárosi TC,Kazincbarcikai SC,2.0,1.0,H,1.16,7.18,14.16
2025-2026,2026-03-01,Puskás Akadémia FC,Nyíregyháza Spartacus,1.0,2.0,A,2.22,3.05,3.27
2025-2026,2026-02-28,ETO FC,Újpest FC,2.0,1.0,H,1.54,4.32,5.01
2025-2026,2026-02-28,Diósgyőri VTK,Zalaegerszegi TE FC,1.0,1.0,D,2.29,3.37,2.87
2025-2026,2026-02-28,Kisvárda FC,Paksi FC,2.0,1.0,H,2.62,3.43,2.44
2025-2026,2026-02-27,Debreceni VSC,MTK Budapest,2.0,2.0,D,1.87,3.72,3.56
2025-2026,2026-02-23,MTK Budapest,Ferencvárosi TC,1.0,3.0,A,4.79,4.17,1.58
2025-2026,2026-02-22,Paksi FC,ETO FC,3.0,4.0,A,2.45,3.58,2.53
2025-2026,2026-02-22,Zalaegerszegi TE FC,Debreceni VSC,1.0,1.0,D,2.14,3.49,3.05
2025-2026,2026-02-21,Újpest FC,Diósgyőri VTK,2.0,1.0,H,1.86,3.63,3.75
2025-2026,2026-02-21,Kazincbarcikai SC,Puskás Akadémia FC,0.0,2.0,A,4.84,3.59,1.66
2025-2026,2026-02-21,Nyíregyháza Spartacus,Kisvárda FC,2.0,2.0,D,2.1,3.25,3.35
2025-2026,2026-02-15,ETO FC,Kisvárda FC,1.0,0.0,H,1.49,4.28,5.61
2025-2026,2026-02-15,Kazincbarcikai SC,Nyíregyháza Spartacus,0.0,4.0,A,3.76,3.27,1.97
2025-2026,2026-02-14,Paksi FC,Diósgyőri VTK,1.0,2.0,A,1.55,4.31,4.93
2025-2026,2026-02-14,Zalaegerszegi TE FC,Ferencvárosi TC,3.0,1.0,H,4.56,3.83,1.67
2025-2026,2026-02-14,MTK Budapest,Puskás Akadémia FC,2.0,2.0,D,2.94,3.45,2.22
2025-2026,2026-02-13,Újpest FC,Debreceni VSC,2.0,1.0,H,2.11,3.44,3.18
2025-2026,2026-02-08,Nyíregyháza Spartacus,MTK Budapest,4.0,2.0,H,1.98,3.55,3.4
2025-2026,2026-02-08,Puskás Akadémia FC,Zalaegerszegi TE FC,0.0,1.0,A,1.86,3.55,3.86
2025-2026,2026-02-07,Ferencvárosi TC,Újpest FC,3.0,0.0,H,1.46,4.31,5.87
2025-2026,2026-02-07,Debreceni VSC,Paksi FC,1.0,0.0,H,3.08,3.48,2.15
2025-2026,2026-02-07,Diósgyőri VTK,ETO FC,1.0,1.0,D,4.69,4.18,1.6
2025-2026,2026-02-06,Kisvárda FC,Kazincbarcikai SC,1.0,0.0,H,1.66,3.74,4.81
2025-2026,2026-02-01,Zalaegerszegi TE FC,Nyíregyháza Spartacus,0.0,1.0,A,1.99,3.34,3.62
2025-2026,2026-02-01,Paksi FC,Ferencvárosi TC,0.0,1.0,A,2.68,3.64,2.32
2025-2026,2026-02-01,Diósgyőri VTK,Kisvárda FC,1.0,1.0,D,2.43,3.22,2.82
2025-2026,2026-01-31,Újpest FC,Puskás Akadémia FC,0.0,1.0,A,2.33,3.29,2.9
2025-2026,2026-01-31,ETO FC,Debreceni VSC,2.0,2.0,D,1.42,4.48,6.51
2025-2026,2026-01-31,MTK Budapest,Kazincbarcikai SC,1.0,3.0,A,1.59,4.15,4.78
2025-2026,2026-01-25,Ferencvárosi TC,ETO FC,1.0,3.0,A,1.89,3.62,3.64
2025-2026,2026-01-25,Kazincbarcikai SC,Zalaegerszegi TE FC,0.0,1.0,A,3.69,3.51,1.91
2025-2026,2026-01-25,Debreceni VSC,Diósgyőri VTK,3.0,2.0,H,1.75,3.74,4.14
2025-2026,2026-01-24,Puskás Akadémia FC,Paksi FC,1.0,2.0,A,2.35,3.58,2.66
2025-2026,2026-01-24,Kisvárda FC,MTK Budapest,2.0,3.0,A,1.99,3.49,3.46
2025-2026,2026-01-24,Nyíregyháza Spartacus,Újpest FC,1.0,1.0,D,2.69,3.14,2.57
2025-2026,2025-12-21,Debreceni VSC,Kisvárda FC,0.0,1.0,A,1.94,3.46,3.63
2025-2026,2025-12-21,Újpest FC,Kazincbarcikai SC,2.0,1.0,H,1.42,4.59,6.25
2025-2026,2025-12-20,ETO FC,Puskás Akadémia FC,2.0,0.0,H,1.8,3.78,3.89
2025-2026,2025-12-20,Paksi FC,Nyíregyháza Spartacus,2.0,1.0,H,1.66,3.83,4.64
2025-2026,2025-12-20,Zalaegerszegi TE FC,MTK Budapest,1.0,1.0,D,2.07,3.64,3.13
2025-2026,2025-12-19,Diósgyőri VTK,Ferencvárosi TC,0.0,1.0,A,6.46,4.68,1.41
2025-2026,2025-12-14,Kisvárda FC,Zalaegerszegi TE FC,3.0,3.0,D,2.42,3.31,2.76
2025-2026,2025-12-14,Ferencvárosi TC,Debreceni VSC,0.0,1.0,A,1.42,4.66,6.21
2025-2026,2025-12-14,Kazincbarcikai SC,Paksi FC,0.0,2.0,A,4.37,3.94,1.68
2025-2026,2025-12-13,MTK Budapest,Újpest FC,3.0,4.0,A,2.43,3.5,2.62
2025-2026,2025-12-13,Puskás Akadémia FC,Diósgyőri VTK,2.0,1.0,H,1.63,3.92,4.74
2025-2026,2025-12-13,Nyíregyháza Spartacus,ETO FC,0.0,1.0,A,4.0,3.44,1.86
2025-2026,2025-12-07,Újpest FC,Zalaegerszegi TE FC,0.0,2.0,A,1.92,3.6,3.59
2025-2026,2025-12-07,Ferencvárosi TC,Kisvárda FC,3.0,0.0,H,1.33,4.92,8.09
2025-2026,2025-12-07,ETO FC,Kazincbarcikai SC,3.0,1.0,H,1.18,6.54,12.95
2025-2026,2025-12-06,Paksi FC,MTK Budapest,3.0,1.0,H,1.71,4.01,4.06
2025-2026,2025-12-06,Debreceni VSC,Puskás Akadémia FC,0.0,1.0,A,2.88,3.3,2.35
2025-2026,2025-12-06,Diósgyőri VTK,Nyíregyháza Spartacus,2.0,0.0,H,2.38,3.17,2.93
2025-2026,2025-12-04,Kisvárda FC,Ferencvárosi TC,0.0,1.0,A,5.44,3.99,1.55
2025-2026,2025-11-30,Puskás Akadémia FC,Ferencvárosi TC,1.0,2.0,A,3.38,3.38,2.05
2025-2026,2025-11-30,Kisvárda FC,Újpest FC,3.0,0.0,H,2.65,3.29,2.49
2025-2026,2025-11-29,ETO FC,MTK Budapest,3.0,0.0,H,1.45,4.5,5.77
2025-2026,2025-11-29,Kazincbarcikai SC,Diósgyőri VTK,1.0,1.0,D,3.13,3.47,2.11
2025-2026,2025-11-29,Zalaegerszegi TE FC,Paksi FC,1.0,0.0,H,2.81,3.64,2.22
2025-2026,2025-11-28,Nyíregyháza Spartacus,Debreceni VSC,0.0,3.0,A,2.21,3.37,3.02
2025-2026,2025-11-23,Diósgyőri VTK,MTK Budapest,4.0,0.0,H,2.56,3.73,2.38
2025-2026,2025-11-23,Paksi FC,Újpest FC,1.0,3.0,A,1.84,3.86,3.61
2025-2026,2025-11-22,Ferencvárosi TC,Nyíregyháza Spartacus,1.0,3.0,A,1.21,5.87,11.19
2025-2026,2025-11-22,Debreceni VSC,Kazincbarcikai SC,2.0,1.0,H,1.65,3.88,4.62
2025-2026,2025-11-22,Puskás Akadémia FC,Kisvárda FC,2.0,0.0,H,1.9,3.47,3.76
2025-2026,2025-11-21,ETO FC,Zalaegerszegi TE FC,0.0,1.0,A,1.45,4.53,5.96
2025-2026,2025-11-09,Nyíregyháza Spartacus,Puskás Akadémia FC,1.0,1.0,D,3.07,3.27,2.24
2025-2026,2025-11-09,Kazincbarcikai SC,Ferencvárosi TC,1.0,3.0,A,7.7,5.04,1.34
2025-2026,2025-11-09,MTK Budapest,Debreceni VSC,3.0,0.0,H,2.07,3.71,3.06
2025-2026,2025-11-08,Paksi FC,Kisvárda FC,5.0,3.0,H,1.82,3.77,3.83
2025-2026,2025-11-08,Zalaegerszegi TE FC,Diósgyőri VTK,2.0,0.0,H,1.97,3.56,3.45
2025-2026,2025-11-08,Újpest FC,ETO FC,0.0,3.0,A,2.87,3.73,2.18
2025-2026,2025-11-02,Debreceni VSC,Zalaegerszegi TE FC,2.0,1.0,H,1.98,3.53,3.42
2025-2026,2025-11-02,Diósgyőri VTK,Újpest FC,1.0,3.0,A,2.83,3.58,2.22
2025-2026,2025-11-01,Ferencvárosi TC,MTK Budapest,4.0,1.0,H,1.4,4.84,6.21
2025-2026,2025-11-01,ETO FC,Paksi FC,0.0,0.0,D,1.86,3.91,3.5
2025-2026,2025-11-01,Kazincbarcikai SC,Puskás Akadémia FC,1.0,3.0,A,4.04,3.7,1.77
2025-2026,2025-10-31,Kisvárda FC,Nyíregyháza Spartacus,0.0,0.0,D,2.13,3.24,3.3
2025-2026,2025-10-26,Ferencvárosi TC,Zalaegerszegi TE FC,1.0,2.0,A,1.31,5.25,7.71
2025-2026,2025-10-26,Debreceni VSC,Újpest FC,5.0,2.0,H,2.53,3.49,2.51
2025-2026,2025-10-26,Kisvárda FC,ETO FC,3.0,2.0,H,3.62,3.56,1.91
2025-2026,2025-10-25,Nyíregyháza Spartacus,Kazincbarcikai SC,0.0,1.0,A,1.66,3.61,5.06
2025-2026,2025-10-25,Diósgyőri VTK,Paksi FC,2.0,1.0,H,3.98,4.05,1.72
2025-2026,2025-10-25,Puskás Akadémia FC,MTK Budapest,1.0,1.0,D,1.74,3.99,3.98
2025-2026,2025-10-19,Újpest FC,Ferencvárosi TC,1.0,1.0,D,3.98,3.8,1.78
2025-2026,2025-10-19,Zalaegerszegi TE FC,Puskás Akadémia FC,0.0,1.0,A,3.39,3.65,1.96
2025-2026,2025-10-19,Kazincbarcikai SC,Kisvárda FC,0.0,1.0,A,3.08,3.39,2.18
2025-2026,2025-10-18,ETO FC,Diósgyőri VTK,3.0,1.0,H,1.5,4.47,5.33
2025-2026,2025-10-18,Paksi FC,Debreceni VSC,1.0,1.0,D,1.63,4.25,4.38
2025-2026,2025-10-18,MTK Budapest,Nyíregyháza Spartacus,5.0,1.0,H,1.9,3.66,3.6
2025-2026,2025-10-05,Kisvárda FC,Diósgyőri VTK,1.0,0.0,H,2.05,3.57,3.25
2025-2026,2025-10-05,Ferencvárosi TC,Paksi FC,2.0,2.0,D,1.54,4.46,4.86
2025-2026,2025-10-04,Puskás Akadémia FC,Újpest FC,0.0,0.0,D,1.97,3.66,3.36
2025-2026,2025-10-04,Nyíregyháza Spartacus,Zalaegerszegi TE FC,3.0,1.0,H,2.27,3.34,2.96
2025-2026,2025-10-03,Kazincbarcikai SC,MTK Budapest,3.0,1.0,H,3.82,3.62,1.85
2025-2026,2025-09-28,ETO FC,Ferencvárosi TC,0.0,2.0,A,3.32,3.66,1.99
2025-2026,2025-09-28,MTK Budapest,Kisvárda FC,4.0,0.0,H,2.03,3.69,3.18
2025-2026,2025-09-27,Paksi FC,Puskás Akadémia FC,3.0,2.0,H,2.03,3.84,3.09
2025-2026,2025-09-27,Diósgyőri VTK,Debreceni VSC,0.0,0.0,D,2.6,3.59,2.39
2025-2026,2025-09-27,Zalaegerszegi TE FC,Kazincbarcikai SC,5.0,0.0,H,1.87,3.66,3.69
2025-2026,2025-09-26,Újpest FC,Nyíregyháza Spartacus,2.0,2.0,D,1.67,3.85,4.62
2025-2026,2025-09-21,MTK Budapest,Zalaegerszegi TE FC,1.0,0.0,H,2.01,3.7,3.25
2025-2026,2025-09-21,Kisvárda FC,Debreceni VSC,0.0,1.0,A,2.44,3.49,2.62
2025-2026,2025-09-20,Puskás Akadémia FC,ETO FC,0.0,2.0,A,2.15,3.85,2.84
2025-2026,2025-09-20,Kazincbarcikai SC,Újpest FC,2.0,0.0,H,4.01,3.73,1.79
2025-2026,2025-09-20,Nyíregyháza Spartacus,Paksi FC,1.0,1.0,D,3.38,3.81,1.92
2025-2026,2025-09-19,Ferencvárosi TC,Diósgyőri VTK,2.0,2.0,D,1.19,6.66,11.06
2025-2026,2025-08-31,Debreceni VSC,Ferencvárosi TC,0.0,3.0,A,4.2,3.85,1.73
2025-2026,2025-08-30,Újpest FC,MTK Budapest,1.0,2.0,A,1.76,3.81,4.09
2025-2026,2025-08-30,Diósgyőri VTK,Puskás Akadémia FC,1.0,1.0,D,3.34,3.73,1.96
2025-2026,2025-08-30,Zalaegerszegi TE FC,Kisvárda FC,1.0,2.0,A,2.09,3.51,3.23
2025-2026,2025-08-29,Paksi FC,Kazincbarcikai SC,3.0,0.0,H,1.42,4.81,6.27
2025-2026,2025-08-24,MTK Budapest,Paksi FC,2.0,3.0,A,2.56,3.88,2.35
2025-2026,2025-08-23,Nyíregyháza Spartacus,Diósgyőri VTK,1.0,4.0,A,1.97,3.5,3.52
2025-2026,2025-08-23,Zalaegerszegi TE FC,Újpest FC,1.0,4.0,A,2.29,3.49,2.82
2025-2026,2025-08-22,Puskás Akadémia FC,Debreceni VSC,1.0,3.0,A,1.61,4.1,4.74
2025-2026,2025-08-17,Paksi FC,Zalaegerszegi TE FC,2.0,2.0,D,1.87,3.85,3.57
2025-2026,2025-08-17,MTK Budapest,ETO FC,2.0,7.0,A,1.95,3.79,3.3
2025-2026,2025-08-17,Debreceni VSC,Nyíregyháza Spartacus,1.0,2.0,A,1.82,3.7,3.89
2025-2026,2025-08-16,Ferencvárosi TC,Puskás Akadémia FC,1.0,2.0,A,1.69,3.82,4.47
2025-2026,2025-08-16,Diósgyőri VTK,Kazincbarcikai SC,2.0,2.0,D,2.01,3.57,3.36
2025-2026,2025-08-15,Újpest FC,Kisvárda FC,0.0,1.0,A,1.77,3.8,4.12
2025-2026,2025-08-10,Újpest FC,Paksi FC,1.0,2.0,A,1.8,3.96,3.77
2025-2026,2025-08-10,Zalaegerszegi TE FC,ETO FC,1.0,1.0,D,1.98,3.74,3.31
2025-2026,2025-08-10,Kisvárda FC,Puskás Akadémia FC,2.0,1.0,H,3.88,3.83,1.8
2025-2026,2025-08-09,Nyíregyháza Spartacus,Ferencvárosi TC,1.0,4.0,A,5.19,4.03,1.57
2025-2026,2025-08-09,MTK Budapest,Diósgyőri VTK,5.0,0.0,H,1.78,3.94,3.85
2025-2026,2025-08-08,Kazincbarcikai SC,Debreceni VSC,1.0,2.0,A,2.95,3.51,2.21
2025-2026,2025-08-03,ETO FC,Újpest FC,1.0,1.0,D,2.4,3.45,2.68
2025-2026,2025-08-03,Kisvárda FC,Paksi FC,1.0,5.0,A,2.22,3.57,2.89
2025-2026,2025-08-03,Puskás Akadémia FC,Nyíregyháza Spartacus,3.0,2.0,H,1.71,3.78,4.42
2025-2026,2025-08-02,Ferencvárosi TC,Kazincbarcikai SC,3.0,0.0,H,1.24,6.24,9.34
2025-2026,2025-08-02,Diósgyőri VTK,Zalaegerszegi TE FC,2.0,2.0,D,2.82,3.66,2.22
2025-2026,2025-08-01,Debreceni VSC,MTK Budapest,1.0,0.0,H,2.22,3.67,2.82
2025-2026,2025-07-27,Puskás Akadémia FC,Kazincbarcikai SC,2.0,1.0,H,1.4,4.53,7.0
2025-2026,2025-07-27,Paksi FC,ETO FC,3.0,3.0,D,2.2,3.71,2.84
2025-2026,2025-07-27,Nyíregyháza Spartacus,Kisvárda FC,1.0,1.0,D,2.33,3.36,2.85
2025-2026,2025-07-26,MTK Budapest,Ferencvárosi TC,1.0,1.0,D,4.96,4.19,1.57
2025-2026,2025-07-26,Zalaegerszegi TE FC,Debreceni VSC,3.0,3.0,D,2.26,3.28,3.03
2025-2026,2025-07-25,Újpest FC,Diósgyőri VTK,3.0,1.0,H,1.71,3.75,4.37
2024-2025,2025-05-25,Nyíregyháza Spartacus,Zalaegerszegi TE FC,0.0,0.0,D,2.71,3.31,2.47
2024-2025,2025-05-24,Puskás Akadémia FC,Diósgyőri VTK,4.0,3.0,H,1.27,5.9,8.44
2024-2025,2025-05-24,ETO FC,Ferencvárosi TC,1.0,2.0,A,4.16,3.99,1.72
2024-2025,2025-05-24,Fehérvár FC,Debreceni VSC,0.0,3.0,A,2.75,3.42,2.4
2024-2025,2025-05-24,MTK Budapest,Újpest FC,1.0,3.0,A,2.0,3.78,3.23
2024-2025,2025-05-23,Paksi FC,Kecskeméti TE,1.0,1.0,D,1.27,5.73,8.95
2024-2025,2025-05-18,Ferencvárosi TC,Fehérvár FC,3.0,0.0,H,1.24,5.94,9.87
2024-2025,2025-05-18,Debreceni VSC,Paksi FC,0.0,0.0,D,1.73,3.94,4.16
2024-2025,2025-05-17,Diósgyőri VTK,MTK Budapest,2.0,1.0,H,2.63,3.81,2.31
2024-2025,2025-05-17,Zalaegerszegi TE FC,ETO FC,0.0,0.0,D,2.5,3.39,2.64
2024-2025,2025-05-16,Újpest FC,Nyíregyháza Spartacus,2.0,2.0,D,1.91,3.51,3.76
2024-2025,2025-05-16,Kecskeméti TE,Puskás Akadémia FC,0.0,1.0,A,7.78,5.48,1.31
2024-2025,2025-05-11,Nyíregyháza Spartacus,Diósgyőri VTK,1.0,0.0,H,1.93,3.51,3.7
2024-2025,2025-05-11,Zalaegerszegi TE FC,Újpest FC,0.0,0.0,D,2.06,3.33,3.51
2024-2025,2025-05-10,Paksi FC,Ferencvárosi TC,2.0,3.0,A,4.41,4.12,1.66
2024-2025,2025-05-10,MTK Budapest,Kecskeméti TE,2.0,1.0,H,1.99,3.64,3.39
2024-2025,2025-05-10,Puskás Akadémia FC,Debreceni VSC,4.0,2.0,H,1.8,3.68,4.14
2024-2025,2025-05-09,ETO FC,Fehérvár FC,1.0,0.0,H,1.73,3.86,4.22
2024-2025,2025-05-04,Fehérvár FC,Paksi FC,0.0,2.0,A,2.8,3.55,2.3
2024-2025,2025-05-04,Kecskeméti TE,Nyíregyháza Spartacus,2.0,2.0,D,1.98,3.36,3.72
2024-2025,2025-05-04,Diósgyőri VTK,Zalaegerszegi TE FC,1.0,1.0,D,2.99,3.49,2.21
2024-2025,2025-05-03,Ferencvárosi TC,Puskás Akadémia FC,1.0,1.0,D,1.6,3.91,5.27
2024-2025,2025-05-03,Debreceni VSC,MTK Budapest,0.0,0.0,D,1.88,3.83,3.55
2024-2025,2025-05-03,Újpest FC,ETO FC,2.0,3.0,A,2.47,3.48,2.64
2024-2025,2025-04-27,Zalaegerszegi TE FC,Kecskeméti TE,0.0,0.0,D,1.91,3.25,4.14
2024-2025,2025-04-27,MTK Budapest,Ferencvárosi TC,2.0,3.0,A,5.17,4.15,1.57
2024-2025,2025-04-26,Újpest FC,Diósgyőri VTK,1.0,1.0,D,1.86,3.61,3.87
