match_id,season_id,matchday,date,time,home_team,away_team,home_score,away_score,result,goal_diff
2024_4_PUSKAS_MTK,2024,4,2024-08-18,14:00,Puskás Akadémia FC,MTK Budapest,1,0,H,1
2024_5_UJPEST_DVSC,2024,5,2024-08-23,14:00,Újpest FC,Debreceni VSC,3,0,H,3
2024_5_DVTK_KTE,2024,5,2024-08-24,10:45,Diósgyőri VTK,Kecskeméti TE,1,0,H,1
2024_5_NYIREGYHAZA_FEHERVAR,2024,5,2024-08-25,11:45,Nyíregyháza Spartacus,Fehérvár FC,3,3,D,0
2024_5_MTK_PAKS,2024,5,2024-12-03,13:00,MTK Budapest,Paksi FC,3,1,H,2
2024_5_ETO_PUSKAS,2024,5,2024-12-04,13:00,ETO FC,Puskás Akadémia FC,0,2,A,-2
2024_5_ZTE_FTC,2024,5,2025-02-05,13:30,Zalaegerszegi TE FC,Ferencvárosi TC,2,2,D,0
2024_6_FEHERVAR_MTK,2024,6,2024-08-30,14:00,Fehérvár FC,MTK Budapest,1,0,H,1
2024_6_DVSC_ZTE,2024,6,2024-08-31,11:45,Debreceni VSC,Zalaegerszegi TE FC,3,1,H,2
2024_6_DVTK_ETO,2024,6,2024-08-31,14:00,Diósgyőri VTK,ETO FC,0,0,D,0
2024_6_KTE_UJPEST,2024,6,2024-09-01,09:00,Kecskeméti TE,Újpest FC,1,3,A,-2
2024_6_PAKS_PUSKAS,2024,6,2024-09-01,11:30,Paksi FC,Puskás Akadémia FC,2,1,H,1
2024_6_FTC_NYIREGYHAZA,2024,6,2024-09-01,13:45,Ferencvárosi TC,Nyíregyháza Spartacus,2,1,H,1
2024_7_MTK_FTC,2024,7,2024-09-20,14:00,MTK Budapest,Ferencvárosi TC,1,3,A,-2
2024_7_ZTE_KTE,2024,7,2024-09-21,08:30,Zalaegerszegi TE FC,Kecskeméti TE,2,1,H,1
2024_7_UJPEST_DVTK,2024,7,2024-09-21,11:00,Újpest FC,Diósgyőri VTK,0,0,D,0
2024_7_NYIREGYHAZA_DVSC,2024,7,2024-09-21,13:30,Nyíregyháza Spartacus,Debreceni VSC,3,2,H,1
2024_7_PUSKAS_FEHERVAR,2024,7,2024-09-22,10:30,Puskás Akadémia FC,Fehérvár FC,3,0,H,3
2024_7_ETO_PAKS,2024,7,2024-09-22,13:00,ETO FC,Paksi FC,2,1,H,1
2024_8_UJPEST_ETO,2024,8,2024-09-27,14:00,Újpest FC,ETO FC,0,0,D,0
2024_8_DVTK_ZTE,2024,8,2024-09-28,09:00,Diósgyőri VTK,Zalaegerszegi TE FC,2,1,H,1
2024_8_KTE_NYIREGYHAZA,2024,8,2024-09-28,11:00,Kecskeméti TE,Nyíregyháza Spartacus,0,2,A,-2
2024_8_DVSC_MTK,2024,8,2024-09-28,13:30,Debreceni VSC,MTK Budapest,2,3,A,-1
2024_8_FEHERVAR_PAKS,2024,8,2024-09-29,09:30,Fehérvár FC,Paksi FC,1,2,A,-1
2024_8_FTC_PUSKAS,2024,8,2024-09-29,12:00,Ferencvárosi TC,Puskás Akadémia FC,3,0,H,3
2024_9_PUSKAS_DVSC,2024,9,2024-10-04,14:00,Puskás Akadémia FC,Debreceni VSC,1,0,H,1
2024_9_ETO_FEHERVAR,2024,9,2024-10-05,08:30,ETO FC,Fehérvár FC,3,1,H,2
2024_9_MTK_KTE,2024,9,2024-10-05,11:00,MTK Budapest,Kecskeméti TE,3,1,H,2
2024_9_NYIREGYHAZA_DVTK,2024,9,2024-10-05,13:30,Nyíregyháza Spartacus,Diósgyőri VTK,0,2,A,-2
2024_9_ZTE_UJPEST,2024,9,2024-10-06,09:30,Zalaegerszegi TE FC,Újpest FC,0,2,A,-2
2024_9_PAKS_FTC,2024,9,2024-10-06,12:00,Paksi FC,Ferencvárosi TC,3,1,H,2
2024_10_DVSC_PAKS,2024,10,2024-10-19,09:00,Debreceni VSC,Paksi FC,0,5,A,-5
2024_10_DVTK_MTK,2024,10,2024-10-19,11:30,Diósgyőri VTK,MTK Budapest,0,2,A,-2
2024_10_UJPEST_NYIREGYHAZA,2024,10,2024-10-19,13:30,Újpest FC,Nyíregyháza Spartacus,1,0,H,1
2024_10_KTE_PUSKAS,2024,10,2024-10-20,07:00,Kecskeméti TE,Puskás Akadémia FC,0,3,A,-3
