matchday,team,current_pts,exp_final_pts,p_champion,p_top4,p_relegation,current_rank
13,Puskás Akadémia FC,26,60.4,17.2,97.0,0.0,2
13,Zalaegerszegi TE FC,13,38.7,0.0,3.4,19.8,10
13,Újpest FC,19,44.7,0.1,21.1,2.9,6
14,Debreceni VSC,13,36.5,0.0,1.8,33.9,11
14,Diósgyőri VTK,23,48.0,0.6,36.8,0.6,5
14,ETO FC,15,37.1,0.0,1.4,25.7,8
14,Fehérvár FC,15,41.7,0.0,8.2,7.0,7
14,Ferencvárosi TC,28,65.4,63.2,99.6,0.0,2
14,Kecskeméti TE,6,27.9,0.0,0.0,88.2,12
14,MTK Budapest,26,48.4,0.4,45.1,0.2,3
14,Nyíregyháza Spartacus,15,36.8,0.0,1.2,29.5,9
14,Paksi FC,24,51.9,1.6,68.7,0.1,4
14,Puskás Akadémia FC,29,62.7,34.2,99.1,0.0,1
14,Zalaegerszegi TE FC,14,39.5,0.0,4.9,14.0,10
14,Újpest FC,22,47.0,0.1,33.3,0.9,6
15,Debreceni VSC,13,34.7,0.0,0.8,42.6,11
15,Diósgyőri VTK,26,49.5,0.4,50.8,0.2,4
15,ETO FC,15,35.2,0.0,0.4,36.5,9
15,Fehérvár FC,18,44.0,0.0,15.0,2.8,7
15,Ferencvárosi TC,29,64.3,51.1,99.9,0.0,2
15,Kecskeméti TE,9,30.4,0.0,0.1,77.8,12
15,MTK Budapest,26,47.1,0.2,36.2,0.5,3
15,Nyíregyháza Spartacus,18,39.2,0.0,3.5,14.8,8
15,Paksi FC,24,49.6,0.9,53.6,0.1,5
15,Puskás Akadémia FC,32,64.2,47.3,99.5,0.0,1
15,Zalaegerszegi TE FC,14,37.4,0.0,2.1,24.1,10
15,Újpest FC,23,47.5,0.1,38.3,0.5,6
16,Debreceni VSC,13,33.0,0.0,0.1,58.6,11
16,Diósgyőri VTK,27,49.4,1.2,44.4,0.1,4
16,ETO FC,18,39.1,0.0,2.6,11.6,8
16,Fehérvár FC,21,45.5,0.1,19.1,1.4,7
16,Ferencvárosi TC,32,64.8,71.5,99.8,0.0,1
16,Kecskeméti TE,10,29.7,0.0,0.0,81.2,12
16,MTK Budapest,26,46.1,0.2,24.9,0.8,6
16,Nyíregyháza Spartacus,18,37.7,0.0,0.8,20.8,9
16,Paksi FC,27,51.4,1.5,62.5,0.1,3
16,Puskás Akadémia FC,32,60.6,24.9,97.2,0.0,2
16,Zalaegerszegi TE FC,14,36.9,0.0,0.9,25.3,10
16,Újpest FC,26,49.3,0.5,47.9,0.1,5
17,Debreceni VSC,13,31.9,0.0,0.0,63.5,11
17,Diósgyőri VTK,30,51.6,0.8,61.7,0.0,3
17,ETO FC,18,37.0,0.0,0.9,19.1,8
17,Fehérvár FC,21,43.8,0.0,10.5,2.0,7
17,Ferencvárosi TC,35,65.8,71.1,99.9,0.0,1
17,Kecskeméti TE,11,29.9,0.0,0.0,80.1,12
17,MTK Budapest,29,47.8,0.1,34.1,0.2,4
17,Nyíregyháza Spartacus,18,37.0,0.0,0.6,21.9,9
17,Paksi FC,27,50.2,0.5,51.5,0.1,6
17,Puskás Akadémia FC,35,62.1,27.3,99.2,0.0,2
17,Zalaegerszegi TE FC,17,38.4,0.0,1.4,13.1,10
17,Újpest FC,27,48.6,0.2,40.4,0.1,5
18,Debreceni VSC,16,33.3,0.0,0.0,51.7,11
18,Diósgyőri VTK,31,50.8,1.0,55.1,0.0,3
18,ETO FC,19,37.2,0.0,0.9,19.4,8
18,Fehérvár FC,24,45.8,0.1,18.4,0.7,7
18,Ferencvárosi TC,36,64.1,70.1,99.5,0.0,1
18,Kecskeméti TE,14,31.7,0.0,0.0,68.5,12
18,MTK Budapest,30,49.1,0.7,43.8,0.1,4
18,Nyíregyháza Spartacus,18,35.3,0.0,0.4,36.8,9
18,Paksi FC,28,48.9,0.5,40.9,0.4,6
18,Puskás Akadémia FC,35,60.3,27.2,97.8,0.0,2
18,Zalaegerszegi TE FC,17,37.0,0.0,0.7,22.4,10
18,Újpest FC,28,48.6,0.4,42.4,0.1,5
19,Debreceni VSC,19,36.0,0.0,0.5,37.6,10
19,Diósgyőri VTK,31,49.8,0.9,54.6,0.1,4
19,ETO FC,22,39.8,0.0,3.8,11.8,8
19,Fehérvár FC,24,44.3,0.0,14.1,1.8,7
19,Ferencvárosi TC,36,62.2,53.6,99.7,0.0,2
19,Kecskeméti TE,15,31.6,0.0,0.0,78.8,12
19,MTK Budapest,30,46.4,0.1,29.2,0.5,5
19,Nyíregyháza Spartacus,19,34.7,0.0,0.4,52.3,11
19,Paksi FC,31,50.9,1.2,66.5,0.0,3
19,Puskás Akadémia FC,38,61.9,44.0,99.6,0.0,1
19,Zalaegerszegi TE FC,20,38.6,0.0,1.3,16.7,9
19,Újpest FC,28,46.5,0.1,30.4,0.4,6
20,Debreceni VSC,19,34.9,0.0,0.4,58.9,11
20,Diósgyőri VTK,31,47.6,0.2,44.5,0.4,4
20,ETO FC,25,41.9,0.0,8.8,7.5,7
20,Fehérvár FC,24,41.9,0.0,7.8,7.6,8
20,Ferencvárosi TC,36,59.5,28.2,99.2,0.0,2
20,Kecskeméti TE,18,34.1,0.0,0.4,67.2,12
20,MTK Budapest,30,44.2,0.0,17.3,2.2,5
20,Nyíregyháza Spartacus,22,37.2,0.0,1.1,40.4,10
20,Paksi FC,34,54.0,4.8,91.5,0.0,3
20,Puskás Akadémia FC,41,63.5,66.6,99.9,0.0,1
20,Zalaegerszegi TE FC,23,40.6,0.1,5.4,13.3,9
20,Újpest FC,28,44.7,0.0,23.6,2.4,6
21,Debreceni VSC,19,34.0,0.0,0.1,62.7,11
21,Diósgyőri VTK,31,45.2,0.0,20.5,0.8,5
21,ETO FC,28,43.9,0.0,19.3,2.1,7
21,Fehérvár FC,24,40.3,0.0,4.5,9.5,8
21,Ferencvárosi TC,39,61.4,28.4,99.8,0.0,2
21,Kecskeméti TE,18,33.3,0.0,0.1,70.2,12
21,MTK Budapest,33,46.7,0.0,36.9,0.4,4
21,Nyíregyháza Spartacus,23,36.8,0.0,0.9,36.6,10
21,Paksi FC,37,55.1,3.7,95.0,0.0,3
21,Puskás Akadémia FC,44,65.1,67.9,100.0,0.0,1
21,Zalaegerszegi TE FC,23,39.0,0.0,2.4,16.4,9
21,Újpest FC,29,44.4,0.0,20.4,1.5,6
22,Debreceni VSC,19,32.3,0.0,0.0,73.0,11
22,Diósgyőri VTK,34,47.5,0.1,30.0,0.1,5
22,ETO FC,29,44.3,0.0,12.0,1.0,6
22,Fehérvár FC,27,42.4,0.0,5.2,2.9,8
22,Ferencvárosi TC,40,59.9,31.1,99.5,0.0,2
22,Kecskeméti TE,19,32.6,0.0,0.0,73.8,12
22,MTK Budapest,36,49.6,0.5,58.0,0.0,4
22,Nyíregyháza Spartacus,24,37.0,0.0,0.4,30.1,10
22,Paksi FC,38,54.5,5.1,89.8,0.0,3
22,Puskás Akadémia FC,44,63.1,63.1,99.9,0.0,1
22,Zalaegerszegi TE FC,24,38.2,0.0,0.5,16.4,9
22,Újpest FC,29,42.1,0.1,4.9,2.8,7
23,Debreceni VSC,19,31.2,0.0,0.0,76.0,12
23,Diósgyőri VTK,34,45.8,0.1,16.1,0.1,5
23,ETO FC,32,46.2,0.0,23.1,0.1,6
23,Fehérvár FC,28,42.1,0.0,3.4,1.6,8
23,Ferencvárosi TC,43,61.2,41.0,99.7,0.0,2
23,Kecskeméti TE,20,32.4,0.0,0.0,68.2,11
23,MTK Budapest,37,49.6,0.4,57.5,0.0,4
23,Nyíregyháza Spartacus,24,35.3,0.0,0.1,37.8,10
23,Paksi FC,41,56.4,9.2,96.2,0.0,3
23,Puskás Akadémia FC,45,62.3,49.4,99.8,0.0,1
23,Zalaegerszegi TE FC,25,37.6,0.0,0.2,14.8,9
23,Újpest FC,30,42.1,0.0,4.0,1.5,7
24,Debreceni VSC,20,31.4,0.0,0.0,68.0,11
24,Diósgyőri VTK,35,46.2,0.0,13.1,0.0,5
24,ETO FC,33,45.1,0.0,10.1,0.1,6
