name,firstName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,averageX,averageY,pointsCount,team,lastName,sofascoreId
Luis Sinisterra,,luis-sinisterra,L. Sinisterra,F,17,6517,M,836070,"{'nameTranslation': {'ar': 'لويس سينيستيرا', 'hi': 'लुइस सिनिस्टर्रा', 'bn': 'লুইস সিনিস্টেরা'}, 'shortNameTranslation': {'ar': 'ل. سينيستيرا', 'hi': 'एल. सिनिस्टर्रा', 'bn': 'এল. সিনিস্টেরা'}}",68.694117647059,78.725,68,home,,Sinisterra29
Marcos Senesi,,marcos-senesi,M. Senesi,D,5,4999,M,830659,"{'nameTranslation': {'ar': 'ماركوس سينيسي', 'hi': 'मार्कोस सेनेसी', 'bn': 'মার্কোস সেনেসি'}, 'shortNameTranslation': {'ar': 'م. سينيسي', 'hi': 'एम. सेनेसी', 'bn': 'এম. সেনেসি'}}",44.345205479452,67.430136986301,73,home,,
Lloyd Kelly,,lloyd-kelly,L. Kelly,D,6,2786,M,865167,"{'nameTranslation': {'ar': 'لويد كيلي', 'hi': 'लॉयड केली', 'bn': 'লয়েড কেলি'}, 'shortNameTranslation': {'ar': 'ل. كيلي', 'hi': 'एल. केली', 'bn': 'এল. কেলি'}}",51.487142857143,84.247142857143,70,home,,
Ilya Zabarnyi,,illia-zabarnyi,I. Zabarnyi,D,6,16673,M,1023567,"{'nameTranslation': {'ar': 'إيليا زابارني', 'hi': 'इलिया ज़बरनयी', 'bn': 'ইলিয়া জাবারনি'}, 'shortNameTranslation': {'ar': 'إ. زابارني', 'hi': 'आई. ज़बरनयी', 'bn': 'আই. জাবারনি'}}",37.068333333333,39.395,60,home,,IlliaZabarnyi
Lewis Cook,,lewis-cook,L. Cook,M,4,837,M,548188,"{'nameTranslation': {'ar': 'لويس كوك', 'hi': 'लुईस कुक', 'bn': 'লুইস কুক'}, 'shortNameTranslation': {'ar': 'ل. كوك', 'hi': 'एल. कुक', 'bn': 'এল. কুক'}}",53.608219178082,66.404109589041,73,home,,
Gonzalo Montiel,,gonzalo-montiel,G. Montiel,D,4,9289,M,822933,"{'nameTranslation': {'ar': 'غونزالو مونتييل', 'hi': 'गोंजालो मोंटिएल', 'bn': 'গঞ্জালো মন্টিয়েল'}, 'shortNameTranslation': {'ar': 'غ. مونتيل', 'hi': 'जी. मोंटिएल', 'bn': 'জি. মন্টিয়েল'}}",49.968,11.612,25,away,,gonzalo_montiel29
Callum Hudson-Odoi,,callum-hudson-odoi,C. Hudson-Odoi,M,7,9379,M,867442,"{'nameTranslation': {'ar': 'كالوم هادسون أودوي', 'hi': 'कैलम हडसन-ओडोई', 'bn': 'ক্যালাম হাডসন-ওডোই'}, 'shortNameTranslation': {'ar': 'ك. هودسون أودوي', 'hi': 'सी. हडसन-ओडोई', 'bn': 'সি. হাডসন-ওডোই'}}",54.647826086957,72.897826086957,46,away,,Calteck10
Giovanni Reyna,,giovanni-reyna,G. Reyna,M,13,5145,M,989056,"{'nameTranslation': {'ar': 'جيوفاني رينا', 'hi': 'जियोवानी रेयना', 'bn': 'জিওভানি রেইনা'}, 'shortNameTranslation': {'ar': 'ج. رينا', 'hi': 'जी. रेयना', 'bn': 'জি রেইনা'}}",55.388461538462,65.792307692308,26,away,,gioareyna
Matz Sels,,matz-sels,M. Sels,G,26,2453,M,78152,"{'nameTranslation': {'ar': 'ماتس سيلس', 'hi': 'मैट्ज़ सेल्स', 'bn': 'ম্যাটজ সেলস'}, 'shortNameTranslation': {'ar': 'م. سيلس', 'hi': 'एम. सेल्स', 'bn': 'এম. সেলস'}}",9.9485714285714,45.017142857143,35,away,,
Taiwo Awoniyi,,taiwo-awoniyi,T. Awoniyi,F,9,3500,M,359664,"{'nameTranslation': {'ar': 'تايوو أونيي', 'hi': 'ताइवो अवोनीयी', 'bn': 'তাইও আওনিয়ি'}, 'shortNameTranslation': {'ar': 'ت. أونيي', 'hi': 'टी. अवोनीयी', 'bn': 'টি. আওনিয়ি'}}",53.536111111111,49.644444444444,36,away,,
Anthony Elanga,,anthony-elanga,A. Elanga,M,20,10539,M,979232,"{'nameTranslation': {'ar': 'أنتوني إلانغا', 'hi': 'एंथनी एलंगा', 'bn': 'অ্যান্টনি এলাঙ্গা'}, 'shortNameTranslation': {'ar': 'أ. إلانغا', 'hi': 'ए. एलंगा', 'bn': 'এ. এলাঙ্গা'}}",49.581578947368,16.176315789474,38,away,,anthonyelanga
Danilo,,danilo,Danilo,M,35,4572,M,1064039,"{'nameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}, 'shortNameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}}",46.15,73.329411764706,34,away,,Danilo
Neco Williams,,williams-neco,N. Williams,D,3,3163,M,927356,"{'nameTranslation': {'ar': 'ويليامز، نيكو', 'hi': 'विलियम्स, नेको', 'bn': 'উইলিয়ামস, নেকো'}, 'shortNameTranslation': {'ar': 'ن. ويليامز', 'hi': 'एन. विलियम्स', 'bn': 'এন. উইলিয়ামস'}}",35.15,15.837142857143,70,away,,
Rodrigo Ribeiro,,ribeiro-rodrigo,R. Ribeiro,F,28,1437,M,1215904,"{'nameTranslation': {'ar': 'ريبييرو، رودريغو', 'hi': 'रिबेरो, रोड्रिगो', 'bn': 'রিবেইরো, রদ্রিগো'}, 'shortNameTranslation': {'ar': 'ر. ريبييرو', 'hi': 'आर. रिबेरो', 'bn': 'আর. রিবেইরো'}}",71.9,25.2,3,away,,
Morgan Gibbs-White,,morgan-gibbs-white,M. Gibbs-White,M,10,6717,M,865912,"{'nameTranslation': {'ar': 'مورغان غيبز-وايت', 'hi': 'मॉर्गन गिब्स-व्हाइट', 'bn': 'মরগান গিবস-হোয়াইট'}, 'shortNameTranslation': {'ar': 'م. غيبز-وايت', 'hi': 'एम. गिब्स-व्हाइट', 'bn': 'এম. গিবস-হোয়াইট'}}",59.472151898734,50.587341772152,79,away,,Morgangibbs27
Andrew Omobamidele,,andrew-omobamidele,A. Omobamidele,D,20,706,M,983066,"{'nameTranslation': {'ar': 'أندرو أوموباميديلي', 'hi': 'एंड्रयू ओमोबामिडेले', 'bn': 'অ্যান্ড্রু ওমোবামিডেলে'}, 'shortNameTranslation': {'ar': 'أ. أوموباميديلي', 'hi': 'ए. ओमोबामिडेले', 'bn': 'এ. ওমোবামিডেলে'}}",28.486301369863,33.404109589041,73,away,,
Nuno Tavares,,nuno-tavares,N. Tavares,D,17,4988,M,944973,"{'nameTranslation': {'ar': 'نونو تافاريس', 'hi': 'नूनो तवारेस', 'bn': 'নুনো টাভারেস'}, 'shortNameTranslation': {'ar': 'ن. تافاريس', 'hi': 'एन. तवारेस', 'bn': 'এন. টাভারেস'}}",43.007894736842,84.307894736842,76,away,,nuno_tavares71
Murillo,Murillo,murillo,Murillo,D,5,9796,M,1199282,"{'nameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}, 'shortNameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}}",34.725373134328,67.491044776119,67,away,,murillosantiago40
Nicolás Domínguez,,nicolas-dominguez,N. Domínguez,M,16,3140,M,871765,"{'nameTranslation': {'ar': 'نيكولاس دومينغيز', 'hi': 'निकोलस डोमिन्ग्यूज़', 'bn': 'নিকোলাস ডোমিংগুয়েজ'}, 'shortNameTranslation': {'ar': 'ن. دومينغيز', 'hi': 'एन. डोमिन्ग्यूज़', 'bn': 'এন. ডোমিঙ্গুয়েজ'}}",37.213186813187,56.341758241758,91,away,,
Ryan Yates,,ryan-yates,R. Yates,M,22,881,M,846252,"{'nameTranslation': {'ar': 'ريان ييتس', 'hi': 'रयान येट्स', 'bn': 'রায়ান ইয়েটস'}, 'shortNameTranslation': {'ar': 'ر. ييتس', 'hi': 'आर. येट्स', 'bn': 'আর. ইয়েটস'}}",40.15393258427,28.808988764045,89,away,,
