name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,accurateOppositionHalfPasses,aerialLost,duelLost,dispossessed,totalContest,wonContest,unsuccessfulTouch,wasFouled,fouls,keyPass,challengeLost,bigChanceCreated,interceptionWon,totalTackle,wonTackle,errorLeadToAGoal,bigChanceMissed,blockedScoringAttempt,errorLeadToAShot,totalCross,shotOffTarget,onTargetScoringAttempt,goals,outfielderBlock,goalAssist,sofascoreId,accurateCross,totalOffside,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,lastManTackle,hitWoodwork
Keane Lewis-Potter,keane-lewis-potter,K. Lewis-Potter,D,23,170,979,M,972421,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,982800000,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيان لويس-بوتر', 'hi': 'कीन लुईस-पॉटर', 'bn': 'কিন লুইস-পটার'}, 'shortNameTranslation': {'ar': 'ك. لويس-بوتر', 'hi': 'के. लुईस-पॉटर', 'bn': 'কে. লুইস-পটার'}}",11.0,10.0,,,2.0,2.0,11.0,,4.0,,2.0,,,,89.0,21.0,6.5,5.0,0.1833,0.0,0.0737676,"{'original': 6.5, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,8.0,,2.0,1.0,2.0,1.0,,2.0,,,,,,1.0,,,1.0,,,2.0,1.0,,,,,,,1.0,,,,,
Kristoffer Ajer,kristoffer-ajer,K. Ajer,D,20,196,1118,M,576384,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,892771200,"{'value': 17300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستوفر آجير', 'hi': 'क्रिस्टोफ़र अजेर', 'bn': 'ক্রিস্টোফার আজের'}, 'shortNameTranslation': {'ar': 'ك. آجير', 'hi': 'के. अजेर', 'bn': 'কে. আজের'}}",37.0,33.0,2.0,1.0,24.0,27.0,10.0,2.0,4.0,,2.0,,,,29.0,41.0,6.6,4.0,0.0376,0.0,0.671997,"{'original': 6.6, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,9.0,,1.0,,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,
Frank Onyeka,frank-onyeka,F. Onyeka,M,15,183,3717,M,885864,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,883612800,"{'value': 6700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فرانك أونييكا', 'hi': 'फ्रैंक ओनेका', 'bn': 'ফ্রাঙ্ক ওনিয়েকা'}, 'shortNameTranslation': {'ar': 'ف. أونييكا', 'hi': 'एफ. ओनेका', 'bn': 'এফ. ওনিয়েকা'}}",10.0,8.0,1.0,,4.0,5.0,5.0,,4.0,1.0,1.0,,,,29.0,20.0,6.7,4.0,0.0,0.0,0.00070563,"{'original': 6.7, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,4.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
Saman Ghoddos,saman-ghoddos,S. Ghoddos,M,7,177,2148,M,548050,"{'alpha2': 'IR', 'alpha3': 'IRN', 'name': 'Iran', 'slug': 'iran'}",EUR,747273600,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سامان قدوس', 'hi': 'समन घोड्डोस', 'bn': 'সামান ঘোদ্দোস'}, 'shortNameTranslation': {'ar': 'س. قدوس', 'hi': 'एस. घोड्डोस', 'bn': 'এস, ঘোদ্দোস'}}",13.0,11.0,4.0,2.0,4.0,4.0,10.0,,1.0,,2.0,,,,17.0,16.0,6.8,2.0,0.0,0.0,0.0295165,"{'original': 6.8, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,8.0,1.0,2.0,,,,,,1.0,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,,
Michael Olakigbe,olakigbe-michael,M. Olakigbe,M,37,180,76,M,1014556,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1082851200,"{'value': 535000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولاكيجبي، مايكل', 'hi': 'ओलाकिग्बे, माइकल', 'bn': 'ওলাকিগবে, মাইকেল'}, 'shortNameTranslation': {'ar': 'م. أولاكيجبي', 'hi': 'एम. ओलाकिग्बे', 'bn': 'এম. ওলাকিগবে'}}",3.0,2.0,,,1.0,1.0,3.0,,,,,,,,8.0,8.0,6.5,4.0,0.0,0.0,0.00440724,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,
Thomas Strakosha,thomas-strakosha,T. Strakosha,G,1,191,1699,M,227212,"{'alpha2': 'AL', 'alpha3': 'ALB', 'name': 'Albania', 'slug': 'albania'}",EUR,795571200,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس ستراكوشا', 'hi': 'थॉमस स्ट्राकोशा', 'bn': 'টমাস স্ট্রাকোশা'}, 'shortNameTranslation': {'ar': 'ت. ستراكوشا', 'hi': 'टी. स्ट्राकोशा', 'bn': 'টি. স্ট্রাকোশা'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellery Balcombe,balcombe-ellery,E. Balcombe,G,31,190,76,M,860205,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,939945600,"{'value': 410000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بالكومب، إليري', 'hi': 'बालकोम्बे, एलेरी', 'bn': 'বালকোম্ব, এলেরি'}, 'shortNameTranslation': {'ar': 'إ. بالكومب', 'hi': 'ए. बालकोम्बे', 'bn': 'ই. বালকোম্ব'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zanka,zanka,Zanka,D,5,189,495,M,26404,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,640828800,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}, 'shortNameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yehor Yarmolyuk,yarmoliuk-yehor,Y. Yarmolyuk,M,18,180,2447,M,1031258,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1078099200,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يارموليوك، يهور', 'hi': 'यार्मोलीउक, योहोर', 'bn': 'ইয়ারমোলিক, ইহোর'}, 'shortNameTranslation': {'ar': 'ي. يارموليوك', 'hi': 'वाई. यार्मोलीउक', 'bn': 'ওয়াই. ইয়ারমোলিক'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethan Brierley,ethan-brierley,E. Brierley,M,6,173,43,M,998841,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1069545600,"{'value': 370000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيثان برييرلي', 'hi': 'एथन ब्रियरली', 'bn': 'ইথান ব্রিয়ারলি'}, 'shortNameTranslation': {'ar': 'إ. برييرلي', 'hi': 'ई. ब्रियरली', 'bn': 'ই. ব্রিয়ারলি'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Pickford,jordan-pickford,J. Pickford,G,1,185,7467,M,138530,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,762998400,"{'value': 16100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان بيكفورد', 'hi': 'जॉर्डन पिकफोर्ड', 'bn': 'জর্ডান পিকফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. بيكفورد', 'hi': 'जे. पिकफोर्ड', 'bn': 'জে.পিকফোর্ড'}}",30.0,17.0,21.0,8.0,10.0,11.0,19.0,,,1.0,8.0,1.0,1.0,,90.0,38.0,6.6,13.0,0.0,0.0,0.00903142,"{'original': 6.6, 'alternative': 6.5}",0,-0.0989,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,jpickford1,,,1.0,1.0,1.0,,
Ashley Young,ashley-young,A. Young,D,15,180,1765,M,10589,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,489715200,"{'value': 440000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آشلي يونغ', 'hi': 'एश्ले यंग', 'bn': 'অ্যাশলে ইয়াং'}, 'shortNameTranslation': {'ar': 'آ. يونغ', 'hi': 'एक यंग', 'bn': 'এ. ইয়াং'}}",26.0,20.0,3.0,1.0,12.0,14.0,15.0,,3.0,2.0,5.0,,,,90.0,44.0,6.4,11.0,0.0,0.0,0.00520403,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,8.0,,4.0,,1.0,,,1.0,2.0,,1.0,,,2.0,1.0,,,,,3.0,,,,1.0,,,,,,,,,
James Tarkowski,james-tarkowski,J. Tarkowski,D,6,185,2332,M,145188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,722131200,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس تاركوفسكي', 'hi': 'जेम्स टार्कोव्स्की', 'bn': 'জেমস তারকোভস্কি'}, 'shortNameTranslation': {'ar': 'ج. تاركوفسكي', 'hi': 'जे. टार्कोव्स्की', 'bn': 'জে. তারকোভস্কি'}}",43.0,33.0,12.0,8.0,18.0,20.0,23.0,8.0,8.0,4.0,4.0,,,,90.0,52.0,9.0,10.0,0.3136,0.6913,0.335262,"{'original': 9, 'alternative': 8.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,15.0,1.0,1.0,,,,,,,4.0,,1.0,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,
Jarrad Branthwaite,jarrad-branthwaite,J. Branthwaite,D,32,195,2559,M,979563,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1025136000,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاراد برانثويت', 'hi': 'जेर्राड ब्रैंथवेट', 'bn': 'জারাদ ব্র্যানথওয়েট'}, 'shortNameTranslation': {'ar': 'ج. برانثويت', 'hi': 'जे. ब्रैंथवेट', 'bn': 'জে. ব্র্যানথওয়েট'}}",57.0,45.0,11.0,5.0,27.0,32.0,26.0,2.0,4.0,4.0,11.0,,,,90.0,68.0,7.1,12.0,0.0,0.0,0.0058107,"{'original': 7.1, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,19.0,,2.0,,,,,,2.0,,,,2.0,2.0,1.0,,,,,1.0,,,,1.0,,,1.0,1.0,,,,1.0,
Vitaliy Mykolenko,vitaliy-mykolenko,V. Mykolenko,D,16,180,4121,M,876643,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,927936000,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي ميكولينكو', 'hi': 'विटाली मायकोलेंको', 'bn': 'ভিটালি মাইকোলেনকো'}, 'shortNameTranslation': {'ar': 'ف. ميكولينكو', 'hi': 'वी. मायकोलेंको', 'bn': 'ভি. মাইকোলেনকো'}}",34.0,26.0,2.0,1.0,14.0,16.0,19.0,2.0,6.0,4.0,3.0,,,,90.0,69.0,6.8,16.0,0.1452,0.2209,0.019904,"{'original': 6.8, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,12.0,1.0,6.0,2.0,2.0,2.0,2.0,,,,3.0,,1.0,2.0,2.0,,1.0,,,1.0,,1.0,,,,mikola_16,,,,,,,
James Garner,james-garner,J. Garner,M,37,182,2524,M,927361,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,984441600,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس غارنر', 'hi': 'जेम्स गार्नर', 'bn': 'জেমস গার্নার'}, 'shortNameTranslation': {'ar': 'ج. غارنر', 'hi': 'जे. गार्नर', 'bn': 'জে. গার্নার'}}",26.0,24.0,1.0,,6.0,6.0,26.0,1.0,6.0,1.0,6.0,,,,90.0,45.0,8.0,9.0,0.0256,0.0,0.272794,"{'original': 8, 'alternative': 7.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,20.0,1.0,5.0,1.0,,,1.0,2.0,1.0,4.0,2.0,1.0,,3.0,3.0,,,1.0,,6.0,1.0,,,1.0,1.0,,2.0,,,,,,
Amadou Onana,amadou-onana,A. Onana,M,24,195,6827,M,923973,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,997920000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أمادو أونانا', 'hi': 'अमादौ ओनाना', 'bn': 'আমাদৌ ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",55.0,47.0,3.0,2.0,18.0,23.0,32.0,4.0,11.0,,9.0,,,,77.0,71.0,7.5,9.0,0.1436,0.0,0.0272611,"{'original': 7.5, 'alternative': 7.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,29.0,2.0,4.0,1.0,,,,1.0,1.0,,,,1.0,6.0,3.0,,,,,,2.0,,,,,its_onana,,,,,,,
Idrissa Gueye,idrissa-gueye,I. Gueye,M,27,174,17031,M,106337,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,622771200,"{'value': 970000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إدريسا غاي', 'hi': 'इद्रिसा गुये', 'bn': 'ইদ্রিসা গুইয়ে'}, 'shortNameTranslation': {'ar': 'إ. غاي', 'hi': 'आई. गुये', 'bn': 'আই. গুইয়ে'}}",43.0,40.0,1.0,,11.0,12.0,31.0,,2.0,,8.0,,,,90.0,50.0,7.2,6.0,0.0206,0.0,0.262346,"{'original': 7.2, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,29.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,,1.0,,,,,,,,,1.0,,,,,iganagueye,,,,,,,
Dwight McNeil,dwight-mcneil,D. McNeil,M,7,183,2030,M,935543,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,943228800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوايت مكنيل', 'hi': 'ड्वाइट मैकनील', 'bn': 'ডোয়াইট ম্যাকনিল'}, 'shortNameTranslation': {'ar': 'د. مكنيل', 'hi': 'डी. मैकनील', 'bn': 'ডি. ম্যাকনিল'}}",40.0,35.0,,,12.0,13.0,34.0,,3.0,1.0,8.0,,,,90.0,65.0,7.7,14.0,0.1015,0.0616,0.293009,"{'original': 7.7, 'alternative': 7.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,Dwight,McNeil,26.0,1.0,4.0,2.0,1.0,,2.0,3.0,,1.0,,1.0,2.0,,,,,,,7.0,2.0,1.0,,,1.0,,3.0,,,,,,
