period,time_remaining,home_score,away_score,score_diff,clock,action_number,game_id,home_team,away_team
4,300,95,96,-1,PT05M37.00S,531,0022300004,Bulls,Nets
4,180,99,103,-4,PT02M55.00S,558,0022300004,Bulls,Nets
4,60,106,108,-2,PT01M01.00S,574,0022300004,Bulls,Nets
4,30,106,109,-3,PT00M12.00S,594,0022300004,Bulls,Nets
1,360,18,21,-3,PT05M47.00S,73,0022300005,Thunder,Warriors
1,0,33,38,-5,PT00M00.00S,159,0022300005,Thunder,Warriors
2,360,46,55,-9,PT06M15.00S,249,0022300005,Thunder,Warriors
2,0,67,69,-2,PT00M00.00S,327,0022300005,Thunder,Warriors
3,360,89,89,0,PT05M58.00S,411,0022300005,Thunder,Warriors
3,280,94,91,3,PT04M48.00S,439,0022300005,Thunder,Warriors
3,120,102,100,2,PT01M45.00S,488,0022300005,Thunder,Warriors
3,0,106,106,0,PT00M00.00S,516,0022300005,Thunder,Warriors
4,300,131,127,4,PT04M54.00S,624,0022300005,Thunder,Warriors
4,180,133,133,0,PT03M24.00S,650,0022300005,Thunder,Warriors
4,60,136,135,1,PT00M55.60S,681,0022300005,Thunder,Warriors
4,30,136,137,-1,PT00M32.50S,701,0022300005,Thunder,Warriors
1,360,24,19,5,PT06M01.00S,68,0022300006,Nuggets,Mavericks
1,0,39,24,15,PT00M00.90S,156,0022300006,Nuggets,Mavericks
2,360,48,38,10,PT05M36.00S,262,0022300006,Nuggets,Mavericks
2,0,70,55,15,PT00M00.40S,352,0022300006,Nuggets,Mavericks
3,360,85,68,17,PT06M08.00S,432,0022300006,Nuggets,Mavericks
3,280,90,73,17,PT04M45.00S,443,0022300006,Nuggets,Mavericks
3,120,98,81,17,PT02M05.00S,482,0022300006,Nuggets,Mavericks
3,0,102,87,15,PT00M00.00S,520,0022300006,Nuggets,Mavericks
4,300,113,103,10,PT04M47.00S,617,0022300006,Nuggets,Mavericks
4,180,117,107,10,PT03M05.00S,639,0022300006,Nuggets,Mavericks
4,60,123,112,11,PT00M56.60S,675,0022300006,Nuggets,Mavericks
4,30,125,114,11,PT00M34.20S,679,0022300006,Nuggets,Mavericks
1,360,16,15,1,PT05M57.00S,71,0022300007,Trail Blazers,Grizzlies
1,0,33,26,7,PT00M00.00S,183,0022300007,Trail Blazers,Grizzlies
2,360,37,46,-9,PT05M53.00S,269,0022300007,Trail Blazers,Grizzlies
2,0,54,53,1,PT00M00.00S,353,0022300007,Trail Blazers,Grizzlies
3,360,66,66,0,PT06M03.00S,434,0022300007,Trail Blazers,Grizzlies
3,280,68,68,0,PT04M48.00S,443,0022300007,Trail Blazers,Grizzlies
3,120,75,74,1,PT01M49.00S,485,0022300007,Trail Blazers,Grizzlies
3,0,76,77,-1,PT00M00.20S,514,0022300007,Trail Blazers,Grizzlies
4,300,88,96,-8,PT05M03.00S,619,0022300007,Trail Blazers,Grizzlies
4,180,93,100,-7,PT03M01.00S,642,0022300007,Trail Blazers,Grizzlies
4,60,97,100,-3,PT01M08.00S,669,0022300007,Trail Blazers,Grizzlies
4,30,99,102,-3,PT00M45.60S,679,0022300007,Trail Blazers,Grizzlies
1,360,17,9,8,PT06M14.00S,86,0022300008,Pistons,76ers
1,0,33,21,12,PT00M00.00S,174,0022300008,Pistons,76ers
2,360,49,33,16,PT06M03.00S,267,0022300008,Pistons,76ers
2,0,56,48,8,PT00M00.00S,360,0022300008,Pistons,76ers
3,360,65,64,1,PT05M54.00S,437,0022300008,Pistons,76ers
3,280,69,66,3,PT04M38.00S,458,0022300008,Pistons,76ers
3,120,73,74,-1,PT02M00.00S,503,0022300008,Pistons,76ers
3,0,77,83,-6,PT00M00.00S,532,0022300008,Pistons,76ers
4,300,90,105,-15,PT04M31.00S,627,0022300008,Pistons,76ers
4,180,95,110,-15,PT03M03.00S,652,0022300008,Pistons,76ers
4,60,102,114,-12,PT01M06.00S,692,0022300008,Pistons,76ers
4,30,104,114,-10,PT00M37.40S,695,0022300008,Pistons,76ers
1,360,17,7,10,PT06M17.00S,64,0022300009,Wizards,Hornets
1,0,27,22,5,PT00M00.00S,145,0022300009,Wizards,Hornets
2,360,48,38,10,PT05M52.00S,256,0022300009,Wizards,Hornets
2,0,63,57,6,PT00M00.00S,327,0022300009,Wizards,Hornets
3,360,75,70,5,PT06M25.00S,413,0022300009,Wizards,Hornets
3,280,75,76,-1,PT04M46.00S,441,0022300009,Wizards,Hornets
3,120,89,82,7,PT02M02.00S,487,0022300009,Wizards,Hornets
3,0,96,88,8,PT00M00.20S,520,0022300009,Wizards,Hornets
4,300,109,107,2,PT05M08.00S,641,0022300009,Wizards,Hornets
4,180,111,115,-4,PT02M26.00S,678,0022300009,Wizards,Hornets
4,60,114,120,-6,PT01M04.00S,692,0022300009,Wizards,Hornets
4,30,115,124,-9,PT00M18.70S,706,0022300009,Wizards,Hornets
1,360,22,15,7,PT06M04.00S,66,0022300010,Celtics,Nets
1,0,38,33,5,PT00M00.00S,164,0022300010,Celtics,Nets
2,360,48,41,7,PT05M51.00S,243,0022300010,Celtics,Nets
2,0,66,54,12,PT00M00.00S,304,0022300010,Celtics,Nets
3,360,79,63,16,PT06M20.00S,381,0022300010,Celtics,Nets
3,280,81,63,18,PT04M47.00S,402,0022300010,Celtics,Nets
3,120,86,77,9,PT02M03.00S,438,0022300010,Celtics,Nets
3,0,93,84,9,PT00M00.00S,483,0022300010,Celtics,Nets
4,300,114,92,22,PT05M19.00S,571,0022300010,Celtics,Nets
4,180,116,99,17,PT03M06.00S,597,0022300010,Celtics,Nets
4,60,120,105,15,PT00M59.90S,621,0022300010,Celtics,Nets
4,30,121,106,15,PT00M30.70S,632,0022300010,Celtics,Nets
1,360,11,19,-8,PT06M04.00S,75,0022300011,Rockets,Pelicans
1,0,26,31,-5,PT00M00.00S,164,0022300011,Rockets,Pelicans
2,360,39,40,-1,PT06M07.00S,251,0022300011,Rockets,Pelicans
2,0,54,48,6,PT00M00.00S,328,0022300011,Rockets,Pelicans
3,360,65,68,-3,PT05M48.00S,415,0022300011,Rockets,Pelicans
3,280,68,71,-3,PT04M19.00S,437,0022300011,Rockets,Pelicans
3,120,70,75,-5,PT01M44.00S,479,0022300011,Rockets,Pelicans
3,0,70,79,-9,PT00M00.00S,500,0022300011,Rockets,Pelicans
4,300,87,93,-6,PT04M43.00S,616,0022300011,Rockets,Pelicans
4,180,93,98,-5,PT02M55.00S,640,0022300011,Rockets,Pelicans
4,60,101,100,1,PT00M47.30S,677,0022300011,Rockets,Pelicans
4,30,102,100,2,PT00M15.40S,687,0022300011,Rockets,Pelicans
1,360,19,11,8,PT05M49.00S,68,0022300012,Grizzlies,Jazz
1,0,32,34,-2,PT00M00.00S,158,0022300012,Grizzlies,Jazz
2,360,49,59,-10,PT06M13.00S,223,0022300012,Grizzlies,Jazz
2,0,63,76,-13,PT00M00.60S,317,0022300012,Grizzlies,Jazz
3,360,77,91,-14,PT05M43.00S,385,0022300012,Grizzlies,Jazz
3,280,80,93,-13,PT04M30.00S,413,0022300012,Grizzlies,Jazz
3,120,86,101,-15,PT01M48.00S,459,0022300012,Grizzlies,Jazz
3,0,95,103,-8,PT00M00.00S,491,0022300012,Grizzlies,Jazz
4,300,116,118,-2,PT05M08.00S,589,0022300012,Grizzlies,Jazz
4,180,119,120,-1,PT02M17.00S,630,0022300012,Grizzlies,Jazz
4,60,119,125,-6,PT01M03.00S,641,0022300012,Grizzlies,Jazz
4,30,120,125,-5,PT00M18.60S,658,0022300012,Grizzlies,Jazz
1,360,21,13,8,PT05M56.00S,64,0022300013,Spurs,Timberwolves
1,0,27,22,5,PT00M00.00S,156,0022300013,Spurs,Timberwolves
2,360,43,35,8,PT06M09.00S,243,0022300013,Spurs,Timberwolves
2,0,54,56,-2,PT00M00.00S,328,0022300013,Spurs,Timberwolves
3,360,59,73,-14,PT05M49.00S,418,0022300013,Spurs,Timberwolves
3,280,61,75,-14,PT04M48.00S,428,0022300013,Spurs,Timberwolves
3,120,71,84,-13,PT01M57.00S,482,0022300013,Spurs,Timberwolves
3,0,73,90,-17,PT00M00.00S,503,0022300013,Spurs,Timberwolves
4,300,91,102,-11,PT05M09.00S,604,0022300013,Spurs,Timberwolves
4,180,97,104,-7,PT03M01.00S,633,0022300013,Spurs,Timberwolves
4,60,105,113,-8,PT01M04.00S,674,0022300013,Spurs,Timberwolves
4,30,110,115,-5,PT00M33.40S,681,0022300013,Spurs,Timberwolves
1,360,15,14,1,PT05M47.00S,78,0022300014,Mavericks,Clippers
1,0,30,33,-3,PT00M00.00S,165,0022300014,Mavericks,Clippers
2,360,54,35,19,PT06M02.00S,253,0022300014,Mavericks,Clippers
2,0,77,51,26,PT00M00.00S,350,0022300014,Mavericks,Clippers
3,360,99,70,29,PT06M21.00S,437,0022300014,Mavericks,Clippers
3,280,101,72,29,PT04M32.00S,459,0022300014,Mavericks,Clippers
3,120,111,79,32,PT01M48.00S,492,0022300014,Mavericks,Clippers
3,0,115,89,26,PT00M00.00S,533,0022300014,Mavericks,Clippers
4,300,129,112,17,PT05M18.00S,632,0022300014,Mavericks,Clippers
4,180,134,114,20,PT03M03.00S,662,0022300014,Mavericks,Clippers
4,60,142,121,21,PT01M15.00S,695,0022300014,Mavericks,Clippers
4,30,144,124,20,PT00M34.90S,704,0022300014,Mavericks,Clippers
1,360,17,17,0,PT06M08.00S,66,0022300015,Suns,Lakers
1,0,34,25,9,PT00M00.00S,168,0022300015,Suns,Lakers
2,360,52,41,11,PT05M48.00S,296,0022300015,Suns,Lakers
2,0,63,55,8,PT00M00.20S,376,0022300015,Suns,Lakers
3,360,76,70,6,PT06M01.00S,455,0022300015,Suns,Lakers
3,280,80,70,10,PT04M43.00S,479,0022300015,Suns,Lakers
3,120,89,78,11,PT02M07.00S,519,0022300015,Suns,Lakers
3,0,96,89,7,PT00M00.20S,564,0022300015,Suns,Lakers
4,300,104,109,-5,PT05M12.00S,652,0022300015,Suns,Lakers
4,180,111,113,-2,PT03M10.00S,680,0022300015,Suns,Lakers
4,60,113,118,-5,PT01M10.00S,696,0022300015,Suns,Lakers
4,30,113,120,-7,PT00M25.70S,707,0022300015,Suns,Lakers
1,360,18,11,7,PT06M03.00S,71,0022300016,Kings,Thunder
1,0,34,20,14,PT00M00.00S,163,0022300016,Kings,Thunder
2,360,43,35,8,PT05M51.00S,243,0022300016,Kings,Thunder
2,0,53,42,11,PT00M00.00S,335,0022300016,Kings,Thunder
3,360,65,51,14,PT05M54.00S,414,0022300016,Kings,Thunder
3,280,65,56,9,PT04M34.00S,426,0022300016,Kings,Thunder
3,120,69,65,4,PT02M16.00S,466,0022300016,Kings,Thunder
3,0,75,70,5,PT00M00.80S,522,0022300016,Kings,Thunder
4,300,98,87,11,PT05M17.00S,623,0022300016,Kings,Thunder
4,180,98,93,5,PT02M50.00S,658,0022300016,Kings,Thunder
4,60,103,96,7,PT01M04.00S,702,0022300016,Kings,Thunder
4,30,105,98,7,PT00M43.50S,709,0022300016,Kings,Thunder
1,360,19,13,6,PT06M05.00S,62,0022300017,Hornets,Heat
1,0,32,24,8,PT00M00.00S,154,0022300017,Hornets,Heat
2,360,38,38,0,PT06M02.00S,228,0022300017,Hornets,Heat
2,0,48,57,-9,PT00M00.00S,310,0022300017,Hornets,Heat
3,360,65,74,-9,PT05M55.00S,395,0022300017,Hornets,Heat
3,280,67,78,-11,PT04M55.00S,402,0022300017,Hornets,Heat
3,120,73,82,-9,PT02M11.00S,450,0022300017,Hornets,Heat
3,0,80,87,-7,PT00M00.00S,491,0022300017,Hornets,Heat
4,300,95,99,-4,PT04M59.00S,568,0022300017,Hornets,Heat
4,180,101,105,-4,PT03M34.00S,579,0022300017,Hornets,Heat
4,60,103,108,-5,PT01M05.00S,607,0022300017,Hornets,Heat
4,30,104,109,-5,PT00M42.30S,617,0022300017,Hornets,Heat
1,360,14,21,-7,PT05M57.00S,63,0022300018,Pistons,Hawks
1,0,29,38,-9,PT00M00.00S,153,0022300018,Pistons,Hawks
2,360,45,50,-5,PT05M46.00S,252,0022300018,Pistons,Hawks
2,0,60,64,-4,PT00M00.00S,344,0022300018,Pistons,Hawks
3,360,77,77,0,PT05M57.00S,423,0022300018,Pistons,Hawks
3,280,81,81,0,PT04M40.00S,445,0022300018,Pistons,Hawks
3,120,85,93,-8,PT02M03.00S,486,0022300018,Pistons,Hawks
3,0,91,97,-6,PT00M00.00S,520,0022300018,Pistons,Hawks
4,300,110,114,-4,PT04M41.00S,617,0022300018,Pistons,Hawks
4,180,113,115,-2,PT03M07.00S,638,0022300018,Pistons,Hawks
4,60,117,120,-3,PT00M58.30S,662,0022300018,Pistons,Hawks
4,30,117,121,-4,PT00M30.60S,672,0022300018,Pistons,Hawks
1,360,18,21,-3,PT06M06.00S,88,0022300019,76ers,Pacers
1,0,30,36,-6,PT00M00.00S,172,0022300019,76ers,Pacers
2,360,45,48,-3,PT05M59.00S,273,0022300019,76ers,Pacers
2,0,54,63,-9,PT00M00.00S,366,0022300019,76ers,Pacers
3,360,71,79,-8,PT06M12.00S,467,0022300019,76ers,Pacers
3,280,75,83,-8,PT04M48.00S,483,0022300019,76ers,Pacers
3,120,86,92,-6,PT01M56.00S,525,0022300019,76ers,Pacers
3,0,94,95,-1,PT00M00.80S,554,0022300019,76ers,Pacers
4,300,111,117,-6,PT04M48.00S,680,0022300019,76ers,Pacers
4,180,116,122,-6,PT03M03.00S,698,0022300019,76ers,Pacers
4,60,120,127,-7,PT01M00.00S,722,0022300019,76ers,Pacers
4,30,121,127,-6,PT00M32.50S,730,0022300019,76ers,Pacers
1,360,18,8,10,PT05M50.00S,81,0022300020,Nets,Magic
1,0,33,24,9,PT00M00.20S,165,0022300020,Nets,Magic
2,360,38,42,-4,PT05M54.00S,253,0022300020,Nets,Magic
2,0,57,60,-3,PT00M00.00S,318,0022300020,Nets,Magic
3,360,68,72,-4,PT06M10.00S,403,0022300020,Nets,Magic
3,280,73,74,-1,PT04M42.00S,424,0022300020,Nets,Magic
3,120,82,82,0,PT01M53.00S,459,0022300020,Nets,Magic
3,0,88,86,2,PT00M00.00S,488,0022300020,Nets,Magic
4,300,110,97,13,PT05M24.00S,576,0022300020,Nets,Magic
4,180,116,99,17,PT03M03.00S,596,0022300020,Nets,Magic
4,60,121,104,17,PT01M08.00S,632,0022300020,Nets,Magic
4,30,122,104,18,PT00M50.40S,637,0022300020,Nets,Magic
1,360,13,13,0,PT06M01.00S,67,0022300021,Thunder,Spurs
1,0,28,25,3,PT00M00.00S,156,0022300021,Thunder,Spurs
2,360,40,37,3,PT05M58.00S,267,0022300021,Thunder,Spurs
2,0,58,48,10,PT00M00.00S,355,0022300021,Thunder,Spurs
3,360,73,50,23,PT06M11.00S,438,0022300021,Thunder,Spurs
3,280,75,56,19,PT04M29.00S,463,0022300021,Thunder,Spurs
3,120,86,60,26,PT02M01.00S,510,0022300021,Thunder,Spurs
3,0,91,66,25,PT00M00.00S,542,0022300021,Thunder,Spurs
4,300,111,75,36,PT05M04.00S,658,0022300021,Thunder,Spurs
4,180,120,80,40,PT02M48.00S,684,0022300021,Thunder,Spurs
4,60,123,87,36,PT01M03.00S,698,0022300021,Thunder,Spurs
4,30,123,87,36,PT00M00.00S,704,0022300021,Thunder,Spurs
1,360,14,10,4,PT05M54.00S,65,0022300022,Pelicans,Mavericks
1,0,33,26,7,PT00M00.50S,164,0022300022,Pelicans,Mavericks
2,360,52,38,14,PT06M06.00S,255,0022300022,Pelicans,Mavericks
2,0,68,54,14,PT00M00.70S,348,0022300022,Pelicans,Mavericks
3,360,91,72,19,PT06M01.00S,441,0022300022,Pelicans,Mavericks
3,280,97,75,22,PT04M39.00S,453,0022300022,Pelicans,Mavericks
3,120,108,80,28,PT01M56.00S,505,0022300022,Pelicans,Mavericks
3,0,114,85,29,PT00M00.00S,545,0022300022,Pelicans,Mavericks
4,300,125,105,20,PT04M52.00S,658,0022300022,Pelicans,Mavericks
4,180,127,107,20,PT03M15.00S,680,0022300022,Pelicans,Mavericks
4,60,131,110,21,PT01M23.00S,714,0022300022,Pelicans,Mavericks
4,30,131,110,21,PT00M00.00S,727,0022300022,Pelicans,Mavericks
1,360,19,15,4,PT06M13.00S,76,0022300023,Jazz,Trail Blazers
1,0,36,28,8,PT00M00.00S,170,0022300023,Jazz,Trail Blazers
2,360,56,48,8,PT05M55.00S,244,0022300023,Jazz,Trail Blazers
2,0,67,58,9,PT00M00.00S,335,0022300023,Jazz,Trail Blazers
3,360,81,72,9,PT06M09.00S,403,0022300023,Jazz,Trail Blazers
3,280,81,75,6,PT04M44.00S,422,0022300023,Jazz,Trail Blazers
3,120,87,82,5,PT01M58.00S,448,0022300023,Jazz,Trail Blazers
3,0,95,86,9,PT00M00.00S,473,0022300023,Jazz,Trail Blazers
4,300,108,95,13,PT05M18.00S,581,0022300023,Jazz,Trail Blazers
4,180,113,98,15,PT03M01.00S,610,0022300023,Jazz,Trail Blazers
4,60,115,98,17,PT01M16.00S,639,0022300023,Jazz,Trail Blazers
4,30,115,99,16,PT00M41.40S,656,0022300023,Jazz,Trail Blazers
1,360,13,16,-3,PT06M01.00S,73,0022300024,Nuggets,Clippers
1,0,28,26,2,PT00M00.00S,142,0022300024,Nuggets,Clippers
2,360,44,39,5,PT06M11.00S,225,0022300024,Nuggets,Clippers
2,0,60,52,8,PT00M00.00S,304,0022300024,Nuggets,Clippers
3,360,69,64,5,PT06M48.00S,374,0022300024,Nuggets,Clippers
3,280,71,67,4,PT04M48.00S,400,0022300024,Nuggets,Clippers
3,120,79,75,4,PT02M03.00S,439,0022300024,Nuggets,Clippers
3,0,84,84,0,PT00M00.00S,464,0022300024,Nuggets,Clippers
4,300,96,99,-3,PT04M45.00S,552,0022300024,Nuggets,Clippers
4,180,99,102,-3,PT03M04.00S,571,0022300024,Nuggets,Clippers
4,60,107,104,3,PT01M10.00S,593,0022300024,Nuggets,Clippers
4,30,109,104,5,PT00M23.60S,612,0022300024,Nuggets,Clippers
1,360,10,7,3,PT05M50.00S,96,0022300025,Warriors,Timberwolves
1,0,30,22,8,PT00M00.00S,164,0022300025,Warriors,Timberwolves
2,360,42,42,0,PT06M04.00S,249,0022300025,Warriors,Timberwolves
2,0,59,54,5,PT00M00.00S,361,0022300025,Warriors,Timberwolves
3,360,71,61,10,PT05M45.00S,453,0022300025,Warriors,Timberwolves
3,280,73,63,10,PT04M48.00S,459,0022300025,Warriors,Timberwolves
3,120,78,69,9,PT02M03.00S,505,0022300025,Warriors,Timberwolves
3,0,83,76,7,PT00M00.80S,532,0022300025,Warriors,Timberwolves
4,300,89,92,-3,PT05M08.00S,648,0022300025,Warriors,Timberwolves
4,180,95,96,-1,PT03M07.00S,673,0022300025,Warriors,Timberwolves
4,60,98,99,-1,PT01M07.00S,695,0022300025,Warriors,Timberwolves
4,30,98,102,-4,PT00M09.60S,708,0022300025,Warriors,Timberwolves
1,360,18,13,5,PT06M17.00S,70,0022300026,Lakers,Grizzlies
1,0,37,26,11,PT00M00.00S,179,0022300026,Lakers,Grizzlies
2,360,55,38,17,PT05M59.00S,273,0022300026,Lakers,Grizzlies
2,0,74,51,23,PT00M00.00S,350,0022300026,Lakers,Grizzlies
3,360,88,71,17,PT06M08.00S,438,0022300026,Lakers,Grizzlies
3,280,96,72,24,PT04M29.00S,468,0022300026,Lakers,Grizzlies
3,120,105,78,27,PT02M00.00S,515,0022300026,Lakers,Grizzlies
3,0,107,86,21,PT00M00.00S,531,0022300026,Lakers,Grizzlies
4,300,122,100,22,PT05M01.00S,616,0022300026,Lakers,Grizzlies
4,180,130,103,27,PT02M50.00S,646,0022300026,Lakers,Grizzlies
4,60,134,107,27,PT01M17.00S,660,0022300026,Lakers,Grizzlies
4,30,134,107,27,PT00M00.00S,669,0022300026,Lakers,Grizzlies
1,360,17,17,0,PT06M01.00S,91,0022300027,Hornets,Bucks
1,0,37,28,9,PT00M00.00S,161,0022300027,Hornets,Bucks
2,360,43,42,1,PT05M54.00S,245,0022300027,Hornets,Bucks
2,0,57,59,-2,PT00M00.90S,311,0022300027,Hornets,Bucks
3,360,67,81,-14,PT05M55.00S,394,0022300027,Hornets,Bucks
3,280,71,81,-10,PT04M40.00S,412,0022300027,Hornets,Bucks
3,120,79,87,-8,PT01M40.00S,447,0022300027,Hornets,Bucks
3,0,81,92,-11,PT00M00.00S,469,0022300027,Hornets,Bucks
4,300,93,113,-20,PT05M01.00S,558,0022300027,Hornets,Bucks
4,180,97,119,-22,PT02M31.00S,613,0022300027,Hornets,Bucks
4,60,97,127,-30,PT00M55.80S,629,0022300027,Hornets,Bucks
4,30,97,130,-33,PT00M19.40S,635,0022300027,Hornets,Bucks
1,360,9,20,-11,PT06M02.00S,73,0022300028,Wizards,Knicks
1,0,25,35,-10,PT00M00.00S,159,0022300028,Wizards,Knicks
2,360,34,49,-15,PT06M02.00S,229,0022300028,Wizards,Knicks
2,0,54,65,-11,PT00M00.00S,306,0022300028,Wizards,Knicks
3,360,66,78,-12,PT06M15.00S,368,0022300028,Wizards,Knicks
3,280,69,80,-11,PT04M43.00S,394,0022300028,Wizards,Knicks
3,120,77,87,-10,PT02M03.00S,433,0022300028,Wizards,Knicks
3,0,84,89,-5,PT00M00.00S,471,0022300028,Wizards,Knicks
4,300,92,105,-13,PT04M44.00S,583,0022300028,Wizards,Knicks
4,180,92,110,-18,PT03M01.00S,603,0022300028,Wizards,Knicks
4,60,96,117,-21,PT01M12.00S,642,0022300028,Wizards,Knicks
4,30,99,120,-21,PT00M27.60S,652,0022300028,Wizards,Knicks
1,360,16,15,1,PT05M58.00S,61,0022300029,Hawks,76ers
1,0,24,28,-4,PT00M00.60S,147,0022300029,Hawks,76ers
2,360,41,39,2,PT05M52.00S,255,0022300029,Hawks,76ers
2,0,56,57,-1,PT00M00.00S,334,0022300029,Hawks,76ers
3,360,73,71,2,PT05M53.00S,413,0022300029,Hawks,76ers
3,280,76,75,1,PT04M41.00S,431,0022300029,Hawks,76ers
3,120,81,86,-5,PT01M57.00S,470,0022300029,Hawks,76ers
3,0,87,93,-6,PT00M00.40S,497,0022300029,Hawks,76ers
4,300,101,113,-12,PT05M01.00S,598,0022300029,Hawks,76ers
4,180,107,119,-12,PT02M58.00S,623,0022300029,Hawks,76ers
4,60,109,123,-14,PT00M57.70S,644,0022300029,Hawks,76ers
4,30,114,123,-9,PT00M26.10S,655,0022300029,Hawks,76ers
1,360,13,15,-2,PT05M52.00S,72,0022300030,Cavaliers,Pistons
1,0,35,26,9,PT00M00.00S,140,0022300030,Cavaliers,Pistons
2,360,46,37,9,PT06M03.00S,214,0022300030,Cavaliers,Pistons
2,0,59,45,14,PT00M00.00S,297,0022300030,Cavaliers,Pistons
3,360,69,61,8,PT06M15.00S,374,0022300030,Cavaliers,Pistons
3,280,73,67,6,PT04M34.00S,385,0022300030,Cavaliers,Pistons
3,120,78,71,7,PT01M56.00S,413,0022300030,Cavaliers,Pistons
3,0,80,73,7,PT00M00.00S,445,0022300030,Cavaliers,Pistons
4,300,98,86,12,PT04M50.00S,547,0022300030,Cavaliers,Pistons
4,180,102,92,10,PT03M03.00S,577,0022300030,Cavaliers,Pistons
4,60,108,96,12,PT01M02.00S,604,0022300030,Cavaliers,Pistons
4,30,108,97,11,PT00M38.90S,610,0022300030,Cavaliers,Pistons
1,360,21,14,7,PT05M49.00S,72,0022300031,Raptors,Celtics
1,0,32,26,6,PT00M00.00S,156,0022300031,Raptors,Celtics
2,360,38,42,-4,PT05M54.00S,246,0022300031,Raptors,Celtics
2,0,49,65,-16,PT00M00.50S,318,0022300031,Raptors,Celtics
3,360,68,73,-5,PT06M01.00S,388,0022300031,Raptors,Celtics
3,280,73,73,0,PT04M37.00S,403,0022300031,Raptors,Celtics
3,120,77,81,-4,PT01M51.00S,432,0022300031,Raptors,Celtics
3,0,81,84,-3,PT00M00.00S,447,0022300031,Raptors,Celtics
4,300,95,97,-2,PT05M25.00S,529,0022300031,Raptors,Celtics
4,180,101,99,2,PT03M01.00S,558,0022300031,Raptors,Celtics
4,60,103,103,0,PT01M01.00S,574,0022300031,Raptors,Celtics
4,30,103,106,-3,PT00M27.50S,578,0022300031,Raptors,Celtics
1,360,23,7,16,PT06M34.00S,64,0022300032,Spurs,Kings
1,0,31,29,2,PT00M00.00S,150,0022300032,Spurs,Kings
2,360,43,45,-2,PT05M58.00S,253,0022300032,Spurs,Kings
2,0,62,62,0,PT00M00.00S,337,0022300032,Spurs,Kings
3,360,72,84,-12,PT05M35.00S,435,0022300032,Spurs,Kings
