name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,duelLost,duelWon,challengeLost,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,fouls,aerialWon,unsuccessfulTouch,wasFouled,aerialLost,dispossessed,bigChanceCreated,onTargetScoringAttempt,expectedGoals,expectedGoalsOnTarget,keyPass,accurateCross,firstName,lastName,shotOffTarget,blockedScoringAttempt,goals,bigChanceMissed,hitWoodwork,outfielderBlock,totalOffside
Dango Ouattara,dango-ouattara,D. Ouattara,F,19,177,32038,M,d.ouattara15,1106451,"{'alpha2': 'BF', 'alpha3': 'BFA', 'name': 'Burkina Faso', 'slug': 'burkina-faso'}",EUR,1013385600,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانجو أواتارا', 'hi': 'डांगो ओउट्टारा', 'bn': 'ডাঙ্গো ওউত্তারা'}, 'shortNameTranslation': {'ar': 'د. أواتارا', 'hi': 'डी. ओउट्टारा', 'bn': 'ডি. ওউত্তারা'}}",3.0,2.0,,,,,2.0,3.0,,2.0,,,,9.0,6.0,7.1,1.0,0.00796921,"{'original': 7.1, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,2.0,,,,,1.0,,,,,1.0,,,,1.0,0.1561,0.1301,1.0,,Dango Ouattara,,,,,,,,
Joe Rothwell,joe-rothwell,J. Rothwell,M,6,185,269,M,,190853,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,789782400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو روثويل', 'hi': 'जो रोथवेल', 'bn': 'জো রথওয়েল'}, 'shortNameTranslation': {'ar': 'ج. روثويل', 'hi': 'जे. रोथवेल', 'bn': 'জে. রথওয়েল'}}",1.0,1.0,,,,,1.0,1.0,,,,,,1.0,1.0,,,8.184e-05,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Travers,mark-travers,M. Travers,G,12,191,606,M,,856720,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,926985600,"{'value': 3800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك ترافيرس', 'hi': 'मार्क ट्रैवर्स', 'bn': 'মার্ক ট্র্যাভার্স'}, 'shortNameTranslation': {'ar': 'م. ترافيرس', 'hi': 'एम. ट्रैवर्स', 'bn': 'এম. ট্রাভার্স'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miloš Kerkez,milos-kerkez,M. Kerkez,D,6,180,24997,M,miloskerkez,1097425,"{'alpha2': 'HU', 'alpha3': 'HUN', 'name': 'Hungary', 'slug': 'hungary'}",EUR,1068163200,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميلوش كيركيز', 'hi': 'मिलोस केर्केज़', 'bn': 'মিলোস কেরকেজ'}, 'shortNameTranslation': {'ar': 'م. كيركيز', 'hi': 'एम. केर्केज़', 'bn': 'এম. কেরকেজ'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,Milos,Kerkez,,,,,,,
Chris Mepham,chris-mepham,C. Mepham,D,2,191,392,M,,865740,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,878688000,"{'value': 3300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس ميفام', 'hi': 'क्रिस मेफम', 'bn': 'ক্রিস মেফাম'}, 'shortNameTranslation': {'ar': 'ك. ميفام', 'hi': 'डी. बर्टौड', 'bn': 'সি. মেফাম'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Brooks,david-brooks,D. Brooks,M,7,173,1194,M,,855731,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,868320000,"{'value': 11000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دافيد بروكس', 'hi': 'डेविड ब्रूक्स', 'bn': 'ডেভিড ব্রুকস'}, 'shortNameTranslation': {'ar': 'د. بروكس', 'hi': 'डी. ब्रूक्स', 'bn': 'ডি. ব্রুকস'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamed Junior Traorè,hamed-junior-traore,H. J. Traorè,M,20,177,2881,M,,892924,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,950659200,"{'value': 14100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'حامد جونيور تراوري', 'hi': 'हामेद जूनियर ट्राओरे', 'bn': 'হামেদ জুনিয়র ট্রাওরে'}, 'shortNameTranslation': {'ar': 'ح. ج. تراوري', 'hi': 'एच.जे. जूनियर', 'bn': 'এইচ. জে. ট্রাওরে'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Pope,nick-pope,N. Pope,G,1,198,4568,M,npope29,162653,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,703641600,"{'value': 6700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيك بوب', 'hi': 'निक पोप', 'bn': 'নিক পোপ'}, 'shortNameTranslation': {'ar': 'ن. بوب', 'hi': 'एन. पोप', 'bn': 'এন. পোপ'}}",17.0,12.0,7.0,3.0,9.0,13.0,3.0,4.0,3.0,11.0,5.0,8.0,3.0,90.0,37.0,8.7,6.0,0.0008589,"{'original': 8.7, 'alternative': 8.6}",0,0.8706,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
Kieran Trippier,kieran-trippier,K. Trippier,D,2,174,8611,M,ktrippier2,69256,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,653702400,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيران تريبيير', 'hi': 'किरन ट्रिप्पियर', 'bn': 'কাইরান ট্রিপিয়ার'}, 'shortNameTranslation': {'ar': 'ك. تريبيير', 'hi': 'के.ट्रिप्पियर', 'bn': 'কে. ট্রিপিয়ার'}}",72.0,56.0,12.0,5.0,34.0,41.0,22.0,37.0,2.0,9.0,,,,90.0,95.0,6.1,28.0,0.032542,"{'original': 6.1, 'alternative': 5.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,6.0,6.0,1.0,1.0,2.0,,,1.0,,,,1.0,,,3.0,,,,,1.0,,,,,,,,,,
Jamaal Lascelles,jamaal-lascelles,J. Lascelles,D,6,188,970,M,,153444,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,752976000,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جمال لاسيلس', 'hi': 'जमाल लास्केल्स', 'bn': 'জামাল ল্যাস্কেলস'}, 'shortNameTranslation': {'ar': 'ج. لاسيلس', 'hi': 'जे. लास्केल्स', 'bn': 'জে. ল্যাস্কেলস'}}",68.0,56.0,5.0,2.0,39.0,47.0,17.0,21.0,2.0,5.0,,,,90.0,77.0,6.8,14.0,0.0063428,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,3.0,6.0,,1.0,,1.0,1.0,1.0,1.0,5.0,,,1.0,,,,,,,,,,,,,,,2.0,1.0
Fabian Schär,fabian-schar,F. Schär,D,5,186,3205,M,,101882,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,693187200,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فابيان شار', 'hi': 'फेबियन शार', 'bn': 'ফ্যাবিয়ান শার'}, 'shortNameTranslation': {'ar': 'ف. شار', 'hi': 'एफ. शार', 'bn': 'এফ. শার'}}",44.0,31.0,10.0,3.0,20.0,27.0,11.0,18.0,4.0,6.0,,,,90.0,60.0,6.5,17.0,0.0113695,"{'original': 6.5, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,3.0,7.0,1.0,,,1.0,3.0,2.0,,2.0,2.0,2.0,1.0,1.0,,,0.0253,,,,,,1.0,,,,,,
Lewis Hall,lewis-hall,L. Hall,D,3,179,4014,M,lewishall_10,1136730,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1094601600,"{'value': 30000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس هال', 'hi': 'लुईस हॉल', 'bn': 'লুইস হল'}, 'shortNameTranslation': {'ar': 'ل. هال', 'hi': 'एल. हॉल', 'bn': 'এল. হল'}}",26.0,20.0,2.0,1.0,13.0,15.0,7.0,11.0,,3.0,,,,45.0,41.0,7.3,7.0,0.00468052,"{'original': 7.3, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,5.0,7.0,1.0,1.0,1.0,1.0,4.0,4.0,,2.0,1.0,,4.0,,,1.0,0.0228,0.068,,,Lewis Hall,,,,,,,,
Sean Longstaff,sean-longstaff,S. Longstaff,M,8,187,1640,M,,866191,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,878169600,"{'value': 17200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شون لونغستاف', 'hi': 'सीन लॉन्गस्टाफ़', 'bn': 'শন লংস্টাফ'}, 'shortNameTranslation': {'ar': 'ش. لونغستاف', 'hi': 'एस. लॉन्गस्टाफ़', 'bn': 'এস. লংস্টাফ'}}",39.0,32.0,3.0,2.0,17.0,19.0,15.0,20.0,,3.0,,,,90.0,51.0,6.7,9.0,0.0179167,"{'original': 6.7, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,6.0,4.0,2.0,,,,1.0,1.0,,,,3.0,2.0,2.0,,1.0,0.1658,0.122,,,,,1.0,,,,,,
Lewis Miley,lewis-miley,L. Miley,M,67,188,3070,M,,1400650,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1146441600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس مايلي', 'hi': 'लुईस माइली', 'bn': 'লুইস মাইলি'}, 'shortNameTranslation': {'ar': 'ل. مايلي', 'hi': 'एल. माइली', 'bn': 'এল. মাইলি'}}",42.0,37.0,3.0,2.0,23.0,25.0,14.0,17.0,3.0,11.0,,,,66.0,52.0,6.9,6.0,0.00577654,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,2.0,,1.0,,2.0,1.0,1.0,,1.0,,,,,,,,,,,Lewis Miley,,,,,,,,
Joe Willock,joe-willock,J. Willock,M,28,186,2544,M,,888550,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,935107200,"{'value': 16600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو ويلوك', 'hi': 'जो विलॉक', 'bn': 'জো উইলক'}, 'shortNameTranslation': {'ar': 'ج. ويلوك', 'hi': 'जे. विलॉक', 'bn': 'জে. উইলক'}}",36.0,31.0,5.0,4.0,16.0,17.0,15.0,20.0,,9.0,,,,89.0,53.0,7.1,13.0,0.030219,"{'original': 7.1, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,4.0,6.0,2.0,5.0,3.0,,3.0,2.0,,,3.0,,,,,1.0,0.131,0.5172,1.0,,,,,,,,,,
Miguel Almirón,miguel-almiron,M. Almirón,M,10,174,8455,M,miguel_almiron,333373,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,760838400,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميغيل ألميرون', 'hi': 'मिगुएल अल्मिरोन', 'bn': 'মিগুয়েল আলমিরন'}, 'shortNameTranslation': {'ar': 'م. ألميرون', 'hi': 'एम. अल्मिरोन', 'bn': 'এম. আলমিরন'}}",13.0,10.0,1.0,,4.0,4.0,6.0,9.0,,1.0,,,,31.0,19.0,6.4,7.0,0.00706551,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,2.0,,3.0,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,
Anthony Gordon,gordon-anthony,A. Gordon,F,10,183,15531,M,AGordon,914902,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,982972800,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غوردون، أنتوني', 'hi': 'गॉर्डन, एंथनी', 'bn': 'গর্ডন, অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أ. غوردون', 'hi': 'ए. गॉर्डन', 'bn': 'এ. গর্ডন'}}",22.0,19.0,2.0,2.0,4.0,4.0,15.0,19.0,,3.0,,,,90.0,44.0,6.9,13.0,0.0377667,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,7.0,7.0,3.0,5.0,2.0,,3.0,2.0,,,5.0,2.0,,1.0,,1.0,0.0657,0.0212,,,,,,,,,,,
Joelinton,joelinton,Joelinton,M,7,186,9814,M,joelinton34,560128,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,839980800,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويلينتون', 'hi': 'जोलिंटन', 'bn': 'জোলিন্টন'}, 'shortNameTranslation': {'ar': 'جولينتون', 'hi': 'जोएलिंटन', 'bn': 'জোলিন্টন'}}",43.0,33.0,,,17.0,21.0,16.0,22.0,,2.0,,,,90.0,58.0,6.4,17.0,0.0206193,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,12.0,3.0,1.0,2.0,1.0,1.0,,,2.0,,1.0,2.0,3.0,5.0,,,,,1.0,,,,,,,,,,
