name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,blockedScoringAttempt,totalClearance,interceptionWon,totalTackle,errorLeadToAGoal,keyPass,aerialWon,wonContest,outfielderBlock,wonTackle,fouls,bigChanceCreated,unsuccessfulTouch,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,hitWoodwork,wasFouled,totalOffside,firstName,lastName,dispossessed,goals,savedShotsFromInsideTheBox,saves,punches,clearanceOffLine,goalAssist
Carlton Morris,carlton-morris,C. Morris,F,9,185,1084,M,,358222,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,819072000,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كارلتون موريس', 'hi': 'कार्लटन मॉरिस', 'bn': 'কার্লটন মরিস'}, 'shortNameTranslation': {'ar': 'ك. موريس', 'hi': 'सी. मॉरिस', 'bn': 'সি. মরিস'}}",17.0,10.0,1.0,1.0,,1.0,10.0,16.0,2.0,,78.0,34.0,7.4,14.0,0.2874,0.4777,0.0160915,"{'original': 7.4, 'alternative': 7.2}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,6.0,11.0,8.0,,3.0,1.0,2.0,,,,,7.0,,,,3.0,,3.0,,1.0,1.0,1.0,2.0,1.0,,,1.0,1.0,,,,,
Mads Juel Andersen,mads-juel-andersen,M. J. Andersen,D,5,194,143,M,,841005,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,883180800,"{'value': 1800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرسن، مادس جويل', 'hi': 'एंडरसन, मैड्स जुएल', 'bn': 'অ্যান্ডারসন, ম্যাডস জুয়েল'}, 'shortNameTranslation': {'ar': 'أ. ج. أندرسن', 'hi': 'एम.जे. एंडरसन', 'bn': 'এম. জে. অ্যান্ডারসন'}}",17.0,12.0,3.0,1.0,11.0,14.0,1.0,3.0,9.0,,45.0,31.0,7.1,6.0,0.0531,0.0,0.00085126,"{'original': 7.1, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,2.0,3.0,3.0,,1.0,,8.0,,,,,2.0,,2.0,,,,,,1.0,,,1.0,,,,,,,,,,
Teden Mengi,teden-mengi,T. Mengi,D,15,183,793,M,,979233,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020124800,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيدن منجي', 'hi': 'टेडेन मेंगी', 'bn': 'টেডেন মেঙ্গি'}, 'shortNameTranslation': {'ar': 'ت. منجي', 'hi': 'टी. मेंगी', 'bn': 'টি. মেঙ্গি'}}",4.0,3.0,1.0,,,,3.0,4.0,1.0,,34.0,12.0,6.6,4.0,0.0,0.0,0.00034573,"{'original': 6.6, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,2.0,3.0,3.0,1.0,,,1.0,1.0,2.0,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,
Elijah Adebayo,adebayo-elijah,E. Adebayo,F,11,193,1056,M,,920542,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,884131200,"{'value': 4400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أديبايو، إيلايا', 'hi': 'एडेबायो, एलिजा', 'bn': 'অ্যাডেবায়ো, ইলিয়াস'}, 'shortNameTranslation': {'ar': 'أديبايو', 'hi': 'ई. एडेबायो', 'bn': 'ই. অ্যাডেবায়ো'}}",1.0,1.0,,,,,1.0,1.0,,,12.0,8.0,6.2,4.0,0.0,0.0,0.00031172,"{'original': 6.2, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,3.0,5.0,1.0,,1.0,,,,,,,1.0,,,,,,2.0,,,,,,,,,1.0,,,,,,
Cauley Woodrow,cauley-woodrow,C. Woodrow,F,12,184,116,M,,140487,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,786326400,"{'value': 485000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاولي وودرو', 'hi': 'काउली वुडरो', 'bn': 'কাউলি উড্রো'}, 'shortNameTranslation': {'ar': 'ك. وودرو', 'hi': 'सी. वुडरो', 'bn': 'সি. উড্রো'}}",5.0,,,,,2.0,,3.0,,,15.0,9.0,6.9,5.0,0.0,0.0,0.0,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,1.0,4.0,,1.0,,,,2.0,,,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,
Tim Krul,tim-krul,T. Krul,G,,193,426,M,,18154,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,576028800,,"{'nameTranslation': {'ar': 'تيم كرول', 'hi': 'टिम क्रुल', 'bn': 'টিম ক্রুল'}, 'shortNameTranslation': {'ar': 'ت. كرول', 'hi': 'टी. क्रुल', 'bn': 'টি. ক্রুল'}}",,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Giles,ryan-giles,R. Giles,D,3,179,227,M,,931304,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,948844800,"{'value': 6300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان جايلز', 'hi': 'रयान गिल्स', 'bn': 'রায়ান জাইলস'}, 'shortNameTranslation': {'ar': 'ر. جايلز', 'hi': 'आर. गिल्स', 'bn': 'আর. জাইলস'}}",,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Johnson,joseph-johnson,J. Johnson,D,38,180,84,M,,825550,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1140480000,"{'value': 285000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوزيف جونسون', 'hi': 'जोसेफ जॉनसन', 'bn': 'জোসেফ জনসন'}, 'shortNameTranslation': {'ar': 'ج. جونسون', 'hi': 'जे. जॉनसन', 'bn': 'জে. জনসন'}}",,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Berry,luke-berry,L. Berry,M,8,177,67,M,,97465,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,710899200,"{'value': 240000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوك بيري', 'hi': 'ल्यूक बेरी', 'bn': 'লুক বেরি'}, 'shortNameTranslation': {'ar': 'ل. بيري', 'hi': 'एल. बेरी', 'bn': 'এল. বেরি'}}",,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahith Chong,tahith-chong,T. Chong,M,24,185,1675,M,,825845,"{'alpha2': 'CW', 'alpha3': 'CUW', 'name': 'Curacao', 'slug': 'curacao'}",EUR,944265600,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تايث تشونغ', 'hi': 'ताहित चोंग', 'bn': 'তাহিথ চং'}, 'shortNameTranslation': {'ar': 'ت. تشونغ', 'hi': 'टी. चोंग', 'bn': 'টি. চং'}}",,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
