name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,wonContest,shotOffTarget,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,aerialWon,errorLeadToAShot,wasFouled,blockedScoringAttempt,accurateCross,keyPass,dispossessed,onTargetScoringAttempt,sofascoreId,totalOffside,errorLeadToAGoal,punches,goalAssist,bigChanceCreated,goals,bigChanceMissed
Harvey Barnes,,,harvey-barnes,H. Barnes,F,11,181,5075,M,855647,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,881625600,"{'value': 35000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هارفي بارنز', 'hi': 'हार्वे बार्न्स', 'bn': 'হার্ভে বার্নস'}, 'shortNameTranslation': {'ar': 'ه. بارنز', 'hi': 'एच. बार्न्स', 'bn': 'এইচ. বার্নস'}}",4.0,4.0,,,1.0,1.0,3.0,3.0,,,,,12.0,4.0,6.5,,0.0,0.0,0.00417997,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Gordon,,,gordon-anthony,A. Gordon,F,10,183,15531,M,914902,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,982972800,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غوردون، أنتوني', 'hi': 'गॉर्डन, एंथनी', 'bn': 'গর্ডন, অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أ. غوردون', 'hi': 'ए. गॉर्डन', 'bn': 'এ. গর্ডন'}}",32.0,25.0,3.0,3.0,4.0,5.0,21.0,28.0,,6.0,,,78.0,58.0,9.4,19.0,0.6676,1.3471,0.433576,"{'original': 9.4, 'alternative': 8.9}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,1.0,6.0,8.0,3.0,2.0,2.0,1.0,,1.0,3.0,2.0,7.0,,1.0,,2.0,,,3.0,2.0,3.0,AGordon,,,,1.0,3.0,1.0,1.0
Alexander Isak,,,alexander-isak,A. Isak,F,9,193,101689,M,823941,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,937872000,"{'value': 124000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألكسندر إيزاك', 'hi': 'अलेक्जेंडर इसाक', 'bn': 'আলেকজান্ডার ইসাক'}, 'shortNameTranslation': {'ar': 'أ. إيزاك', 'hi': 'ए. इसाक', 'bn': 'এ. ইসাক'}}",8.0,7.0,,,2.0,3.0,5.0,5.0,,1.0,,,20.0,14.0,7.4,3.0,0.6043,0.9309,0.0173303,"{'original': 7.4, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,2.0,,1.0,1.0,,,,1.0,,1.0,,,,,,,,1.0,1.0,AlexIsak,,,,,,1.0,
Valentino Livramento,,,valentino-livramento,V. Livramento,D,21,181,4844,M,980634,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1037059200,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فالنتينو ليفرامينتو', 'hi': 'वैलेंटिनो लिवरामेंटो', 'bn': 'ভ্যালেন্টিনো লিভরামেন্টো'}, 'shortNameTranslation': {'ar': 'ف. ليفرامينتو', 'hi': 'वी. लिवरामेंटो', 'bn': 'ভি. লিভরামেন্টো'}}",14.0,12.0,,,8.0,8.0,4.0,7.0,,1.0,,,20.0,19.0,6.7,5.0,0.0,0.0,0.0147823,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,1.0,2.0,2.0,,,,,,,2.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,
Sandro Tonali,,,sandro-tonali,S. Tonali,M,8,181,14020,M,892673,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,957744000,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساندرو تونالي', 'hi': 'सैंड्रो टोनाली', 'bn': 'সান্দ্রো টোনালি'}, 'shortNameTranslation': {'ar': 'س. تونالي', 'hi': 'एस. टोनाली', 'bn': 'এস. টোনালি'}}",32.0,30.0,1.0,,23.0,23.0,9.0,12.0,,1.0,,,20.0,36.0,7.0,3.0,0.0,0.0,0.223712,"{'original': 7, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,3.0,,,1.0,,,,,,,1.0,1.0,,,,,,,2.0,2.0,,,sandrotonali,,,,,,,
Lewis Hall,Lewis Hall,,lewis-hall,L. Hall,D,3,179,4014,M,1136730,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1094601600,"{'value': 30000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس هال', 'hi': 'लुईस हॉल', 'bn': 'লুইস হল'}, 'shortNameTranslation': {'ar': 'ل. هال', 'hi': 'एल. हॉल', 'bn': 'এল. হল'}}",1.0,1.0,,,1.0,1.0,,,,2.0,,,9.0,6.0,6.1,3.0,0.0,0.0,0.00022564,"{'original': 6.1, 'alternative': 5.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,3.0,,1.0,,,,,,,,,,,,,,,,2.0,,lewishall_10,,,,,,,
Martin Dúbravka,,,martin-dubravka,M. Dúbravka,G,1,190,3025,M,42209,"{'alpha2': 'SK', 'alpha3': 'SVK', 'name': 'Slovakia', 'slug': 'slovakia'}",EUR,600825600,"{'value': 725000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارتن دوبرافكا', 'hi': 'मार्टिन डुब्राव्का', 'bn': 'মার্টিন ডুব্রাভকা'}, 'shortNameTranslation': {'ar': 'م. دوبرافكا', 'hi': 'एम. डुब्राव्का', 'bn': 'এম. ডুব্রাভকা'}}",,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaal Lascelles,,,jamaal-lascelles,J. Lascelles,D,6,188,970,M,153444,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,752976000,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جمال لاسيلس', 'hi': 'जमाल लास्केल्स', 'bn': 'জামাল ল্যাস্কেলস'}, 'shortNameTranslation': {'ar': 'ج. لاسيلس', 'hi': 'जे. लास्केल्स', 'bn': 'জে. ল্যাস্কেলস'}}",,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Targett,,,matt-targett,M. Targett,D,3,183,815,M,368134,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,811382400,"{'value': 3200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات تارجيت', 'hi': 'मैट टार्गेट', 'bn': 'ম্যাট টার্গেট'}, 'shortNameTranslation': {'ar': 'م. تارجيت', 'hi': 'एम. टार्गेट', 'bn': 'এম. টার্গেট'}}",,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Murphy,,,jacob-murphy,J. Murphy,F,23,176,3550,M,372336,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,793584000,"{'value': 13800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب مورفي', 'hi': 'जैकब मर्फी', 'bn': 'জ্যাকব মারফি'}, 'shortNameTranslation': {'ar': 'ج. مورفي', 'hi': 'जे. मर्फी', 'bn': 'জে. মারফি'}}",,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
