name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,duelLost,duelWon,dispossessed,totalTackle,wonTackle,unsuccessfulTouch,aerialWon,outfielderBlock,interceptionWon,penaltyConceded,fouls,firstName,lastName,totalCross,accurateCross,challengeLost,totalContest,wonContest,sofascoreId,aerialLost,wasFouled,onTargetScoringAttempt,expectedGoals,expectedGoalsOnTarget,bigChanceMissed,shotOffTarget,goals,keyPass,goalAssist,bigChanceCreated,blockedScoringAttempt,penaltyWon
Ederson,ederson,Ederson,G,31,188,51284,M,254491,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,745545600,"{'value': 16600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}, 'shortNameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}}",32.0,29.0,6.0,3.0,29.0,29.0,,3.0,,10.0,,1.0,,1.0,,90.0,40.0,7.1,3.0,6.718e-05,"{'original': 7.1, 'alternative': 7.2}",0,0.6372,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,Ederson93,,,,,,,,,,,,,
Manuel Akanji,manuel-akanji,M. Akanji,D,25,187,23614,M,383560,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,806112000,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانويل أكانجي', 'hi': 'मैनुअल अकांजी', 'bn': 'ম্যানুয়েল আকানজি'}, 'shortNameTranslation': {'ar': 'م. أكانجي', 'hi': 'एम. अकांजी', 'bn': 'এম. আকানজি'}}",95.0,90.0,6.0,4.0,51.0,53.0,39.0,42.0,1.0,2.0,,,,,,90.0,102.0,7.0,6.0,0.0210918,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,2.0,,2.0,1.0,1.0,,,,,1.0,,,,,1.0,,,manuel_akanji,,,,0.4987,,1.0,1.0,,,,,,
Rúben Dias,ruben-dias,R. Dias,D,3,188,40658,M,318941,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,863568000,"{'value': 65000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبن دياز', 'hi': 'रुबेन डियास', 'bn': 'রুবেন ডায়াস'}, 'shortNameTranslation': {'ar': 'ر. دياز', 'hi': 'आर. डियास', 'bn': 'আর. ডায়াস'}}",90.0,82.0,2.0,1.0,62.0,68.0,20.0,22.0,3.0,1.0,,,,,,90.0,102.0,7.4,8.0,0.00824204,"{'original': 7.4, 'alternative': 7.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,7.0,,1.0,,,6.0,,3.0,,,,,,,,,,RúbenD,1.0,,,,,,,,,,,,
Nathan Aké,nathan-ake,N. Aké,D,6,180,21377,M,149663,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,793065600,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان آكي', 'hi': 'नाथन एके', 'bn': 'নাথান আকে'}, 'shortNameTranslation': {'ar': 'ن. آكي', 'hi': 'एन. एके', 'bn': 'এন. আকে'}}",27.0,25.0,1.0,,13.0,15.0,12.0,12.0,1.0,1.0,,,,,,22.0,31.0,6.7,2.0,0.00486166,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,1.0,,,,,,,,,,nathanake,,,,,,,,,,,,,
Joško Gvardiol,josko-gvardiol,J. Gvardiol,D,24,186,50283,M,964994,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,1011744000,"{'value': 64000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوشكو غفارديول', 'hi': 'जोस्को ग्वार्डिओल', 'bn': 'জোসকো গোওয়ারদিওল'}, 'shortNameTranslation': {'ar': 'ي. غفارديول', 'hi': 'जे. ग्वार्डिओल', 'bn': 'জে. গোওয়ারদিওল'}}",60.0,52.0,2.0,2.0,21.0,25.0,31.0,36.0,,2.0,,,,,,90.0,77.0,8.4,16.0,0.0413788,"{'original': 8.4, 'alternative': 8.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,6.0,,,,,1.0,,,,,,,,1.0,,1.0,4.0,,JGvardiol,1.0,,2.0,0.7648,0.7196,,,2.0,,,,,
Rodri,rodri,Rodri,M,16,191,93944,M,827606,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,835401600,"{'value': 68000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}, 'shortNameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}}",127.0,123.0,12.0,11.0,50.0,51.0,73.0,77.0,1.0,9.0,,,,,,90.0,141.0,7.8,8.0,0.0919119,"{'original': 7.8, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,4.0,,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,,4.0,2.0,Rodri,,1.0,,0.0359,,,1.0,,1.0,,,,
Mateo Kovačić,mateo-kovacic,M. Kovačić,M,8,178,34246,M,136710,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,768182400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتيو كوفاسيتش', 'hi': 'माटेओ कोवासिक', 'bn': 'মাতেও কোভাসিক'}, 'shortNameTranslation': {'ar': 'م. كوفاسيتش', 'hi': 'एम. कोवासिक', 'bn': 'এম. কোভাসিচ'}}",100.0,97.0,3.0,3.0,37.0,37.0,60.0,63.0,,4.0,,,,,,82.0,106.0,7.2,5.0,0.114338,"{'original': 7.2, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,,2.0,,,,,,1.0,,,,,,,1.0,,,Kova8,1.0,,,,,,,,1.0,,,,
Bernardo Silva,bernardo-silva,B. Silva,M,20,173,65986,M,331209,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,776476800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرناردو سيلفا', 'hi': 'बर्नार्डो सिल्वा', 'bn': 'বার্নার্ডো সিলভা'}, 'shortNameTranslation': {'ar': 'ب. سيلفا', 'hi': 'बी. सिल्वा', 'bn': 'বি. সিলভা'}}",70.0,65.0,4.0,3.0,32.0,32.0,33.0,39.0,2.0,5.0,,,,,,90.0,91.0,8.7,10.0,0.603516,"{'original': 8.7, 'alternative': 8.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,4.0,2.0,,,2.0,1.0,,,,,,,1.0,,1.0,2.0,2.0,BSilva,,1.0,2.0,0.1721,0.4093,,,,4.0,2.0,1.0,1.0,
Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,11,181,335100,M,70996,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,678067200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيفن دي بروين', 'hi': 'केविन डी ब्रूने', 'bn': 'কেভিন ডি ব্রুইন'}, 'shortNameTranslation': {'ar': 'ك. دي بروين', 'hi': 'के. डी ब्रूने', 'bn': 'কে. ডি ব্রুইন'}}",42.0,31.0,3.0,1.0,4.0,4.0,31.0,43.0,,4.0,,,,,,75.0,60.0,8.0,20.0,0.557562,"{'original': 8, 'alternative': 7.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,7.0,1.0,3.0,,,2.0,1.0,,,,,,,5.0,4.0,1.0,3.0,,KDB,,,1.0,0.1167,0.3445,,,,7.0,1.0,3.0,1.0,
Phil Foden,phil-foden,P. Foden,M,47,171,188988,M,859765,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,959472000,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيل فودين', 'hi': 'फिल फोडेन', 'bn': 'ফিল ফোডেন'}, 'shortNameTranslation': {'ar': 'ف. فودين', 'hi': 'पी. फोडेन', 'bn': 'পি. ফোডেন'}}",43.0,39.0,1.0,,12.0,13.0,27.0,30.0,1.0,,,,,,,82.0,56.0,7.8,8.0,0.143976,"{'original': 7.8, 'alternative': 7.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,3.0,1.0,2.0,2.0,3.0,,,,,,,,,,2.0,,,Foden,1.0,1.0,2.0,0.1868,0.4524,,,1.0,2.0,,,,
