name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wonTackle,totalCross,accurateCross,outfielderBlock,errorLeadToAShot,unsuccessfulTouch,keyPass,blockedScoringAttempt,wasFouled,bigChanceMissed,onTargetScoringAttempt,fouls,shotOffTarget,totalOffside,challengeLost,bigChanceCreated,goals,errorLeadToAGoal,goalAssist,penaltyWon,penaltyFaced,punches,penaltyConceded,clearanceOffLine
Raúl Jiménez,,,raul-jimenez,R. Jiménez,F,7,189,16724,M,RJimenez9,192442,"{'alpha2': 'MX', 'alpha3': 'MEX', 'name': 'Mexico', 'slug': 'mexico'}",EUR,673401600,"{'value': 4200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'راؤول خيمينيز', 'hi': 'राउल जिमेनेज़', 'bn': 'রাউল জিমেনেজ'}, 'shortNameTranslation': {'ar': 'ر. خيمينيز', 'hi': 'आर. जिमेनेज़', 'bn': 'আর. জিমেনেজ'}}",23.0,12.0,2.0,,9.0,11.0,3.0,12.0,3.0,,,,,90.0,42.0,7.1,15.0,0.1324,0.0,0.00579651,"{'original': 7.1, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,8.0,8.0,12.0,1.0,,,2.0,,3.0,3.0,,,2.0,,3.0,,1.0,1.0,,,2.0,1.0,1.0,1.0,,,,,,,,,
Bobby Decordova-Reid,,,bobby-decordova-reid,B. Reid,M,14,170,1202,M,,151499,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,728611200,"{'value': 1400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبي ديكوردوفا-ريد', 'hi': 'बॉबी डेकोर्डोवा-रीड', 'bn': 'ববি ডেকোরডোভা-রিড'}, 'shortNameTranslation': {'ar': 'ب. ريد', 'hi': 'बी. डेकोर्डोवा-रीड', 'bn': 'বি. রিড'}}",16.0,11.0,1.0,,5.0,7.0,6.0,13.0,1.0,,,,,89.0,26.0,6.5,11.0,0.0,0.0,0.0265843,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,1.0,1.0,2.0,,1.0,,,,,,4.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,
Tom Cairney,,,tom-cairney,T. Cairney,M,10,185,480,M,,82566,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,664329600,"{'value': 795000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توم كايرني', 'hi': 'टॉम केर्नी', 'bn': 'টম কেয়ারনে'}, 'shortNameTranslation': {'ar': 'ت. كايرني', 'hi': 'टी. केर्नी', 'bn': 'টি. কেয়ারনে'}}",13.0,10.0,3.0,1.0,4.0,7.0,6.0,6.0,2.0,,,,,27.0,14.0,6.4,3.0,0.0,0.0,0.0075455,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison Reed,,,harrison-reed,H. Reed,M,6,176,269,M,,365802,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,791164800,"{'value': 3200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاريسون ريد', 'hi': 'हैरिसन रीड', 'bn': 'হ্যারিসন রিড'}, 'shortNameTranslation': {'ar': 'ه. ريد', 'hi': 'एच. रीड', 'bn': 'এইচ. রিড'}}",5.0,3.0,,,3.0,4.0,1.0,3.0,,,,,,20.0,7.0,6.7,3.0,0.0,0.0,0.0309221,"{'original': 6.7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,2.0,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,
Adama Traoré,,,adama-traore,A. Traoré,F,11,178,10385,M,adamatrd,286165,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,822528000,"{'value': 7700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أداما تراوري', 'hi': 'एडाम ट्राओरे', 'bn': 'আদামা ট্রাওরে'}, 'shortNameTranslation': {'ar': 'أ. تراوري', 'hi': 'ए. ट्राओरे', 'bn': 'এ. ট্রাওরে'}}",2.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,19.0,8.0,6.1,4.0,0.205,0.059,0.00059822,"{'original': 6.1, 'alternative': 6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,2.0,,1.0,1.0,,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,
Tosin Adarabioyo,,,tosin-adarabioyo,T. Adarabioyo,D,4,196,10404,M,tosinadarabioyo,352668,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,875059200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توسين أدارابايو', 'hi': 'टोसिन अदाराबियोयो', 'bn': 'তোসিন আদারাবিয়োয়ো'}, 'shortNameTranslation': {'ar': 'ت. أدارابايو', 'hi': 'टी. अदाराबियोयो', 'bn': 'টি. আদারাবিয়োয়ো'}}",,,,,,,,,,,,,,11.0,5.0,6.9,,0.0,0.0,0.0,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Marek Rodák,,,marek-rodak,M. Rodák,G,1,188,425,M,,358694,"{'alpha2': 'SK', 'alpha3': 'SVK', 'name': 'Slovakia', 'slug': 'slovakia'}",EUR,850435200,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماريك روداك', 'hi': 'मारेक रोडाक', 'bn': 'মারেক রডাক'}, 'shortNameTranslation': {'ar': 'م. روداك', 'hi': 'एम. रोडाक', 'bn': 'এম. রডাক'}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Mbabu,,,kevin-mbabu,K. Mbabu,D,43,184,789,M,,227900,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,798249600,"{'value': 3200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيفين مبابو', 'hi': 'केविन मबाबू', 'bn': 'কেভিন এমবাবু'}, 'shortNameTranslation': {'ar': 'ك. مبابو', 'hi': 'के. मबाबू', 'bn': 'কে. এমবাবু'}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Harris,,,luke-harris,L. Harris,M,12,177,230,M,,1134729,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,1112486400,"{'value': 1000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوك هاريس', 'hi': 'ल्यूक हैरिस', 'bn': 'লুক হ্যারিস'}, 'shortNameTranslation': {'ar': 'ل. هاريس', 'hi': 'एल. हैरिस', 'bn': 'এল. হ্যারিস'}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo Muniz,,,rodrigo-muniz,R. Muniz,F,9,184,4513,M,RodrigoMuniz019,1015256,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,988934400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودريغو مونيز', 'hi': 'रोड्रिगो मुनिज़', 'bn': 'রদ্রিগো মুনিজ'}, 'shortNameTranslation': {'ar': 'ر. مونيز', 'hi': 'आर. मुनिज़', 'bn': 'আর. মুনিজ'}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Vinícius,,,carlos-vinicius,C. Vinícius,F,95,190,4988,M,,891920,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,796089600,"{'value': 4900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كارلوس فينيسيوس', 'hi': 'कार्लोस विनीसियस', 'bn': 'কার্লোস ভিনিসিয়াস'}, 'shortNameTranslation': {'ar': 'ك. فينيسيوس', 'hi': 'सी. विनीसियस', 'bn': 'সি. ভিনিসিয়াস'}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
