name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalClearance,outfielderBlock,lastManTackle,totalTackle,wonTackle,unsuccessfulTouch,totalCross,onTargetScoringAttempt,blockedScoringAttempt,expectedGoals,expectedGoalsOnTarget,keyPass,challengeLost,interceptionWon,wasFouled,totalContest,wonContest,shotOffTarget,fouls,totalOffside,accurateCross,goodHighClaim,punches,goalAssist,bigChanceCreated,goals
Rasmus Højlund,,,rasmus-hojlund,R. Højlund,F,19,191,71511,M,RHøjlund,1086417,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,1044316800,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'راسموس هويجلوند', 'hi': 'रस्मस होजलंड', 'bn': 'রাসমাস হলান্ড'}, 'shortNameTranslation': {'ar': 'راسموس هوجلوند', 'hi': 'रासमस होजलंड', 'bn': 'রাসমাস হলান্ড'}}",10.0,9.0,,,1.0,1.0,8.0,9.0,2.0,,,88.0,17.0,6.5,5.0,0.00927888,"{'original': 6.5, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,1.0,7.0,1.0,3.0,,,,,,1.0,,,,0.086,,1.0,,,,,,1.0,1.0,1.0,,,,,,
Antony,,,antony,Antony,M,7,172,222476,M,Antony,958380,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,951350400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}}",10.0,9.0,,,1.0,1.0,8.0,9.0,3.0,,,20.0,19.0,7.0,1.0,0.00970644,"{'original': 7, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,2.0,,2.0,1.0,,,,,1.0,,,,1.0,,0.0408,0.0593,1.0,,1.0,,,,,1.0,,,,,,,
Willy Kambwala,Willy Kambwala,,kambwala-willy,W. Kambwala,D,5,192,2092,M,,1136721,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1093392000,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كامبوالا، ويلي', 'hi': 'कम्बवाला, विली', 'bn': 'কাম্বওয়ালা, উইলি'}, 'shortNameTranslation': {'ar': 'و. كامبوالا', 'hi': 'डब्लू. कम्बवाला', 'bn': 'ডব্লিউ. কাম্বওয়ালা'}}",15.0,12.0,2.0,,3.0,5.0,9.0,10.0,1.0,,,15.0,18.0,6.7,3.0,0.00421109,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
Christian Eriksen,,,christian-eriksen,C. Eriksen,M,24,182,22138,M,chriseriksen8,105734,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,698025600,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان إريكسن', 'hi': 'क्रिस्टियन एरिक्सन', 'bn': 'ক্রিশ্চিয়ান এরিকসেন'}, 'shortNameTranslation': {'ar': 'ك. إريكسن', 'hi': 'सी. एरिक्सन', 'bn': 'সি. এরিকসেন'}}",9.0,8.0,,,3.0,3.0,5.0,6.0,,,,10.0,10.0,6.6,1.0,0.00202999,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Omari Forson,,,forson-omari,O. Forson,M,20,179,1079,M,,1153434,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1090281600,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فورسون، أوماري', 'hi': 'फ़ोरसन, ओमारी', 'bn': 'ফোরসন, ওমারি'}, 'shortNameTranslation': {'ar': 'ف. أوماري', 'hi': 'ओ. फ़ोरसन', 'bn': 'ও. ফোরসন'}}",7.0,7.0,,,1.0,1.0,6.0,6.0,,,,10.0,8.0,6.7,,0.00444114,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
Ethan Wheatley,,,wheatley-ethan,E. Wheatley,F,19,187,4462,M,,1426625,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1137715200,"{'value': 155000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويتلي، إيثان', 'hi': 'व्हीटली, एथन', 'bn': 'হুইটলি, ইথান'}, 'shortNameTranslation': {'ar': 'إ. ويتلي', 'hi': 'ई. व्हीटली', 'bn': 'ই. হুইটলি'}}",,,,,,,,,,,,9.0,1.0,6.5,,,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altay Bayındır,,,altay-bayindir,A. Bayındır,G,1,198,15058,M,altaybayindir,815890,"{'alpha2': 'TR', 'alpha3': 'TUR', 'name': 'Türkiye', 'slug': 'turkiye'}",EUR,892512000,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألتاي بايندر', 'hi': 'अल्ताय बय्यन्दिर', 'bn': 'আলতায় বেয়ান্দির'}, 'shortNameTranslation': {'ar': 'أ. بايندر', 'hi': 'ए. बय्यन्दिर', 'bn': 'এ. বেয়ান্দির'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Habeeb Ogunneye,Habeeb Ogunneye,,ogunneye-habeeb,H. Ogunneye,D,22,180,882,M,,1150926,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1131753600,"{'value': 77000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوغوناي، حبيب'}, 'shortNameTranslation': {'ar': 'ح. أوغوناي'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Amass,Harry Amass,,amass-harry,H. Amass,D,12,181,6272,M,,1461595,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1174003200,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أماس، هاري', 'hi': 'अमास, हैरी', 'bn': 'অ্যামাস, হ্যারি'}, 'shortNameTranslation': {'ar': 'ه. أماس', 'hi': 'एच. अमास', 'bn': 'এইচ. আমাস'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toby Collyer,Toby Collyer,,toby-collyer,T. Collyer,M,13,180,7416,M,tobycollyer,1084356,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1073088000,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توبي كوليير', 'hi': 'टोबी कोलियर', 'bn': 'টবি কলিয়ার'}, 'shortNameTranslation': {'ar': 'ت. كوليير', 'hi': 'टी. कोलियर', 'bn': 'টি. কলিয়ার'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Raya,,,david-raya,D. Raya,G,1,183,25247,M,d_raya1,581310,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,811123200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد رايا', 'hi': 'डेविड राया', 'bn': 'ডেভিড রায়া'}, 'shortNameTranslation': {'ar': 'د. رايا', 'hi': 'डी. राया', 'bn': 'ডি. রায়া'}}",46.0,31.0,23.0,8.0,24.0,26.0,7.0,20.0,11.0,,2.0,90.0,57.0,7.2,15.0,0.00270476,"{'original': 7.2, 'alternative': 7.3}",0,0.1279,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
Ben White,,,benjamin-white,B. White,D,4,186,13312,M,benwhite,846036,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,876268800,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بنيامين وايت', 'hi': 'बेंजामिन व्हाइट', 'bn': 'বেঞ্জামিন হোয়াইট'}, 'shortNameTranslation': {'ar': 'ب. وايت', 'hi': 'बी. व्हाइट', 'bn': 'বি. হোয়াইট'}}",52.0,43.0,2.0,,24.0,29.0,19.0,23.0,4.0,,,90.0,74.0,7.5,13.0,0.05239,"{'original': 7.5, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,7.0,3.0,,1.0,2.0,,2.0,1.0,1.0,,,,0.034,,1.0,6.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,
William Saliba,,,william-saliba,W. Saliba,D,2,193,43547,M,WSaliba4,941168,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,985392000,"{'value': 85000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليام صاليبا', 'hi': 'विलियम सलीबा', 'bn': 'উইলিয়াম সালিবা'}, 'shortNameTranslation': {'ar': 'و. صاليبا', 'hi': 'डब्लू. सलीबा', 'bn': 'ডব্লিউ. সালিবা'}}",84.0,76.0,2.0,,60.0,63.0,16.0,21.0,2.0,,,90.0,99.0,7.8,8.0,0.00362806,"{'original': 7.8, 'alternative': 7.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,,7.0,,6.0,1.0,1.0,4.0,3.0,,,,,0.0421,,,,,,,,1.0,,,,,,,,
Gabriel Magalhães,,,gabriel-magalhaes,Gabriel,D,6,190,45357,M,GabrielMagalhães,869792,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,882489600,"{'value': 70000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل ماغاليس', 'hi': 'गेब्रियल मैगलहेस', 'bn': 'গ্যাব্রিয়েল ম্যাগালহায়েস'}, 'shortNameTranslation': {'ar': 'غابرييل', 'hi': 'गेब्रियल मैगलहेस', 'bn': 'গ্যাব্রিয়েল'}}",59.0,55.0,3.0,1.0,45.0,46.0,10.0,13.0,1.0,,,90.0,67.0,7.5,4.0,0.00873227,"{'original': 7.5, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,1.0,3.0,,2.0,2.0,,1.0,1.0,,,,,0.167,,,,,1.0,,,1.0,,,,,,,,
Takehiro Tomiyasu,,,tomiyasu-takehiro,T. Tomiyasu,D,,188,10832,M,tomiyasu_t,804434,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,910224000,"{'value': 12900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تومياسو، تاكيهيرو', 'hi': 'तोमियासू, ताकेहीरो', 'bn': 'তোমিয়াসু, তাকেহিরো'}, 'shortNameTranslation': {'ar': 'ت. تومياسو', 'hi': 'टी. ताकेहीरो', 'bn': 'টি. তোমিয়াসু'}}",18.0,15.0,2.0,2.0,12.0,12.0,3.0,6.0,3.0,,,90.0,38.0,6.9,9.0,0.175095,"{'original': 6.9, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,2.0,5.0,,2.0,,,3.0,1.0,,,,1.0,0.0227,,,,,1.0,1.0,,,1.0,,,,,,,
Martin Ødegaard,,,martin-odegaard,M. Ødegaard,M,8,178,81763,M,Ødegaard,547410,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,913852800,"{'value': 82000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارتن أوديغارد', 'hi': 'मार्टिन ओडेगार्ड', 'bn': 'মার্টিন ওডেগার্ড'}, 'shortNameTranslation': {'ar': 'م. أوديغارد', 'hi': 'एम. ओडेगार्ड', 'bn': 'এম. ওডেগার্ড'}}",32.0,26.0,1.0,1.0,6.0,7.0,20.0,27.0,3.0,,,89.0,46.0,6.9,12.0,0.0376174,"{'original': 6.9, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,1.0,,7.0,4.0,2.0,,,,2.0,,1.0,2.0,1.0,,0.0809,0.0766,1.0,3.0,1.0,,3.0,2.0,,,,,,,,,
Thomas Partey,,,thomas-partey,T. Partey,M,16,185,46092,M,TPartey5,316148,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,739929600,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس بارتي', 'hi': 'थॉमस पार्टी', 'bn': 'টমাস পার্টি'}, 'shortNameTranslation': {'ar': 'ت. بارتي', 'hi': 'टी. पार्टी', 'bn': 'টি. পার্টি'}}",40.0,37.0,3.0,1.0,26.0,26.0,11.0,14.0,4.0,,,89.0,47.0,6.9,4.0,0.0203269,"{'original': 6.9, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,1.0,2.0,,1.0,,,2.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,
Declan Rice,,,declan-rice,D. Rice,M,41,188,60954,M,DeclanRice,856714,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,916272000,"{'value': 114000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديكلان رايس', 'hi': 'डेक्लान राइस', 'bn': 'ডেক্লান রাইস'}, 'shortNameTranslation': {'ar': 'د. رايس', 'hi': 'डी. राइस', 'bn': 'ডি. রাইস'}}",31.0,28.0,1.0,1.0,16.0,17.0,13.0,15.0,2.0,,,90.0,42.0,7.0,5.0,0.0957697,"{'original': 7, 'alternative': 7.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,4.0,2.0,,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,0.1373,0.1173,1.0,2.0,,,1.0,,,1.0,,1.0,,,,,
Bukayo Saka,,,bukayo-saka,B. Saka,F,7,178,187094,M,BSaka7,934235,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,999648000,"{'value': 136000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوكايو ساكا', 'hi': 'बुकायो साका', 'bn': 'বুকায়ো সাকা'}, 'shortNameTranslation': {'ar': 'ب. ساكا', 'hi': 'बी. साका', 'bn': 'বি. সাকা'}}",27.0,19.0,,,5.0,8.0,16.0,25.0,4.0,,,82.0,55.0,7.4,17.0,0.267065,"{'original': 7.4, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,8.0,7.0,2.0,2.0,,,2.0,1.0,1.0,6.0,1.0,1.0,0.3463,0.0311,3.0,2.0,1.0,2.0,5.0,3.0,,2.0,,2.0,,,,,
Kai Havertz,,,kai-havertz,K. Havertz,F,29,193,71176,M,KaiHav,836705,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,929059200,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاي هافرتز', 'hi': 'काई हावर्ट्ज़', 'bn': 'কাই হাভার্টজ'}, 'shortNameTranslation': {'ar': 'ك. هافيرتز', 'hi': 'के. हावर्ट्ज़', 'bn': 'কে. হাভার্টজ'}}",26.0,15.0,1.0,1.0,6.0,10.0,9.0,16.0,3.0,,,90.0,38.0,7.1,15.0,0.600385,"{'original': 7.1, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,10.0,5.0,14.0,8.0,1.0,1.0,,,2.0,,2.0,,,,,,2.0,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0,1.0,
