name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,duelLost,duelWon,totalContest,wonContest,aerialWon,shotOffTarget,blockedScoringAttempt,outfielderBlock,interceptionWon,expectedGoals,lastManTackle,totalTackle,wonTackle,wasFouled,firstName,lastName,totalCross,bigChanceMissed,onTargetScoringAttempt,unsuccessfulTouch,expectedGoalsOnTarget,keyPass,accurateCross,challengeLost,dispossessed,fouls,hitWoodwork,bigChanceCreated,goals,goalAssist
Nicolas Jackson,nicolas-jackson,N. Jackson,F,11,186,86972,M,NJackson11,1085381,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,992995200,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس جاكسون', 'hi': 'निकोलस जैक्सन', 'bn': 'নিকোলাস জ্যাকসন'}, 'shortNameTranslation': {'ar': 'ن. جاكسون', 'hi': 'एन. जैक्सन', 'bn': 'এন. জ্যাকসন'}}",29.0,24.0,,,5.0,7.0,19.0,22.0,1.0,1.0,,,,,,90.0,44.0,6.9,12.0,0.0597021,"{'original': 6.9, 'alternative': 6.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,8.0,4.0,2.0,2.0,1.0,2.0,1.0,,,0.1095,,,,1.0,Nicolas Jackson,,,,,3.0,,2.0,,,4.0,2.0,,,,
Ian Maatsen,ian-maatsen,I. Maatsen,D,22,178,5423,M,maatsen_,976263,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1015718400,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيان ماتسين', 'hi': 'इयान मात्सेन', 'bn': 'ইয়ান মাতসেন'}, 'shortNameTranslation': {'ar': 'إ. ماتسين', 'hi': 'आई. मात्सेन', 'bn': 'আই. মাতসেন'}}",23.0,18.0,1.0,,3.0,4.0,15.0,20.0,2.0,1.0,,,,,,23.0,35.0,6.7,10.0,0.0364232,"{'original': 6.7, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,3.0,1.0,1.0,,,,,,2.0,,,1.0,1.0,,,,1.0,,,1.0,,,,,,1.0,,,,
Reece James,reece-james,R. James,D,24,180,50164,M,ReeceJ,885908,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,944611200,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريس جيمس', 'hi': 'रीस जेम्स', 'bn': 'রিস জেমস'}, 'shortNameTranslation': {'ar': 'ر. جيمس', 'hi': 'आर. जेम्स', 'bn': 'আর. জেমস'}}",23.0,20.0,,,6.0,6.0,15.0,20.0,,1.0,,,,,,23.0,35.0,6.9,6.0,0.313994,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,2.0,2.0,2.0,1.0,,,1.0,,,0.0719,,1.0,,,,,3.0,,,,,1.0,1.0,,,1.0,,1.0,,
Lesley Ugochukwu,lesley-ugochukwu,L. Ugochukwu,M,8,188,5188,M,l.ugochukwu8,1048916,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1080259200,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليزلي أوغوتشوكوو', 'hi': 'लेस्ली उगोचुकु', 'bn': 'লেসলি উগোচুকউ'}, 'shortNameTranslation': {'ar': 'ل. أوغوتشوكوو', 'hi': 'एल. उगोचुकु', 'bn': 'এল. উগোচুকউ'}}",9.0,8.0,,,2.0,3.0,6.0,6.0,,,,,,,,9.0,10.0,6.6,1.0,0.0112715,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,1.0,2.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
Deivid Washington,deivid-washington,D. Washington,F,33,186,7071,M,deividwashington_,1485371,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1117929600,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد واشنطن', 'hi': 'डेविड वॉशिंगटन', 'bn': 'ডেভিড ওয়াশিংটন'}, 'shortNameTranslation': {'ar': 'د. واشنطن', 'hi': 'डी. वॉशिंगटन', 'bn': 'ডি. ওয়াশিংটন'}}",1.0,1.0,,,1.0,1.0,,,,,,,,,,9.0,5.0,6.6,1.0,2.42e-05,"{'original': 6.6, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,2.0,1.0,,,,1.0,,,,0.4659,,1.0,1.0,,Deivid Washington,,,,,,,,,1.0,1.0,,,,,
Đorđe Petrović,dorde-petrovic,Đ. Petrović,G,1,194,8808,M,dj.petrovic12,882604,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia', 'slug': 'serbia'}",EUR,939340800,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوردي بيتروفيتش', 'hi': 'डोरे पेट्रोविक', 'bn': 'ডোরে পেট্রোভিচ'}, 'shortNameTranslation': {'ar': 'د. بيتروفيتش', 'hi': 'डी. पेट्रोविक', 'bn': 'ডি. পেট্রোভিচ'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddie Beach,beach-eddie,E. Beach,G,30,196,271,M,,1632524,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,1065657600,"{'value': 215000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيتش، إيدي'}, 'shortNameTranslation': {'ar': 'إ. بيتش'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benoît Badiashile,benoit-badiashile,B. Badiashile,D,5,194,10333,M,badiashile,904827,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,985564800,"{'value': 17400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بينوا بادياشيل', 'hi': 'बेनोइट बाडियाशिले', 'bn': 'বেনেডিক্ট বাদিয়াশিলে'}, 'shortNameTranslation': {'ar': 'ب. بادياشيل', 'hi': 'बी. बाडियाशिले', 'bn': 'বি.বাদিয়াশিলে'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malo Gusto,gusto-malo,M. Gusto,D,27,179,18882,M,malogst,996958,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1053302400,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوستو، مالو', 'hi': 'गुस्टो, मालो', 'bn': 'গুস্টো, মালো'}, 'shortNameTranslation': {'ar': 'م. جوستو', 'hi': 'एम. गुस्टो', 'bn': 'এম. গুস্টো'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Matos,matos-alex,A. Matos,M,28,175,600,M,,1186050,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1096761600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتوس، أليكس', 'hi': 'माटोस, एलेक्स', 'bn': 'মাতোস, অ্যালেক্স'}, 'shortNameTranslation': {'ar': 'أ. ماتوس', 'hi': 'ए. माटोस', 'bn': 'এ. মাতোস'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Flekken,mark-flekken,M. Flekken,G,1,194,2871,M,,171919,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,739929600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك فليكين', 'hi': 'मार्क फ्लेकेन', 'bn': 'মার্ক ফ্লেককেন'}, 'shortNameTranslation': {'ar': 'م. فليكين', 'hi': 'एम. फ्लेकेन', 'bn': 'এম. ফ্লেকেন'}}",43.0,28.0,21.0,7.0,21.0,24.0,7.0,19.0,,8.0,,1.0,2.0,,,90.0,50.0,7.1,15.0,0.0602024,"{'original': 7.1, 'alternative': 7.4}",0,0.7577,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristoffer Ajer,kristoffer-ajer,K. Ajer,D,20,196,1118,M,,576384,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,892771200,"{'value': 17300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستوفر آجير', 'hi': 'क्रिस्टोफ़र अजेर', 'bn': 'ক্রিস্টোফার আজের'}, 'shortNameTranslation': {'ar': 'ك. آجير', 'hi': 'के. अजेर', 'bn': 'কে. আজের'}}",29.0,23.0,4.0,2.0,12.0,12.0,11.0,17.0,4.0,1.0,,,,,,90.0,52.0,7.7,9.0,0.125433,"{'original': 7.7, 'alternative': 7.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,2.0,7.0,2.0,2.0,2.0,,,,,,,2.0,1.0,1.0,,,,,,1.0,,2.0,,1.0,,,,1.0,,
Ethan Pinnock,ethan-pinnock,E. Pinnock,D,5,194,1038,M,,855864,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,738633600,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيثان بينوك', 'hi': 'एथन पिनॉक', 'bn': 'ইথান পিনক'}, 'shortNameTranslation': {'ar': 'إ. بينوك', 'hi': 'ई. पिनॉक', 'bn': 'ই. পিনক'}}",33.0,28.0,5.0,3.0,25.0,25.0,3.0,8.0,8.0,1.0,,,,,,90.0,47.0,8.2,6.0,0.0725139,"{'original': 8.2, 'alternative': 8.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,3.0,8.0,1.0,1.0,5.0,,,1.0,,0.1928,,2.0,2.0,,,,,,1.0,,0.3733,,,1.0,1.0,,,,1.0,
Nathan Collins,nathan-collins,N. Collins,D,22,193,1469,M,,958916,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,988588800,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان كولينز', 'hi': 'नाथन कोलिन्स', 'bn': 'নাথান কলিন্স'}, 'shortNameTranslation': {'ar': 'ن. كولينز', 'hi': 'एन. कोलिन्स', 'bn': 'এন. কলিন্স'}}",48.0,36.0,6.0,1.0,30.0,37.0,6.0,11.0,5.0,7.0,,,,,,90.0,71.0,7.5,14.0,0.00207098,"{'original': 7.5, 'alternative': 7.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,7.0,2.0,1.0,2.0,,,1.0,3.0,,,2.0,1.0,2.0,,,,,,1.0,,,,,,,,,,
Mads Roerslev,mads-roerslev,M. Roerslev,D,2,184,470,M,,826057,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,930182400,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مادس روزرفيل', 'hi': 'मैड्स रोर्सलेव', 'bn': 'ম্যাডস রোয়ার্সলেভ'}, 'shortNameTranslation': {'ar': 'م. روزرفيل', 'hi': 'एम. रोर्सलेव', 'bn': 'এম. রোয়ার্সলেভ'}}",32.0,19.0,6.0,2.0,13.0,20.0,7.0,15.0,8.0,9.0,,,,,,90.0,49.0,6.5,17.0,0.0528577,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,5.0,1.0,,,,,,,,,,1.0,,,Mads,Roerslev,3.0,,,,,,1.0,3.0,1.0,,,,,
Mathias Jensen,mathias-jensen,M. Jensen,M,8,180,973,M,,799251,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,820454400,"{'value': 12500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جينسين، ماتياس', 'hi': 'जेन्सेन, मैथियास', 'bn': 'জেনসেন, ম্যাথিয়াস'}, 'shortNameTranslation': {'ar': 'م. جينسين', 'hi': 'एम. जेन्सेन', 'bn': 'এম. জেনসেন'}}",18.0,13.0,1.0,,7.0,8.0,6.0,10.0,,5.0,,,,,,64.0,31.0,6.4,12.0,0.00402427,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,4.0,3.0,1.0,,,,,,,,,2.0,,1.0,,,,,,4.0,,,,2.0,,1.0,,,,
Christian Nørgaard,christian-norgaard,C. Nørgaard,M,16,185,8776,M,,135256,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,763257600,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان نورغارد', 'hi': 'क्रिश्चियन नॉरगार्ड', 'bn': 'ক্রিশ্চিয়ান নরগার্ড'}, 'shortNameTranslation': {'ar': 'ك. نورغارد', 'hi': 'सी. नॉरगार्ड', 'bn': 'সি. নরগার্ড'}}",40.0,30.0,5.0,2.0,18.0,23.0,12.0,17.0,3.0,9.0,,,,,,90.0,56.0,6.9,11.0,0.00684166,"{'original': 6.9, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,1.0,6.0,6.0,1.0,1.0,,,,,2.0,,,2.0,2.0,3.0,,,,,,,,,,4.0,1.0,,,,,
Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184,1013,M,,814873,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,894758400,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي جانيلت', 'hi': 'विटाली जेनेल्ट', 'bn': 'ভিটালি জেনেল্ট'}, 'shortNameTranslation': {'ar': 'ف. جانيلت', 'hi': 'वी. जेनेल्ट', 'bn': 'ভি. জেনেল্ট'}}",23.0,17.0,3.0,,10.0,14.0,7.0,9.0,2.0,3.0,,,,,,76.0,31.0,6.5,7.0,0.0125241,"{'original': 6.5, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,3.0,,,,,,,,0.2603,,2.0,1.0,1.0,,,,1.0,1.0,1.0,0.3071,,,2.0,,,,,,
Aaron Hickey,hickey-aaron,A. Hickey,D,2,185,849,M,,966869,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,1023667200,"{'value': 16500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هيكي، آرون', 'hi': 'हिक्की, आरोन', 'bn': 'হিকি, অ্যারন'}, 'shortNameTranslation': {'ar': 'آ. هيكي', 'hi': 'ए. हिक्की', 'bn': 'এ. হিকি'}}",20.0,18.0,1.0,1.0,11.0,11.0,7.0,9.0,1.0,3.0,,,,,,84.0,34.0,7.1,5.0,0.00458312,"{'original': 7.1, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,5.0,,,,,,2.0,1.0,,,2.0,,3.0,,,,,,3.0,,,,,,,,,,
Bryan Mbeumo,bryan-mbeumo,B. Mbeumo,M,19,173,89920,M,bryan_m19,927083,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,933984000,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برايان مبيومو', 'hi': 'ब्रायन मबेउमो', 'bn': 'ব্রায়ান এমবেউমো'}, 'shortNameTranslation': {'ar': 'ب. مبيومو', 'hi': 'बी. मबेउमो', 'bn': 'বি. এমবেউমো'}}",22.0,12.0,1.0,,5.0,8.0,8.0,16.0,,2.0,,,,,,90.0,36.0,8.1,13.0,0.292597,"{'original': 8.1, 'alternative': 8}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,6.0,5.0,3.0,1.0,3.0,1.0,1.0,,,1.2198,,1.0,1.0,,,,2.0,1.0,2.0,,0.4534,1.0,1.0,,,1.0,,1.0,1.0,1.0
