match_id,season_id,matchday,date,time,home_team,away_team,home_score,away_score,result,goal_diff,is_played
2026_25_DVSC_NYIREGYHAZA,2026,25,2027-03-13,,Debreceni VSC,Nyíregyháza Spartacus,,,,,False
2026_25_ETO_FTC,2026,25,2027-03-13,,ETO FC,Ferencvárosi TC,,,,,False
2026_26_DVSC_ETO,2026,26,2027-03-20,,Debreceni VSC,ETO FC,,,,,False
2026_26_NYIREGYHAZA_KISVARDA,2026,26,2027-03-20,,Nyíregyháza Spartacus,Kisvárda FC,,,,,False
2026_26_UJPEST_MTK,2026,26,2027-03-20,,Újpest FC,MTK Budapest,,,,,False
2026_26_PUSKAS_PAKS,2026,26,2027-03-20,,Puskás Akadémia FC,Paksi FC,,,,,False
2026_26_HONVED_VASAS,2026,26,2027-03-20,,Budapest Honvéd FC,Vasas FC,,,,,False
2026_26_ZTE_FTC,2026,26,2027-03-20,,Zalaegerszegi TE FC,Ferencvárosi TC,,,,,False
2026_27_VASAS_PUSKAS,2026,27,2027-04-03,,Vasas FC,Puskás Akadémia FC,,,,,False
2026_27_PAKS_UJPEST,2026,27,2027-04-03,,Paksi FC,Újpest FC,,,,,False
2026_27_MTK_NYIREGYHAZA,2026,27,2027-04-03,,MTK Budapest,Nyíregyháza Spartacus,,,,,False
2026_27_KISVARDA_DVSC,2026,27,2027-04-03,,Kisvárda FC,Debreceni VSC,,,,,False
2026_27_FTC_HONVED,2026,27,2027-04-03,,Ferencvárosi TC,Budapest Honvéd FC,,,,,False
2026_27_ETO_ZTE,2026,27,2027-04-03,,ETO FC,Zalaegerszegi TE FC,,,,,False
2026_28_KISVARDA_ETO,2026,28,2027-04-10,,Kisvárda FC,ETO FC,,,,,False
2026_28_DVSC_MTK,2026,28,2027-04-10,,Debreceni VSC,MTK Budapest,,,,,False
2026_28_NYIREGYHAZA_PAKS,2026,28,2027-04-10,,Nyíregyháza Spartacus,Paksi FC,,,,,False
2026_28_UJPEST_VASAS,2026,28,2027-04-10,,Újpest FC,Vasas FC,,,,,False
2026_28_PUSKAS_FTC,2026,28,2027-04-10,,Puskás Akadémia FC,Ferencvárosi TC,,,,,False
2026_28_HONVED_ZTE,2026,28,2027-04-10,,Budapest Honvéd FC,Zalaegerszegi TE FC,,,,,False
2026_29_VASAS_NYIREGYHAZA,2026,29,2027-04-17,,Vasas FC,Nyíregyháza Spartacus,,,,,False
2026_29_PAKS_DVSC,2026,29,2027-04-17,,Paksi FC,Debreceni VSC,,,,,False
2026_29_MTK_KISVARDA,2026,29,2027-04-17,,MTK Budapest,Kisvárda FC,,,,,False
2026_29_ZTE_PUSKAS,2026,29,2027-04-17,,Zalaegerszegi TE FC,Puskás Akadémia FC,,,,,False
2026_29_FTC_UJPEST,2026,29,2027-04-17,,Ferencvárosi TC,Újpest FC,,,,,False
2026_29_ETO_HONVED,2026,29,2027-04-17,,ETO FC,Budapest Honvéd FC,,,,,False
2026_30_MTK_ETO,2026,30,2027-04-24,,MTK Budapest,ETO FC,,,,,False
2026_30_KISVARDA_PAKS,2026,30,2027-04-24,,Kisvárda FC,Paksi FC,,,,,False
2026_30_DVSC_VASAS,2026,30,2027-04-24,,Debreceni VSC,Vasas FC,,,,,False
2026_30_NYIREGYHAZA_FTC,2026,30,2027-04-24,,Nyíregyháza Spartacus,Ferencvárosi TC,,,,,False
2026_30_UJPEST_ZTE,2026,30,2027-04-24,,Újpest FC,Zalaegerszegi TE FC,,,,,False
2026_30_PUSKAS_HONVED,2026,30,2027-04-24,,Puskás Akadémia FC,Budapest Honvéd FC,,,,,False
2026_31_VASAS_KISVARDA,2026,31,2027-05-01,,Vasas FC,Kisvárda FC,,,,,False
2026_31_PAKS_MTK,2026,31,2027-05-01,,Paksi FC,MTK Budapest,,,,,False
2026_31_HONVED_UJPEST,2026,31,2027-05-01,,Budapest Honvéd FC,Újpest FC,,,,,False
2026_31_ZTE_NYIREGYHAZA,2026,31,2027-05-01,,Zalaegerszegi TE FC,Nyíregyháza Spartacus,,,,,False
2026_31_FTC_DVSC,2026,31,2027-05-01,,Ferencvárosi TC,Debreceni VSC,,,,,False
2026_31_ETO_PUSKAS,2026,31,2027-05-01,,ETO FC,Puskás Akadémia FC,,,,,False
2026_32_PAKS_ETO,2026,32,2027-05-15,,Paksi FC,ETO FC,,,,,False
2026_32_MTK_VASAS,2026,32,2027-05-15,,MTK Budapest,Vasas FC,,,,,False
2026_32_KISVARDA_FTC,2026,32,2027-05-15,,Kisvárda FC,Ferencvárosi TC,,,,,False
2026_32_DVSC_ZTE,2026,32,2027-05-15,,Debreceni VSC,Zalaegerszegi TE FC,,,,,False
2026_32_NYIREGYHAZA_HONVED,2026,32,2027-05-15,,Nyíregyháza Spartacus,Budapest Honvéd FC,,,,,False
2026_32_UJPEST_PUSKAS,2026,32,2027-05-15,,Újpest FC,Puskás Akadémia FC,,,,,False
2026_33_VASAS_PAKS,2026,33,2027-05-22,,Vasas FC,Paksi FC,,,,,False
2026_33_PUSKAS_NYIREGYHAZA,2026,33,2027-05-22,,Puskás Akadémia FC,Nyíregyháza Spartacus,,,,,False
2026_33_HONVED_DVSC,2026,33,2027-05-22,,Budapest Honvéd FC,Debreceni VSC,,,,,False
2026_33_ZTE_KISVARDA,2026,33,2027-05-22,,Zalaegerszegi TE FC,Kisvárda FC,,,,,False
2026_33_FTC_MTK,2026,33,2027-05-22,,Ferencvárosi TC,MTK Budapest,,,,,False
2026_33_ETO_UJPEST,2026,33,2027-05-22,,ETO FC,Újpest FC,,,,,False
