strategy,bet_num,bankroll
B. Full Kelly | Edge 5%,77,100344.9
B. Full Kelly | Edge 5%,78,97690.9
B. Full Kelly | Edge 5%,79,173570.2
B. Full Kelly | Edge 5%,80,169251.2
B. Full Kelly | Edge 5%,81,165039.2
B. Full Kelly | Edge 5%,82,161582.2
B. Full Kelly | Edge 5%,83,157669.2
B. Full Kelly | Edge 5%,84,153620.2
B. Full Kelly | Edge 5%,85,145816.2
B. Full Kelly | Edge 5%,86,142694.2
B. Full Kelly | Edge 5%,87,127656.20000000001
B. Full Kelly | Edge 5%,88,113595.20000000001
B. Full Kelly | Edge 5%,89,112512.20000000001
B. Full Kelly | Edge 5%,90,109780.20000000001
B. Full Kelly | Edge 5%,91,106641.20000000001
C. Half Kelly | Edge 5%,1,99563.0
C. Half Kelly | Edge 5%,2,98972.0
C. Half Kelly | Edge 5%,3,97676.0
C. Half Kelly | Edge 5%,4,92699.0
C. Half Kelly | Edge 5%,5,87601.0
C. Half Kelly | Edge 5%,6,94598.2
C. Half Kelly | Edge 5%,7,90235.2
C. Half Kelly | Edge 5%,8,97266.0
C. Half Kelly | Edge 5%,9,95281.0
C. Half Kelly | Edge 5%,10,104265.7
C. Half Kelly | Edge 5%,11,103055.7
C. Half Kelly | Edge 5%,12,101878.7
C. Half Kelly | Edge 5%,13,101360.7
C. Half Kelly | Edge 5%,14,96501.7
C. Half Kelly | Edge 5%,15,120024.5
C. Half Kelly | Edge 5%,16,146503.9
C. Half Kelly | Edge 5%,17,150997.19999999998
C. Half Kelly | Edge 5%,18,142603.19999999998
C. Half Kelly | Edge 5%,19,141498.19999999998
C. Half Kelly | Edge 5%,20,140371.19999999998
C. Half Kelly | Edge 5%,21,137378.19999999998
C. Half Kelly | Edge 5%,22,135942.19999999998
C. Half Kelly | Edge 5%,23,134305.19999999998
C. Half Kelly | Edge 5%,24,133711.19999999998
C. Half Kelly | Edge 5%,25,132351.19999999998
C. Half Kelly | Edge 5%,26,129069.19999999998
C. Half Kelly | Edge 5%,27,127268.19999999998
C. Half Kelly | Edge 5%,28,124476.19999999998
C. Half Kelly | Edge 5%,29,134621.4
C. Half Kelly | Edge 5%,30,133242.4
C. Half Kelly | Edge 5%,31,131020.4
C. Half Kelly | Edge 5%,32,127623.4
C. Half Kelly | Edge 5%,33,125862.4
C. Half Kelly | Edge 5%,34,125015.4
C. Half Kelly | Edge 5%,35,124261.4
C. Half Kelly | Edge 5%,36,152930.0
C. Half Kelly | Edge 5%,37,152094.0
C. Half Kelly | Edge 5%,38,143771.0
C. Half Kelly | Edge 5%,39,149777.0
C. Half Kelly | Edge 5%,40,142449.0
C. Half Kelly | Edge 5%,41,141287.0
C. Half Kelly | Edge 5%,42,139822.0
C. Half Kelly | Edge 5%,43,132641.0
C. Half Kelly | Edge 5%,44,124179.0
C. Half Kelly | Edge 5%,45,122994.0
C. Half Kelly | Edge 5%,46,144641.6
C. Half Kelly | Edge 5%,47,139094.6
C. Half Kelly | Edge 5%,48,137473.6
C. Half Kelly | Edge 5%,49,135420.6
C. Half Kelly | Edge 5%,50,132945.6
C. Half Kelly | Edge 5%,51,150225.6
C. Half Kelly | Edge 5%,52,147952.6
C. Half Kelly | Edge 5%,53,140164.6
C. Half Kelly | Edge 5%,54,129978.6
C. Half Kelly | Edge 5%,55,127437.6
C. Half Kelly | Edge 5%,56,125220.6
C. Half Kelly | Edge 5%,57,124554.6
C. Half Kelly | Edge 5%,58,122666.6
C. Half Kelly | Edge 5%,59,120198.6
C. Half Kelly | Edge 5%,60,118276.6
C. Half Kelly | Edge 5%,61,117207.6
C. Half Kelly | Edge 5%,62,115688.6
C. Half Kelly | Edge 5%,63,125077.40000000001
C. Half Kelly | Edge 5%,64,123683.40000000001
C. Half Kelly | Edge 5%,65,122949.40000000001
C. Half Kelly | Edge 5%,66,119648.40000000001
C. Half Kelly | Edge 5%,67,124250.20000000001
C. Half Kelly | Edge 5%,68,123044.20000000001
C. Half Kelly | Edge 5%,69,145243.6
C. Half Kelly | Edge 5%,70,139415.6
C. Half Kelly | Edge 5%,71,137544.6
C. Half Kelly | Edge 5%,72,134933.6
C. Half Kelly | Edge 5%,73,132067.6
C. Half Kelly | Edge 5%,74,125627.6
C. Half Kelly | Edge 5%,75,121281.6
C. Half Kelly | Edge 5%,76,120217.6
C. Half Kelly | Edge 5%,77,114019.6
C. Half Kelly | Edge 5%,78,112511.6
C. Half Kelly | Edge 5%,79,156209.30000000002
C. Half Kelly | Edge 5%,80,154265.30000000002
C. Half Kelly | Edge 5%,81,152346.30000000002
C. Half Kelly | Edge 5%,82,150751.30000000002
C. Half Kelly | Edge 5%,83,148926.30000000002
C. Half Kelly | Edge 5%,84,147014.30000000002
C. Half Kelly | Edge 5%,85,143280.30000000002
C. Half Kelly | Edge 5%,86,141746.30000000002
C. Half Kelly | Edge 5%,87,134277.30000000002
C. Half Kelly | Edge 5%,88,126882.30000000002
C. Half Kelly | Edge 5%,89,126277.30000000002
C. Half Kelly | Edge 5%,90,124744.30000000002
C. Half Kelly | Edge 5%,91,122960.30000000002
D. Quarter Kelly | Edge 5%,1,99782.0
D. Quarter Kelly | Edge 5%,2,99486.0
D. Quarter Kelly | Edge 5%,3,98835.0
D. Quarter Kelly | Edge 5%,4,96317.0
D. Quarter Kelly | Edge 5%,5,93668.0
D. Quarter Kelly | Edge 5%,6,97410.2
D. Quarter Kelly | Edge 5%,7,95164.2
D. Quarter Kelly | Edge 5%,8,98874.9
D. Quarter Kelly | Edge 5%,9,97865.9
D. Quarter Kelly | Edge 5%,10,102482.2
D. Quarter Kelly | Edge 5%,11,101887.2
D. Quarter Kelly | Edge 5%,12,101305.2
D. Quarter Kelly | Edge 5%,13,101048.2
D. Quarter Kelly | Edge 5%,14,98626.2
D. Quarter Kelly | Edge 5%,15,110648.0
D. Quarter Kelly | Edge 5%,16,122851.4
D. Quarter Kelly | Edge 5%,17,124737.9
D. Quarter Kelly | Edge 5%,18,121270.9
D. Quarter Kelly | Edge 5%,19,120800.9
D. Quarter Kelly | Edge 5%,20,120319.9
D. Quarter Kelly | Edge 5%,21,119036.9
D. Quarter Kelly | Edge 5%,22,118414.9
D. Quarter Kelly | Edge 5%,23,117701.9
D. Quarter Kelly | Edge 5%,24,117441.9
D. Quarter Kelly | Edge 5%,25,116844.9
D. Quarter Kelly | Edge 5%,26,115395.9
D. Quarter Kelly | Edge 5%,27,114590.9
D. Quarter Kelly | Edge 5%,28,113333.9
D. Quarter Kelly | Edge 5%,29,117951.5
D. Quarter Kelly | Edge 5%,30,117347.5
D. Quarter Kelly | Edge 5%,31,116368.5
D. Quarter Kelly | Edge 5%,32,114859.5
D. Quarter Kelly | Edge 5%,33,114066.5
D. Quarter Kelly | Edge 5%,34,113682.5
D. Quarter Kelly | Edge 5%,35,113339.5
D. Quarter Kelly | Edge 5%,36,126412.9
