asset_id,breeder,breeder_id,date,distance,driver_jockey,driver_jockey_id,first_prize,first_prize_currency,form_id,km_time,placement,prize,race,race_id,stable,stable_id,start_type,track,track_id,trainer,trainer_id,yearly
549,"Földi Ottó, Bugyi",1025,2024.11.09,1800,Dukai Tamás,2271,300000.0,HUF,457228,1:17.0,V.,30000.0,TOMISLAV VISNJIC EMLÉKVERSENY - UKSS BEOGRAD DÍJ,18313,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,Angyal A.,657,278
549,"Földi Ottó, Bugyi",1025,2024.09.28,1900,Dukai Tamás,2271,250000.0,HUF,456658,0:00.0,gal.,0.0,POETICA SAF DÍJ,18259,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,Angyal A.,657,235
549,"Földi Ottó, Bugyi",1025,2024.09.14,2400,Dukai Tamás,2271,250000.0,HUF,456473,1:18.7,III.,60000.0,TÖRZS ÚR DÍJ,18238,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,Angyal A.,657,218
549,"Földi Ottó, Bugyi",1025,2024.08.20,1900,Dukai Tamás,2271,300000.0,HUF,456170,1:17.7,6.,0.0,MERENGŐ DÍJ,18217,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,Angyal A.,657,200
391,"Földi Ottó, Bugyi",1025,2024.07.27,3000,Joze Sagaj,929,2000000.0,HUF,455828,1:19.5,IV.,320000.0,ÖTÉVESEK NAGYDÍJA,18180,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,Angyal A.,657,177
549,"Földi Ottó, Bugyi",1025,2024.06.22,1960,Dukai Tamás,2271,250000.0,HUF,455566,1:18.7,IV.,40000.0,THE SKIPPER DÍJ,18160,Földi Ottó úr lova,218,volte,Budapest-Kincsem Park,67,Angyal A.,657,152
549,"Földi Ottó, Bugyi",1025,2024.06.08,2400,Dukai Tamás,2271,250000.0,HUF,455337,0:00.0,gal.,0.0,KENTISH BOY DÍJ,18142,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,Angyal A.,657,140
549,"Földi Ottó, Bugyi",1025,2024.05.25,1800,Dukai Tamás,2271,250000.0,HUF,455107,1:18.1,I.,250000.0,NIGHT LADY DÍJ,18119,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,Angyal A.,657,122
549,"Földi Ottó, Bugyi",1025,2024.05.04,1900,Dukai Tamás,2271,300000.0,HUF,454838,1:18.0,I.,300000.0,SPARTAKUS ANS DÍJ,18087,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,Angyal A.,657,95
549,"Földi Ottó, Bugyi",1025,2024.04.13,1800,Dukai Tamás,2271,250000.0,HUF,454530,1:17.8,II.,125000.0,RINETTE STREAMLINE DÍJ,18064,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,Angyal A.,657,77
549,"Földi Ottó, Bugyi",1025,2024.03.02,1900,Dukai Tamás,2271,250000.0,HUF,454019,1:20.4,I.,250000.0,IPSE DÍJ,18012,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,Angyal A.,657,38
549,"Földi Ottó, Bugyi",1025,2024.02.10,1900,Dukai Tamás,2271,250000.0,HUF,453839,1:19.1,II.,125000.0,AILERON DÍJ,17995,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,Angyal A.,657,18
549,"Földi Ottó, Bugyi",1025,2024.01.28,1800,Dukai Tamás,2271,250000.0,HUF,453740,1:23.7,I.,250000.0,NYERETLENEK VERSENYE,17982,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,Angyal A.,657,10
549,"Földi Ottó, Bugyi",1025,2024.01.13,1900,Dukai Tamás,2271,250000.0,HUF,453654,1:20.7,III.,60000.0,KÖZLEGÉNY DÍJ,17974,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,Angyal A.,657,3
549,"Földi Ottó, Bugyi",1025,2023.12.16,1900,Dukai Tamás,2271,0.0,HUF,453506,1:23.8,1.,0.0,PRÓBAFUTAM,17947,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,Angyal A.,657,29
411,"Földi Ottó, Bugyi",1025,2023.05.06,1900,Antun Horvatski,1804,0.0,HUF,450353,0:00.0,tü.,0.0,PRÓBAFUTAM,17649,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,A. Horvatski,479,11
342,"Földi Ottó, Bugyi",1025,2022.12.17,1900,Milan Kovacevic,1791,250000.0,HUF,448789,0:00.0,gal.,0.0,NYERETLENEK VERSENYE,17511,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,G. Zolnaji,428,358
411,"Földi Ottó, Bugyi",1025,2022.11.19,1800,Antun Horvatski,1804,250000.0,HUF,447998,0:00.0,gal.,0.0,NINA DÍJ - NYERETLENEK VERSENYE,17471,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,G. Zolnaji,428,322
342,"Földi Ottó, Bugyi",1025,2022.11.05,1900,Milan Kovacevic,1791,250000.0,HUF,447627,0:00.0,gal.,0.0,NYERETLENEK VERSENYE,17451,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,G. Zolnaji,428,306
411,"Földi Ottó, Bugyi",1025,2022.10.22,1800,Antun Horvatski,1804,250000.0,HUF,447242,0:00.0,gal.,0.0,NYERETLENEK VERSENYE,17429,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,G. Zolnaji,428,291
411,"Földi Ottó, Bugyi",1025,2022.10.01,1900,Antun Horvatski,1804,250000.0,HUF,446726,1:23.8,6.,0.0,NYERETLENEK VERSENYE,17399,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,G. Zolnaji,428,260
411,"Földi Ottó, Bugyi",1025,2022.09.17,1800,Antun Horvatski,1804,250000.0,HUF,446359,1:21.7,II.,125000.0,NYERETLENEK VERSENYE II. RÉSZ,17375,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,G. Zolnaji,428,244
306,"Földi Ottó, Bugyi",1025,2022.07.23,1900,Goran Zolnaji,1401,250000.0,HUF,444961,0:00.0,gal.,0.0,NYERETLEN HÁROMÉVESEK VERSENYE,17309,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,G. Zolnaji,428,188
411,"Földi Ottó, Bugyi",1025,2022.06.11,1800,Antun Horvatski,1804,0.0,HUF,444326,1:26.7,1.,0.0,Q22 KVALIFIKÁCIÓ,17263,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,G. Zolnaji,428,22
411,"Földi Ottó, Bugyi",1025,2022.06.05,1800,Antun Horvatski,1804,0.0,HUF,444152,0:00.0,gal.,0.0,Q20 KVALIFIKÁCIÓ,17250,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,G. Zolnaji,428,20
