name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,isHome,shotType,situation,bodyPart,time,timeSeconds,periodTimeSeconds,goalType,playerX,playerY,goalMouthX,goalMouthY,goalMouthZ,firstName,lastName
Jacob Brown,jacob-brown,J. Brown,F,19,152,M,858911,"{'nameTranslation': {'ar': 'جاكوب براون', 'hi': 'जैकब ब्राउन', 'bn': 'জ্যাকব ব্রাউন'}, 'shortNameTranslation': {'ar': 'ج. براون', 'hi': 'जे. ब्राउन', 'bn': 'জে. ব্রাউন'}}",True,block,corner,head,64,3815,1115,,7.8,57.3,0,52.2,19.0,,
Tom Lockyer,tom-lockyer,T. Lockyer,D,12,188,M,197848,"{'nameTranslation': {'ar': 'توم لوكيير', 'hi': 'टॉम लॉकयर', 'bn': 'টম লকিয়ার'}, 'shortNameTranslation': {'ar': 'ت. لوكيير', 'hi': 'टी. लॉकयर', 'bn': 'টি. লকার'}}",True,block,corner,head,64,3807,1107,,9.2,46.2,0,48.9,19.0,,
Alfie Doughty,alfie-doughty,A. Doughty,M,14,576,M,945792,"{'nameTranslation': {'ar': 'ألفي دوتي', 'hi': 'अल्फी डौटी', 'bn': 'আলফি ডাউটি'}, 'shortNameTranslation': {'ar': 'أ. دوتي', 'hi': 'ए. डौटी', 'bn': 'এ. ডাউটি'}}",True,block,assisted,left-foot,54,3213,513,,20.2,29.5,0,50.5,19.0,,
Chiedozie Ogbene,ogbene-chiedozie,C. Ogbene,M,19,794,M,849309,"{'nameTranslation': {'ar': 'أوغبيني، تشيدوزي', 'hi': 'ओगबेने, चिएदोज़ी', 'bn': 'ওগবেন, চিইডোজি'}, 'shortNameTranslation': {'ar': 'ت. أوغبيني', 'hi': 'सी. ओगबेने', 'bn': 'সি. ওগবেন'}}",True,miss,assisted,right-foot,51,3044,344,,8.7,55.8,0,99.7,2.8,,
Jacob Brown,jacob-brown,J. Brown,F,19,152,M,858911,"{'nameTranslation': {'ar': 'جاكوب براون', 'hi': 'जैकब ब्राउन', 'bn': 'জ্যাকব ব্রাউন'}, 'shortNameTranslation': {'ar': 'ج. براون', 'hi': 'जे. ब्राउन', 'bn': 'জে. ব্রাউন'}}",True,miss,regular,head,50,2993,293,,3.8,48.0,0,51.4,68.1,,
Carlton Morris,carlton-morris,C. Morris,F,9,1084,M,358222,"{'nameTranslation': {'ar': 'كارلتون موريس', 'hi': 'कार्लटन मॉरिस', 'bn': 'কার্লটন মরিস'}, 'shortNameTranslation': {'ar': 'ك. موريس', 'hi': 'सी. मॉरिस', 'bn': 'সি. মরিস'}}",True,miss,corner,head,49,2927,227,,8.4,52.8,0,54.6,62.5,,
Josh Brownhill,josh-brownhill,J. Brownhill,M,8,832,M,358394,"{'nameTranslation': {'ar': 'جوش براونهيل', 'hi': 'जोश ब्राउनहिल', 'bn': 'জোশ ব্রাউনহিল'}, 'shortNameTranslation': {'ar': 'ج. براونهيل', 'hi': 'जे. ब्राउनहिल', 'bn': 'জে. ব্রাউনহিল'}}",False,miss,throw-in-set-piece,right-foot,48,2821,121,,3.9,67.5,0,42.5,12.5,,
Luca Koleosho,luca-koleosho,L. Koleosho,M,16,1493,M,1216282,"{'nameTranslation': {'ar': 'لوكا كوليوشو', 'hi': 'लुका कोलेओशो', 'bn': 'লুকা কোলিওশো'}, 'shortNameTranslation': {'ar': 'ل. كوليوشو', 'hi': 'एल. कोलेओशो', 'bn': 'এল. কোলিওশো'}}",False,save,set-piece,left-foot,47,2771,71,,8.2,32.8,0,52.6,1.9,Luca Koleosho,
Luca Koleosho,luca-koleosho,L. Koleosho,M,16,1493,M,1216282,"{'nameTranslation': {'ar': 'لوكا كوليوشو', 'hi': 'लुका कोलेओशो', 'bn': 'লুকা কোলিওশো'}, 'shortNameTranslation': {'ar': 'ل. كوليوشو', 'hi': 'एल. कोलेओशो', 'bn': 'এল. কোলিওশো'}}",False,block,set-piece,right-foot,47,2768,68,,23.7,34.0,0,51.4,19.0,Luca Koleosho,
Lyle Foster,foster-lyle,L. Foster,F,9,6277,M,901907,"{'nameTranslation': {'ar': 'فوستر، لايل', 'hi': 'फोस्टर, लाइल', 'bn': 'ফস্টার, লাইল'}, 'shortNameTranslation': {'ar': 'ل. فوستر', 'hi': 'एल. फोस्टर', 'bn': 'এল. ফস্টার'}}",False,goal,assisted,right-foot,45,2769,69,regular,16.5,55.3,0,46.0,5.1,,
Josh Brownhill,josh-brownhill,J. Brownhill,M,8,832,M,358394,"{'nameTranslation': {'ar': 'جوش براونهيل', 'hi': 'जोश ब्राउनहिल', 'bn': 'জোশ ব্রাউনহিল'}, 'shortNameTranslation': {'ar': 'ج. براونهيل', 'hi': 'जे. ब्राउनहिल', 'bn': 'জে. ব্রাউনহিল'}}",False,miss,assisted,right-foot,45,2651,2651,,27.3,50.7,0,60.3,4.2,,
Luca Koleosho,luca-koleosho,L. Koleosho,M,16,1493,M,1216282,"{'nameTranslation': {'ar': 'لوكا كوليوشو', 'hi': 'लुका कोलेओशो', 'bn': 'লুকা কোলিওশো'}, 'shortNameTranslation': {'ar': 'ل. كوليوشو', 'hi': 'एल. कोलेओशो', 'bn': 'এল. কোলিওশো'}}",False,miss,assisted,left-foot,38,2224,2224,,14.1,70.5,0,62.4,40.3,Luca Koleosho,
Pelly Ruddock Mpanzu,pelly-ruddock-mpanzu,P. R. Mpanzu,M,17,296,M,387116,"{'nameTranslation': {'ar': 'بيلي رودوك مبانزو', 'hi': 'पेली रुडॉक मपांज़ू', 'bn': 'পেলি রাডক এমপানজু'}, 'shortNameTranslation': {'ar': 'ب. رودوك مبانزو', 'hi': 'पीआर रुडॉक', 'bn': 'পি. আর. এমপানজু'}}",True,block,assisted,right-foot,36,2105,2105,,23.2,45.0,0,50.4,19.0,,
Jacob Brown,jacob-brown,J. Brown,F,19,152,M,858911,"{'nameTranslation': {'ar': 'جاكوب براون', 'hi': 'जैकब ब्राउन', 'bn': 'জ্যাকব ব্রাউন'}, 'shortNameTranslation': {'ar': 'ج. براون', 'hi': 'जे. ब्राउन', 'bn': 'জে. ব্রাউন'}}",True,miss,assisted,head,34,1989,1989,,13.4,43.2,0,38.7,11.1,,
Chiedozie Ogbene,ogbene-chiedozie,C. Ogbene,M,19,794,M,849309,"{'nameTranslation': {'ar': 'أوغبيني، تشيدوزي', 'hi': 'ओगबेने, चिएदोज़ी', 'bn': 'ওগবেন, চিইডোজি'}, 'shortNameTranslation': {'ar': 'ت. أوغبيني', 'hi': 'सी. ओगबेने', 'bn': 'সি. ওগবেন'}}",True,miss,assisted,head,33,1936,1936,,9.3,51.8,0,40.8,20.8,,
Zeki Amdouni,zeki-amdouni,Z. Amdouni,F,7,2862,M,990550,"{'nameTranslation': {'ar': 'زكي أمدوني', 'hi': 'ज़ेकी अमदौनी', 'bn': 'জেকি আমদউনি'}, 'shortNameTranslation': {'ar': 'ز. أمدوني', 'hi': 'ज़ेड. अमदौनी', 'bn': 'জেড. আমদউনি'}}",False,miss,assisted,left-foot,29,1733,1733,,18.3,47.6,0,51.1,55.6,,
Josh Brownhill,josh-brownhill,J. Brownhill,M,8,832,M,358394,"{'nameTranslation': {'ar': 'جوش براونهيل', 'hi': 'जोश ब्राउनहिल', 'bn': 'জোশ ব্রাউনহিল'}, 'shortNameTranslation': {'ar': 'ج. براونهيل', 'hi': 'जे. ब्राउनहिल', 'bn': 'জে. ব্রাউনহিল'}}",False,miss,assisted,right-foot,28,1630,1630,,22.9,41.0,0,46.6,61.1,,
Josh Cullen,cullen-josh,J. Cullen,M,24,937,M,792122,"{'nameTranslation': {'ar': 'كولين، جوش', 'hi': 'कुलेन, जोश', 'bn': 'কুলেন, জোশ'}, 'shortNameTranslation': {'ar': 'ج. كولين', 'hi': 'जे. कुलेन', 'bn': 'জে. কুলেন'}}",False,miss,corner,right-foot,22,1284,1284,,15.0,41.7,0,53.4,83.3,,
Zeki Amdouni,zeki-amdouni,Z. Amdouni,F,7,2862,M,990550,"{'nameTranslation': {'ar': 'زكي أمدوني', 'hi': 'ज़ेकी अमदौनी', 'bn': 'জেকি আমদউনি'}, 'shortNameTranslation': {'ar': 'ز. أمدوني', 'hi': 'ज़ेड. अमदौनी', 'bn': 'জেড. আমদউনি'}}",False,save,corner,head,21,1251,1251,,4.6,51.3,0,48.6,32.3,,
Lyle Foster,foster-lyle,L. Foster,F,9,6277,M,901907,"{'nameTranslation': {'ar': 'فوستر، لايل', 'hi': 'फोस्टर, लाइल', 'bn': 'ফস্টার, লাইল'}, 'shortNameTranslation': {'ar': 'ل. فوستر', 'hi': 'एल. फोस्टर', 'bn': 'এল. ফস্টার'}}",False,miss,regular,right-foot,16,934,934,,24.4,57.3,0,62.0,19.4,,
Pelly Ruddock Mpanzu,pelly-ruddock-mpanzu,P. R. Mpanzu,M,17,296,M,387116,"{'nameTranslation': {'ar': 'بيلي رودوك مبانزو', 'hi': 'पेली रुडॉक मपांज़ू', 'bn': 'পেলি রাডক এমপানজু'}, 'shortNameTranslation': {'ar': 'ب. رودوك مبانزو', 'hi': 'पीआर रुडॉक', 'bn': 'পি. আর. এমপানজু'}}",True,miss,assisted,right-foot,15,841,841,,21.8,32.6,0,37.3,12.5,,
