name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,challengeLost,totalClearance,interceptionWon,unsuccessfulTouch,fouls,keyPass,totalContest,wonContest,blockedScoringAttempt,totalTackle,wonTackle,expectedGoals,sofascoreId,dispossessed,bigChanceCreated,shotOffTarget,onTargetScoringAttempt,expectedGoalsOnTarget,bigChanceMissed,goals,outfielderBlock,totalOffside,goalAssist,penaltyConceded,clearanceOffLine,penaltyWon,hitWoodwork
Joe White,,,joe-white,J. White,M,30,186,183,M,994550,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1033430400,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو وايت', 'hi': 'जो व्हाइट', 'bn': 'জো হোয়াইট'}, 'shortNameTranslation': {'ar': 'ج. وايت', 'hi': 'जे. व्हाइट', 'bn': 'জে. হোয়াইট'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Parkinson,Ben Parkinson,,parkinson-ben,B. Parkinson,F,40,183,117,M,1409087,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1110412800,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باركنسون، بن', 'hi': 'पार्किंसन, बेन', 'bn': 'পারকিনসন, বেন'}, 'shortNameTranslation': {'ar': 'ب. باركنسون', 'hi': 'बी. पार्किंसन', 'bn': 'বি. পার্কিনসন'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Pickford,,,jordan-pickford,J. Pickford,G,1,185,7467,M,138530,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,762998400,"{'value': 16100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان بيكفورد', 'hi': 'जॉर्डन पिकफोर्ड', 'bn': 'জর্ডান পিকফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. بيكفورد', 'hi': 'जे. पिकफोर्ड', 'bn': 'জে.পিকফোর্ড'}}",44.0,21.0,39.0,16.0,7.0,12.0,32.0,,13.0,,1.0,3.0,,4.0,1.0,1.0,90.0,54.0,7.5,23.0,0.0379282,"{'original': 7.5, 'alternative': 7.3}",0,1.0291,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,14.0,,,,,,,,,,,,,,,,,,jpickford1,,,,,,,,,,,,,,
Ben Godfrey,,,ben-godfrey,B. Godfrey,D,22,183,591,M,754698,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,884822400,"{'value': 5100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن غودفري', 'hi': 'बेन गॉडफ्रे', 'bn': 'বেন গডফ্রে'}, 'shortNameTranslation': {'ar': 'ب. غودفري', 'hi': 'बी. गॉडफ्रे', 'bn': 'বি. গডফ্রে'}}",19.0,13.0,1.0,,4.0,9.0,11.0,4.0,,1.0,,,,,,,89.0,43.0,7.0,9.0,0.0254312,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,10.0,1.0,1.0,2.0,4.0,2.0,,6.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,
James Tarkowski,,,james-tarkowski,J. Tarkowski,D,6,185,2332,M,145188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,722131200,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس تاركوفسكي', 'hi': 'जेम्स टार्कोव्स्की', 'bn': 'জেমস তারকোভস্কি'}, 'shortNameTranslation': {'ar': 'ج. تاركوفسكي', 'hi': 'जे. टार्कोव्स्की', 'bn': 'জে. তারকোভস্কি'}}",33.0,26.0,6.0,2.0,19.0,20.0,13.0,10.0,3.0,,,,,,,,90.0,47.0,6.9,8.0,0.0144121,"{'original': 6.9, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,7.0,,,,4.0,3.0,1.0,4.0,,1.0,2.0,,,,,6.0,3.0,0.2534,,,,1.0,,,1.0,,,,,,,,
Jarrad Branthwaite,,,jarrad-branthwaite,J. Branthwaite,D,32,195,2559,M,979563,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1025136000,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاراد برانثويت', 'hi': 'जेर्राड ब्रैंथवेट', 'bn': 'জারাদ ব্র্যানথওয়েট'}, 'shortNameTranslation': {'ar': 'ج. برانثويت', 'hi': 'जे. ब्रैंथवेट', 'bn': 'জে. ব্র্যানথওয়েট'}}",32.0,25.0,6.0,1.0,14.0,15.0,17.0,4.0,1.0,,,,,,,,90.0,45.0,6.9,8.0,0.0135302,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,11.0,,,1.0,4.0,3.0,2.0,9.0,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,
Vitaliy Mykolenko,,,vitaliy-mykolenko,V. Mykolenko,D,16,180,4121,M,876643,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,927936000,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي ميكولينكو', 'hi': 'विटाली मायकोलेंको', 'bn': 'ভিটালি মাইকোলেনকো'}, 'shortNameTranslation': {'ar': 'ف. ميكولينكو', 'hi': 'वी. मायकोलेंको', 'bn': 'ভি. মাইকোলেনকো'}}",42.0,34.0,6.0,3.0,17.0,18.0,25.0,3.0,6.0,,,,,,,,90.0,67.0,7.3,11.0,0.015503,"{'original': 7.3, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,17.0,1.0,,1.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,mikola_16,,,,,,,,1.0,,,,1.0,,
Ashley Young,,,ashley-young,A. Young,D,15,180,1765,M,10589,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,489715200,"{'value': 440000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آشلي يونغ', 'hi': 'एश्ले यंग', 'bn': 'অ্যাশলে ইয়াং'}, 'shortNameTranslation': {'ar': 'آ. يونغ', 'hi': 'एक यंग', 'bn': 'এ. ইয়াং'}}",25.0,16.0,3.0,,3.0,8.0,19.0,5.0,6.0,1.0,,,,,,,90.0,43.0,7.1,16.0,0.035853,"{'original': 7.1, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,13.0,2.0,,4.0,2.0,10.0,2.0,2.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,0.0751,,4.0,,,1.0,0.2292,,,,,,,,1.0,
Amadou Onana,,,amadou-onana,A. Onana,M,24,195,6827,M,923973,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,997920000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أمادو أونانا', 'hi': 'अमादौ ओनाना', 'bn': 'আমাদৌ ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",41.0,38.0,3.0,3.0,17.0,18.0,23.0,3.0,5.0,,,,,,,,61.0,52.0,7.0,5.0,0.0588035,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,21.0,,,,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,2.0,1.0,,its_onana,1.0,,,,,,,1.0,,,,,,
Idrissa Gueye,,,idrissa-gueye,I. Gueye,M,27,174,17031,M,106337,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,622771200,"{'value': 970000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إدريسا غاي', 'hi': 'इद्रिसा गुये', 'bn': 'ইদ্রিসা গুইয়ে'}, 'shortNameTranslation': {'ar': 'إ. غاي', 'hi': 'आई. गुये', 'bn': 'আই. গুইয়ে'}}",39.0,33.0,4.0,2.0,20.0,21.0,18.0,10.0,8.0,3.0,,,,,,,82.0,56.0,7.2,8.0,0.00935166,"{'original': 7.2, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,13.0,,,,1.0,3.0,1.0,,1.0,1.0,1.0,,1.0,,,6.0,3.0,,iganagueye,,,,,,,,1.0,,,,,,
Dwight McNeil,Dwight,McNeil,dwight-mcneil,D. McNeil,M,7,183,2030,M,935543,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,943228800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوايت مكنيل', 'hi': 'ड्वाइट मैकनील', 'bn': 'ডোয়াইট ম্যাকনিল'}, 'shortNameTranslation': {'ar': 'د. مكنيل', 'hi': 'डी. मैकनील', 'bn': 'ডি. ম্যাকনিল'}}",28.0,23.0,4.0,3.0,3.0,3.0,32.0,3.0,2.0,1.0,,,,,,,90.0,51.0,7.2,16.0,0.509897,"{'original': 7.2, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,22.0,7.0,2.0,,1.0,6.0,2.0,1.0,,3.0,1.0,2.0,1.0,,,1.0,1.0,0.0621,,2.0,1.0,1.0,,,,,1.0,,,,,,
Abdoulaye Doucouré,,,abdoulaye-doucoure,A. Doucouré,M,8,182,1300,M,96535,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,725846400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عبدالله دوكوري', 'hi': 'अब्दुलाये डौकोरे', 'bn': 'আবদুলায়ে ডকোরে'}, 'shortNameTranslation': {'ar': 'ع. دوكوري', 'hi': 'ए. डौकोरे', 'bn': 'এ. ডকোরে'}}",16.0,13.0,1.0,1.0,4.0,5.0,11.0,1.0,3.0,,,,,,,,60.0,23.0,6.8,6.0,0.0180645,"{'original': 6.8, 'alternative': 6.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,9.0,,,,1.0,4.0,1.0,,,,,,,,,,,0.166,,3.0,,1.0,1.0,0.2921,,,,,,,,,
