name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,outfielderBlock,interceptionWon,totalTackle,fouls,keyPass,shotOffTarget,wonTackle,expectedGoals,blockedScoringAttempt,dispossessed,totalOffside,unsuccessfulTouch,wasFouled,totalContest,wonContest,goalAssist,bigChanceCreated,onTargetScoringAttempt,goals,expectedGoalsOnTarget,crossNotClaimed,clearanceOffLine
David Raya,,,david-raya,D. Raya,G,1,183,25247,M,d_raya1,581310,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,811123200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد رايا', 'hi': 'डेविड राया', 'bn': 'ডেভিড রায়া'}, 'shortNameTranslation': {'ar': 'د. رايا', 'hi': 'डी. राया', 'bn': 'ডি. রায়া'}}",27.0,18.0,16.0,7.0,14.0,14.0,4.0,13.0,1.0,7.0,,,1.0,90.0,32.0,6.4,9.0,0.00243172,"{'original': 6.4, 'alternative': 6.3}",0,-0.064,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Ben White,,,benjamin-white,B. White,D,4,186,13312,M,benwhite,846036,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,876268800,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بنيامين وايت', 'hi': 'बेंजामिन व्हाइट', 'bn': 'বেঞ্জামিন হোয়াইট'}, 'shortNameTranslation': {'ar': 'ب. وايت', 'hi': 'बी. व्हाइट', 'bn': 'বি. হোয়াইট'}}",41.0,34.0,5.0,3.0,14.0,16.0,21.0,28.0,1.0,2.0,,,,73.0,56.0,6.9,10.0,0.0672734,"{'original': 6.9, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,1.0,,,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,
William Saliba,,,william-saliba,W. Saliba,D,2,193,43547,M,WSaliba4,941168,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,985392000,"{'value': 85000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليام صاليبا', 'hi': 'विलियम सलीबा', 'bn': 'উইলিয়াম সালিবা'}, 'shortNameTranslation': {'ar': 'و. صاليبا', 'hi': 'डब्लू. सलीबा', 'bn': 'ডব্লিউ. সালিবা'}}",50.0,45.0,3.0,2.0,20.0,22.0,25.0,28.0,2.0,4.0,,,,90.0,57.0,6.5,6.0,0.0109556,"{'original': 6.5, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,2.0,4.0,3.0,1.0,,1.0,1.0,,,,,0.0181,1.0,,,,,1.0,,,,,,,,
Gabriel Magalhães,,,gabriel-magalhaes,Gabriel,D,6,190,45357,M,GabrielMagalhães,869792,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,882489600,"{'value': 70000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل ماغاليس', 'hi': 'गेब्रियल मैगलहेस', 'bn': 'গ্যাব্রিয়েল ম্যাগালহায়েস'}, 'shortNameTranslation': {'ar': 'غابرييل', 'hi': 'गेब्रियल मैगलहेस', 'bn': 'গ্যাব্রিয়েল'}}",44.0,35.0,8.0,3.0,17.0,20.0,18.0,24.0,2.0,2.0,,,,90.0,53.0,7.6,10.0,0.0326237,"{'original': 7.6, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,2.0,2.0,5.0,,2.0,1.0,1.0,2.0,,,1.0,,,,,1.0,2.0,,,,,,,,,1.0
Takehiro Tomiyasu,,,tomiyasu-takehiro,T. Tomiyasu,D,,188,10832,M,tomiyasu_t,804434,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,910224000,"{'value': 12900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تومياسو، تاكيهيرو', 'hi': 'तोमियासू, ताकेहीरो', 'bn': 'তোমিয়াসু, তাকেহিরো'}, 'shortNameTranslation': {'ar': 'ت. تومياسو', 'hi': 'टी. ताकेहीरो', 'bn': 'টি. তোমিয়াসু'}}",34.0,26.0,1.0,,7.0,9.0,19.0,26.0,2.0,2.0,,,,90.0,45.0,6.8,9.0,0.0128598,"{'original': 6.8, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,,1.0,1.0,3.0,1.0,,1.0,1.0,,,,1.0,0.0147,1.0,,,,,1.0,1.0,,,,,,,
Kai Havertz,,,kai-havertz,K. Havertz,F,29,193,71176,M,KaiHav,836705,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,929059200,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاي هافرتز', 'hi': 'काई हावर्ट्ज़', 'bn': 'কাই হাভার্টজ'}, 'shortNameTranslation': {'ar': 'ك. هافيرتز', 'hi': 'के. हावर्ट्ज़', 'bn': 'কে. হাভার্টজ'}}",33.0,23.0,,,2.0,3.0,21.0,31.0,,5.0,,,,90.0,48.0,7.0,15.0,0.0631681,"{'original': 7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,4.0,4.0,8.0,8.0,1.0,,,3.0,2.0,,,3.0,0.0795,1.0,1.0,,3.0,1.0,,,,,,,,,
Jorginho,,,jorginho,Jorginho,M,21,180,32651,M,jorginhofrello,132874,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,693187200,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جورجينيو', 'hi': 'जोर्गिनहो', 'bn': 'জর্গিনহো'}, 'shortNameTranslation': {'ar': 'جورجينيو', 'hi': 'जोर्गिनहो', 'bn': 'জর্গিনহো'}}",55.0,52.0,2.0,1.0,15.0,15.0,37.0,40.0,,3.0,,,,79.0,63.0,6.9,3.0,0.0474783,"{'original': 6.9, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,,,2.0,2.0,2.0,,,2.0,,1.0,1.0,,0.0543,1.0,,,,,,,,,,,,,
Declan Rice,,,declan-rice,D. Rice,M,41,188,60954,M,DeclanRice,856714,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,916272000,"{'value': 114000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديكلان رايس', 'hi': 'डेक्लान राइस', 'bn': 'ডেক্লান রাইস'}, 'shortNameTranslation': {'ar': 'د. رايس', 'hi': 'डी. राइस', 'bn': 'ডি. রাইস'}}",57.0,51.0,6.0,4.0,11.0,14.0,40.0,43.0,5.0,5.0,,,,90.0,73.0,7.5,7.0,0.103626,"{'original': 7.5, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,1.0,3.0,4.0,,,1.0,,1.0,1.0,1.0,,0.0673,1.0,,,,1.0,2.0,2.0,,,,,,,
Bukayo Saka,,,bukayo-saka,B. Saka,F,7,178,187094,M,BSaka7,934235,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,999648000,"{'value': 136000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوكايو ساكا', 'hi': 'बुकायो साका', 'bn': 'বুকায়ো সাকা'}, 'shortNameTranslation': {'ar': 'ب. ساكا', 'hi': 'बी. साका', 'bn': 'বি. সাকা'}}",36.0,33.0,,,8.0,9.0,28.0,32.0,,8.0,,,,90.0,59.0,7.2,10.0,0.249408,"{'original': 7.2, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,3.0,1.0,1.0,6.0,7.0,1.0,1.0,,1.0,,1.0,,1.0,0.0236,1.0,3.0,,1.0,5.0,1.0,,,,,,,,
Edward Nketiah,,,edward-nketiah,E. Nketiah,F,9,175,6808,M,EN9,858194,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,928022400,"{'value': 16500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إدوارد نكيتياه', 'hi': 'एडवर्ड नेकेटिया', 'bn': 'এডওয়ার্ড এনকেটিয়া'}, 'shortNameTranslation': {'ar': 'إ. نكيتياه', 'hi': 'ई. नेकेटिया', 'bn': 'ই. এনকেটিয়া'}}",16.0,14.0,,,5.0,5.0,9.0,11.0,1.0,3.0,,,,79.0,33.0,6.7,10.0,0.0131539,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,3.0,2.0,9.0,5.0,,,,,2.0,1.0,1.0,,0.1462,,2.0,,4.0,3.0,2.0,,,,,,,,
