name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,errorLeadToAShot,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialWon,duelLost,duelWon,challengeLost,totalContest,outfielderBlock,interceptionWon,fouls,aerialLost,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,wonContest,blockedScoringAttempt,expectedGoals,totalCross,sofascoreId,dispossessed,keyPass,accurateCross,onTargetScoringAttempt,expectedGoalsOnTarget,shotOffTarget,totalOffside,bigChanceMissed,goals,bigChanceCreated,penaltyFaced,goalAssist,hitWoodwork,penaltyConceded
Cameron Archer,,,cameron-archer,C. Archer,F,19,181,1000,M,993451,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1007856000,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاميرون آرتشر', 'hi': 'कैमरून आर्चर', 'bn': 'ক্যামেরন আর্চার'}, 'shortNameTranslation': {'ar': 'ك. آرتشر', 'hi': 'सी. आर्चर', 'bn': 'সি. আর্চার'}}",14.0,11.0,1.0,,2.0,3.0,9.0,11.0,,8.0,,,,,,,90.0,39.0,7.3,14.0,0.011901,"{'original': 7.3, 'alternative': 7}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,8.0,4.0,1.0,3.0,,1.0,1.0,3.0,,,7.0,3.0,1.0,1.0,0.2234,,,1.0,1.0,,2.0,0.5296,1.0,2.0,,,1.0,,,,
Rhian Brewster,,,rhian-brewster,R. Brewster,F,10,180,873,M,878705,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,954547200,"{'value': 2700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان بروستر', 'hi': 'रियान ब्रूस्टर', 'bn': 'রায়ান ব্রুস্টার'}, 'shortNameTranslation': {'ar': 'ر. بروستر', 'hi': 'आर. ब्रूस्टर', 'bn': 'আর. ব্রুস্টার'}}",8.0,4.0,,,1.0,1.0,3.0,7.0,1.0,,,,,,,,38.0,12.0,6.6,5.0,0.0192556,"{'original': 6.6, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,2.0,1.0,,1.0,,,1.0,,,,,,,,0.0274,,,,,,1.0,0.0181,,,,,,,,,
Ben Osborn,Ben,Osborn,ben-osborn,B. Osborn,M,23,176,76,M,282665,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,776044800,"{'value': 775000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن أوزبورن', 'hi': 'बेन ओसबोर्न', 'bn': 'বেন অসবর্ন'}, 'shortNameTranslation': {'ar': 'ب. أوزبورن', 'hi': 'बी. ओसबोर्न', 'bn': 'বি. ওসবোর্ন'}}",10.0,9.0,,,5.0,6.0,5.0,5.0,,2.0,,,,,,,12.0,13.0,6.6,3.0,0.0638533,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,2.0,,,,,,,1.0,,,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,
Bénie Traoré,Benie Traore,,benie-traore,B. Traore,M,11,172,1364,M,1099792,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1038614400,"{'value': 9400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيني تراوري', 'hi': 'बेनी ट्राओरे', 'bn': 'বেনি ট্রাওরে'}, 'shortNameTranslation': {'ar': 'ب. تراوري', 'hi': 'बी. ट्राओरे', 'bn': 'বি. ট্রাওরে'}}",4.0,4.0,,,3.0,3.0,1.0,1.0,,,,,,,,,12.0,5.0,6.6,,0.00023521,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Jordan Amissah,,,jordan-amissah,J. Amissah,G,21,198,223,M,1388341,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,996710400,"{'value': 210000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان اميسا', 'hi': 'जॉर्डन अमिसाह', 'bn': 'জর্ডান আমিসাহ'}, 'shortNameTranslation': {'ar': 'ج. اميسا', 'hi': 'जे. अमिसाह', 'bn': 'জে. আমিসাহ'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Femi Seriki,,,femi-seriki,F. Seriki,D,38,180,131,M,966458,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1019952000,"{'value': 3800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيمي سيركي', 'hi': 'फेमी सेरीकी', 'bn': 'ফেমি সেরিকি'}, 'shortNameTranslation': {'ar': 'ف. سيركي', 'hi': 'एफ. सेरीकी', 'bn': 'এফ. সেরিকি'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anis Ben Slimane,,,anis-ben-slimane,A. B. Slimane,M,20,188,2213,M,1006147,"{'alpha2': 'TN', 'alpha3': 'TUN', 'name': 'Tunisia', 'slug': 'tunisia'}",EUR,984700800,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنيس بن سليمان', 'hi': 'अनीस बेन स्लीमेन', 'bn': 'আনিস বেন স্লিমান'}, 'shortNameTranslation': {'ar': 'أ. بن سليمان', 'hi': 'एबी बेन', 'bn': 'এ. বি. স্লিমান'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Fleck,,,john-fleck,J. Fleck,M,13,170,104,M,27999,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,682992000,"{'value': 71000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون فليك', 'hi': 'जॉन फ्लेक', 'bn': 'জন ফ্লেক'}, 'shortNameTranslation': {'ar': 'ج. فليك', 'hi': 'जे.फ्लेक फ्लेक', 'bn': 'জে. ফ্লেক'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jili Buyabu,Jili,Buyabu,jili-buyabu,J. Buyabu,M,24,182,18,M,1973066,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1031443200,,"{'nameTranslation': {'ar': 'جيلي بويابو'}, 'shortNameTranslation': {'ar': 'ج. بويابو'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan One,,,one-ryan,R. One,F,26,178,178,M,1389768,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,1151280000,"{'value': 730000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان وان', 'hi': 'वन, रायन', 'bn': 'ওয়ান, রায়ান'}, 'shortNameTranslation': {'ar': 'ر. وان', 'hi': 'आर. वन', 'bn': 'আর. ওয়ান'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
