name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,goalAssist,totalCross,accurateCross,aerialLost,duelLost,duelWon,dispossessed,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,keyPass,aerialWon,shotOffTarget,errorLeadToAGoal,wasFouled,expectedGoals,sofascoreId,challengeLost,bigChanceMissed,outfielderBlock,blockedScoringAttempt,onTargetScoringAttempt,goals,expectedGoalsOnTarget,totalOffside,bigChanceCreated,goodHighClaim,savedShotsFromInsideTheBox
Sam Johnstone,sam-johnstone,S. Johnstone,G,31,193,643,M,98427,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,733017600,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سام جونستون', 'hi': 'सैम जॉनस्टोन', 'bn': 'স্যাম জনস্টোন'}, 'shortNameTranslation': {'ar': 'س. جونستون', 'hi': 'एस. जॉनस्टोन', 'bn': 'এস. জনস্টোন'}}",35.0,20.0,26.0,12.0,13.0,16.0,7.0,19.0,9.0,2.0,90.0,46.0,6.9,16.0,0.00177932,"{'original': 6.9, 'alternative': 6.5}",0,-0.3145,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
Joel Ward,joel-ward,J. Ward,D,,188,256,M,39183,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,625622400,"{'value': 285000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويل وارد', 'hi': 'जोएल वार्ड', 'bn': 'জোয়েল ওয়ার্ড'}, 'shortNameTranslation': {'ar': 'ج. وارد', 'hi': 'जे. वार्ड', 'bn': 'জে. ওয়ার্ড'}}",48.0,40.0,3.0,3.0,20.0,21.0,21.0,30.0,5.0,,90.0,65.0,7.0,11.0,0.0192528,"{'original': 7, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,,3.0,1.0,1.0,2.0,8.0,,,,3.0,1.0,1.0,,,1.0,,6.0,,,1.0,0.0119,,,,,1.0,,,,,,,
Joachim Andersen,joachim-andersen,J. Andersen,D,5,190,2408,M,362682,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,833500800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يواكيم أندرسن', 'hi': 'जोआचिम एंडरसन', 'bn': 'জোয়াকিম অ্যান্ডারসেন'}, 'shortNameTranslation': {'ar': 'ي. أندرسن', 'hi': 'जे. एंडरसन', 'bn': 'জে. অ্যান্ডারসেন'}}",81.0,59.0,17.0,5.0,37.0,42.0,23.0,40.0,10.0,,90.0,94.0,6.9,23.0,0.126241,"{'original': 6.9, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,1.0,3.0,5.0,8.0,,1.0,,3.0,,4.0,3.0,,,1.0,4.0,,,,0.0485,,1.0,,,1.0,,,,,,,
Marc Guéhi,marc-guehi,M. Guéhi,D,6,182,7807,M,877994,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,963446400,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك غيهي', 'hi': 'मार्क गुएही', 'bn': 'মার্ক গুয়েহি'}, 'shortNameTranslation': {'ar': 'م. غيهي', 'hi': 'एम. गुएही', 'bn': 'এম. গুয়েহি'}}",62.0,49.0,9.0,2.0,33.0,38.0,16.0,24.0,6.0,,90.0,70.0,6.9,14.0,0.670949,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,3.0,3.0,6.0,,,,3.0,1.0,1.0,,1.0,,1.0,4.0,,,1.0,,MarcGuehi13,,,,,,,,,1.0,,
Tyrick Mitchell,tyrick-mitchell,T. Mitchell,M,3,174,1365,M,988275,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,936144000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيريك ميتشل', 'hi': 'टायरिक मिशेल', 'bn': 'টাইরিক মিচেল'}, 'shortNameTranslation': {'ar': 'ت. ميتشل', 'hi': 'टी. मिशेल', 'bn': 'টি. মিচেল'}}",22.0,15.0,2.0,,11.0,13.0,4.0,10.0,4.0,,90.0,48.0,6.8,12.0,0.0159574,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,,4.0,7.0,4.0,,,,4.0,3.0,3.0,2.0,1.0,1.0,1.0,,,,1.0,,,2.0,,,,,,,,,,
Jefferson Lerma,jefferson-lerma,J. Lerma,M,8,179,5382,M,355796,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,783043200,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيفرسون ليرما', 'hi': 'जेफरसन लेर्मा', 'bn': 'জেফারসন লারমা'}, 'shortNameTranslation': {'ar': 'ج. ليرما', 'hi': 'जे. लेर्मा', 'bn': 'জে. লারমা'}}",45.0,38.0,,,18.0,18.0,20.0,27.0,7.0,,90.0,55.0,6.5,11.0,0.0297722,"{'original': 6.5, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,8.0,13.0,4.0,3.0,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,,1.0,0.1883,jeffersonlerma,1.0,,,,,,,,,,
Chris Richards,chris-richards,C. Richards,D,26,188,2004,M,931844,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,954201600,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس ريتشاردز', 'hi': 'क्रिस रिचर्ड्स', 'bn': 'ক্রিস রিচার্ডস'}, 'shortNameTranslation': {'ar': 'ك. ريتشاردز', 'hi': 'सी. रिचर्ड्स', 'bn': 'সি. রিচার্ডস'}}",41.0,30.0,2.0,1.0,16.0,18.0,14.0,23.0,3.0,,90.0,59.0,7.4,11.0,0.0259384,"{'original': 7.4, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,1.0,2.0,11.0,,,,4.0,2.0,5.0,3.0,,1.0,,6.0,,,,,,,,1.0,,,,,,,,
Will Hughes,will-hughes,W. Hughes,M,19,185,1013,M,193554,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,798076800,"{'value': 5500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويل هيوز', 'hi': 'विल ह्यूजेस', 'bn': 'উইল হিউজেস'}, 'shortNameTranslation': {'ar': 'و. هيوز', 'hi': 'डब्ल्यू. ह्यूजेस', 'bn': 'ডব্লিউ. হিউজেস'}}",31.0,26.0,,,11.0,13.0,15.0,18.0,8.0,,82.0,45.0,6.9,7.0,0.104371,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,1.0,3.0,6.0,,,,,1.0,2.0,,2.0,,,1.0,,,3.0,,,2.0,,1.0,,,,,,,,
Michael Olise,michael-olise,M. Olise,M,17,185,65968,M,978838,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1008115200,"{'value': 125000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايكل أوليس', 'hi': 'माइकल ओलिस', 'bn': 'মাইকেল ওলিস'}, 'shortNameTranslation': {'ar': 'م. أوليس', 'hi': 'एम. ओलिस', 'bn': 'এম. ওলিস'}}",49.0,34.0,5.0,3.0,11.0,14.0,25.0,44.0,5.0,,90.0,77.0,7.0,29.0,0.204607,"{'original': 7, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,9.0,2.0,1.0,4.0,5.0,3.0,1.0,1.0,,1.0,,,2.0,,,,,,4.0,0.0412,MOlise,,,,1.0,1.0,,0.0156,,,,
Odsonne Édouard,odsonne-edouard,O. Édouard,F,19,187,5777,M,795228,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,884908800,"{'value': 7600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أودسون إدوارد', 'hi': 'ओडसन एडुआर्ड', 'bn': 'ওডসন এডওয়ার্ড'}, 'shortNameTranslation': {'ar': 'أ. إدوارد', 'hi': 'ओ. एडुआर्ड', 'bn': 'ও. এডওয়ার্ড'}}",21.0,16.0,1.0,,3.0,3.0,13.0,18.0,3.0,,87.0,32.0,7.5,6.0,0.0265417,"{'original': 7.5, 'alternative': 7.3}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,1.0,3.0,5.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,2.0,1.0,,1.0,0.6269,,,1.0,,1.0,1.0,1.0,0.5775,,,,
