name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,totalTackle,wonTackle,unsuccessfulTouch,fouls,outfielderBlock,interceptionWon,bigChanceMissed,onTargetScoringAttempt,expectedGoals,expectedGoalsOnTarget,keyPass,sofascoreId,wasFouled,bigChanceCreated,firstName,lastName,goalAssist,goals,accurateCross,shotOffTarget,totalOffside,blockedScoringAttempt,errorLeadToAGoal
Rodrigo Muniz,rodrigo-muniz,R. Muniz,F,9,184,4513,M,1015256,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,988934400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودريغو مونيز', 'hi': 'रोड्रिगो मुनिज़', 'bn': 'রদ্রিগো মুনিজ'}, 'shortNameTranslation': {'ar': 'ر. مونيز', 'hi': 'आर. मुनिज़', 'bn': 'আর. মুনিজ'}}",17.0,6.0,,,2.0,7.0,4.0,12.0,2.0,3.0,,,,,75.0,34.0,8.0,19.0,0.00074724,"{'original': 8, 'alternative': 8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,12.0,6.0,16.0,6.0,,3.0,1.0,,,,1.0,,,,,2.0,0.8846,1.8411,,RodrigoMuniz019,1.0,,,,,2.0,,,1.0,,
Harrison Reed,harrison-reed,H. Reed,M,6,176,269,M,365802,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,791164800,"{'value': 3200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاريسون ريد', 'hi': 'हैरिसन रीड', 'bn': 'হ্যারিসন রিড'}, 'shortNameTranslation': {'ar': 'ه. ريد', 'hi': 'एच. रीड', 'bn': 'এইচ. রিড'}}",7.0,5.0,,,4.0,4.0,1.0,3.0,1.0,,,,,,27.0,12.0,6.6,2.0,0.0005775,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,3.0,1.0,,,,,1.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,
Harry Wilson,harry-wilson,H. Wilson,M,8,173,4052,M,355528,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,858988800,"{'value': 22000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري ويلسون', 'hi': 'हैरी विल्सन', 'bn': 'হ্যারি উইলসন'}, 'shortNameTranslation': {'ar': 'ه. ويلسون', 'hi': 'एच. विल्सन', 'bn': 'এইচ. উইলসন'}}",6.0,3.0,2.0,,2.0,2.0,1.0,5.0,2.0,3.0,,,,,26.0,10.0,6.4,5.0,0.00049659,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,1.0,,3.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Armando Broja,armando-broja,A. Broja,F,27,191,8884,M,996985,"{'alpha2': 'AL', 'alpha3': 'ALB', 'name': 'Albania', 'slug': 'albania'}",EUR,1000080000,"{'value': 9100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أرماندو برويا', 'hi': 'अरमांडो ब्रोजा', 'bn': 'আরমান্দো ব্রজা'}, 'shortNameTranslation': {'ar': 'أ. برويا', 'hi': 'ए. ब्रोजा', 'bn': 'এ. ব্রজা'}}",3.0,2.0,,,,,2.0,3.0,,1.0,,,,,15.0,10.0,6.5,5.0,0.00046444,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,2.0,1.0,6.0,3.0,,2.0,2.0,2.0,,,1.0,3.0,,,,,,,,armando.broja,,,,,,,,,,,
Fodé Ballo-Touré,fode-ballo-toure,F. Ballo-Touré,D,97,177,1471,M,788170,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,852249600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فودي بالو توريه', 'hi': 'फ़ोडे बल्लो-टूरे', 'bn': 'ফোডে ব্যালো-টোরে'}, 'shortNameTranslation': {'ar': 'ف. بالو توريه', 'hi': 'एफ. बल्लो-टूरे', 'bn': 'এফ. বাল্লো-টোরে'}}",4.0,4.0,,,3.0,3.0,1.0,1.0,,2.0,,,,,13.0,8.0,6.7,2.0,0.00068912,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,2.0,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,
Adama Traoré,adama-traore,A. Traoré,F,11,178,10385,M,286165,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,822528000,"{'value': 7700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أداما تراوري', 'hi': 'एडाम ट्राओरे', 'bn': 'আদামা ট্রাওরে'}, 'shortNameTranslation': {'ar': 'أ. تراوري', 'hi': 'ए. ट्राओरे', 'bn': 'এ. ট্রাওরে'}}",2.0,1.0,,,1.0,2.0,,,,2.0,,,,,13.0,5.0,6.4,2.0,7.6e-06,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,adamatrd,,,,,,,,,,,
Marek Rodák,marek-rodak,M. Rodák,G,1,188,425,M,358694,"{'alpha2': 'SK', 'alpha3': 'SVK', 'name': 'Slovakia', 'slug': 'slovakia'}",EUR,850435200,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماريك روداك', 'hi': 'मारेक रोडाक', 'bn': 'মারেক রডাক'}, 'shortNameTranslation': {'ar': 'م. روداك', 'hi': 'एम. रोडाक', 'bn': 'এম. রডাক'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luc De Fougerolles,luc-de-fougerolles,L. D. Fougerolles,D,44,183,315,M,1413129,"{'alpha2': 'CA', 'alpha3': 'CAN', 'name': 'Canada', 'slug': 'canada'}",EUR,1129075200,"{'value': 1000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوك دي فوغيرول'}, 'shortNameTranslation': {'ar': 'ل. دي فوغيرول'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saša Lukić,sasa-lukic,S. Lukić,M,20,183,2089,M,371222,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia', 'slug': 'serbia'}",EUR,839894400,"{'value': 11300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساسا لوكيتش', 'hi': 'साशा लुकीच', 'bn': 'সাসা লুকিচ'}, 'shortNameTranslation': {'ar': 'س. لوكيتش', 'hi': 'एस. लुकीच', 'bn': 'এস. লুকিচ'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua King,joshua-king,J. King,M,24,172,1759,M,1546231,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1167782400,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوشوا كينغ'}, 'shortNameTranslation': {'ar': 'ج. كينغ'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,Joshua King,,,,,,,,
Neto,neto,Neto,G,22,190,5304,M,84844,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,616809600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}, 'shortNameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}}",23.0,12.0,14.0,3.0,9.0,11.0,3.0,12.0,1.0,9.0,2.0,4.0,,,90.0,36.0,6.6,12.0,0.00093866,"{'original': 6.6, 'alternative': 6.3}",0,1.0619,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,,,,,,,,,,,,,,,,,,,Neto_Murara,,,,,,,,,,,
Adam Smith,adam-smith,A. Smith,D,15,180,465,M,44566,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,672883200,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم سميث', 'hi': 'एडम स्मिथ', 'bn': 'অ্যাডাম স্মিথ'}, 'shortNameTranslation': {'ar': 'آ. سميث', 'hi': 'ए. स्मिथ', 'bn': 'এ. স্মিথ'}}",26.0,21.0,4.0,1.0,14.0,15.0,7.0,11.0,1.0,5.0,,,,,85.0,34.0,6.0,7.0,0.00575493,"{'original': 6, 'alternative': 5.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Ilya Zabarnyi,illia-zabarnyi,I. Zabarnyi,D,6,189,16673,M,1023567,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1030838400,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيليا زابارني', 'hi': 'इलिया ज़बरनयी', 'bn': 'ইলিয়া জাবারনি'}, 'shortNameTranslation': {'ar': 'إ. زابارني', 'hi': 'आई. ज़बरनयी', 'bn': 'আই. জাবারনি'}}",46.0,39.0,6.0,4.0,24.0,29.0,15.0,17.0,6.0,2.0,,,,,90.0,65.0,7.4,8.0,0.0406873,"{'original': 7.4, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,4.0,10.0,4.0,13.0,,,,,3.0,3.0,1.0,,,2.0,,,0.049,,1.0,IlliaZabarnyi,,,,,,,,,,2.0,
Marcos Senesi,marcos-senesi,M. Senesi,D,5,184,4999,M,830659,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,863222400,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس سينيسي', 'hi': 'मार्कोस सेनेसी', 'bn': 'মার্কোস সেনেসি'}, 'shortNameTranslation': {'ar': 'م. سينيسي', 'hi': 'एम. सेनेसी', 'bn': 'এম. সেনেসি'}}",75.0,66.0,13.0,9.0,38.0,41.0,29.0,37.0,4.0,12.0,,,,,90.0,93.0,8.3,12.0,0.683137,"{'original': 8.3, 'alternative': 8.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,2.0,3.0,3.0,7.0,1.0,,2.0,2.0,1.0,1.0,,1.0,,1.0,,1.0,0.1087,0.3379,3.0,,2.0,1.0,,,,1.0,1.0,,,,
Lloyd Kelly,lloyd-kelly,L. Kelly,D,6,191,2786,M,865167,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,907632000,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويد كيلي', 'hi': 'लॉयड केली', 'bn': 'লয়েড কেলি'}, 'shortNameTranslation': {'ar': 'ل. كيلي', 'hi': 'एल. केली', 'bn': 'এল. কেলি'}}",27.0,20.0,3.0,,14.0,15.0,6.0,13.0,5.0,5.0,,,,,45.0,42.0,6.4,10.0,0.00306382,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,2.0,1.0,3.0,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,
Ryan Christie,ryan-christie,R. Christie,M,10,178,1202,M,322391,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,793411200,"{'value': 9700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان كريستي', 'hi': 'रयान क्रिस्टी', 'bn': 'রায়ান ক্রিস্টি'}, 'shortNameTranslation': {'ar': 'ر. كريستي', 'hi': 'आर. क्रिस्टी', 'bn': 'আর. ক্রিস্টি'}}",48.0,36.0,5.0,3.0,13.0,14.0,24.0,37.0,,12.0,,,,,90.0,71.0,6.7,21.0,0.911432,"{'original': 6.7, 'alternative': 6.6}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,2.0,3.0,13.0,6.0,3.0,1.0,4.0,,2.0,,2.0,3.0,,3.0,,,0.1468,,1.0,,1.0,,,,,,1.0,3.0,,1.0,
Lewis Cook,lewis-cook,L. Cook,M,4,175,837,M,548188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,854928000,"{'value': 13700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس كوك', 'hi': 'लुईस कुक', 'bn': 'লুইস কুক'}, 'shortNameTranslation': {'ar': 'ل. كوك', 'hi': 'एल. कुक', 'bn': 'এল. কুক'}}",51.0,45.0,3.0,,22.0,23.0,24.0,33.0,1.0,9.0,,,,,90.0,68.0,6.1,13.0,0.0967103,"{'original': 6.1, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,,,2.0,3.0,1.0,,,,2.0,1.0,3.0,2.0,,1.0,,,,,1.0,,1.0,,,,,,1.0,,,,1.0
Marcus Tavernier,marcus-tavernier,M. Tavernier,M,16,178,1676,M,895576,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,922060800,"{'value': 18200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس تافيرنييه', 'hi': 'मार्कस टैवर्नियर', 'bn': 'মার্কাস ট্যাভার্নিয়ার'}, 'shortNameTranslation': {'ar': 'م. تافيرنييه', 'hi': 'एम. टैवर्नियर', 'bn': 'এম. ট্যাভার্নিয়ার'}}",25.0,20.0,1.0,,6.0,8.0,17.0,25.0,,2.0,,,,,69.0,46.0,7.1,16.0,0.488164,"{'original': 7.1, 'alternative': 7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,8.0,6.0,3.0,10.0,5.0,,1.0,3.0,,1.0,1.0,2.0,,,,,1.0,0.1083,0.0884,4.0,,1.0,1.0,,,,,3.0,1.0,,1.0,
Alex Scott,alex-scott,A. Scott,M,8,178,2151,M,1104986,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1061596800,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس سكوت', 'hi': 'एलेक्स स्कॉट', 'bn': 'অ্যালেক্স স্কট'}, 'shortNameTranslation': {'ar': 'أ. سكوت', 'hi': 'ए. स्कॉट', 'bn': 'এ. স্কট'}}",27.0,20.0,2.0,1.0,8.0,11.0,12.0,17.0,,3.0,,,,,63.0,40.0,6.5,13.0,0.0349399,"{'original': 6.5, 'alternative': 6.3}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,2.0,2.0,8.0,4.0,1.0,,4.0,,1.0,,1.0,1.0,,,,1.0,0.1542,0.2579,2.0,,1.0,,Alex Scott,,,,,1.0,,1.0,
Luis Sinisterra,luis-sinisterra,L. Sinisterra,F,17,176,6517,M,836070,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,929577600,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس سينيستيرا', 'hi': 'लुइस सिनिस्टर्रा', 'bn': 'লুইস সিনিস্টেরা'}, 'shortNameTranslation': {'ar': 'ل. سينيستيرا', 'hi': 'एल. सिनिस्टर्रा', 'bn': 'এল. সিনিস্টেরা'}}",27.0,19.0,,,9.0,10.0,10.0,19.0,,2.0,,,,,69.0,41.0,7.0,14.0,0.0999754,"{'original': 7, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,2.0,1.0,4.0,3.0,,1.0,1.0,,2.0,1.0,1.0,,,,,1.0,0.0698,0.3295,2.0,Sinisterra29,,,,,,,,1.0,,,
Dominic Solanke,dominic-solanke,D. Solanke,F,19,186,10997,M,361420,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,874195200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دومينيك سولانكي', 'hi': 'डोमिनिक सोलंके', 'bn': 'ডমিনিক সোলাঙ্কে'}, 'shortNameTranslation': {'ar': 'د. سولانكي', 'hi': 'डी. सोलंके', 'bn': 'ডি. সোলাঙ্কে'}}",19.0,12.0,,,4.0,4.0,8.0,15.0,,3.0,,,,,90.0,36.0,7.0,14.0,0.251371,"{'original': 7, 'alternative': 6.8}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,5.0,4.0,9.0,8.0,1.0,,4.0,2.0,2.0,1.0,5.0,2.0,,,1.0,,0.7221,,2.0,Dom_Solanke,,1.0,,,1.0,,,2.0,,3.0,
