name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,aerialWon,duelLost,duelWon,outfielderBlock,interceptionWon,totalTackle,wonTackle,totalOffside,shotOffTarget,expectedGoals,totalContest,keyPass,wonContest,unsuccessfulTouch,wasFouled,accurateCross,dispossessed,onTargetScoringAttempt,blockedScoringAttempt,goals,fouls,expectedGoalsOnTarget,goalAssist,bigChanceCreated,challengeLost,goodHighClaim,punches,bigChanceMissed,hitWoodwork
Odsonne Édouard,,,odsonne-edouard,O. Édouard,F,19,187,5777,M,,795228,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,884908800,"{'value': 7600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أودسون إدوارد', 'hi': 'ओडसन एडुआर्ड', 'bn': 'ওডসন এডওয়ার্ড'}, 'shortNameTranslation': {'ar': 'أ. إدوارد', 'hi': 'ओ. एडुआर्ड', 'bn': 'ও. এডওয়ার্ড'}}",3.0,3.0,,,1.0,1.0,2.0,2.0,,1.0,,,,,12.0,7.0,6.3,3.0,0.00106604,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,2.0,,5.0,1.0,,,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,1.0,,,,
Sam Johnstone,,,sam-johnstone,S. Johnstone,G,31,193,643,M,,98427,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,733017600,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سام جونستون', 'hi': 'सैम जॉनस्टोन', 'bn': 'স্যাম জনস্টোন'}, 'shortNameTranslation': {'ar': 'س. جونستون', 'hi': 'एस. जॉनस्टोन', 'bn': 'এস. জনস্টোন'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathaniel Clyne,,,nathaniel-clyne,N. Clyne,D,17,175,674,M,,43215,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,670809600,"{'value': 465000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثانييل كلاين', 'hi': 'नाथनियल क्लाइन', 'bn': 'নাথানিয়েল ক্লাইন'}, 'shortNameTranslation': {'ar': 'ن. كلاين', 'hi': 'एन. क्लाइन', 'bn': 'এন. ক্লাইন'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Tomkins,,,james-tomkins,J. Tomkins,D,,192,104,M,,32124,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,607132800,,"{'nameTranslation': {'ar': 'جيمس تومكينز', 'hi': 'जेम्स टॉमकिंस', 'bn': 'জেমস টমকিন্স'}, 'shortNameTranslation': {'ar': 'ج. تومكينز', 'hi': 'जे. टॉमकिंस', 'bn': 'জে. টমকিন্স'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naouirou Ahamada,,,naouirou-ahamada,N. Ahamada,M,28,183,422,M,,997104,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1017360000,"{'value': 3400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نويرو أحمادا', 'hi': 'नाओइरौ अहमदा', 'bn': 'নাউইরু আহমাদা'}, 'shortNameTranslation': {'ar': 'ن. أحمادا', 'hi': 'एन. अहमदा', 'bn': 'এন. আহমাদা'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaïro Riedewald,,,jairo-riedewald,J. Riedewald,M,44,186,1300,M,,285989,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,842227200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيرو ريدوالد', 'hi': 'जैरो रीडेवाल्ड', 'bn': 'জাইরো রিডেওয়াল্ড'}, 'shortNameTranslation': {'ar': 'ج. ريدوالد', 'hi': 'जे. रीडेवाल्ड', 'bn': 'জে. রিডেওয়াল্ড'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matheus França,Matheus França,,matheus-franca,Matheus França,F,9,184,3730,M,,1116593,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1080777600,"{'value': 9300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتيوس فرانكا', 'hi': 'मैथियस फ्रांस', 'bn': 'ম্যাথিউস ফ্রাঙ্কা'}, 'shortNameTranslation': {'ar': 'م. فرانكا', 'hi': 'मैथियस फ्रांस', 'bn': 'ম্যাথিউস ফ্রাঙ্কা'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivo Grbić,,,ivo-grbic,I. Grbić,G,13,195,1148,M,,283847,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,821923200,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفو غريبيتش', 'hi': 'इवो ग्रबिक', 'bn': 'আইভো গ্রবিক'}, 'shortNameTranslation': {'ar': 'إ. غريبيتش', 'hi': 'आई. ग्रबिक', 'bn': 'আই. গ্রবিক'}}",14.0,11.0,7.0,4.0,9.0,10.0,2.0,4.0,1.0,5.0,,,,,52.0,21.0,6.4,4.0,0.00019151,"{'original': 6.4, 'alternative': 6.1}",0,-0.7748,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,1.0,,
Jayden Bogle,,,bogle-jayden,J. Bogle,D,2,178,740,M,,929132,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,964656000,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوجل، جايدن', 'hi': 'बोगल, जेडन', 'bn': 'বোগল, জেডেন'}, 'shortNameTranslation': {'ar': 'ج. ب.', 'hi': 'जे. बोगल', 'bn': 'জে. বোগল'}}",43.0,26.0,5.0,,13.0,17.0,16.0,31.0,4.0,5.0,,,,,90.0,81.0,6.2,27.0,0.296198,"{'original': 6.2, 'alternative': 5.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,,3.0,8.0,6.0,,2.0,3.0,3.0,,,,2.0,1.0,,3.0,,3.0,2.0,,,,3.0,,,,2.0,,,,
Anel Ahmedhodžić,,,anel-ahmedhodzic,A. Ahmedhodžić,D,21,190,1558,M,,825899,"{'alpha2': 'BA', 'alpha3': 'BIH', 'name': 'Bosnia & Herzegovina', 'slug': 'bosnia-and-herzegovina'}",EUR,922406400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنيل أحمدهودزيتش', 'hi': 'एनेल अहमदहोदज़िक', 'bn': 'আনেল আহমেদহোডজিক'}, 'shortNameTranslation': {'ar': 'أ. أحمدهودزيتش', 'hi': 'ए. अहमदहोदज़िक', 'bn': 'এ. আহমেদহোদজিচ'}}",51.0,37.0,9.0,2.0,26.0,31.0,11.0,20.0,5.0,2.0,,,,,90.0,71.0,6.6,16.0,0.00243066,"{'original': 6.6, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,2.0,4.0,9.0,,3.0,7.0,4.0,,1.0,0.2513,,,,1.0,,,1.0,,,,3.0,,,,,,,1.0,1.0
Jack Robinson,,,jack-robinson,J. Robinson,D,6,180,180,M,,98454,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,746841600,"{'value': 520000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك روبنسون', 'hi': 'जैक रॉबिन्सन', 'bn': 'জ্যাক রবিনসন'}, 'shortNameTranslation': {'ar': 'ج. روبنسون', 'hi': 'जे. रॉबिन्सन', 'bn': 'জে. রবিনসন'}}",27.0,22.0,8.0,3.0,17.0,19.0,5.0,8.0,7.0,1.0,,,,,82.0,41.0,6.6,6.0,0.0013392,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,3.0,1.0,4.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,
Auston Trusty,,,auston-trusty,A. Trusty,D,6,188,820,M,,822459,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,902880000,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوستون تراستي', 'hi': 'ऑस्टन ट्रस्टी', 'bn': 'অস্টন ট্রাস্টি'}, 'shortNameTranslation': {'ar': 'أ. تراستي', 'hi': 'ए. ट्रस्टी', 'bn': 'এ. ট্রাস্টি'}}",40.0,34.0,3.0,1.0,27.0,30.0,7.0,10.0,5.0,1.0,,,,,90.0,56.0,6.6,8.0,0.00564385,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,4.0,5.0,9.0,1.0,,5.0,3.0,,,,,1.0,,,,,,,,,1.0,,,,3.0,,,,
Vinícius Souza,,,vinicius-souza,Vinicius,M,5,187,1676,M,,979290,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,929577600,"{'value': 14200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فينيسيوس سوزا', 'hi': 'विनिसियस सूज़ा', 'bn': 'ভিনিসিয়াস সুজা'}, 'shortNameTranslation': {'ar': 'ف. سوزا', 'hi': 'वी. सूज़ा', 'bn': 'ভি. সুজা'}}",49.0,40.0,9.0,5.0,23.0,27.0,17.0,22.0,6.0,8.0,,,,,90.0,85.0,7.7,17.0,0.0968263,"{'original': 7.7, 'alternative': 7.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,4.0,7.0,15.0,,4.0,10.0,8.0,,,,1.0,1.0,1.0,2.0,2.0,,5.0,,,,1.0,,,,,,,,
James McAtee,,,james-mcatee,J. McAtee,M,24,180,10990,M,jamesmcatee_,1003334,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034899200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس مكاتي', 'hi': 'जेम्स मैकएटी', 'bn': 'জেমস ম্যাকাটি'}, 'shortNameTranslation': {'ar': 'ج. مكاتي', 'hi': 'जे. मैकएटी', 'bn': 'জে. ম্যাকাটি'}}",28.0,21.0,,,8.0,11.0,14.0,18.0,,7.0,,,,,90.0,49.0,6.4,18.0,0.03068,"{'original': 6.4, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,1.0,11.0,4.0,,,2.0,,,,0.1406,3.0,,,4.0,1.0,1.0,4.0,1.0,,1.0,1.0,0.2007,,,2.0,,,,
Gustavo Hamer,,,gustavo-hamer,G. Hamer,M,8,169,1022,M,,837495,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,867110400,"{'value': 16800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غوستافو هامير', 'hi': 'गुस्तावो हैमर', 'bn': 'গুস্তাভো হ্যামার'}, 'shortNameTranslation': {'ar': 'غ. هامير', 'hi': 'जी. हैमर', 'bn': 'জি. হ্যামার'}}",32.0,26.0,7.0,4.0,14.0,17.0,12.0,15.0,1.0,2.0,,,,,87.0,40.0,6.4,9.0,0.0160929,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,,7.0,1.0,,1.0,1.0,1.0,,,,2.0,1.0,,1.0,,,,,,,2.0,,1.0,,2.0,,,,
Anis Ben Slimane,,,anis-ben-slimane,A. B. Slimane,M,20,188,2213,M,,1006147,"{'alpha2': 'TN', 'alpha3': 'TUN', 'name': 'Tunisia', 'slug': 'tunisia'}",EUR,984700800,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنيس بن سليمان', 'hi': 'अनीस बेन स्लीमेन', 'bn': 'আনিস বেন স্লিমান'}, 'shortNameTranslation': {'ar': 'أ. بن سليمان', 'hi': 'एबी बेन', 'bn': 'এ. বি. স্লিমান'}}",19.0,12.0,1.0,,8.0,10.0,4.0,9.0,,2.0,,,,,45.0,29.0,6.3,11.0,0.00391195,"{'original': 6.3, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,1.0,5.0,3.0,,1.0,2.0,2.0,,,,1.0,,,,,,3.0,,,,,,,,,,,,
Ben Brereton Díaz,,,ben-brereton-diaz,B. Brereton Díaz,M,25,188,6193,M,ben.brereton,867583,"{'alpha2': 'CL', 'alpha3': 'CHL', 'name': 'Chile', 'slug': 'chile'}",EUR,924393600,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن بريريتون دياز', 'hi': 'बेन ब्रेरेटन डियाज़', 'bn': 'বেন ব্রেরেটন দিয়াজ'}, 'shortNameTranslation': {'ar': 'ب. بريريتون دياز', 'hi': 'बी. ब्रेरेटन डियाज़', 'bn': 'বি. ব্রেরেটন দিয়াজ'}}",8.0,4.0,1.0,,1.0,3.0,3.0,5.0,,2.0,,,,,45.0,15.0,7.1,6.0,0.00064965,"{'original': 7.1, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,2.0,2.0,4.0,,,1.0,1.0,1.0,,0.0467,,,,1.0,1.0,,,1.0,,1.0,1.0,0.1789,,,,,,,
