name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,duelLost,duelWon,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,fouls,totalOffside,aerialLost,dispossessed,totalClearance,keyPass,totalCross,accurateCross,aerialWon,shotOffTarget,unsuccessfulTouch,wasFouled,expectedGoals,bigChanceMissed,blockedScoringAttempt,outfielderBlock,challengeLost,onTargetScoringAttempt,goals,expectedGoalsOnTarget,bigChanceCreated,goalAssist,hitWoodwork,errorLeadToAShot,savedShotsFromInsideTheBox,errorLeadToAGoal,ownGoals
Heung-min Son,heung-min-son,H. M. Son,F,7,184,126618,M,HMSon,111505,"{'alpha2': 'KR', 'alpha3': 'KOR', 'name': 'South Korea', 'slug': 'south-korea'}",EUR,710553600,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هيونغ مين سون', 'hi': 'ह्युंग-मिन सोन', 'bn': 'হেউং-মিন সন'}, 'shortNameTranslation': {'ar': 'ه. م. سون', 'hi': 'एच.एम. सोन', 'bn': 'এইচ. এম. সন'}}",20.0,17.0,1.0,1.0,7.0,7.0,10.0,13.0,2.0,,,90.0,30.0,8.0,5.0,0.02586,"{'original': 8, 'alternative': 8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,,4.0,2.0,2.0,,1.0,,,,,,,2.0,,,1.0,,2.0,,0.1337,,,,,1.0,1.0,0.1737,,1.0,,,,,1.0
Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,8,185,4466,M,hojbjerg23,149593,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,807580800,"{'value': 18100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيير إيميل هويبيرج', 'hi': 'पियरे-एमिले होजबर्ज', 'bn': 'পিয়েরে-এমিল হজবজের্গ'}, 'shortNameTranslation': {'ar': 'ب. هويبيرج', 'hi': 'पी. होजबर्ज', 'bn': 'পি. হজবজের্গ'}}",40.0,35.0,3.0,2.0,21.0,24.0,14.0,17.0,2.0,,,45.0,45.0,6.5,6.0,0.00966613,"{'original': 6.5, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,2.0,,,,,,,2.0,,,,2.0,,1.0,,,,,,0.0201,,1.0,,1.0,,,,,,,,,,
Oliver Skipp,skipp-oliver,O. Skipp,M,22,175,1368,M,,859901,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,969062400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكيب، أوليفر', 'hi': 'स्किप, ओलिवर', 'bn': 'স্কিপ, অলিভার'}, 'shortNameTranslation': {'ar': 'أ. سكيب', 'hi': 'ओ. स्किप', 'bn': 'ও. স্কিপ'}}",9.0,9.0,,,5.0,5.0,4.0,4.0,2.0,,,11.0,12.0,6.7,,0.00184719,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,3.0,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,
Richarlison,richarlison,Richarlison,F,9,184,46727,M,Richarlison,840217,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,863222400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريتشارليسون', 'hi': 'रिचर्डसन', 'bn': 'রিচার্লিসন'}, 'shortNameTranslation': {'ar': 'ريتشارليسون', 'hi': 'रिचर्डसन', 'bn': 'রিচার্লিসন'}}",1.0,,,,,,,1.0,,,,11.0,2.0,6.4,2.0,,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,3.0,,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
Jamie Donley,jamie-donley,J. Donley,M,14,183,1466,M,,1150934,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,1104710400,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمي دونلي', 'hi': 'जेमी डोनली', 'bn': 'জেমি ডনলি'}, 'shortNameTranslation': {'ar': 'ج. دونلي', 'hi': 'जे. डोनली', 'bn': 'জে. ডনলি'}}",,,,,,,,,,,,1.0,2.0,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,Jamie Donley,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
Fraser Forster,fraser-forster,F. Forster,G,,201,1211,M,,19314,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,574560000,"{'value': 660000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فريزر فورستر', 'hi': 'फ्रेजर फोर्स्टर', 'bn': 'ফ্রেজার ফরস্টার'}, 'shortNameTranslation': {'ar': 'ف. فورستر', 'hi': 'एफ. फोर्स्टर', 'bn': 'এফ. ফরস্টার'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Austin,austin-brandon,B. Austin,G,40,188,1393,M,,859896,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,915753600,"{'value': 530000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوستن، براندون', 'hi': 'ऑस्टिन, ब्रैंडन', 'bn': 'অস্টিন, ব্র্যান্ডন'}, 'shortNameTranslation': {'ar': 'ب. أوستن', 'hi': 'बी. ऑस्टिन', 'bn': 'বি. অস্টিন'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfie Dorrington,dorrington-alfie,A. Dorrington,D,26,192,513,M,,1177610,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1113955200,"{'value': 720000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دورنجتون، ألفي', 'hi': 'डोरिंगटन, अल्फी', 'bn': 'ডরিংটন, আলফি'}, 'shortNameTranslation': {'ar': 'أ. دورنجتون', 'hi': 'ए. डोरिंगटन', 'bn': 'এ. ডরিংটন'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yago Santiago,yago-santiago,Y. Santiago,M,7,177,368,M,,1092515,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,1047686400,"{'value': 855000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ياجو سانتياجو', 'hi': 'यागो सैंटियागो', 'bn': 'ইয়াগো সান্তিয়াগো'}, 'shortNameTranslation': {'ar': 'ي. سانتياجو', 'hi': 'वाई. सैंटियागो', 'bn': 'ওয়াই. সান্তিয়াগো'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alejo Véliz,alejo-veliz,A. Véliz,F,9,187,3176,M,aleeveliz,1116987,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1063929600,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليخو فيليز', 'hi': 'एलेजो वेलिज़', 'bn': 'আলেজো ভেলিজ'}, 'shortNameTranslation': {'ar': 'أ. فيليز', 'hi': 'ए. वेलिज़', 'bn': 'এ. ভেলিজ'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,Alejo Veliz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
