name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,duelLost,duelWon,dispossessed,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,aerialLost,aerialWon,outfielderBlock,challengeLost,totalOffside,bigChanceCreated,onTargetScoringAttempt,blockedScoringAttempt,expectedGoals,expectedGoalsOnTarget,accurateCross,firstName,shotOffTarget,bigChanceMissed,lastName,goalAssist,goals
Dominic Solanke,dominic-solanke,D. Solanke,F,19,186,10997,M,Dom_Solanke,361420,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,874195200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دومينيك سولانكي', 'hi': 'डोमिनिक सोलंके', 'bn': 'ডমিনিক সোলাঙ্কে'}, 'shortNameTranslation': {'ar': 'د. سولانكي', 'hi': 'डी. सोलंके', 'bn': 'ডি. সোলাঙ্কে'}}",11.0,9.0,,,4.0,4.0,5.0,7.0,,,,,,83.0,27.0,6.6,7.0,0.00322583,"{'original': 6.6, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,9.0,5.0,1.0,3.0,2.0,1.0,,,,3.0,2.0,1.0,,6.0,1.0,,,,,,1.0,0.0591,,,,,,,,
Lloyd Kelly,lloyd-kelly,L. Kelly,D,6,191,2786,M,,865167,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,907632000,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويد كيلي', 'hi': 'लॉयड केली', 'bn': 'লয়েড কেলি'}, 'shortNameTranslation': {'ar': 'ل. كيلي', 'hi': 'एल. केली', 'bn': 'এল. কেলি'}}",23.0,16.0,4.0,2.0,9.0,11.0,7.0,12.0,6.0,,,,,35.0,32.0,6.2,10.0,0.00304641,"{'original': 6.2, 'alternative': 6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,3.0,3.0,1.0,,,,,2.0,2.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,
Alex Scott,alex-scott,A. Scott,M,8,178,2151,M,,1104986,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1061596800,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس سكوت', 'hi': 'एलेक्स स्कॉट', 'bn': 'অ্যালেক্স স্কট'}, 'shortNameTranslation': {'ar': 'أ. سكوت', 'hi': 'ए. स्कॉट', 'bn': 'এ. স্কট'}}",11.0,8.0,,,5.0,6.0,3.0,5.0,,,,,,35.0,24.0,6.7,6.0,0.00084639,"{'original': 6.7, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,3.0,6.0,,1.0,1.0,,1.0,3.0,1.0,3.0,2.0,,,3.0,,,,,,,,0.0308,,,Alex Scott,1.0,,,,
David Brooks,david-brooks,D. Brooks,M,7,173,1194,M,,855731,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,868320000,"{'value': 11000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دافيد بروكس', 'hi': 'डेविड ब्रूक्स', 'bn': 'ডেভিড ব্রুকস'}, 'shortNameTranslation': {'ar': 'د. بروكس', 'hi': 'डी. ब्रूक्स', 'bn': 'ডি. ব্রুকস'}}",7.0,6.0,2.0,2.0,2.0,2.0,6.0,8.0,2.0,,,,,21.0,19.0,6.7,3.0,0.0489351,"{'original': 6.7, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,3.0,2.0,3.0,,4.0,3.0,,,,,,,,1.0,1.0,,,,,1.0,,,0.5058,,2.0,,2.0,1.0,,,
Philip Billing,philip-billing,P. Billing,M,8,193,1832,M,,548660,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,834451200,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيليب بيلينغ', 'hi': 'फिलिप बिलिंग', 'bn': 'ফিলিপ বিলিং'}, 'shortNameTranslation': {'ar': 'ف. بيلينغ', 'hi': 'पी. बिलिंग', 'bn': 'পি. বিলিং'}}",3.0,2.0,,,2.0,3.0,,,,,,,,16.0,5.0,6.4,1.0,8.174e-05,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Kieffer Moore,kieffer-moore,K. Moore,F,19,195,1406,M,,298366,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,713232000,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيفر مور', 'hi': 'किफ़र मूर', 'bn': 'কিফার মুর'}, 'shortNameTranslation': {'ar': 'ك. مور', 'hi': 'के. मूर', 'bn': 'কে. মুর'}}",2.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,16.0,6.0,6.2,2.0,0.00763132,"{'original': 6.2, 'alternative': 6.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,2.0,1.0,,,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,0.409,,,,1.0,1.0,,,
Mark Travers,mark-travers,M. Travers,G,12,191,606,M,,856720,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,926985600,"{'value': 3800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك ترافيرس', 'hi': 'मार्क ट्रैवर्स', 'bn': 'মার্ক ট্র্যাভার্স'}, 'shortNameTranslation': {'ar': 'م. ترافيرس', 'hi': 'एम. ट्रैवर्स', 'bn': 'এম. ট্রাভার্স'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavin Kilkenny,gavin-kilkenny,G. Kilkenny,M,18,175,127,M,,989345,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,949363200,"{'value': 340000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جافين كيلكيني', 'hi': 'गैविन किलकेनी', 'bn': 'গ্যাভিন কিলকেনি'}, 'shortNameTranslation': {'ar': 'ج. كيلكيني', 'hi': 'जी. किलकेनी', 'bn': 'জি. কিলকেনি'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Greenwood,greenwood-ben,B. Greenwood,M,,170,29,M,,1130223,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1045699200,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جرينوود، بن', 'hi': 'ग्रीनवुड, बेन', 'bn': 'গ্রিনউড, বেন'}, 'shortNameTranslation': {'ar': 'ب. جرينوود', 'hi': 'बी. ग्रीनवुड', 'bn': 'বি. গ্রিনউড'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,Ben,,,Greenwood,,
Emiliano Marcondes,emiliano-marcondes,E. Marcondes,M,11,185,245,M,,186809,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,794707200,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إميليانو ماركونديس', 'hi': 'एमिलियानो मार्कोंडेस', 'bn': 'এমিলিয়ানো মার্কোন্ডেস'}, 'shortNameTranslation': {'ar': 'إ. ماركونديس', 'hi': 'ई. मार्कोंडेस', 'bn': 'ই. মার্কন্ডেস'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alisson,alisson,Alisson,G,1,193,66760,M,AlissonBecker,243609,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,717984000,"{'value': 18700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليسون', 'hi': 'एलिसन', 'bn': 'অ্যালিসন'}, 'shortNameTranslation': {'ar': 'أليسون', 'hi': 'एलिसन', 'bn': 'অ্যালিসন'}}",41.0,34.0,12.0,7.0,33.0,36.0,1.0,5.0,6.0,,1.0,1.0,,90.0,47.0,7.0,8.0,0.0002565,"{'original': 7, 'alternative': 7.1}",0,0.1602,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Conor Bradley,bradley-conor,C. Bradley,D,12,181,15669,M,conorbradley03,1008402,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,1057708800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برادلي، كونور', 'hi': 'ब्रैडली, कॉनर', 'bn': 'ব্র্যাডলি, কনর'}, 'shortNameTranslation': {'ar': 'ك. برادلي', 'hi': 'सी. ब्रैडली', 'bn': 'সি. ব্র্যাডলি'}}",33.0,21.0,5.0,,9.0,13.0,13.0,24.0,4.0,,,,,83.0,76.0,7.0,24.0,0.0790256,"{'original': 7, 'alternative': 6.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,9.0,7.0,2.0,4.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,,2.0,,2.0,,,1.0,1.0,0.2713,0.4493,1.0,,1.0,,,1.0,
Ibrahima Konaté,ibrahima-konate,I. Konaté,D,5,195,27389,M,ibrahimakonate,826215,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,927590400,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إبراهيما كوناتي', 'hi': 'इब्राहीमा कोनाटे', 'bn': 'ইব্রাহিম কোনাতে'}, 'shortNameTranslation': {'ar': 'إ. كوناتي', 'hi': 'आई. कोनाटे', 'bn': 'আই. কোনাতে'}}",83.0,71.0,12.0,5.0,38.0,42.0,33.0,41.0,5.0,,,,,90.0,100.0,7.8,12.0,0.0278475,"{'original': 7.8, 'alternative': 7.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,12.0,,2.0,2.0,9.0,1.0,1.0,1.0,,1.0,,1.0,2.0,8.0,,1.0,,,,,,,,,,,,,
Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,4,195,103743,M,VvD,151545,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,678931200,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيرجيل فان دايك', 'hi': 'वर्जिल वान डिक', 'bn': 'ভার্জিল ভ্যান ডাইক'}, 'shortNameTranslation': {'ar': 'ف. فان دايك', 'hi': 'वी. वान डिक', 'bn': 'ভি. ভ্যান ডাইক'}}",52.0,47.0,4.0,1.0,36.0,38.0,11.0,14.0,6.0,,,,,90.0,64.0,7.6,5.0,0.00306405,"{'original': 7.6, 'alternative': 7.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,3.0,3.0,,,,4.0,,,,,,1.0,,2.0,3.0,5.0,,,,,,,,,,,,,,
Joe Gomez,joe-gomez,J. Gomez,D,2,188,14017,M,joegomez5,318927,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,864345600,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو غوميز', 'hi': 'जो गोमेज़', 'bn': 'জো গোমেজ'}, 'shortNameTranslation': {'ar': 'ج. غوميز', 'hi': 'जे. गोमेज़', 'bn': 'জে গোমেজ'}}",55.0,44.0,7.0,4.0,22.0,25.0,23.0,31.0,4.0,,,,,90.0,77.0,7.1,17.0,0.180896,"{'original': 7.1, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,9.0,4.0,2.0,2.0,1.0,4.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,3.0,,1.0,,1.0,0.0212,,1.0,,,,,1.0,
Harvey Elliott,harvey-elliott,H. Elliott,M,19,170,21929,M,harvelliott,955245,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1049414400,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هارفي إليوت', 'hi': 'हार्वे इलियट', 'bn': 'হার্ভে এলিয়ট'}, 'shortNameTranslation': {'ar': 'ه. إليوت', 'hi': 'एच. इलियट', 'bn': 'এইচ. এলিয়ট'}}",40.0,35.0,1.0,1.0,14.0,15.0,21.0,31.0,4.0,,,,,64.0,56.0,7.5,13.0,0.0573828,"{'original': 7.5, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,6.0,2.0,4.0,1.0,,,1.0,,4.0,4.0,1.0,,1.0,,,,,,,,,1.0,0.1694,,,,,,,,
Alexis Mac Allister,alexis-mac-allister,A. Mac Allister,M,10,176,73401,M,Macca10,895324,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,914457600,"{'value': 93000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكسيس ماك أليستر', 'hi': 'एलेक्सिस मैक एलिस्टर', 'bn': 'অ্যালেক্সিস ম্যাক অ্যালিস্টার'}, 'shortNameTranslation': {'ar': 'أ. ماك أليستر', 'hi': 'ए. मैक एलिस्टर', 'bn': 'এ. ম্যাক অ্যালিস্টার'}}",72.0,63.0,9.0,5.0,36.0,40.0,28.0,33.0,15.0,,,,,90.0,98.0,7.8,12.0,0.0375746,"{'original': 7.8, 'alternative': 8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,6.0,14.0,,1.0,,1.0,3.0,9.0,3.0,2.0,3.0,,4.0,,2.0,,5.0,,,,,0.017,,1.0,,1.0,,,,
Curtis Jones,curtis-jones,C. Jones,M,17,185,17493,M,curtisjones,927353,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,980812800,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيرتس جونز', 'hi': 'कर्टिस जोन्स', 'bn': 'কার্টিস জোন্স'}, 'shortNameTranslation': {'ar': 'ك. جونز', 'hi': 'सी. जोन्स', 'bn': 'সি. জোন্স'}}",52.0,49.0,2.0,2.0,20.0,21.0,29.0,33.0,9.0,,,,,83.0,70.0,7.4,8.0,0.0631154,"{'original': 7.4, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,,,,1.0,,,,,,,,0.0976,,,,1.0,,,,
Luis Díaz,luis-diaz,L. Díaz,F,14,178,140854,M,LuisDíaz,883537,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دياز', 'hi': 'लुइस डियाज़', 'bn': 'লুইস দিয়াজ'}, 'shortNameTranslation': {'ar': 'ل. دياز', 'hi': 'एल. डियाज़', 'bn': 'এল. দিয়াজ'}}",19.0,17.0,2.0,2.0,6.0,6.0,11.0,14.0,2.0,,,,,64.0,32.0,6.7,7.0,0.0404353,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,5.0,2.0,2.0,1.0,,,,1.0,,1.0,,,,1.0,1.0,,1.0,,,1.0,,0.019,0.1122,,,,,,,
Diogo Jota,diogo-jota,D. Jota,F,,178,33671,M,DiogoJ18,606164,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,849657600,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديوغو جوتا', 'hi': 'डियोगो जोटा', 'bn': 'ডিওগো জোটা'}, 'shortNameTranslation': {'ar': 'د. جوتا', 'hi': 'डी. जोटा', 'bn': 'ডি. জোটা'}}",26.0,19.0,4.0,3.0,2.0,3.0,17.0,23.0,5.0,,,,,89.0,51.0,9.2,19.0,0.38936,"{'original': 9.2, 'alternative': 8.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,11.0,6.0,1.0,3.0,,,1.0,3.0,2.0,8.0,2.0,3.0,1.0,2.0,1.0,,2.0,,1.0,2.0,,0.1356,0.466,,,,,,1.0,2.0
