name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,totalCross,duelLost,challengeLost,dispossessed,totalContest,wonContest,totalClearance,outfielderBlock,interceptionWon,unsuccessfulTouch,keyPass,aerialLost,aerialWon,totalTackle,fouls,bigChanceMissed,shotOffTarget,wonTackle,expectedGoals,sofascoreId,accurateCross,blockedScoringAttempt,bigChanceCreated,onTargetScoringAttempt,goals,expectedGoalsOnTarget,goalAssist,totalOffside,goodHighClaim,punches,totalKeeperSweeper,accurateKeeperSweeper
Anthony Gordon,,,gordon-anthony,A. Gordon,F,10,183,15531,M,914902,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,982972800,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غوردون، أنتوني', 'hi': 'गॉर्डन, एंथनी', 'bn': 'গর্ডন, অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أ. غوردون', 'hi': 'ए. गॉर्डन', 'bn': 'এ. গর্ডন'}}",37.0,27.0,3.0,,5.0,6.0,39.0,7.0,,1.0,,,90.0,59.0,7.5,19.0,0.332303,"{'original': 7.5, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,25.0,8.0,4.0,1.0,1.0,6.0,4.0,,,,1.0,3.0,,1.0,1.0,,,,1.0,0.1943,AGordon,3.0,2.0,1.0,,,,,2.0,,,,
Miguel Almirón,,,miguel-almiron,M. Almirón,M,10,174,8455,M,333373,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,760838400,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميغيل ألميرون', 'hi': 'मिगुएल अल्मिरोन', 'bn': 'মিগুয়েল আলমিরন'}, 'shortNameTranslation': {'ar': 'م. ألميرون', 'hi': 'एम. अल्मिरोन', 'bn': 'এম. আলমিরন'}}",10.0,10.0,,,3.0,3.0,7.0,,1.0,,,,22.0,16.0,6.5,3.0,0.00917766,"{'original': 6.5, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,7.0,,2.0,,1.0,1.0,,,,,,,,,,1.0,,,,0.0506,miguel_almiron,,,,1.0,,0.0167,,1.0,,,,
Joelinton,,,joelinton,Joelinton,M,7,186,9814,M,560128,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,839980800,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويلينتون', 'hi': 'जोलिंटन', 'bn': 'জোলিন্টন'}, 'shortNameTranslation': {'ar': 'جولينتون', 'hi': 'जोएलिंटन', 'bn': 'জোলিন্টন'}}",18.0,15.0,1.0,,4.0,4.0,15.0,1.0,1.0,,,,22.0,23.0,6.7,5.0,0.00595864,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,11.0,1.0,3.0,1.0,1.0,,,,1.0,,,1.0,,,1.0,1.0,,,1.0,,joelinton34,,,,,,,,,,,,
Harvey Barnes,,,harvey-barnes,H. Barnes,F,11,181,5075,M,855647,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,881625600,"{'value': 35000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هارفي بارنز', 'hi': 'हार्वे बार्न्स', 'bn': 'হার্ভে বার্নস'}, 'shortNameTranslation': {'ar': 'ه. بارنز', 'hi': 'एच. बार्न्स', 'bn': 'এইচ. বার্নস'}}",2.0,1.0,,,,,2.0,,,,,,22.0,11.0,6.6,5.0,0.0015407,"{'original': 6.6, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,4.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,,0.1654,,,,,1.0,,0.0328,,,,,,
Kieran Trippier,,,kieran-trippier,K. Trippier,D,2,174,8611,M,69256,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,653702400,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيران تريبيير', 'hi': 'किरन ट्रिप्पियर', 'bn': 'কাইরান ট্রিপিয়ার'}, 'shortNameTranslation': {'ar': 'ك. تريبيير', 'hi': 'के.ट्रिप्पियर', 'bn': 'কে. ট্রিপিয়ার'}}",4.0,4.0,,,2.0,2.0,2.0,,,,,,1.0,4.0,,,0.00036384,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,2.0,,,,,,,,,,,,,,,,,,,,ktrippier2,,,,,,,,,,,,
Nick Pope,,,nick-pope,N. Pope,G,1,198,4568,M,162653,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,703641600,"{'value': 6700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيك بوب', 'hi': 'निक पोप', 'bn': 'নিক পোপ'}, 'shortNameTranslation': {'ar': 'ن. بوب', 'hi': 'एन. पोप', 'bn': 'এন. পোপ'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,npope29,,,,,,,,,,,,
Alex Murphy,,,alex-murphy,A. Murphy,D,37,188,673,M,1125214,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1088121600,"{'value': 315000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'اليكس ميرفي', 'hi': 'एलेक्स मर्फी', 'bn': 'অ্যালেক্স মারফি'}, 'shortNameTranslation': {'ar': 'ا. ميرفي', 'hi': 'ए. मर्फी', 'bn': 'এ. মারফি'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Dummett,,,paul-dummett,P. Dummett,D,,183,150,M,185995,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,685843200,,"{'nameTranslation': {'ar': 'بول دومت', 'hi': 'पॉल डमेट', 'bn': 'পল ডুমেট'}, 'shortNameTranslation': {'ar': 'ب. دومت', 'hi': 'पी. डमेट', 'bn': 'পি. ডামেট'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Ritchie,,,matt-ritchie,M. Ritchie,M,30,173,305,M,42699,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,621388800,"{'value': 145000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات ريتشي', 'hi': 'मैट रिची', 'bn': 'ম্যাট রিচি'}, 'shortNameTranslation': {'ar': 'م. ريتشي', 'hi': 'एम. रिची', 'bn': 'এম. রিচি'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe White,,,joe-white,J. White,M,30,186,183,M,994550,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1033430400,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو وايت', 'hi': 'जो व्हाइट', 'bn': 'জো হোয়াইট'}, 'shortNameTranslation': {'ar': 'ج. وايت', 'hi': 'जे. व्हाइट', 'bn': 'জে. হোয়াইট'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
