name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,duelLost,duelWon,challengeLost,dispossessed,bigChanceCreated,shotOffTarget,totalTackle,wonTackle,wasFouled,fouls,possessionLostCtrl,expectedGoals,keyPass,aerialLost,aerialWon,totalClearance,outfielderBlock,unsuccessfulTouch,interceptionWon,totalContest,wonContest,goalAssist,onTargetScoringAttempt,blockedScoringAttempt,goals,expectedGoalsOnTarget,bigChanceMissed,totalOffside,accurateCross,hitWoodwork,punches
Robin Olsen,robin-olsen,R. Olsen,G,30,198,1336,M,,26025,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,631756800,"{'value': 750000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبين أولسن', 'hi': 'रॉबिन ओल्सन', 'bn': 'রবিন ওলসেন'}, 'shortNameTranslation': {'ar': 'ر. أولسن', 'hi': 'आर. ओल्सन', 'bn': 'আর. ওলসেন'}}",41.0,30.0,13.0,2.0,29.0,31.0,1.0,10.0,9.0,2.0,6.0,7.0,90.0,54.0,7.2,0.00022719,"{'original': 7.2, 'alternative': 7}",0,-0.8691,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,11.0,,,,,1.0,,,,,,,,,,,,,,,1.0
Ezri Konsa,ezri-konsa,E. Konsa,D,4,183,3125,M,,827679,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,877564800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إزري كونسا', 'hi': 'एज़री कोंसा', 'bn': 'ইজরি কনসা'}, 'shortNameTranslation': {'ar': 'إ. كونسا', 'hi': 'ई. कोंसा', 'bn': 'ই. কনসা'}}",30.0,29.0,2.0,2.0,22.0,23.0,7.0,8.0,6.0,,,,90.0,45.0,6.5,0.00346878,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,1.0,4.0,1.0,,,,1.0,,3.0,,4.0,,,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,
Diego Carlos,diego-carlos,D. Carlos,D,34,185,2789,M,,604232,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,732153600,"{'value': 10000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دييغو كارلوس', 'hi': 'डिएगो कार्लोस', 'bn': 'দিয়েগো কার্লোস'}, 'shortNameTranslation': {'ar': 'د. كارلوس', 'hi': 'डी. कार्लोस', 'bn': 'ডি. কার্লোস'}}",42.0,38.0,8.0,4.0,32.0,35.0,6.0,7.0,3.0,,,,90.0,55.0,6.2,0.00301225,"{'original': 6.2, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,4.0,,,,,4.0,,,1.0,5.0,0.0622,,,,4.0,,1.0,1.0,,,,,1.0,,,,,,,
Clément Lenglet,clement-lenglet,C. Lenglet,D,15,186,8093,M,clement_lenglet,580550,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,803347200,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كليمو لينغليه', 'hi': 'क्लेमेंट लेंग्लेट', 'bn': 'ক্লেমেন্ট লেংলেট'}, 'shortNameTranslation': {'ar': 'ك. لينغليه', 'hi': 'सी. लेंग्लेट', 'bn': 'সি. লেংলেট'}}",46.0,43.0,4.0,3.0,39.0,42.0,4.0,4.0,2.0,,,,90.0,62.0,6.9,0.00091053,"{'original': 6.9, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,2.0,3.0,2.0,,,1.0,3.0,1.0,,,4.0,0.0859,,,,6.0,3.0,1.0,,,,,1.0,,,0.0523,,,,,
Lucas Digne,lucas-digne,L. Digne,D,12,178,4445,M,LDigne,96538,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,743126400,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس دين', 'hi': 'लुकास डिग्ने', 'bn': 'লুকাস ডিগনে'}, 'shortNameTranslation': {'ar': 'ل. دين', 'hi': 'एल. डिग्ने', 'bn': 'এল. ডিগনে'}}",23.0,20.0,2.0,1.0,11.0,12.0,9.0,14.0,1.0,,,,90.0,34.0,5.9,0.00731529,"{'original': 5.9, 'alternative': 5.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,3.0,3.0,2.0,2.0,,,,2.0,1.0,,1.0,7.0,,,,,2.0,,1.0,,,,,,,,,,,,,
Tim Iroegbunam,tim-iroegbunam,T. Iroegbunam,M,42,182,708,M,,1085950,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1056931200,"{'value': 12400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيم إيروغبونام', 'hi': 'टिम इरोएगबुनम', 'bn': 'টিম ইরোগবুনাম'}, 'shortNameTranslation': {'ar': 'ت. إيروغبونام', 'hi': 'टी. इरोएगबुनम', 'bn': 'টি. ইরোগবুনাম'}}",14.0,12.0,,,7.0,8.0,5.0,6.0,4.0,,,,63.0,28.0,6.2,0.00278768,"{'original': 6.2, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,6.0,4.0,2.0,1.0,,,3.0,1.0,,1.0,6.0,,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,,
Douglas Luiz,douglas-luiz,D. Luiz,M,12,175,11414,M,Douglas_Luiz,867887,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,894672000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوغلاس لويز', 'hi': 'डगलस लुइज़', 'bn': 'ডগলাস লুই'}, 'shortNameTranslation': {'ar': 'د. لويز', 'hi': 'डी. लुइज़', 'bn': 'ডি. লুইজ'}}",25.0,22.0,,,11.0,13.0,13.0,14.0,1.0,,,,64.0,34.0,6.4,0.112123,"{'original': 6.4, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,2.0,4.0,2.0,,,,,1.0,1.0,1.0,3.0,5.0,0.1912,3.0,,,,,,,1.0,,,1.0,,,0.6866,1.0,,2.0,,
Moussa Diaby,diaby-moussa,M. Diaby,M,19,170,7519,M,moussadiaby,855817,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,931305600,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موسى ديابي', 'hi': 'डायबी, मूसा', 'bn': 'ডায়াবি, মুসা'}, 'shortNameTranslation': {'ar': 'م. ديابي', 'hi': 'एम. डायबी', 'bn': 'এম. ডায়াবি'}}",12.0,8.0,,,3.0,4.0,5.0,9.0,5.0,,,,63.0,25.0,6.6,0.053984,"{'original': 6.6, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,6.0,4.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,9.0,0.0532,1.0,,,,,1.0,1.0,3.0,2.0,,,1.0,,,,,,,
Morgan Rogers,morgan-rogers,M. Rogers,M,27,187,12094,M,mrogers,948261,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1027641600,"{'value': 67000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مورغان روجرز', 'hi': 'मॉर्गन रोजर्स', 'bn': 'মরগান রজার্স'}, 'shortNameTranslation': {'ar': 'م. روجرز', 'hi': 'एम. रोजर्स', 'bn': 'এম. রজার্স'}}",24.0,21.0,5.0,4.0,13.0,15.0,8.0,10.0,7.0,,,,90.0,46.0,6.7,0.0668727,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,7.0,2.0,1.0,1.0,1.0,,2.0,1.0,,1.0,15.0,,2.0,,,1.0,,6.0,1.0,4.0,,1.0,,,,,,,,,
Nicolò Zaniolo,nicolo-zaniolo,N. Zaniolo,F,10,189,9354,M,nicolozaniolo,864898,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,930873600,"{'value': 11400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولو زانيولو', 'hi': 'निकोलो ज़ेनिओलो', 'bn': 'নিকোলো জানিওলো'}, 'shortNameTranslation': {'ar': 'ن. زانيولو', 'hi': 'एन. ज़ेनिओलो', 'bn': 'এন. জানিওলো'}}",13.0,11.0,1.0,,5.0,6.0,6.0,9.0,3.0,,,,77.0,26.0,5.8,0.00279915,"{'original': 5.8, 'alternative': 5.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,7.0,3.0,2.0,3.0,,,3.0,1.0,,,9.0,0.0901,,,,1.0,,,,2.0,,,,1.0,,,,,,,
