name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,ballRecovery,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,totalCross,duelLost,duelWon,totalContest,wonContest,outfielderBlock,totalTackle,unsuccessfulTouch,wasFouled,fouls,totalOffside,keyPass,aerialLost,aerialWon,bigChanceMissed,shotOffTarget,totalClearance,wonTackle,errorLeadToAShot,expectedGoals,firstName,lastName,challengeLost,interceptionWon,penaltyWon,dispossessed,blockedScoringAttempt,errorLeadToAGoal,goalAssist,onTargetScoringAttempt,expectedGoalsOnTarget,accurateCross,bigChanceCreated,goals,hitWoodwork,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,punches,penaltyConceded
Carney Chukwuemeka,carney-chukwuemeka,C. Chukwuemeka,M,17,185,10655,M,chukwuemeka10,994556,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1066608000,"{'value': 18100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كارني تشوكويميكا', 'hi': 'कार्नी चुक्वुमेका', 'bn': 'কার্নি চুকউয়েমেকা'}, 'shortNameTranslation': {'ar': 'ك. تشوكويميكا', 'hi': 'सी. चुक्वुमेका', 'bn': 'সি. চুকউয়েমেকা'}}",11.0,11.0,,,4.0,4.0,7.0,,,19.0,18.0,6.2,4.0,0.0187148,"{'original': 6.2, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,7.0,,4.0,1.0,3.0,,,1.0,,,,,1.0,,,,,,,,0.0208,,,,,,1.0,1.0,,,,,,,,,,,,,
Raheem Sterling,raheem-sterling,R. Sterling,F,30,170,37771,M,Sterling7,138534,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,786844800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رحيم ستيرلينغ', 'hi': 'रहीम स्टर्लिंग', 'bn': 'রাহিম স্টার্লিং'}, 'shortNameTranslation': {'ar': 'ر. سترلينغ', 'hi': 'आर. स्टर्लिंग', 'bn': 'আর. স্টার্লিং'}}",11.0,10.0,1.0,1.0,1.0,1.0,12.0,,,19.0,21.0,6.6,5.0,0.0832315,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,9.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Trevoh Chalobah,trevoh-chalobah,T. Chalobah,D,23,190,13565,M,yungchalobah,826134,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,931132800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تريفوه تشالوبا', 'hi': 'ट्रेवोह चालोबा', 'bn': 'ত্রেভহ চালোবাহ'}, 'shortNameTranslation': {'ar': 'ت. تشالوبا', 'hi': 'टी. चालोबा', 'bn': 'টি. চালোবাহ'}}",24.0,22.0,,,16.0,17.0,7.0,3.0,,15.0,26.0,6.6,2.0,0.00223015,"{'original': 6.6, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,6.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Alfie Gilchrist,alfie-gilchrist,A. Gilchrist,D,14,183,4501,M,,1114837,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1069977600,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفي جيلكريست', 'hi': 'अल्फी गिलक्रिस्ट', 'bn': 'আলফি গিলক্রিস্ট'}, 'shortNameTranslation': {'ar': 'أ. جيلكريست', 'hi': 'ए. गिलक्रिस्ट', 'bn': 'এ. গিলক্রিস্ট'}}",15.0,14.0,,,9.0,10.0,5.0,1.0,,15.0,22.0,6.8,1.0,0.006907,"{'original': 6.8, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,5.0,,,1.0,,,,1.0,,,,,,,,,1.0,,,,0.047,,,,,,,,,,,,,,,,,,,,
Noni Madueke,noni-madueke,N. Madueke,M,20,182,40433,M,nonzinoo10,966547,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1015718400,"{'value': 54000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نوني مادويكي', 'hi': 'नोनी मदुके', 'bn': 'ননি মাদুকে'}, 'shortNameTranslation': {'ar': 'ن. مادويكي', 'hi': 'एन. मदुके', 'bn': 'এন. মাদুকে'}}",2.0,2.0,,,1.0,1.0,1.0,1.0,,14.0,6.0,7.2,1.0,0.00218316,"{'original': 7.2, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,2.0,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,0.0233,,,1.0,,1.0,1.0,,,,1.0,0.0771,,,,,,,,,
Marcus Bettinelli,marcus-bettinelli,M. Bettinelli,G,13,194,7252,M,marcusbettss,257993,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,706665600,"{'value': 530000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس بتينلي', 'hi': 'मार्कस बेट्टीनेली', 'bn': 'মার্কাস বেটিনেলি'}, 'shortNameTranslation': {'ar': 'م. بتينلي', 'hi': 'एम. बेट्टीनेली', 'bn': 'এম. বেটিনেল্লি'}}",,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thiago Silva,thiago-silva,T. Silva,D,,181,43819,M,ThiagoSilva,33541,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,464659200,"{'value': 560000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تياغو سيلفا', 'hi': 'थियागो सिल्वा', 'bn': 'থিয়াগো সিলভা'}, 'shortNameTranslation': {'ar': 'ت. سيلفا', 'hi': 'टी. सिल्वा', 'bn': 'টি. সিলভা'}}",,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cesare Casadei,cesare-casadei,C. Casadei,M,22,192,6954,M,cesarecasadei,1016788,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,1042156800,"{'value': 15600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيزار كاسادي', 'hi': 'सेसरे कासादेई', 'bn': 'সিজার ক্যাসাডেই'}, 'shortNameTranslation': {'ar': 'س. كاسادي', 'hi': 'सी. कासादेई', 'bn': 'সি. ক্যাসাডেই'}}",,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimi Tauriainen,jimi-tauriainen,J. Tauriainen,M,42,188,628,M,,1391111,"{'alpha2': 'FI', 'alpha3': 'FIN', 'name': 'Finland', 'slug': 'finland'}",EUR,1078790400,"{'value': 105000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمي توريانين'}, 'shortNameTranslation': {'ar': 'ج. توريانين'}}",,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,Jimi Tauriainen,,,,,,,,,,,,,,,,,,,
André Onana,andre-onana,A. Onana,G,24,190,55570,M,AndréOnana24,787498,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,828403200,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه أونانا', 'hi': 'आंद्रे ओनाना', 'bn': 'আন্দ্রে ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",32.0,23.0,15.0,6.0,23.0,23.0,9.0,7.0,6.0,90.0,44.0,7.4,9.0,9.753e-05,"{'original': 7.4, 'alternative': 6.8}",0,-1.346,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,5.0,2.0,1.0,
Aaron Wan-Bissaka,aaron-wan-bissaka,A. Wan-Bissaka,D,29,183,18042,M,awbissaka,863653,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,880502400,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون وان بيساكا', 'hi': 'एरोन वान-बिसाका', 'bn': 'হারুন ওয়ান-বিসাকা'}, 'shortNameTranslation': {'ar': 'آ. وان-بيساكا', 'hi': 'ए. वान-बिसाका', 'bn': 'এ. ওয়ান-বিসাকা'}}",23.0,17.0,1.0,,9.0,12.0,11.0,2.0,,90.0,47.0,6.8,7.0,0.0156126,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,8.0,,3.0,8.0,1.0,1.0,1.0,3.0,,2.0,,,,2.0,2.0,,,2.0,1.0,,,,,,4.0,,1.0,,,,,,,,,,,,,,
Harry Maguire,harry-maguire,H. Maguire,D,5,194,27440,M,harrymaguire93,149380,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,731289600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري ماغواير', 'hi': 'हैरी मैगुइर', 'bn': 'হ্যারি ম্যাগুইরে'}, 'shortNameTranslation': {'ar': 'ه. ماغواير', 'hi': 'एच. मैगुइर', 'bn': 'এইচ. ম্যাগুইরে'}}",39.0,32.0,6.0,2.0,18.0,19.0,20.0,3.0,,90.0,51.0,6.3,7.0,0.00484806,"{'original': 6.3, 'alternative': 6.1}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,14.0,,2.0,1.0,,,,,,,2.0,,,,1.0,,3.0,6.0,,,0.0812,,,1.0,2.0,,,,,,,,,,,,,,,,
Raphaël Varane,raphael-varane,R. Varane,D,,191,10416,M,raphael_varane,138310,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,735696000,,"{'nameTranslation': {'ar': 'رافاييل فاران', 'hi': 'रफएल वरने', 'bn': 'রাফায়েল ভারানে'}, 'shortNameTranslation': {'ar': 'ر. فاران', 'hi': 'आर. वरने', 'bn': 'আর. ভারানে'}}",30.0,27.0,3.0,2.0,21.0,22.0,8.0,5.0,,45.0,35.0,6.7,3.0,0.00199415,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,6.0,,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
Diogo Dalot,diogo-dalot,D. Dalot,M,2,184,22683,M,DDalot,843200,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,921715200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديوغو دالوت', 'hi': 'डिओगो डालोत', 'bn': 'ডিওগো ডালট'}, 'shortNameTranslation': {'ar': 'د. دالوت', 'hi': 'डी. डालोत', 'bn': 'ডি. ডালট'}}",37.0,30.0,4.0,,11.0,13.0,26.0,3.0,,90.0,58.0,6.2,11.0,0.174369,"{'original': 6.2, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,20.0,2.0,7.0,5.0,1.0,1.0,,3.0,1.0,1.0,5.0,,2.0,,,,,,1.0,,0.0204,,,2.0,3.0,,,1.0,,1.0,,,1.0,1.0,,,,,,,1.0
Casemiro,casemiro,Casemiro,M,18,185,88452,M,Casemiro,122951,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,698803200,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}, 'shortNameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}}",45.0,38.0,4.0,2.0,21.0,25.0,21.0,6.0,,75.0,55.0,6.8,8.0,0.170407,"{'original': 6.8, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,18.0,1.0,4.0,4.0,1.0,1.0,1.0,,,,1.0,,,,3.0,,1.0,1.0,,,0.0901,,,2.0,,,1.0,,,,,,1.0,,,,,,,,
Kobbie Mainoo,kobbie-mainoo,K. Mainoo,M,37,180,54282,M,KobbieM,1142175,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1113868800,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كوبي ماينو', 'hi': 'कोबी मैनू', 'bn': 'কোবি মাইনু'}, 'shortNameTranslation': {'ar': 'ك. ماينو', 'hi': 'के. मैनू', 'bn': 'কে. মাইনু'}}",31.0,22.0,4.0,2.0,9.0,12.0,20.0,7.0,,90.0,50.0,7.0,13.0,0.0238413,"{'original': 7, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,14.0,1.0,5.0,6.0,1.0,,1.0,3.0,2.0,2.0,1.0,,2.0,3.0,1.0,,,1.0,1.0,,0.0262,Kobbie,Mainoo,,3.0,,1.0,,,,1.0,0.0739,1.0,,,,,,,,
Antony,antony,Antony,M,7,172,222476,M,Antony,958380,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,951350400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}}",37.0,32.0,3.0,3.0,10.0,12.0,26.0,8.0,,90.0,58.0,7.6,9.0,0.20753,"{'original': 7.6, 'alternative': 7.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,23.0,1.0,7.0,9.0,6.0,6.0,,2.0,2.0,1.0,3.0,,2.0,1.0,,,,,2.0,,0.1268,,,1.0,,,2.0,2.0,,1.0,1.0,0.4931,1.0,1.0,,,,,,,1.0
Bruno Fernandes,bruno-fernandes,B. Fernandes,M,8,179,216692,M,BrunoFernandes,288205,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,778982400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو فيرنانديز', 'hi': 'ब्रूनो फर्नांडीस', 'bn': 'ব্রুনো ফার্নান্দেস'}, 'shortNameTranslation': {'ar': 'ب. فرنانديز', 'hi': 'बी. फर्नांडीस', 'bn': 'বি. ফার্নান্দেস'}}",65.0,54.0,12.0,9.0,26.0,28.0,42.0,10.0,,90.0,79.0,7.9,15.0,0.140434,"{'original': 7.9, 'alternative': 7.9}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,30.0,5.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,3.0,,,,2.0,,,,0.4541,,,,,,,2.0,,,1.0,0.7669,2.0,,1.0,,,,,,
