name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,possessionLostCtrl,onTargetScoringAttempt,totalClearance,outfielderBlock,interceptionWon,challengeLost,shotOffTarget,penaltyConceded,fouls,sofascoreId,goalAssist,accurateCross,totalContest,wonContest,bigChanceCreated,blockedScoringAttempt,keyPass,dispossessed,bigChanceMissed,hitWoodwork,firstName,lastName,goals,totalOffside,penaltyWon,punches,lastManTackle,errorLeadToAShot,errorLeadToAGoal
Danny Welbeck,danny-welbeck,D. Welbeck,F,18,185,4472,M,33902,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,659577600,"{'value': 4200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داني ويلبيك', 'hi': 'डैनी वेल्बेक', 'bn': 'ড্যানি ওয়েলবেক'}, 'shortNameTranslation': {'ar': 'د. ويلبيك', 'hi': 'डी. वेल्बेक', 'bn': 'ডি. ওয়েলবেক'}}",14.0,12.0,,,2.0,3.0,10.0,11.0,1.0,,,,78.0,29.0,7.1,0.324,0.1184,0.13625,"{'original': 7.1, 'alternative': 7}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,,4.0,2.0,,,3.0,1.0,6.0,1.0,2.0,,,,2.0,,,,,,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,,,
Simon Adingra,simon-adingra,S. Adingra,M,24,175,45746,M,1110842,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1009843200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيمون أدينغرا', 'hi': 'साइमन एडिंगरा', 'bn': 'সাইমন আদিংরা'}, 'shortNameTranslation': {'ar': 'س. أدينغرا', 'hi': 'एस. एडिंगरा', 'bn': 'এস. আদিংরা'}}",6.0,6.0,,,1.0,1.0,5.0,5.0,2.0,,,,16.0,9.0,7.2,0.2531,0.7705,0.00614193,"{'original': 7.2, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,,,,1.0,,2.0,1.0,,,,,,,,simon.adingra,,,1.0,,,,,,,,,,1.0,,,,,,
Billy Gilmour,gilmour-billy,B. Gilmour,M,6,169,4385,M,907668,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,992217600,"{'value': 18800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غيلمور، بيلي', 'hi': 'गिल्मर, बिली', 'bn': 'গিলমোর, বিলি'}, 'shortNameTranslation': {'ar': 'ب. غيلمور', 'hi': 'बी. गिल्मर', 'bn': 'বি. গিলমোর'}}",16.0,16.0,,,10.0,10.0,7.0,7.0,,,,,16.0,18.0,6.7,0.0115,0.0493,0.045871,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,billygilmour,,1.0,,,,,,,,,,,,,,,,,
Evan Ferguson,evan-ferguson,E. Ferguson,F,11,188,8187,M,999231,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1098144000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفان فيرغسون', 'hi': 'इवान फर्ग्यूसन', 'bn': 'ইভান ফার্গুসন'}, 'shortNameTranslation': {'ar': 'إ. فيرغسون', 'hi': 'ई. फर्ग्यूसन', 'bn': 'ই. ফার্গুসন'}}",6.0,6.0,,,4.0,4.0,2.0,2.0,1.0,,,,12.0,10.0,7.6,0.8756,0.884,0.03265,"{'original': 7.6, 'alternative': 7.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,2.0,,,,,,1.0,1.0,,,,,1.0,,1.0,EvanFerguson9,,,1.0,,,,1.0,,,1.0,,,1.0,,,,,,
Joël Veltman,joel-veltman,J. Veltman,D,34,184,1159,M,219572,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,695433600,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويل فيلتمان', 'hi': 'जोएल वेल्टमैन', 'bn': 'জোয়েল ভেল্টম্যান'}, 'shortNameTranslation': {'ar': 'ج. فيلتمان', 'hi': 'जे. वेल्टमैन', 'bn': 'জে. ভেল্টম্যান'}}",1.0,1.0,,,,,1.0,1.0,,,,,11.0,4.0,6.2,0.0,0.0,0.00062237,"{'original': 6.2, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,,2.0,,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Julio Enciso,julio-enciso,J. Enciso,M,10,173,11901,M,973556,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,1074816000,"{'value': 18900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'خوليو إنسيسو', 'hi': 'जूलियो एनकिसो', 'bn': 'জুলিও এনসিসো'}, 'shortNameTranslation': {'ar': 'خ. إنسيسو', 'hi': 'जे. एनकिसो', 'bn': 'জে. এনসিসো'}}",,,,,,,,,,,,,10.0,1.0,6.4,0.0,0.0,0.0,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,,,,,,1.0,,,,,,,,,julioenciso.33,,,1.0,,,,,,,,,,,,,,,,
Bart Verbruggen,bart-verbruggen,B. Verbruggen,G,1,193,4205,M,994363,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1029628800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بارت فيربروغين', 'hi': 'बार्ट वर्ब्रुगेन', 'bn': 'বার্ট ভারব্রুগেন'}, 'shortNameTranslation': {'ar': 'ب. فيربروغين', 'hi': 'बी. वर्ब्रुगेन', 'bn': 'বি. ভারব্রুগেন'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor Júlio,igor-julio,I. Júlio,D,5,185,1286,M,842513,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,886809600,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيغور جوليو', 'hi': 'इगोर जूलियो', 'bn': 'ইগর জুলিও'}, 'shortNameTranslation': {'ar': 'إ. جوليو', 'hi': 'आई. जूलियो', 'bn': 'আই. জুলিও'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Alzate,steven-alzate,S. Alzate,M,7,177,709,M,871822,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,905212800,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ستيفن ألزاتي', 'hi': 'स्टीवन अल्ज़ेट', 'bn': 'স্টিভেন আলজেট'}, 'shortNameTranslation': {'ar': 'س. ألزاتي', 'hi': 'एस. अल्ज़ेट', 'bn': 'এস. আলজেট'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facundo Buonanotte,facundo-buonanotte,F. Buonanotte,M,40,174,18331,M,1117025,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1103760000,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فاكوندو بونانوتي', 'hi': 'फ़ाकंडो बुओनानोट्टे', 'bn': 'ফ্যাকুন্ডো বুওনানোত্তে'}, 'shortNameTranslation': {'ar': 'ف. بونانوتي', 'hi': 'एफ. बुओनानोट्टे', 'bn': 'এফ. বুওনানোট'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,facubuonanotte_,,,,,,,,,,,Facundo Buonanotte,,,,,,,,
Thomas Kaminski,thomas-kaminski,T. Kaminski,G,1,190,558,M,45959,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,719798400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس كامينسكي', 'hi': 'थॉमस कामिन्स्की', 'bn': 'টমাস কামিনস্কি'}, 'shortNameTranslation': {'ar': 'ت. كامينسكي', 'hi': 'टी. कामिन्स्की', 'bn': 'টি. কামিনস্কি'}}",30.0,15.0,27.0,12.0,4.0,6.0,11.0,24.0,11.0,6.0,1.0,8.0,90.0,48.0,7.8,0.0,0.0,0.0018888,"{'original': 7.8, 'alternative': 7.1}",0,0.871,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,16.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
Mads Juel Andersen,mads-juel-andersen,M. J. Andersen,D,5,194,143,M,841005,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,883180800,"{'value': 1800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرسن، مادس جويل', 'hi': 'एंडरसन, मैड्स जुएल', 'bn': 'অ্যান্ডারসন, ম্যাডস জুয়েল'}, 'shortNameTranslation': {'ar': 'أ. ج. أندرسن', 'hi': 'एम.जे. एंडरसन', 'bn': 'এম. জে. অ্যান্ডারসন'}}",17.0,16.0,3.0,3.0,9.0,10.0,7.0,7.0,3.0,,,,76.0,29.0,6.5,0.0,0.0,0.00502733,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,,5.0,1.0,1.0,1.0,1.0,,2.0,,6.0,1.0,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,
Tom Lockyer,tom-lockyer,T. Lockyer,D,12,183,188,M,197848,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,786412800,"{'value': 405000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توم لوكيير', 'hi': 'टॉम लॉकयर', 'bn': 'টম লকিয়ার'}, 'shortNameTranslation': {'ar': 'ت. لوكيير', 'hi': 'टी. लॉकयर', 'bn': 'টি. লকার'}}",19.0,13.0,7.0,3.0,7.0,10.0,6.0,9.0,5.0,,,,90.0,36.0,6.2,0.0,0.0,0.00359054,"{'original': 6.2, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,2.0,3.0,6.0,2.0,2.0,,2.0,8.0,,6.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,
Amari'i Bell,amarii-bell,A. Bell,D,17,179,253,M,369674,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,768096000,"{'value': 1000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'اماري بيل', 'hi': ""अमरी'ई बेल"", 'bn': 'আমারি বেল'}, 'shortNameTranslation': {'ar': 'ا. بيل', 'hi': 'एक बेल', 'bn': 'এ. বেল'}}",19.0,17.0,3.0,2.0,12.0,13.0,5.0,6.0,3.0,,,,90.0,37.0,6.3,0.0,0.0,0.00231406,"{'original': 6.3, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,,3.0,3.0,3.0,2.0,,,4.0,,4.0,1.0,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,
Issa Kaboré,issa-kabore,I. Kaboré,D,12,180,17342,M,1006189,"{'alpha2': 'BF', 'alpha3': 'BFA', 'name': 'Burkina Faso', 'slug': 'burkina-faso'}",EUR,989625600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عيسى كابوري', 'hi': 'इस्सा काबोरे', 'bn': 'ইসা কাবোরে'}, 'shortNameTranslation': {'ar': 'ع. كابوري', 'hi': 'आई. काबोरे', 'bn': 'আই. কাবোরে'}}",16.0,13.0,1.0,1.0,6.0,8.0,8.0,11.0,3.0,,,,64.0,30.0,6.8,0.0207,0.0,0.256608,"{'original': 6.8, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,1.0,,2.0,1.0,1.0,1.0,4.0,,10.0,,,,2.0,,1.0,,1.0,issa_kabore_29,,1.0,,,1.0,,1.0,,,,,,,,,,,1.0,
Pelly Ruddock Mpanzu,pelly-ruddock-mpanzu,P. R. Mpanzu,M,17,175,296,M,387116,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,742867200,"{'value': 390000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيلي رودوك مبانزو', 'hi': 'पेली रुडॉक मपांज़ू', 'bn': 'পেলি রাডক এমপানজু'}, 'shortNameTranslation': {'ar': 'ب. رودوك مبانزو', 'hi': 'पीआर रुडॉक', 'bn': 'পি. আর. এমপানজু'}}",12.0,9.0,2.0,,6.0,7.0,3.0,7.0,3.0,,,,88.0,23.0,5.8,0.277,0.0,0.00120192,"{'original': 5.8, 'alternative': 5.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,,2.0,3.0,4.0,1.0,,2.0,1.0,7.0,,,1.0,1.0,,1.0,,3.0,,,,,,,1.0,,,1.0,,,,,,,,,,1.0
Marvelous Nakamba,marvelous-nakamba,M. Nakamba,M,13,177,1025,M,556904,"{'alpha2': 'ZW', 'alpha3': 'ZWE', 'name': 'Zimbabwe', 'slug': 'zimbabwe'}",EUR,758937600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارفلوس ناكامبا', 'hi': 'मार्वलस नाकाम्बा', 'bn': 'বিস্ময়কর নাকাম্বা'}, 'shortNameTranslation': {'ar': 'م. ناكامبا', 'hi': 'एम. नाकाम्बा', 'bn': 'এম. নাকাম্বা'}}",21.0,19.0,1.0,,15.0,16.0,4.0,5.0,7.0,,,,90.0,33.0,6.5,0.0134,0.0,0.011232,"{'original': 6.5, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,,5.0,4.0,3.0,2.0,1.0,1.0,4.0,,,1.0,,1.0,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
Tahith Chong,tahith-chong,T. Chong,M,24,185,1675,M,825845,"{'alpha2': 'CW', 'alpha3': 'CUW', 'name': 'Curacao', 'slug': 'curacao'}",EUR,944265600,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تايث تشونغ', 'hi': 'ताहित चोंग', 'bn': 'তাহিথ চং'}, 'shortNameTranslation': {'ar': 'ت. تشونغ', 'hi': 'टी. चोंग', 'bn': 'টি. চং'}}",21.0,18.0,2.0,2.0,10.0,13.0,8.0,9.0,6.0,,,,88.0,40.0,6.3,0.0,0.0,0.00977657,"{'original': 6.3, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,,5.0,5.0,2.0,1.0,4.0,3.0,12.0,,,,1.0,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,
Ryan Giles,ryan-giles,R. Giles,D,3,179,227,M,931304,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,948844800,"{'value': 6300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان جايلز', 'hi': 'रयान गिल्स', 'bn': 'রায়ান জাইলস'}, 'shortNameTranslation': {'ar': 'ر. جايلز', 'hi': 'आर. गिल्स', 'bn': 'আর. জাইলস'}}",19.0,8.0,6.0,2.0,4.0,9.0,9.0,24.0,3.0,,,,90.0,48.0,6.7,0.0,0.0,0.275219,"{'original': 6.7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,14.0,,1.0,2.0,4.0,2.0,2.0,,1.0,22.0,,4.0,,,1.0,,,,,,5.0,1.0,,,,2.0,,,,,,,,,,,,
