round,home_team,home_url,away_team,away_url,result,match_url,home_league,away_league
First Round,Kiskőrös,https://www.transfermarkt.com/kiskorosi-lc/startseite/verein/59002/saison_id/2025,BKV Előre,https://www.transfermarkt.com/bkv-elore-sc/startseite/verein/21345/saison_id/2025,0:3,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728325,Unknown,Unknown
First Round,Patak FC,https://www.transfermarkt.com/patak-fc/startseite/verein/134584/saison_id/2025,Debreceni EAC,https://www.transfermarkt.com/debreceni-eac/startseite/verein/28779/saison_id/2025,0:14,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728363,Unknown,Unknown
First Round,Bordány,https://www.transfermarkt.com/bordany-sk/startseite/verein/78349/saison_id/2025,Makói FC,https://www.transfermarkt.com/makoi-fc/startseite/verein/24014/saison_id/2025,2:1AET,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728364,Unknown,Unknown
First Round,Mártély SK,https://www.transfermarkt.com/martely-sk/startseite/verein/134585/saison_id/2025,Építők SK,https://www.transfermarkt.com/43-sz-epitok-sk/startseite/verein/56173/saison_id/2025,0:1,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728365,Unknown,Unknown
First Round,Jánoshalma,https://www.transfermarkt.com/janoshalmi-fc/startseite/verein/59288/saison_id/2025,Tiszaföldvár,https://www.transfermarkt.com/tiszafoldvar-vse/startseite/verein/75824/saison_id/2025,0:4,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728366,Unknown,Unknown
First Round,Koroncó,https://www.transfermarkt.com/koronco-kssze/startseite/verein/56631/saison_id/2025,Mezőörs,https://www.transfermarkt.com/mezoors-kse/startseite/verein/100993/saison_id/2025,0:1,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728367,Unknown,Unknown
First Round,Csesztreg KSE,https://www.transfermarkt.com/csesztreg-kse/startseite/verein/29980/saison_id/2025,VLS Veszprém,https://www.transfermarkt.com/vls-veszprem/startseite/verein/27178/saison_id/2025,0:6,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728368,Unknown,Unknown
First Round,Ménfőcsanak,https://www.transfermarkt.com/menfocsanak-esk/startseite/verein/31984/saison_id/2025,Dorog,https://www.transfermarkt.com/dorogi-fc/startseite/verein/27770/saison_id/2025,1:4AET,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728369,Unknown,Unknown
First Round,Soproni FAC,https://www.transfermarkt.com/soproni-fac/startseite/verein/66067/saison_id/2025,Kapuvár,https://www.transfermarkt.com/kapuvari-se/startseite/verein/35521/saison_id/2025,0:4,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728370,Unknown,Unknown
First Round,Szarvaskend,https://www.transfermarkt.com/szarvaskend-se/startseite/verein/62450/saison_id/2025,Zalaszentgrót,https://www.transfermarkt.com/zalaszentgroti-vfc/startseite/verein/30664/saison_id/2025,2:1,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728371,Unknown,Unknown
