team_id,team_name,leagues
102007,Dorogi FC,MOL Magyar Kupa; NB III Nyugat
25624,Szeged-Csanád Grosics Akadémia,MOL Magyar Kupa; NB II
448208,Vásárosnamény SE,MOL Magyar Kupa; Nyír-Wetland Megyei I. osztály
1922,Zalaegerszegi TE,Fizz Liga; MOL Magyar Kupa
44142,Eger SE,MOL Magyar Kupa; NB III Kelet
37285,Budafoki MTE,MOL Magyar Kupa; NB II
1919,Vasas,MOL Magyar Kupa; NB II
25596,Puskás Akadémia,Fizz Liga; MOL Magyar Kupa; UEFA Conference League
449095,Mezőörs KSE,MOL Magyar Kupa; Gy-M-S Vármegyei I. osztály; Keglovich László Vármegyei Kupa
235508,Komárom VSE,MOL Magyar Kupa; NB III Nyugat
5125,Pécsi MFC,MOL Magyar Kupa; NB III Nyugat
318692,Debreceni EAC,MOL Magyar Kupa; NB III Kelet
490258,Füzesabonyi SC,MOL Magyar Kupa; NB III Kelet
298854,BVSC-Zugló,MOL Magyar Kupa; NB II
298840,PTE-PEAC,MOL Magyar Kupa; NB III Nyugat
207185,III. Kerületi TVE,MOL Magyar Kupa; NB III Kelet
1930,FC Tatabánya,MOL Magyar Kupa; NB III Nyugat
25621,Soroksár SC,MOL Magyar Kupa; NB II
