name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialLost,duelLost,totalClearance,ballRecovery,penaltyConceded,fouls,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialWon,duelWon,interceptionWon,totalTackle,unsuccessfulTouch,keyPass,challengeLost,bigChanceMissed,onTargetScoringAttempt,blockedScoringAttempt,outfielderBlock,lastManTackle,wonTackle,expectedGoals,expectedGoalsOnTarget,shotOffTarget,dispossessed,totalContest,wonContest,bigChanceCreated,wasFouled,goals,accurateCross,hitWoodwork,errorLeadToAShot,totalOffside,errorLeadToAGoal,penaltyWon
Rasmus Højlund,,,rasmus-hojlund,R. Højlund,F,19,191,71511,M,RHøjlund,1086417,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,1044316800,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'راسموس هويجلوند', 'hi': 'रस्मस होजलंड', 'bn': 'রাসমাস হলান্ড'}, 'shortNameTranslation': {'ar': 'راسموس هوجلوند', 'hi': 'रासमस होजलंड', 'bn': 'রাসমাস হলান্ড'}}",6.0,3.0,,,3.0,4.0,,2.0,4.0,4.0,1.0,,,,,,,,,65.0,14.0,6.7,5.0,7.27e-05,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,,,2.0,1.0,,,,,,,,,,,,,,,3.0,,,,,,,
Scott McTominay,,,scott-mctominay,S. McTominay,M,8,193,24760,M,ScottMcTominay,879346,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,850003200,"{'value': 47000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكوت مكتوميناي', 'hi': 'स्कॉट मैकटोमिने', 'bn': 'স্কট ম্যাকটোমিনে'}, 'shortNameTranslation': {'ar': 'س. مكتوميناي', 'hi': 'एस. मैकटोमिने', 'bn': 'এস. ম্যাকটোমিনে'}}",11.0,10.0,,,3.0,3.0,7.0,8.0,1.0,2.0,2.0,1.0,,1.0,,,,,,24.0,16.0,6.6,2.0,0.00902632,"{'original': 6.6, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,1.0,1.0,,,,1.0,,,,0.0484,,,,,,,,,,,,,,
Amad Diallo,,,diallo-amad,A. Diallo,F,16,173,85678,M,AmadDiallo19,971037,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1026345600,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديالو، أماد', 'hi': 'डायलो, अमाद', 'bn': 'ডায়ালো, আমাদ'}, 'shortNameTranslation': {'ar': 'أ. ديالو', 'hi': 'ए. अमाद', 'bn': 'এ. ডায়ালো'}}",7.0,5.0,,,1.0,1.0,4.0,6.0,1.0,2.0,,1.0,,,,,,,,25.0,15.0,6.9,3.0,0.0467269,"{'original': 6.9, 'alternative': 6.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,3.0,,1.0,,2.0,,,1.0,2.0,,,,0.1952,0.0558,,1.0,1.0,1.0,,,,,,,,,
Sofyan Amrabat,,,sofyan-amrabat,S. Amrabat,M,34,183,29520,M,sofyanamrabat,359272,"{'alpha2': 'MA', 'alpha3': 'MAR', 'name': 'Morocco', 'slug': 'morocco'}",EUR,840585600,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سفيان أمرابط', 'hi': 'सोफ़यान अमराबात', 'bn': 'সোফিয়ান আমরাবাত'}, 'shortNameTranslation': {'ar': 'س. أمرابط', 'hi': 'एस. अमराबात', 'bn': 'এস. আমরাবত'}}",3.0,2.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,9.0,3.0,6.4,1.0,0.0079601,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Mount,,,mason-mount,M. Mount,M,7,181,42056,M,MMount,836694,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,915926400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماسون ماونت', 'hi': 'मेसन माउंट', 'bn': 'মেসন মাউন্ট'}, 'shortNameTranslation': {'ar': 'م. مونت', 'hi': 'एम. माउंट', 'bn': 'এম. মাউন্ট'}}",2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,2.0,,,,,,,,1.0,3.0,,,0.00119341,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
Altay Bayındır,,,altay-bayindir,A. Bayındır,G,1,198,15058,M,altaybayindir,815890,"{'alpha2': 'TR', 'alpha3': 'TUR', 'name': 'Türkiye', 'slug': 'turkiye'}",EUR,892512000,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألتاي بايندر', 'hi': 'अल्ताय बय्यन्दिर', 'bn': 'আলতায় বেয়ান্দির'}, 'shortNameTranslation': {'ar': 'أ. بايندر', 'hi': 'ए. बय्यन्दिर', 'bn': 'এ. বেয়ান্দির'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis Jackson,,,jackson-louis,L. Jackson,D,14,191,387,M,,1167382,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,1127001600,,"{'nameTranslation': {'ar': 'لويس جاكسون'}, 'shortNameTranslation': {'ar': 'ل. جاكسون'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Amass,Harry Amass,,amass-harry,H. Amass,D,12,181,6272,M,,1461595,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1174003200,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أماس، هاري', 'hi': 'अमास, हैरी', 'bn': 'অ্যামাস, হ্যারি'}, 'shortNameTranslation': {'ar': 'ه. أماس', 'hi': 'एच. अमास', 'bn': 'এইচ. আমাস'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omari Forson,,,forson-omari,O. Forson,M,20,179,1079,M,,1153434,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1090281600,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فورسون، أوماري', 'hi': 'फ़ोरसन, ओमारी', 'bn': 'ফোরসন, ওমারি'}, 'shortNameTranslation': {'ar': 'ف. أوماري', 'hi': 'ओ. फ़ोरसन', 'bn': 'ও. ফোরসন'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethan Wheatley,,,wheatley-ethan,E. Wheatley,F,19,187,4462,M,,1426625,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1137715200,"{'value': 155000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويتلي، إيثان', 'hi': 'व्हीटली, एथन', 'bn': 'হুইটলি, ইথান'}, 'shortNameTranslation': {'ar': 'إ. ويتلي', 'hi': 'ई. व्हीटली', 'bn': 'ই. হুইটলি'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arijanet Murić,,,arijanet-muric,A. Murić,G,49,198,1759,M,,888971,"{'alpha2': 'XK', 'alpha3': 'XKX', 'name': 'Kosovo', 'slug': 'kosovo'}",EUR,910396800,"{'value': 6900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أريجانيت موريش', 'hi': 'अरिजानेट मुरिक', 'bn': 'আরিজানেট মুরিচ'}, 'shortNameTranslation': {'ar': 'أ. موريش', 'hi': 'ए. मुरिक', 'bn': 'এ. মুরিচ'}}",66.0,45.0,32.0,12.0,39.0,43.0,6.0,23.0,,,1.0,16.0,,,,4.0,,9.0,,90.0,82.0,8.6,21.0,0.00196101,"{'original': 8.6, 'alternative': 8.4}",0,1.1489,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Lorenz Assignon,,,lorenz-assignon,L. Assignon,M,22,179,621,M,,1009334,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,961632000,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لورينز أسينيون', 'hi': 'लोरेन्ज़ एसिग्नोन', 'bn': 'লরেঞ্জ অ্যাসিগনন'}, 'shortNameTranslation': {'ar': 'ل. أسينيون', 'hi': 'एल. एसिग्नोन', 'bn': 'এল. অ্যাসিগনন'}}",31.0,24.0,1.0,,11.0,11.0,13.0,23.0,,4.0,1.0,7.0,,2.0,,,,,,90.0,51.0,6.9,14.0,0.0367704,"{'original': 6.9, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,1.0,3.0,3.0,1.0,4.0,,2.0,,,1.0,1.0,,,0.0281,,,,1.0,1.0,,,,,,,,,
Dara O'Shea,,,dara-oshea,D. O'Shea,D,26,188,709,M,,856719,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,920505600,"{'value': 15900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دارا أوشيا', 'hi': ""दारा ओ'शीया"", 'bn': ""দারা ও'শিয়া""}, 'shortNameTranslation': {'ar': 'د. أوشيا', 'hi': ""डी. ओ'शीया"", 'bn': ""ডি. ও'শিয়া""}}",52.0,37.0,12.0,6.0,20.0,27.0,17.0,25.0,3.0,5.0,5.0,8.0,,2.0,,,,,,90.0,67.0,7.3,15.0,0.00796404,"{'original': 7.3, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,7.0,10.0,3.0,2.0,,,,,,,1.0,,,0.1136,,1.0,,,,,1.0,,,,,,,
Maxime Estève,Maxime Estève,,maxime-esteve,M. Estève,D,5,192,1543,M,,1117223,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1022371200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكسيم إستيف', 'hi': 'मैक्सिम एस्टेवे', 'bn': 'ম্যাক্সিম এস্টেভ'}, 'shortNameTranslation': {'ar': 'م. إستيف', 'hi': 'एम. एस्टेवे', 'bn': 'এম. এস্তেভ'}}",68.0,62.0,7.0,5.0,42.0,42.0,20.0,26.0,1.0,4.0,5.0,2.0,,2.0,,,,,,90.0,82.0,7.2,6.0,0.0134795,"{'original': 7.2, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,3.0,2.0,1.0,,,1.0,,,,2.0,,,,,,,,,,1.0,,,,,,,
Vitinho,,,vitinho,Vitinho,D,2,175,3443,M,,914477,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,932688000,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}, 'shortNameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}}",19.0,15.0,1.0,,9.0,10.0,7.0,10.0,1.0,8.0,2.0,4.0,,2.0,,,,,,90.0,40.0,6.3,11.0,0.0129205,"{'original': 6.3, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,2.0,4.0,,1.0,1.0,,2.0,,,1.0,1.0,,,0.0162,,,2.0,1.0,,,2.0,,1.0,,,1.0,,
Wilson Odobert,,,wilson-odobert,W. Odobert,F,28,182,4085,M,,1142679,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1101600000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويلسون أودوبيرت', 'hi': 'विल्सन ओडोबर्ट', 'bn': 'উইলসন ওডোবার্ট'}, 'shortNameTranslation': {'ar': 'و. أودوبيرت', 'hi': 'डब्लू. ओडोबर्ट', 'bn': 'ডব্লিউ. ওডোবার্ট'}}",31.0,23.0,2.0,1.0,7.0,10.0,17.0,22.0,,4.0,1.0,4.0,,1.0,,,,,,90.0,48.0,7.2,13.0,0.0919482,"{'original': 7.2, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,3.0,1.0,1.0,2.0,2.0,,,2.0,,,,1.0,0.1203,0.4051,,1.0,4.0,2.0,,,,1.0,,,,,
Sander Berge,,,sander-berge,S. Berge,M,16,195,2074,M,,793167,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,887414400,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساندر بيرج', 'hi': 'सैंडर बर्ज', 'bn': 'স্যান্ডার বার্জে'}, 'shortNameTranslation': {'ar': 'س. بيرج', 'hi': 'एस. बर्ज', 'bn': 'এস. বার্জে'}}",48.0,43.0,3.0,1.0,18.0,19.0,25.0,29.0,,,2.0,5.0,,,,,,,,90.0,59.0,7.4,5.0,0.199975,"{'original': 7.4, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,4.0,2.0,3.0,,3.0,,,,,,,3.0,,,,,1.0,1.0,1.0,,,,,,,1.0,
Josh Cullen,,,cullen-josh,J. Cullen,M,24,175,937,M,,792122,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,828835200,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كولين، جوش', 'hi': 'कुलेन, जोश', 'bn': 'কুলেন, জোশ'}, 'shortNameTranslation': {'ar': 'ج. كولين', 'hi': 'जे. कुलेन', 'bn': 'জে. কুলেন'}}",63.0,53.0,6.0,3.0,23.0,27.0,30.0,36.0,,2.0,2.0,5.0,,2.0,,,,,,90.0,73.0,7.1,12.0,0.0227642,"{'original': 7.1, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,2.0,,2.0,1.0,2.0,1.0,,,,1.0,,2.0,0.0162,,1.0,,,,,,,,,,,,
Jacob Bruun Larsen,,,jacob-bruun-larsen,J. B. Larsen,M,7,183,713,M,,809276,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,906163200,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب برون لارسن', 'hi': 'जैकब ब्रून लार्सन', 'bn': 'জ্যাকব ব্রাউন লারসেন'}, 'shortNameTranslation': {'ar': 'ج. ب. لارسن', 'hi': 'जेबी ब्रून', 'bn': 'জে.বি. লারসেন'}}",21.0,15.0,1.0,1.0,2.0,6.0,14.0,23.0,,,3.0,2.0,,,,,,,,72.0,43.0,7.5,16.0,0.0487741,"{'original': 7.5, 'alternative': 7.3}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,8.0,1.0,3.0,1.0,1.0,2.0,1.0,,,1.0,1.0,,,,0.1256,0.0445,1.0,,,,,1.0,,1.0,,,,,
Lyle Foster,,,foster-lyle,L. Foster,F,9,180,6277,M,,901907,"{'alpha2': 'ZA', 'alpha3': 'ZAF', 'name': 'South Africa', 'slug': 'south-africa'}",EUR,967939200,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فوستر، لايل', 'hi': 'फोस्टर, लाइल', 'bn': 'ফস্টার, লাইল'}, 'shortNameTranslation': {'ar': 'ل. فوستر', 'hi': 'एल. फोस्टर', 'bn': 'এল. ফস্টার'}}",27.0,21.0,1.0,1.0,6.0,7.0,15.0,20.0,3.0,4.0,1.0,3.0,,,,,,,,90.0,35.0,6.7,9.0,0.0460917,"{'original': 6.7, 'alternative': 6.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,2.0,1.0,,1.0,2.0,,,,,0.5697,0.7391,1.0,,1.0,,,,,,,,,,
