name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,penaltyFaced,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,duelWon,bigChanceCreated,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,penaltyConceded,fouls,keyPass,aerialLost,duelLost,challengeLost,lastManTackle,wasFouled,goalAssist,firstName,lastName,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,hitWoodwork,outfielderBlock,expectedGoals,expectedGoalsOnTarget,aerialWon,totalContest,wonContest,totalOffside,dispossessed,blockedScoringAttempt,goals,goodHighClaim,savedShotsFromInsideTheBox,saves,errorLeadToAGoal
Dominic Solanke,dominic-solanke,D. Solanke,F,19,186,10997,M,Dom_Solanke,361420,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,874195200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دومينيك سولانكي', 'hi': 'डोमिनिक सोलंके', 'bn': 'ডমিনিক সোলাঙ্কে'}, 'shortNameTranslation': {'ar': 'د. سولانكي', 'hi': 'डी. सोलंके', 'bn': 'ডি. সোলাঙ্কে'}}",23.0,17.0,1.0,1.0,4.0,4.0,13.0,19.0,1.0,3.0,,,90.0,46.0,7.8,14.0,0.104195,"{'original': 7.8, 'alternative': 7.6}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,8.0,,1.0,2.0,,5.0,,,2.0,7.0,10.0,,,2.0,,,,,1.0,1.0,,,0.2757,0.2479,2.0,2.0,2.0,,3.0,2.0,1.0,,,,
Lloyd Kelly,lloyd-kelly,L. Kelly,D,6,191,2786,M,,865167,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,907632000,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويد كيلي', 'hi': 'लॉयड केली', 'bn': 'লয়েড কেলি'}, 'shortNameTranslation': {'ar': 'ل. كيلي', 'hi': 'एल. केली', 'bn': 'এল. কেলি'}}",23.0,19.0,4.0,3.0,5.0,6.0,15.0,22.0,,1.0,,,51.0,41.0,7.0,14.0,0.0921293,"{'original': 7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,5.0,1.0,4.0,,,,,3.0,,,2.0,,1.0,,,2.0,,,,,,,,,,,2.0,,,,1.0,,,,,,
Max Aarons,max-aarons,M. Aarons,D,3,178,1292,M,,943645,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,946944000,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكس آرونز', 'hi': 'मैक्स आरोन्स', 'bn': 'ম্যাক্স অ্যারোনস'}, 'shortNameTranslation': {'ar': 'م. آرونز', 'hi': 'एम. आरोन्स', 'bn': 'এম. অ্যারোনস'}}",12.0,12.0,1.0,1.0,5.0,5.0,7.0,7.0,,3.0,,,20.0,14.0,6.7,,0.00932236,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,2.0,,,,,,,,,1.0,1.0,,,1.0,,,,,1.0,,,,0.0231,,1.0,,,,,,,,,,
Romain Faivre,romain-faivre,R. Faivre,M,21,180,1034,M,,913942,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,900374400,"{'value': 6500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رومان فافر', 'hi': 'रोमेन फ़ेवरे', 'bn': 'রোমেন ফেভারে'}, 'shortNameTranslation': {'ar': 'ر. فافر', 'hi': 'आर. फ़ेवरे', 'bn': 'আর. ফেভারে'}}",6.0,6.0,,,1.0,1.0,5.0,6.0,,,,,20.0,12.0,6.5,4.0,0.00871688,"{'original': 6.5, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,1.0,,,,,2.0,,1.0,,1.0,3.0,,,1.0,,,,,1.0,,,,0.0123,,,1.0,,,,,,,,,
Enes Ünal,enes-unal,E. Ünal,F,26,185,3670,M,EnesUnal16,336655,"{'alpha2': 'TR', 'alpha3': 'TUR', 'name': 'Türkiye', 'slug': 'turkiye'}",EUR,863222400,"{'value': 7700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إينيس أونال', 'hi': 'एनेस उनाल', 'bn': 'এনেস উনাল'}, 'shortNameTranslation': {'ar': 'إ. أونال', 'hi': 'ई. उनाल', 'bn': 'ই. উনাল'}}",2.0,2.0,,,1.0,1.0,1.0,1.0,,,,,14.0,6.0,6.3,2.0,0.00020295,"{'original': 6.3, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,0.0952,,,1.0,,,1.0,1.0,,,,,
Mark Travers,mark-travers,M. Travers,G,12,191,606,M,,856720,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,926985600,"{'value': 3800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك ترافيرس', 'hi': 'मार्क ट्रैवर्स', 'bn': 'মার্ক ট্র্যাভার্স'}, 'shortNameTranslation': {'ar': 'م. ترافيرس', 'hi': 'एम. ट्रैवर्स', 'bn': 'এম. ট্রাভার্স'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Hill,james-hill,J. Hill,D,23,184,378,M,,1156586,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1010620800,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس هيل', 'hi': 'जेम्स हिल', 'bn': 'জেমস হিল'}, 'shortNameTranslation': {'ar': 'ج. هيل', 'hi': 'जे. हिल', 'bn': 'জে. হিল'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philip Billing,philip-billing,P. Billing,M,8,193,1832,M,,548660,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,834451200,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيليب بيلينغ', 'hi': 'फिलिप बिलिंग', 'bn': 'ফিলিপ বিলিং'}, 'shortNameTranslation': {'ar': 'ف. بيلينغ', 'hi': 'पी. बिलिंग', 'bn': 'পি. বিলিং'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Scott,alex-scott,A. Scott,M,8,178,2151,M,,1104986,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1061596800,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس سكوت', 'hi': 'एलेक्स स्कॉट', 'bn': 'অ্যালেক্স স্কট'}, 'shortNameTranslation': {'ar': 'أ. سكوت', 'hi': 'ए. स्कॉट', 'bn': 'এ. স্কট'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,Alex Scott,,,,,,,,,,,,,,,,,,,
Michael Dacosta Gonzalez,michael-dacosta-gonzalez,M. D. Gonzalez,F,24,186,135,M,,1463438,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,1109980800,,"{'nameTranslation': {'ar': 'مايكل داكوستا غونزاليس', 'hi': 'माइकल डैकोस्टा गोंजालेज', 'bn': 'মাইকেল ডাকোস্টা গঞ্জালেজ'}, 'shortNameTranslation': {'ar': 'م. د. غونزاليس', 'hi': 'एम.डी. गोंजालेज', 'bn': 'এম. ডি. গঞ্জালেজ'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,Michael Dacosta Gonzalez,,,,,,,,,,,,,,,,,,,
André Onana,andre-onana,A. Onana,G,24,190,55570,M,AndréOnana24,787498,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,828403200,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه أونانا', 'hi': 'आंद्रे ओनाना', 'bn': 'আন্দ্রে ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",42.0,28.0,23.0,10.0,21.0,24.0,7.0,18.0,,6.0,,,90.0,52.0,6.7,15.0,0.00212279,"{'original': 6.7, 'alternative': 6.4}",0,-1.1708,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,
Diogo Dalot,diogo-dalot,D. Dalot,M,2,184,22683,M,DDalot,843200,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,921715200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديوغو دالوت', 'hi': 'डिओगो डालोत', 'bn': 'ডিওগো ডালট'}, 'shortNameTranslation': {'ar': 'د. دالوت', 'hi': 'डी. डालोत', 'bn': 'ডি. ডালট'}}",38.0,33.0,5.0,2.0,18.0,22.0,16.0,18.0,1.0,5.0,,,90.0,62.0,6.4,11.0,0.0552676,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,1.0,5.0,,,4.0,3.0,1.0,,4.0,1.0,1.0,9.0,2.0,,,,,,,,,,,,,,3.0,1.0,1.0,,,,,,,
Willy Kambwala,kambwala-willy,W. Kambwala,D,5,192,2092,M,,1136721,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1093392000,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كامبوالا، ويلي', 'hi': 'कम्बवाला, विली', 'bn': 'কাম্বওয়ালা, উইলি'}, 'shortNameTranslation': {'ar': 'و. كامبوالا', 'hi': 'डब्लू. कम्बवाला', 'bn': 'ডব্লিউ. কাম্বওয়ালা'}}",37.0,31.0,4.0,1.0,26.0,30.0,5.0,7.0,4.0,5.0,,,90.0,51.0,6.8,7.0,0.00416865,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,5.0,,2.0,,,1.0,,2.0,,1.0,4.0,1.0,,1.0,,Willy Kambwala,,,,,,2.0,,,4.0,,,,,,,,,,1.0
Harry Maguire,harry-maguire,H. Maguire,D,5,194,27440,M,harrymaguire93,149380,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,731289600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري ماغواير', 'hi': 'हैरी मैगुइर', 'bn': 'হ্যারি ম্যাগুইরে'}, 'shortNameTranslation': {'ar': 'ه. ماغواير', 'hi': 'एच. मैगुइर', 'bn': 'এইচ. ম্যাগুইরে'}}",80.0,66.0,6.0,2.0,51.0,55.0,15.0,25.0,3.0,9.0,,,90.0,91.0,7.1,15.0,0.0268219,"{'original': 7.1, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,8.0,,,2.0,2.0,1.0,,,,1.0,2.0,1.0,,1.0,,,,,1.0,,,2.0,0.0162,,5.0,,,,,,,,,,
Aaron Wan-Bissaka,aaron-wan-bissaka,A. Wan-Bissaka,D,29,183,18042,M,awbissaka,863653,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,880502400,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون وان بيساكا', 'hi': 'एरोन वान-बिसाका', 'bn': 'হারুন ওয়ান-বিসাকা'}, 'shortNameTranslation': {'ar': 'آ. وان-بيساكا', 'hi': 'ए. वान-बिसाका', 'bn': 'এ. ওয়ান-বিসাকা'}}",40.0,32.0,5.0,4.0,10.0,11.0,22.0,31.0,2.0,3.0,,,90.0,57.0,6.9,10.0,0.0461119,"{'original': 6.9, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,,3.0,,2.0,,,,,3.0,1.0,2.0,5.0,,,1.0,,,,,,,,1.0,,,2.0,,,,,,,,,,
Casemiro,casemiro,Casemiro,M,18,185,88452,M,Casemiro,122951,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,698803200,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}, 'shortNameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}}",72.0,59.0,7.0,2.0,32.0,34.0,27.0,39.0,3.0,10.0,,,90.0,93.0,7.1,19.0,0.0341314,"{'original': 7.1, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,7.0,,1.0,4.0,3.0,3.0,,,1.0,2.0,6.0,2.0,,,,,,,,,,1.0,,,2.0,3.0,1.0,1.0,,,,,,,
Kobbie Mainoo,kobbie-mainoo,K. Mainoo,M,37,180,54282,M,KobbieM,1142175,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1113868800,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كوبي ماينو', 'hi': 'कोबी मैनू', 'bn': 'কোবি মাইনু'}, 'shortNameTranslation': {'ar': 'ك. ماينو', 'hi': 'के. मैनू', 'bn': 'কে. মাইনু'}}",38.0,35.0,1.0,,16.0,18.0,19.0,20.0,,1.0,,,78.0,48.0,6.3,7.0,0.0193937,"{'original': 6.3, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,3.0,,,1.0,,2.0,,,,,3.0,1.0,,1.0,,Kobbie,Mainoo,,,,,,0.0221,,,2.0,1.0,,1.0,1.0,,,,,
Alejandro Garnacho,alejandro-garnacho,A. Garnacho,F,49,180,145162,M,AleGarnacho,1135873,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1088640000,"{'value': 42000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليخاندرو غارناتشو', 'hi': 'एलेजांद्रो गार्नाचो', 'bn': 'আলেজান্দ্রো গার্নাচো'}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'hi': 'ए. गार्नाचो', 'bn': 'এ. গার্নাচো'}}",20.0,16.0,1.0,,9.0,9.0,7.0,11.0,,1.0,,,45.0,30.0,6.6,8.0,0.0213185,"{'original': 6.6, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,,,,2.0,,,,,2.0,,,1.0,,,,,,,,,0.0371,,,2.0,,,,1.0,,,,,
Bruno Fernandes,bruno-fernandes,B. Fernandes,M,8,179,216692,M,BrunoFernandes,288205,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,778982400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو فيرنانديز', 'hi': 'ब्रूनो फर्नांडीस', 'bn': 'ব্রুনো ফার্নান্দেস'}, 'shortNameTranslation': {'ar': 'ب. فرنانديز', 'hi': 'बी. फर्नांडीस', 'bn': 'বি. ফার্নান্দেস'}}",76.0,61.0,16.0,11.0,21.0,21.0,40.0,59.0,3.0,8.0,,,90.0,98.0,9.2,19.0,0.073593,"{'original': 9.2, 'alternative': 9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,4.0,,7.0,,,2.0,1.0,,,,,1.0,2.0,1.0,,3.0,,,,,1.0,2.0,1.0,,0.952,1.7192,2.0,,,,,,2.0,,,,
Marcus Rashford,marcus-rashford,M. Rashford,M,14,185,351448,M,Rashford,814590,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,878256000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس راشفورد', 'hi': 'मार्कस रैशफोर्ड', 'bn': 'মার্কাস রাশফোর্ড'}, 'shortNameTranslation': {'ar': 'م. راشفورد', 'hi': 'एम. रैशफोर्ड', 'bn': 'এম. রাশফোর্ড'}}",33.0,26.0,1.0,1.0,9.0,9.0,17.0,25.0,,6.0,,,90.0,48.0,6.4,17.0,0.0430023,"{'original': 6.4, 'alternative': 6.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,1.0,,,,,3.0,,2.0,2.0,1.0,8.0,,,1.0,,,,,1.0,,,,0.1925,,,2.0,,,3.0,,,,,,
