name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,goalAssist,accurateOppositionHalfPasses,aerialWon,duelLost,duelWon,challengeLost,dispossessed,bigChanceCreated,onTargetScoringAttempt,blockedScoringAttempt,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,expectedGoals,expectedGoalsOnTarget,keyPass,aerialLost,outfielderBlock,goals,interceptionWon,penaltyConceded,fouls,totalContest,wonContest,totalCross,bigChanceMissed,accurateCross,shotOffTarget,totalOffside,penaltyWon,totalKeeperSweeper,accurateKeeperSweeper,errorLeadToAGoal
Nicolas Jackson,nicolas-jackson,N. Jackson,F,11,186,86972,M,NJackson11,1085381,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,992995200,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس جاكسون', 'hi': 'निकोलस जैक्सन', 'bn': 'নিকোলাস জ্যাকসন'}, 'shortNameTranslation': {'ar': 'ن. جاكسون', 'hi': 'एन. जैक्सन', 'bn': 'এন. জ্যাকসন'}}",12.0,6.0,,,4.0,6.0,6.0,1.0,1.0,,,,,89.0,23.0,7.0,11.0,0.011664,"{'original': 7, 'alternative': 7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Nicolas Jackson,,,2.0,1.0,3.0,2.0,,1.0,,2.0,1.0,,,1.0,,0.681,0.6972,,,,1.0,,,,3.0,1.0,,,,,,,,,
Malo Gusto,gusto-malo,M. Gusto,D,27,179,18882,M,malogst,996958,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1053302400,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوستو، مالو', 'hi': 'गुस्टो, मालो', 'bn': 'গুস্টো, মালো'}, 'shortNameTranslation': {'ar': 'م. جوستو', 'hi': 'एम. गुस्टो', 'bn': 'এম. গুস্টো'}}",26.0,24.0,1.0,1.0,17.0,18.0,8.0,1.0,,,,,,26.0,31.0,6.4,3.0,0.00641479,"{'original': 6.4, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,7.0,1.0,1.0,2.0,1.0,,,,,1.0,,,,0.1969,,,,,,,,,,,,1.0,,1.0,,,,,
Mykhaylo Mudryk,mykhaylo-mudryk,M. Mudryk,M,10,175,52950,M,MMudryk10,958966,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,978652800,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميخايلو مودريك', 'hi': 'माइखाइलो मुडरीक', 'bn': 'মিখাইলো মড্রিক'}, 'shortNameTranslation': {'ar': 'م. مودريك', 'hi': 'एम. मुडरीक', 'bn': 'এম. মড্রিক'}}",2.0,2.0,,,,,2.0,,,,,,,26.0,8.0,6.3,3.0,0.00178977,"{'original': 6.3, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,2.0,,3.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,2.0,,,,,,,,,,
Lesley Ugochukwu,lesley-ugochukwu,L. Ugochukwu,M,8,188,5188,M,l.ugochukwu8,1048916,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1080259200,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليزلي أوغوتشوكوو', 'hi': 'लेस्ली उगोचुकु', 'bn': 'লেসলি উগোচুকউ'}, 'shortNameTranslation': {'ar': 'ل. أوغوتشوكوو', 'hi': 'एल. उगोचुकु', 'bn': 'এল. উগোচুকউ'}}",,,,,,,,,,,,,,1.0,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armando Broja,armando-broja,A. Broja,F,27,191,8884,M,armando.broja,996985,"{'alpha2': 'AL', 'alpha3': 'ALB', 'name': 'Albania', 'slug': 'albania'}",EUR,1000080000,"{'value': 9100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أرماندو برويا', 'hi': 'अरमांडो ब्रोजा', 'bn': 'আরমান্দো ব্রজা'}, 'shortNameTranslation': {'ar': 'أ. برويا', 'hi': 'ए. ब्रोजा', 'bn': 'এ. ব্রজা'}}",,,,,,,,,1.0,,,,,11.0,3.0,6.9,1.0,,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,2.0,1.0,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,1.0,,,
Đorđe Petrović,dorde-petrovic,Đ. Petrović,G,1,194,8808,M,dj.petrovic12,882604,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia', 'slug': 'serbia'}",EUR,939340800,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوردي بيتروفيتش', 'hi': 'डोरे पेट्रोविक', 'bn': 'ডোরে পেট্রোভিচ'}, 'shortNameTranslation': {'ar': 'د. بيتروفيتش', 'hi': 'डी. पेट्रोविक', 'bn': 'ডি. পেট্রোভিচ'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Maatsen,ian-maatsen,I. Maatsen,D,22,178,5423,M,maatsen_,976263,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1015718400,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيان ماتسين', 'hi': 'इयान मात्सेन', 'bn': 'ইয়ান মাতসেন'}, 'shortNameTranslation': {'ar': 'إ. ماتسين', 'hi': 'आई. मात्सेन', 'bn': 'আই. মাতসেন'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benoît Badiashile,benoit-badiashile,B. Badiashile,D,5,194,10333,M,badiashile,904827,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,985564800,"{'value': 17400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بينوا بادياشيل', 'hi': 'बेनोइट बाडियाशिले', 'bn': 'বেনেডিক্ট বাদিয়াশিলে'}, 'shortNameTranslation': {'ar': 'ب. بادياشيل', 'hi': 'बी. बाडियाशिले', 'bn': 'বি.বাদিয়াশিলে'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noni Madueke,noni-madueke,N. Madueke,M,20,182,40433,M,nonzinoo10,966547,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1015718400,"{'value': 54000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نوني مادويكي', 'hi': 'नोनी मदुके', 'bn': 'ননি মাদুকে'}, 'shortNameTranslation': {'ar': 'ن. مادويكي', 'hi': 'एन. मदुके', 'bn': 'এন. মাদুকে'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Matos,matos-alex,A. Matos,M,28,175,600,M,,1186050,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1096761600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتوس، أليكس', 'hi': 'माटोस, एलेक्स', 'bn': 'মাতোস, অ্যালেক্স'}, 'shortNameTranslation': {'ar': 'أ. ماتوس', 'hi': 'ए. माटोस', 'bn': 'এ. মাতোস'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ederson,ederson,Ederson,G,31,188,51284,M,Ederson93,254491,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,745545600,"{'value': 16600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}, 'shortNameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}}",37.0,34.0,10.0,7.0,31.0,31.0,6.0,,7.0,3.0,2.0,1.0,5.0,90.0,51.0,7.5,3.0,0.00299865,"{'original': 7.5, 'alternative': 6.7}",0,0.0987,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
Kyle Walker,kyle-walker,K. Walker,D,2,183,28997,M,KyleWalker2,44614,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,643852800,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كايل ووكر', 'hi': 'काइल वाकर', 'bn': 'কাইল ওয়াকার'}, 'shortNameTranslation': {'ar': 'ك. ووكر', 'hi': 'के. वाकर', 'bn': 'কে. ওয়াকার'}}",46.0,38.0,2.0,,16.0,19.0,28.0,2.0,5.0,,,,,90.0,70.0,6.1,14.0,0.0164072,"{'original': 6.1, 'alternative': 6.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,,22.0,,5.0,4.0,1.0,,,,,3.0,1.0,1.0,1.0,0.0699,,1.0,,1.0,,,,3.0,2.0,,1.0,,,1.0,,,,,
Rúben Dias,ruben-dias,R. Dias,D,3,188,40658,M,RúbenD,318941,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,863568000,"{'value': 65000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبن دياز', 'hi': 'रुबेन डियास', 'bn': 'রুবেন ডায়াস'}, 'shortNameTranslation': {'ar': 'ر. دياز', 'hi': 'आर. डियास', 'bn': 'আর. ডায়াস'}}",83.0,75.0,4.0,2.0,47.0,50.0,34.0,8.0,3.0,,,,,90.0,99.0,6.0,8.0,0.0748506,"{'original': 6, 'alternative': 5.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,29.0,1.0,5.0,3.0,2.0,,,,,1.0,1.0,,1.0,,,,1.0,,,,1.0,2.0,,,1.0,,1.0,,,,,,
Joško Gvardiol,josko-gvardiol,J. Gvardiol,D,24,186,50283,M,JGvardiol,964994,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,1011744000,"{'value': 64000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوشكو غفارديول', 'hi': 'जोस्को ग्वार्डिओल', 'bn': 'জোসকো গোওয়ারদিওল'}, 'shortNameTranslation': {'ar': 'ي. غفارديول', 'hi': 'जे. ग्वार्डिओल', 'bn': 'জে. গোওয়ারদিওল'}}",54.0,51.0,3.0,3.0,22.0,23.0,31.0,,7.0,,,,,90.0,76.0,6.4,5.0,0.0208561,"{'original': 6.4, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,29.0,1.0,3.0,5.0,,1.0,,1.0,,3.0,1.0,1.0,1.0,0.0093,0.033,,1.0,2.0,,,,1.0,,,,,,,,,,,1.0
Rodri,rodri,Rodri,M,16,191,93944,M,Rodri,827606,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,835401600,"{'value': 68000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}, 'shortNameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}}",75.0,66.0,10.0,8.0,25.0,30.0,45.0,,9.0,,,,,90.0,91.0,7.8,10.0,0.0876405,"{'original': 7.8, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,41.0,,7.0,4.0,3.0,1.0,,1.0,,1.0,,,2.0,0.0299,0.1571,3.0,,1.0,1.0,2.0,,3.0,1.0,1.0,,,,,,,,,
Manuel Akanji,manuel-akanji,M. Akanji,D,25,187,23614,M,manuel_akanji,383560,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,806112000,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانويل أكانجي', 'hi': 'मैनुअल अकांजी', 'bn': 'ম্যানুয়েল আকানজি'}, 'shortNameTranslation': {'ar': 'م. أكانجي', 'hi': 'एम. अकांजी', 'bn': 'এম. আকানজি'}}",61.0,57.0,5.0,3.0,37.0,38.0,23.0,2.0,5.0,,,,,90.0,73.0,7.6,5.0,0.0171068,"{'original': 7.6, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,20.0,,1.0,3.0,,1.0,,1.0,,2.0,1.0,,1.0,0.2944,0.2946,,,1.0,1.0,3.0,,,,,,,,,,,,,
Phil Foden,phil-foden,P. Foden,M,47,171,188988,M,Foden,859765,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,959472000,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيل فودين', 'hi': 'फिल फोडेन', 'bn': 'ফিল ফোডেন'}, 'shortNameTranslation': {'ar': 'ف. فودين', 'hi': 'पी. फोडेन', 'bn': 'পি. ফোডেন'}}",35.0,32.0,,,4.0,5.0,31.0,,6.0,,,,,90.0,61.0,7.7,12.0,0.142461,"{'original': 7.7, 'alternative': 7.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,29.0,,7.0,8.0,1.0,1.0,1.0,2.0,,1.0,1.0,3.0,2.0,0.1677,0.5063,1.0,,,,3.0,,,10.0,5.0,1.0,,1.0,1.0,,,,,
Julián Alvarez,julian-alvarez,J. Álvarez,F,19,170,228751,M,LaAraña,944656,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,949276800,"{'value': 97000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوليان ألفاريز', 'hi': 'जूलियन अल्वारेज़', 'bn': 'জুলিয়ান আলভারেজ'}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जे. अल्वारेज़', 'bn': 'জে. আলভারেজ'}}",35.0,31.0,1.0,1.0,8.0,8.0,34.0,,1.0,,,,,79.0,50.0,7.2,12.0,0.0919715,"{'original': 7.2, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,25.0,,3.0,1.0,,2.0,1.0,1.0,1.0,,,1.0,,0.1542,0.12,2.0,,,,,,1.0,1.0,1.0,7.0,,2.0,,,,,,
Bernardo Silva,bernardo-silva,B. Silva,M,20,173,65986,M,BSilva,331209,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,776476800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرناردو سيلفا', 'hi': 'बर्नार्डो सिल्वा', 'bn': 'বার্নার্ডো সিলভা'}, 'shortNameTranslation': {'ar': 'ب. سيلفا', 'hi': 'बी. सिल्वा', 'bn': 'বি. সিলভা'}}",51.0,47.0,4.0,4.0,18.0,20.0,37.0,,6.0,,,,,90.0,69.0,7.5,14.0,0.176761,"{'original': 7.5, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,30.0,,3.0,3.0,1.0,1.0,2.0,,,2.0,1.0,4.0,,,,2.0,,,,,,1.0,1.0,1.0,6.0,,1.0,,,,,,
Jérémy Doku,jeremy-doku,J. Doku,M,11,173,68596,M,Dokss,934386,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,1022457600,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيريمي دوكو', 'hi': 'जेरेमी डोकू', 'bn': 'জেরেমি ডকু'}, 'shortNameTranslation': {'ar': 'ج. دوكو', 'hi': 'जे. डोकू', 'bn': 'জে. ডকু'}}",14.0,10.0,,,2.0,2.0,13.0,,1.0,,,,,59.0,30.0,6.9,12.0,0.0697981,"{'original': 6.9, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,8.0,,6.0,6.0,1.0,2.0,,1.0,,2.0,2.0,2.0,,0.0892,0.0779,,,,,,,1.0,7.0,4.0,1.0,,,,,,,,
