name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,duelLost,challengeLost,totalContest,shotOffTarget,interceptionWon,expectedGoals,firstName,lastName,aerialLost,lastManTackle,totalTackle,wonTackle,outfielderBlock,fouls,keyPass,wonContest,blockedScoringAttempt,unsuccessfulTouch,onTargetScoringAttempt,goals,wasFouled,expectedGoalsOnTarget,accurateCross,dispossessed,bigChanceCreated,bigChanceMissed,sofascoreId,totalOffside
Zeki Amdouni,zeki-amdouni,Z. Amdouni,F,7,183,2862,M,990550,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,975888000,"{'value': 9700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زكي أمدوني', 'hi': 'ज़ेकी अमदौनी', 'bn': 'জেকি আমদউনি'}, 'shortNameTranslation': {'ar': 'ز. أمدوني', 'hi': 'ज़ेड. अमदौनी', 'bn': 'জেড. আমদউনি'}}",24.0,20.0,,,0.0,6.0,6.0,14.0,18.0,1.0,3.0,,,,,,,75.0,41.0,6.6,9.0,0.0367026,"{'original': 6.6, 'alternative': 6.4}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,5.0,,2.0,3.0,1.0,0.4706,,,2.0,,,,,1.0,1.0,,1.0,3.0,,,2.0,,,,,1.0,,
Vitinho,vitinho,Vitinho,D,2,175,3443,M,914477,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,932688000,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}, 'shortNameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}}",21.0,19.0,,,1.0,3.0,4.0,16.0,18.0,,1.0,,2.0,,,,,45.0,35.0,6.8,6.0,0.0219598,"{'original': 6.8, 'alternative': 6.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,3.0,,2.0,1.0,,0.1469,,,,,1.0,1.0,,1.0,1.0,,2.0,1.0,,,,,,,,,,
Jóhann Guðmundsson,johann-gudmundsson,J. Guðmundsson,M,7,186,389,M,49805,"{'alpha2': 'IS', 'alpha3': 'ISL', 'name': 'Iceland', 'slug': 'iceland'}",EUR,656985600,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوهان غودموندسون', 'hi': 'जोहान गुडमंडसन', 'bn': 'জন গুডমুন্ডসন'}, 'shortNameTranslation': {'ar': 'ي. غودموندسون', 'hi': 'जे. गुडमंडसन', 'bn': 'জে. গুডমন্ডসন'}}",25.0,20.0,2.0,2.0,0.0,4.0,4.0,16.0,25.0,,1.0,,1.0,,,,,45.0,34.0,7.0,9.0,0.0465034,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,4.0,,,1.0,,,0.0519,,,,,,,,,1.0,1.0,,,1.0,,,0.0469,,,,,,
Josh Brownhill,josh-brownhill,J. Brownhill,M,8,179,832,M,358394,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,819331200,"{'value': 12700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوش براونهيل', 'hi': 'जोश ब्राउनहिल', 'bn': 'জোশ ব্রাউনহিল'}, 'shortNameTranslation': {'ar': 'ج. براونهيل', 'hi': 'जे. ब्राउनहिल', 'bn': 'জে. ব্রাউনহিল'}}",17.0,15.0,3.0,2.0,0.0,1.0,1.0,14.0,16.0,1.0,1.0,,1.0,,,,,15.0,18.0,7.2,2.0,0.0796681,"{'original': 7.2, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
Jay Rodriguez,jay-rodriguez,J. Rodriguez,F,16,185,323,M,26989,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,617673600,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاي رودريغيز', 'hi': 'जे रोड्रिगेज', 'bn': 'জে রদ্রিগেজ'}, 'shortNameTranslation': {'ar': 'ج. رودريغيز', 'hi': 'जे. रोड्रिगेज', 'bn': 'জে. রদ্রিগেজ'}}",8.0,6.0,2.0,1.0,0.0,1.0,1.0,5.0,7.0,,,,,,,,,15.0,8.0,6.6,2.0,0.0129946,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Cork,jack-cork,J. Cork,M,,185,86,M,20993,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,614736000,"{'value': 745000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك كورك', 'hi': 'जैक कॉर्क', 'bn': 'জ্যাক কর্ক'}, 'shortNameTranslation': {'ar': 'ج. كورك', 'hi': 'जे. कॉर्क', 'bn': 'জে. কর্ক'}}",9.0,9.0,,,0.0,1.0,1.0,8.0,8.0,,,,,,,,,11.0,10.0,6.6,,0.00893863,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,2.0,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,
James Trafford,james-trafford,J. Trafford,G,1,197,20653,M,980643,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034208000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ترافورد', 'hi': 'जेम्स ट्रैफोर्ड', 'bn': 'জেমস ট্র্যাফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. ترافورد', 'hi': 'जे. ट्रैफोर्ड', 'bn': 'জে. ট্র্যাফোর্ড'}}",,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hjalmar Ekdal,hjalmar-ekdal,H. Ekdal,D,18,187,575,M,875360,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,908928000,"{'value': 5600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هالمار إيكدال', 'hi': 'हजलमर एकदल', 'bn': 'হজলমার একদল'}, 'shortNameTranslation': {'ar': 'ه. إيكدال', 'hi': 'एच. एकदल', 'bn': 'এইচ. একডাল'}}",,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Han-Noah Massengo,massengo-han-noah,H. Massengo,M,4,175,500,M,927340,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,994377600,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماسينغو، هان-نواه', 'hi': 'मासेंगो, हान-नोहा', 'bn': 'ম্যাসেঙ্গো, হান-নোহ'}, 'shortNameTranslation': {'ar': 'ه. ماسينغو', 'hi': 'एच. मासेंगो', 'bn': 'এইচ. ম্যাসেঙ্গো'}}",,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Datro Fofana,david-datro-fofana,D. D. Fofana,F,19,181,6836,M,1090458,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1040515200,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد داترو فوفانا', 'hi': 'डेविड दात्रो फ़ोफ़ाना', 'bn': 'ডেভিড দাত্রো ফোফানা'}, 'shortNameTranslation': {'ar': 'د. د. فوفانا', 'hi': 'डी.डी. फ़ोफ़ाना', 'bn': 'ডি. ডি. ফোফানা'}}",,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,datro_9,
Matz Sels,matz-sels,M. Sels,G,26,188,2453,M,78152,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,699062400,"{'value': 6300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتس سيلس', 'hi': 'मैट्ज़ सेल्स', 'bn': 'ম্যাটজ সেলস'}, 'shortNameTranslation': {'ar': 'م. سيلس', 'hi': 'एम. सेल्स', 'bn': 'এম. সেলস'}}",24.0,11.0,23.0,10.0,0.0,3.0,4.0,8.0,20.0,,,,7.0,1.0,2.0,3.0,,90.0,30.0,6.7,13.0,0.00262118,"{'original': 6.7, 'alternative': 6.6}",0,-0.6906,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Gonzalo Montiel,gonzalo-montiel,G. Montiel,D,4,175,9289,M,822933,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,852076800,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غونزالو مونتييل', 'hi': 'गोंजालो मोंटिएल', 'bn': 'গঞ্জালো মন্টিয়েল'}, 'shortNameTranslation': {'ar': 'غ. مونتيل', 'hi': 'जी. मोंटिएल', 'bn': 'জি. মন্টিয়েল'}}",16.0,16.0,1.0,1.0,0.0,14.0,14.0,2.0,3.0,1.0,8.0,1.0,6.0,,,,,90.0,32.0,7.4,2.0,0.00552609,"{'original': 7.4, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,2.0,2.0,,,2.0,,,,,,6.0,6.0,1.0,,,,,,,,1.0,,,,,,gonzalo_montiel29,
Willy Boly,willy-boly,W. Boly,D,30,195,1805,M,139310,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,665539200,"{'value': 775000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويلي بولي', 'hi': 'विली बोली', 'bn': 'উইলি বলি'}, 'shortNameTranslation': {'ar': 'و. بولي', 'hi': 'डब्लू. बोली', 'bn': 'ডব্লিউ. বলি'}}",23.0,16.0,3.0,1.0,0.0,14.0,16.0,2.0,7.0,3.0,3.0,5.0,4.0,,,,,90.0,33.0,6.8,8.0,0.0017404,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,1.0,,,3.0,,,,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,
Murillo,murillo,Murillo,D,5,180,9796,M,1199282,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1025740800,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}, 'shortNameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}}",28.0,21.0,6.0,2.0,0.0,16.0,18.0,5.0,10.0,2.0,2.0,11.0,2.0,,,,,90.0,48.0,7.2,8.0,0.00188635,"{'original': 7.2, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,,,1.0,3.0,0.0729,Murillo,,,,,,1.0,2.0,,,,,1.0,,,0.2115,,,,,murillosantiago40,
Harry Toffolo,harry-toffolo,H. Toffolo,D,15,183,379,M,358218,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,808790400,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري توفولو', 'hi': 'हैरी टोफ़ोलो', 'bn': 'হ্যারি টফোলো'}, 'shortNameTranslation': {'ar': 'ه. توفولو', 'hi': 'एच. टोफ़ोलो', 'bn': 'এইচ. টফোলো'}}",20.0,17.0,4.0,1.0,0.0,13.0,15.0,4.0,5.0,1.0,1.0,5.0,4.0,,,,,90.0,35.0,6.7,6.0,0.00153492,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
Ryan Yates,ryan-yates,R. Yates,M,22,190,881,M,846252,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,880070400,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان ييتس', 'hi': 'रयान येट्स', 'bn': 'রায়ান ইয়েটস'}, 'shortNameTranslation': {'ar': 'ر. ييتس', 'hi': 'आर. येट्स', 'bn': 'আর. ইয়েটস'}}",14.0,14.0,,,1.0,10.0,10.0,4.0,4.0,,5.0,1.0,3.0,,,,,58.0,24.0,7.3,2.0,0.00541167,"{'original': 7.3, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,,,,1.0,0.1966,,,,,1.0,1.0,,,1.0,,1.0,1.0,,,4.0,,,,1.0,,,
Danilo,danilo,Danilo,M,35,177,4572,M,1064039,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,988502400,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}, 'shortNameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}}",22.0,15.0,3.0,1.0,0.0,9.0,14.0,6.0,10.0,1.0,6.0,3.0,3.0,,,,,80.0,39.0,7.1,11.0,0.00916583,"{'original': 7.1, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,2.0,1.0,1.0,,2.0,,,,,,4.0,1.0,,1.0,2.0,1.0,,1.0,,,,,,,,,Danilo,
Anthony Elanga,anthony-elanga,A. Elanga,M,20,178,10539,M,979232,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,1019865600,"{'value': 48000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني إلانغا', 'hi': 'एंथनी एलंगा', 'bn': 'অ্যান্টনি এলাঙ্গা'}, 'shortNameTranslation': {'ar': 'أ. إلانغا', 'hi': 'ए. एलंगा', 'bn': 'এ. এলাঙ্গা'}}",12.0,8.0,,,1.0,5.0,8.0,4.0,6.0,2.0,3.0,1.0,3.0,,,,,88.0,26.0,7.3,11.0,0.274666,"{'original': 7.3, 'alternative': 7.1}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,4.0,,2.0,2.0,,0.1005,,,1.0,,,,,,2.0,,,3.0,1.0,,2.0,0.022,1.0,1.0,1.0,,anthonyelanga,
Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,171,6717,M,865912,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,948931200,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مورغان غيبز-وايت', 'hi': 'मॉर्गन गिब्स-व्हाइट', 'bn': 'মরগান গিবস-হোয়াইট'}, 'shortNameTranslation': {'ar': 'م. غيبز-وايت', 'hi': 'एम. गिब्स-व्हाइट', 'bn': 'এম. গিবস-হোয়াইট'}}",28.0,21.0,3.0,2.0,0.0,7.0,10.0,15.0,20.0,1.0,2.0,,4.0,,,,,90.0,41.0,7.1,12.0,0.249798,"{'original': 7.1, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,7.0,1.0,2.0,,1.0,0.1506,,,2.0,,,,1.0,1.0,3.0,,1.0,1.0,1.0,,1.0,0.0736,1.0,1.0,,,Morgangibbs27,
Callum Hudson-Odoi,callum-hudson-odoi,C. Hudson-Odoi,M,7,177,9379,M,867442,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,973555200,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالوم هادسون أودوي', 'hi': 'कैलम हडसन-ओडोई', 'bn': 'ক্যালাম হাডসন-ওডোই'}, 'shortNameTranslation': {'ar': 'ك. هودسون أودوي', 'hi': 'सी. हडसन-ओडोई', 'bn': 'সি. হাডসন-ওডোই'}}",27.0,22.0,4.0,3.0,0.0,9.0,11.0,13.0,17.0,,4.0,1.0,8.0,,,,,88.0,36.0,7.2,7.0,0.298789,"{'original': 7.2, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,4.0,3.0,2.0,,1.0,,,,,,2.0,2.0,,,1.0,1.0,,,,,1.0,,,,,,Calteck10,1.0
