id,match_id,map,home_team_score,away_team_score,has_statistics,has_rounds,has_lineups
38018,40926,Nuke,10,16,False,True,True
38019,40926,Inferno,19,17,False,True,True
38020,40926,Ancient,16,4,False,True,True
40356,42228,Ancient,16,14,False,True,True
40357,42228,Inferno,16,5,False,True,True
40453,42288,Ancient,19,22,False,True,True
40454,42288,Vertigo,10,16,False,True,True
40450,42289,Inferno,13,16,False,True,True
40451,42289,Ancient,16,6,False,True,True
40452,42289,Overpass,16,4,False,True,True
40569,42368,Ancient,16,3,False,True,True
40570,42368,Mirage,16,6,False,True,True
51436,48620,Overpass,16,10,False,True,True
51438,48622,Inferno,16,12,False,True,True
51439,48623,Mirage,9,16,False,True,True
51440,48624,Ancient,9,16,False,True,True
51441,48625,Mirage,17,19,False,True,True
51542,48679,Dust2,16,11,False,True,True
79164,64892,Nuke,16,12,False,True,True
79165,64894,Overpass,16,12,False,True,True
79166,64895,Inferno,16,6,False,True,True
79168,64896,Nuke,10,16,False,True,True
79167,64897,Nuke,16,9,False,True,True
79169,64898,Mirage,22,19,False,True,True
91598,71983,Vertigo,9,16,False,True,True
91600,71983,Nuke,16,11,False,True,True
91603,71983,Dust2,16,13,False,True,True
91605,71984,Nuke,10,16,False,True,True
91606,71984,Vertigo,16,10,False,True,True
91607,71984,Dust2,16,9,False,True,True
91721,72043,Overpass,12,16,False,True,True
91722,72043,Nuke,14,16,False,True,True
91723,72045,Mirage,6,16,False,True,True
91724,72045,Vertigo,7,16,False,True,True
91837,72117,Dust2,16,11,False,True,True
91840,72117,Nuke,16,10,False,True,True
91844,72119,Inferno,16,6,False,True,True
91845,72119,Vertigo,8,16,False,True,True
91846,72119,Mirage,16,11,False,True,True
94582,73730,Ancient,16,5,False,True,True
94589,73731,Dust2,15,19,False,True,True
94588,73732,Inferno,16,4,False,True,True
94591,73733,Ancient,16,9,False,True,True
94590,73734,Inferno,13,16,False,True,True
117579,86841,Vertigo,16,14,False,True,True
117581,86841,Inferno,16,8,False,True,True
117585,86845,Vertigo,2,16,False,True,True
117586,86845,Overpass,14,16,False,True,True
117731,86936,Dust2,19,16,False,True,True
117732,86936,Inferno,16,6,False,True,True
1995,5264,Anubis,4,16,False,True,True
1998,5264,Inferno,2,16,False,True,True
2001,5269,Ancient,13,16,False,True,True
2002,5269,Anubis,12,16,False,True,True
2043,5367,Anubis,16,9,False,True,True
2050,5367,Ancient,16,9,False,True,True
2046,5367,Inferno,13,16,False,True,True
2045,5368,Inferno,8,16,False,True,True
2047,5368,Overpass,16,11,False,True,True
2052,5368,Mirage,7,16,False,True,True
2044,5369,Overpass,7,16,False,True,True
2051,5369,Inferno,16,14,False,True,True
2048,5369,Nuke,16,14,False,True,True
2111,5528,Inferno,16,14,False,True,True
2112,5528,Overpass,16,14,False,True,False
2121,5529,Ancient,16,9,False,True,True
2122,5529,Anubis,16,10,False,True,True
2116,5531,Overpass,16,13,False,True,True
2117,5531,Mirage,14,16,False,True,True
2118,5531,Nuke,16,9,False,True,True
2198,5777,Mirage,17,19,False,True,True
2200,5777,Overpass,16,9,False,False,True
2196,5777,Inferno,16,8,False,True,True
2197,5778,Ancient,16,11,False,True,True
2199,5778,Inferno,16,7,False,True,True
2202,5780,Mirage,16,11,False,True,True
2203,5780,Ancient,13,16,False,True,True
2204,5780,Inferno,16,7,False,True,True
2305,6048,Ancient,16,13,False,True,True
2309,6048,Vertigo,16,6,False,True,True
2303,6051,Overpass,5,16,False,True,True
2308,6051,Nuke,16,19,False,True,True
2310,6054,Ancient,6,16,False,True,True
2312,6054,Vertigo,10,16,False,False,True
14053,18554,Vertigo,16,9,False,True,True
14054,18554,Mirage,10,16,False,True,True
14055,18554,Inferno,16,9,False,True,True
14185,18786,Anubis,16,11,False,True,True
14186,18786,Inferno,9,16,False,True,True
14187,18786,Nuke,12,16,False,True,True
14196,18787,Overpass,13,16,False,True,False
14197,18787,Inferno,16,11,False,True,True
14199,18787,Nuke,17,19,False,True,True
14322,19015,Vertigo,16,14,False,True,True
14324,19015,Overpass,16,6,False,True,True
14323,19016,Anubis,19,17,False,True,True
